# This .csv file was created 12.10.2024 14:31
# extracted out of file mindist_major_allergenic_epitope_r_41-60_MOL.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAD/2blg_clad_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_41-60-MOL"
"0.0";"1.094321"
"10.0";"1.114058"
"20.0";"1.04817"
"30.0";"0.9971218"
"40.0";"0.9340897"
"50.0";"1.033556"
"60.0";"1.106614"
"70.0";"1.069436"
"80.0";"1.156606"
"90.0";"1.063465"
"100.0";"1.150494"
"110.0";"1.19617"
"120.0";"1.240023"
"130.0";"1.21904"
"140.0";"1.206966"
"150.0";"1.232185"
"160.0";"1.038796"
"170.0";"1.039197"
"180.0";"0.9735674"
"190.0";"0.9954487"
"200.0";"0.9565908"
"210.0";"1.029573"
"220.0";"0.999198"
"230.0";"0.7793165"
"240.0";"0.7955446"
"250.0";"0.842647"
"260.0";"0.9473393"
"270.0";"0.89947"
"280.0";"0.875994"
"290.0";"0.8004867"
"300.0";"0.8496898"
"310.0";"0.9277856"
"320.0";"0.938357"
"330.0";"0.8617457"
"340.0";"0.9527776"
"350.0";"0.8622505"
"360.0";"0.8960974"
"370.0";"0.7979034"
"380.0";"0.90969"
"390.0";"0.8723243"
"400.0";"0.8499987"
"410.0";"0.7774892"
"420.0";"0.8534976"
"430.0";"0.7053262"
"440.0";"0.6271099"
"450.0";"0.7759691"
"460.0";"0.8697479"
"470.0";"0.7957968"
"480.0";"0.7855222"
"490.0";"0.8329847"
"500.0";"0.8133518"
"510.0";"0.8761333"
"520.0";"0.7908056"
"530.0";"0.8254294"
"540.0";"0.7706031"
"550.0";"0.719493"
"560.0";"0.7948563"
"570.0";"0.7896177"
"580.0";"0.8151477"
"590.0";"0.7134208"
"600.0";"0.8509058"
"610.0";"0.8534606"
"620.0";"0.7289149"
"630.0";"0.6585234"
"640.0";"0.6800178"
"650.0";"0.6227341"
"660.0";"0.5640257"
"670.0";"0.570646"
"680.0";"0.6624585"
"690.0";"0.6586689"
"700.0";"0.7028772"
"710.0";"0.7330683"
"720.0";"0.7348717"
"730.0";"0.7726333"
"740.0";"0.8266162"
"750.0";"0.7182182"
"760.0";"0.6957765"
"770.0";"0.6259633"
"780.0";"0.661369"
"790.0";"0.6321531"
"800.0";"0.6014463"
"810.0";"0.724216"
"820.0";"0.710746"
"830.0";"0.685887"
"840.0";"0.6469727"
"850.0";"0.6541392"
"860.0";"0.6104161"
"870.0";"0.7160512"
"880.0";"0.7095814"
"890.0";"0.6850191"
"900.0";"0.630368"
"910.0";"0.5557358"
"920.0";"0.6659466"
"930.0";"0.6964484"
"940.0";"0.7210616"
"950.0";"0.7260779"
"960.0";"0.6942226"
"970.0";"0.6491146"
"980.0";"0.6414881"
"990.0";"0.5840802"
"1000.0";"0.5320324"
"1010.0";"0.565293"
"1020.0";"0.5349029"
"1030.0";"0.5260098"
"1040.0";"0.6144121"
"1050.0";"0.5842809"
"1060.0";"0.5687468"
"1070.0";"0.5523087"
"1080.0";"0.5659025"
"1090.0";"0.4829213"
"1100.0";"0.5133904"
"1110.0";"0.5510587"
"1120.0";"0.5056182"
"1130.0";"0.584607"
"1140.0";"0.6194692"
"1150.0";"0.6161455"
"1160.0";"0.5912038"
"1170.0";"0.5816166"
"1180.0";"0.5409712"
"1190.0";"0.6614121"
"1200.0";"0.6384568"
"1210.0";"0.5863737"
"1220.0";"0.6360645"
"1230.0";"0.5119657"
"1240.0";"0.473293"
"1250.0";"0.4986525"
"1260.0";"0.5364344"
"1270.0";"0.6213542"
"1280.0";"0.530496"
"1290.0";"0.5980812"
"1300.0";"0.6415069"
"1310.0";"0.6230286"
"1320.0";"0.688391"
"1330.0";"0.6733486"
"1340.0";"0.6175284"
"1350.0";"0.6257228"
"1360.0";"0.6627375"
"1370.0";"0.6377723"
"1380.0";"0.6509117"
"1390.0";"0.6240496"
"1400.0";"0.6111733"
"1410.0";"0.5988467"
"1420.0";"0.6046362"
"1430.0";"0.6670999"
"1440.0";"0.6740271"
"1450.0";"0.5884573"
"1460.0";"0.5529879"
"1470.0";"0.5007166"
"1480.0";"0.6486712"
"1490.0";"0.5470405"
"1500.0";"0.6223361"
"1510.0";"0.6411012"
"1520.0";"0.6170006"
"1530.0";"0.5606121"
"1540.0";"0.4420693"
"1550.0";"0.5551375"
"1560.0";"0.6413244"
"1570.0";"0.6905888"
"1580.0";"0.7443793"
"1590.0";"0.7689388"
"1600.0";"0.7057104"
"1610.0";"0.6942562"
"1620.0";"0.621326"
"1630.0";"0.66311"
"1640.0";"0.6499342"
"1650.0";"0.6995749"
"1660.0";"0.6890117"
"1670.0";"0.6226037"
"1680.0";"0.5248163"
"1690.0";"0.4450294"
"1700.0";"0.5686878"
"1710.0";"0.6422937"
"1720.0";"0.6112487"
"1730.0";"0.5369304"
"1740.0";"0.4801552"
"1750.0";"0.3970301"
"1760.0";"0.4885797"
"1770.0";"0.379775"
"1780.0";"0.5505053"
"1790.0";"0.4877954"
"1800.0";"0.4685904"
"1810.0";"0.5655097"
"1820.0";"0.6350711"
"1830.0";"0.5368624"
"1840.0";"0.5938357"
"1850.0";"0.6092794"
"1860.0";"0.6078315"
"1870.0";"0.5565913"
"1880.0";"0.5444091"
"1890.0";"0.6255381"
"1900.0";"0.6111379"
"1910.0";"0.5501532"
"1920.0";"0.5239907"
"1930.0";"0.5510455"
"1940.0";"0.4599013"
"1950.0";"0.5219705"
"1960.0";"0.6372073"
"1970.0";"0.569346"
"1980.0";"0.46477"
"1990.0";"0.5190172"
"2000.0";"0.5905638"
"2010.0";"0.5432303"
"2020.0";"0.5522444"
"2030.0";"0.554996"
"2040.0";"0.5564082"
"2050.0";"0.5569816"
"2060.0";"0.5615148"
"2070.0";"0.541882"
"2080.0";"0.5458297"
"2090.0";"0.4889743"
"2100.0";"0.5914405"
"2110.0";"0.5255406"
"2120.0";"0.6103723"
"2130.0";"0.5195027"
"2140.0";"0.5522146"
"2150.0";"0.5168298"
"2160.0";"0.5239602"
"2170.0";"0.4539484"
"2180.0";"0.5081663"
"2190.0";"0.5278214"
"2200.0";"0.4792016"
"2210.0";"0.5217003"
"2220.0";"0.5710979"
"2230.0";"0.61783"
"2240.0";"0.593365"
"2250.0";"0.5359898"
"2260.0";"0.549104"
"2270.0";"0.5043709"
"2280.0";"0.4761031"
"2290.0";"0.5541309"
"2300.0";"0.5818494"
"2310.0";"0.6002972"
"2320.0";"0.5397832"
"2330.0";"0.5155171"
"2340.0";"0.5471871"
"2350.0";"0.5691353"
"2360.0";"0.5970618"
"2370.0";"0.7222121"
"2380.0";"0.6659057"
"2390.0";"0.8180496"
"2400.0";"0.8364412"
"2410.0";"0.8487556"
"2420.0";"0.7379854"
"2430.0";"0.657155"
"2440.0";"0.6779625"
"2450.0";"0.9771849"
"2460.0";"0.8899948"
"2470.0";"0.7801709"
"2480.0";"0.8433413"
"2490.0";"0.8140011"
"2500.0";"0.7710549"
"2510.0";"0.6513105"
"2520.0";"0.8038369"
"2530.0";"0.7247425"
"2540.0";"0.8145204"
"2550.0";"0.7552921"
"2560.0";"0.7998268"
"2570.0";"0.839292"
"2580.0";"0.7066713"
"2590.0";"0.8305021"
"2600.0";"0.6873971"
"2610.0";"0.9164307"
"2620.0";"0.8788548"
"2630.0";"0.8998888"
"2640.0";"0.719292"
"2650.0";"0.7097068"
"2660.0";"0.6634341"
"2670.0";"0.7402495"
"2680.0";"0.8333247"
"2690.0";"0.8344199"
"2700.0";"0.8299799"
"2710.0";"0.7442246"
"2720.0";"0.7075233"
"2730.0";"0.6201524"
"2740.0";"0.5028617"
"2750.0";"0.5146543"
"2760.0";"0.5071618"
"2770.0";"0.5705689"
"2780.0";"0.4638288"
"2790.0";"0.5090362"
"2800.0";"0.5630249"
"2810.0";"0.637939"
"2820.0";"0.5872255"
"2830.0";"0.5707725"
"2840.0";"0.4951782"
"2850.0";"0.550971"
"2860.0";"0.484482"
"2870.0";"0.5419909"
"2880.0";"0.5465428"
"2890.0";"0.5703072"
"2900.0";"0.6221085"
"2910.0";"0.4963358"
"2920.0";"0.5456086"
"2930.0";"0.6293852"
"2940.0";"0.5473068"
"2950.0";"0.5572082"
"2960.0";"0.4767033"
"2970.0";"0.4851704"
"2980.0";"0.6247417"
"2990.0";"0.5261045"
"3000.0";"0.5117923"
"3010.0";"0.5082245"
"3020.0";"0.5319597"
"3030.0";"0.5655538"
"3040.0";"0.5868431"
"3050.0";"0.6648857"
"3060.0";"0.5432615"
"3070.0";"0.5911297"
"3080.0";"0.6019513"
"3090.0";"0.6444981"
"3100.0";"0.4781108"
"3110.0";"0.5397305"
"3120.0";"0.5967553"
"3130.0";"0.5247941"
"3140.0";"0.573649"
"3150.0";"0.6861231"
"3160.0";"0.5090975"
"3170.0";"0.5654248"
"3180.0";"0.5803267"
"3190.0";"0.4579226"
"3200.0";"0.5066143"
"3210.0";"0.5703596"
"3220.0";"0.5959741"
"3230.0";"0.5279714"
"3240.0";"0.5308305"
"3250.0";"0.5106275"
