# This .csv file was created 12.10.2024 14:31
# extracted out of file prod_mindist_mol5_outer_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAD/2blg_clad_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL5-outer_dimer_area"
"0.0";"3.831836"
"10.0";"3.725067"
"20.0";"3.8086"
"30.0";"3.490638"
"40.0";"3.685996"
"50.0";"3.750385"
"60.0";"3.754503"
"70.0";"3.604949"
"80.0";"3.733584"
"90.0";"3.697169"
"100.0";"3.572723"
"110.0";"3.724274"
"120.0";"3.985718"
"130.0";"3.934286"
"140.0";"3.99492"
"150.0";"4.06544"
"160.0";"3.927247"
"170.0";"3.887597"
"180.0";"3.90661"
"190.0";"3.949475"
"200.0";"4.101052"
"210.0";"4.014275"
"220.0";"4.420808"
"230.0";"4.362827"
"240.0";"4.332894"
"250.0";"4.473731"
"260.0";"4.436143"
"270.0";"4.503672"
"280.0";"4.309391"
"290.0";"4.358495"
"300.0";"4.253233"
"310.0";"4.557242"
"320.0";"4.645063"
"330.0";"4.40958"
"340.0";"4.379367"
"350.0";"4.492069"
"360.0";"4.26266"
"370.0";"4.084471"
"380.0";"4.076621"
"390.0";"4.009435"
"400.0";"3.943016"
"410.0";"4.005831"
"420.0";"3.929058"
"430.0";"4.006979"
"440.0";"3.999718"
"450.0";"3.900291"
"460.0";"3.629335"
"470.0";"3.545326"
"480.0";"3.717357"
"490.0";"3.701868"
"500.0";"3.669734"
"510.0";"3.583687"
"520.0";"3.564528"
"530.0";"3.505624"
"540.0";"3.400788"
"550.0";"3.641821"
"560.0";"3.642675"
"570.0";"3.53382"
"580.0";"3.474908"
"590.0";"3.287439"
"600.0";"3.247512"
"610.0";"3.199497"
"620.0";"3.258332"
"630.0";"3.34404"
"640.0";"3.482567"
"650.0";"3.355269"
"660.0";"3.706863"
"670.0";"3.573008"
"680.0";"3.611727"
"690.0";"3.805054"
"700.0";"3.823681"
"710.0";"4.019261"
"720.0";"4.0087"
"730.0";"3.853646"
"740.0";"3.940701"
"750.0";"3.809046"
"760.0";"3.724085"
"770.0";"3.895456"
"780.0";"3.992048"
"790.0";"3.943414"
"800.0";"3.687847"
"810.0";"3.82986"
"820.0";"3.79436"
"830.0";"3.731938"
"840.0";"3.63394"
"850.0";"3.711171"
"860.0";"3.785664"
"870.0";"3.868999"
"880.0";"3.967098"
"890.0";"4.038879"
"900.0";"3.823255"
"910.0";"3.754239"
"920.0";"3.98242"
"930.0";"3.585008"
"940.0";"3.253125"
"950.0";"3.19768"
"960.0";"3.085917"
"970.0";"3.176914"
"980.0";"3.321445"
"990.0";"3.371891"
"1000.0";"3.36998"
"1010.0";"3.221941"
"1020.0";"3.32426"
"1030.0";"3.179997"
"1040.0";"2.9569"
"1050.0";"2.903877"
"1060.0";"3.034666"
"1070.0";"3.075144"
"1080.0";"2.978415"
"1090.0";"3.102916"
"1100.0";"3.196156"
"1110.0";"3.199017"
"1120.0";"3.088573"
"1130.0";"3.185392"
"1140.0";"3.133451"
"1150.0";"2.900143"
"1160.0";"3.122916"
"1170.0";"3.300585"
"1180.0";"3.299954"
"1190.0";"3.339266"
"1200.0";"3.09776"
"1210.0";"3.213374"
"1220.0";"3.568735"
"1230.0";"3.476066"
"1240.0";"3.536905"
"1250.0";"3.479568"
"1260.0";"3.47991"
"1270.0";"3.364492"
"1280.0";"3.397361"
"1290.0";"3.46091"
"1300.0";"3.542687"
"1310.0";"3.754928"
"1320.0";"3.793247"
"1330.0";"3.739462"
"1340.0";"3.744769"
"1350.0";"3.705689"
"1360.0";"3.762246"
"1370.0";"3.555111"
"1380.0";"3.471179"
"1390.0";"3.368523"
"1400.0";"3.181319"
"1410.0";"3.05747"
"1420.0";"3.030113"
"1430.0";"3.054825"
"1440.0";"2.849152"
"1450.0";"2.774806"
"1460.0";"2.614126"
"1470.0";"2.601154"
"1480.0";"2.465518"
"1490.0";"2.396793"
"1500.0";"2.433864"
"1510.0";"2.564318"
"1520.0";"2.599269"
"1530.0";"2.663139"
"1540.0";"2.766788"
"1550.0";"2.656959"
"1560.0";"2.555739"
"1570.0";"2.379642"
"1580.0";"2.319646"
"1590.0";"2.292269"
"1600.0";"2.270098"
"1610.0";"2.825616"
"1620.0";"2.961252"
"1630.0";"2.909372"
"1640.0";"2.78805"
"1650.0";"2.827984"
"1660.0";"2.635484"
"1670.0";"2.707512"
"1680.0";"2.688792"
"1690.0";"2.626394"
"1700.0";"2.712358"
"1710.0";"2.861814"
"1720.0";"2.799941"
"1730.0";"2.645257"
"1740.0";"2.649587"
"1750.0";"2.556775"
"1760.0";"2.499295"
"1770.0";"2.791676"
"1780.0";"2.758329"
"1790.0";"2.826397"
"1800.0";"2.869047"
"1810.0";"2.896711"
"1820.0";"3.115777"
"1830.0";"2.906766"
"1840.0";"2.94616"
"1850.0";"2.857991"
"1860.0";"2.823462"
"1870.0";"3.007482"
"1880.0";"3.051833"
"1890.0";"3.013579"
"1900.0";"3.158587"
"1910.0";"3.272567"
"1920.0";"3.372931"
"1930.0";"3.616711"
"1940.0";"3.551672"
"1950.0";"3.592034"
"1960.0";"3.54343"
"1970.0";"3.744066"
"1980.0";"3.865086"
"1990.0";"4.006348"
"2000.0";"3.990025"
"2010.0";"4.004035"
"2020.0";"3.968671"
"2030.0";"3.987324"
"2040.0";"3.84861"
"2050.0";"3.830725"
"2060.0";"3.696892"
"2070.0";"3.794446"
"2080.0";"3.801031"
"2090.0";"4.022898"
"2100.0";"3.939473"
"2110.0";"3.751738"
"2120.0";"3.827424"
"2130.0";"3.797035"
"2140.0";"3.81252"
"2150.0";"3.848573"
"2160.0";"3.967965"
"2170.0";"3.862134"
"2180.0";"3.665741"
"2190.0";"3.594425"
"2200.0";"3.687377"
"2210.0";"3.67465"
"2220.0";"3.571269"
"2230.0";"3.429878"
"2240.0";"3.499181"
"2250.0";"3.390231"
"2260.0";"3.511269"
"2270.0";"3.49312"
"2280.0";"3.433907"
"2290.0";"3.603628"
"2300.0";"3.649466"
"2310.0";"3.775829"
"2320.0";"3.854497"
"2330.0";"3.758176"
"2340.0";"3.917588"
"2350.0";"3.856037"
"2360.0";"3.930455"
"2370.0";"3.8919"
"2380.0";"3.977668"
"2390.0";"4.062511"
"2400.0";"4.065714"
"2410.0";"4.212732"
"2420.0";"4.304307"
"2430.0";"4.581033"
"2440.0";"4.437255"
"2450.0";"4.464234"
"2460.0";"4.502639"
"2470.0";"4.421692"
"2480.0";"4.185565"
"2490.0";"4.350014"
"2500.0";"4.412989"
"2510.0";"4.265203"
"2520.0";"4.026871"
"2530.0";"3.966409"
"2540.0";"4.079763"
"2550.0";"3.65093"
"2560.0";"3.673012"
"2570.0";"3.769728"
"2580.0";"3.7825"
"2590.0";"3.875926"
"2600.0";"3.911578"
"2610.0";"4.12174"
"2620.0";"4.18371"
"2630.0";"4.374812"
"2640.0";"4.306123"
"2650.0";"4.55049"
"2660.0";"4.315386"
"2670.0";"4.523227"
"2680.0";"4.426534"
"2690.0";"4.224315"
"2700.0";"4.272828"
"2710.0";"4.28875"
"2720.0";"4.302572"
"2730.0";"4.249138"
"2740.0";"4.131832"
"2750.0";"4.036107"
"2760.0";"4.287969"
"2770.0";"4.228751"
"2780.0";"4.462772"
"2790.0";"4.491249"
"2800.0";"4.515312"
"2810.0";"4.444564"
"2820.0";"4.421433"
"2830.0";"4.363568"
"2840.0";"4.068316"
"2850.0";"4.338812"
"2860.0";"4.164598"
"2870.0";"4.398272"
"2880.0";"4.436896"
"2890.0";"4.527062"
"2900.0";"4.486074"
"2910.0";"4.391547"
"2920.0";"4.420886"
"2930.0";"4.352886"
"2940.0";"4.384655"
"2950.0";"4.151592"
"2960.0";"4.485832"
"2970.0";"4.140855"
"2980.0";"4.167231"
"2990.0";"4.21073"
"3000.0";"4.165444"
"3010.0";"4.046343"
"3020.0";"3.947312"
"3030.0";"3.936291"
"3040.0";"3.580045"
"3050.0";"3.6211"
"3060.0";"3.535117"
"3070.0";"3.430292"
"3080.0";"3.228281"
"3090.0";"3.407747"
"3100.0";"3.537888"
"3110.0";"3.773017"
"3120.0";"3.60919"
"3130.0";"3.530738"
"3140.0";"3.673806"
"3150.0";"3.618284"
"3160.0";"3.471343"
"3170.0";"3.331925"
"3180.0";"3.046311"
"3190.0";"3.371582"
"3200.0";"3.726134"
"3210.0";"3.801075"
"3220.0";"3.774602"
"3230.0";"3.677324"
"3240.0";"3.753059"
"3250.0";"3.674438"
"3260.0";"3.850188"
"3270.0";"3.856634"
"3280.0";"3.626009"
"3290.0";"3.840102"
"3300.0";"3.916427"
"3310.0";"3.750701"
"3320.0";"3.633654"
"3330.0";"3.610834"
"3340.0";"3.684848"
"3350.0";"3.61161"
"3360.0";"3.572052"
"3370.0";"3.720742"
"3380.0";"3.538816"
"3390.0";"3.752839"
"3400.0";"3.73132"
"3410.0";"3.597046"
"3420.0";"3.889353"
"3430.0";"3.845937"
"3440.0";"4.070698"
"3450.0";"4.279319"
"3460.0";"4.266703"
"3470.0";"4.022544"
"3480.0";"4.041365"
"3490.0";"4.081781"
"3500.0";"4.20923"
"3510.0";"4.362191"
"3520.0";"4.355423"
"3530.0";"4.38447"
"3540.0";"4.484987"
"3550.0";"4.402341"
"3560.0";"4.660285"
"3570.0";"4.588134"
"3580.0";"4.644014"
"3590.0";"4.743104"
"3600.0";"5.0302"
"3610.0";"4.959515"
"3620.0";"4.786613"
"3630.0";"4.802535"
"3640.0";"4.783461"
"3650.0";"4.838762"
"3660.0";"4.654196"
"3670.0";"4.87474"
"3680.0";"4.712676"
"3690.0";"5.072211"
"3700.0";"4.840204"
"3710.0";"4.488713"
"3720.0";"4.418282"
"3730.0";"4.401704"
"3740.0";"4.403486"
"3750.0";"4.520455"
"3760.0";"4.776881"
"3770.0";"4.649919"
"3780.0";"4.630449"
"3790.0";"4.483062"
"3800.0";"4.512744"
"3810.0";"4.57874"
"3820.0";"4.40777"
"3830.0";"4.442002"
"3840.0";"4.4298"
"3850.0";"4.398643"
"3860.0";"4.392627"
"3870.0";"4.513156"
"3880.0";"4.727722"
"3890.0";"4.787979"
"3900.0";"4.776907"
"3910.0";"4.647361"
"3920.0";"4.627233"
"3930.0";"4.627267"
"3940.0";"4.22206"
"3950.0";"4.126101"
"3960.0";"4.033899"
"3970.0";"4.067971"
"3980.0";"3.935484"
"3990.0";"3.89904"
"4000.0";"4.03582"
"4010.0";"3.966442"
"4020.0";"3.96346"
"4030.0";"3.975224"
"4040.0";"3.933486"
"4050.0";"3.73744"
"4060.0";"3.630929"
"4070.0";"3.540101"
"4080.0";"3.603883"
"4090.0";"3.673878"
"4100.0";"3.812906"
"4110.0";"3.787513"
"4120.0";"3.75385"
"4130.0";"3.792209"
"4140.0";"3.858058"
"4150.0";"3.954664"
"4160.0";"3.824714"
"4170.0";"4.049691"
"4180.0";"4.136534"
"4190.0";"4.395423"
"4200.0";"4.331707"
"4210.0";"3.928802"
"4220.0";"3.863989"
"4230.0";"3.862765"
"4240.0";"3.864925"
"4250.0";"3.695458"
"4260.0";"3.721543"
"4270.0";"3.884466"
"4280.0";"3.750482"
"4290.0";"3.85088"
"4300.0";"3.723131"
"4310.0";"3.708345"
"4320.0";"3.713605"
"4330.0";"3.77083"
"4340.0";"3.800814"
"4350.0";"3.73285"
"4360.0";"3.652626"
"4370.0";"3.766604"
"4380.0";"3.772913"
"4390.0";"3.864746"
"4400.0";"3.901192"
"4410.0";"3.938674"
"4420.0";"4.070011"
"4430.0";"3.660322"
"4440.0";"3.722929"
"4450.0";"3.857287"
"4460.0";"3.808659"
"4470.0";"3.83492"
"4480.0";"3.84909"
"4490.0";"3.855423"
"4500.0";"3.966764"
"4510.0";"4.08876"
"4520.0";"4.018727"
"4530.0";"3.682045"
"4540.0";"3.751692"
"4550.0";"3.753141"
"4560.0";"3.863558"
"4570.0";"3.92245"
"4580.0";"3.898355"
"4590.0";"3.801887"
"4600.0";"3.542544"
"4610.0";"3.414662"
"4620.0";"3.36219"
"4630.0";"3.526669"
"4640.0";"3.54797"
"4650.0";"3.569953"
"4660.0";"3.51019"
"4670.0";"3.541843"
"4680.0";"3.228103"
"4690.0";"3.407871"
"4700.0";"3.421237"
"4710.0";"3.373299"
"4720.0";"3.555594"
"4730.0";"3.610211"
"4740.0";"3.743158"
"4750.0";"4.053522"
"4760.0";"3.963596"
"4770.0";"3.838042"
"4780.0";"3.883888"
"4790.0";"3.989788"
"4800.0";"4.364739"
"4810.0";"4.607946"
"4820.0";"4.766407"
"4830.0";"4.840599"
"4840.0";"4.409745"
"4850.0";"4.226332"
"4860.0";"4.22733"
"4870.0";"4.393719"
"4880.0";"4.455182"
"4890.0";"4.527235"
"4900.0";"4.523285"
"4910.0";"4.628949"
"4920.0";"4.733706"
"4930.0";"4.669108"
"4940.0";"4.860225"
"4950.0";"4.885046"
"4960.0";"4.786799"
"4970.0";"5.009343"
"4980.0";"5.027189"
"4990.0";"5.132743"
"5000.0";"5.091692"
"5010.0";"5.061161"
"5020.0";"5.02973"
"5030.0";"5.161868"
"5040.0";"5.321597"
"5050.0";"5.442646"
"5060.0";"5.414678"
"5070.0";"5.301122"
"5080.0";"5.223855"
"5090.0";"5.231656"
"5100.0";"5.3083"
"5110.0";"5.283477"
"5120.0";"5.416433"
"5130.0";"5.235714"
"5140.0";"5.212738"
"5150.0";"5.233439"
"5160.0";"5.209549"
"5170.0";"5.242529"
"5180.0";"5.104098"
"5190.0";"5.11905"
"5200.0";"5.245471"
"5210.0";"5.210319"
"5220.0";"5.22951"
"5230.0";"4.985801"
"5240.0";"4.795024"
"5250.0";"4.891342"
"5260.0";"5.009028"
"5270.0";"4.958652"
"5280.0";"5.09584"
"5290.0";"5.179565"
"5300.0";"4.959292"
"5310.0";"5.180847"
"5320.0";"4.994255"
"5330.0";"5.109631"
"5340.0";"4.898754"
"5350.0";"4.862422"
"5360.0";"4.98875"
"5370.0";"5.063542"
"5380.0";"5.09953"
"5390.0";"5.050686"
"5400.0";"5.113492"
"5410.0";"4.99113"
"5420.0";"4.979444"
"5430.0";"4.912239"
"5440.0";"5.03603"
"5450.0";"4.91494"
"5460.0";"4.769332"
"5470.0";"4.978925"
"5480.0";"4.907269"
"5490.0";"5.193909"
"5500.0";"5.375757"
"5510.0";"5.335366"
"5520.0";"5.315569"
"5530.0";"5.170266"
"5540.0";"5.105674"
"5550.0";"5.249294"
"5560.0";"5.404831"
"5570.0";"5.398673"
"5580.0";"5.195972"
"5590.0";"5.261727"
"5600.0";"5.329866"
"5610.0";"5.250654"
"5620.0";"5.146201"
"5630.0";"4.986717"
"5640.0";"5.224256"
"5650.0";"5.248843"
"5660.0";"5.196179"
"5670.0";"5.26068"
"5680.0";"5.376606"
"5690.0";"5.426357"
"5700.0";"5.228065"
"5710.0";"4.990219"
"5720.0";"4.948891"
"5730.0";"4.922027"
"5740.0";"5.161419"
"5750.0";"5.220316"
"5760.0";"5.284297"
"5770.0";"5.194469"
"5780.0";"5.184496"
"5790.0";"5.102014"
"5800.0";"5.196686"
"5810.0";"5.178691"
"5820.0";"5.444113"
"5830.0";"5.48109"
"5840.0";"5.14989"
"5850.0";"4.831335"
"5860.0";"4.669997"
"5870.0";"5.269245"
"5880.0";"5.190248"
"5890.0";"5.161119"
"5900.0";"5.15604"
"5910.0";"5.151846"
"5920.0";"5.018347"
"5930.0";"4.986192"
"5940.0";"5.037621"
"5950.0";"4.925086"
"5960.0";"5.027605"
"5970.0";"5.063086"
"5980.0";"4.963328"
"5990.0";"5.124847"
"6000.0";"5.268637"
"6010.0";"5.373686"
"6020.0";"5.290779"
"6030.0";"5.327464"
"6040.0";"5.366137"
"6050.0";"5.42275"
"6060.0";"5.379745"
"6070.0";"5.190464"
"6080.0";"5.003963"
"6090.0";"4.915838"
