# This .csv file was created 12.10.2024 14:31
# extracted out of file prod_mindist_pos1_mol9_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAD/2blg_clad_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_pos1-MOL9"
"0.0";"4.505477"
"10.0";"4.503159"
"20.0";"4.602105"
"30.0";"4.817109"
"40.0";"4.673549"
"50.0";"4.880105"
"60.0";"4.961134"
"70.0";"5.089357"
"80.0";"5.05404"
"90.0";"5.170204"
"100.0";"5.081308"
"110.0";"5.123466"
"120.0";"5.075912"
"130.0";"5.17048"
"140.0";"5.064812"
"150.0";"5.167205"
"160.0";"5.005807"
"170.0";"5.099924"
"180.0";"5.068908"
"190.0";"5.089172"
"200.0";"5.184904"
"210.0";"4.997932"
"220.0";"5.098104"
"230.0";"4.941356"
"240.0";"4.969668"
"250.0";"5.205982"
"260.0";"5.469502"
"270.0";"5.355164"
"280.0";"5.413827"
"290.0";"5.223552"
"300.0";"5.48811"
"310.0";"6.052352"
"320.0";"5.909737"
"330.0";"5.793238"
"340.0";"5.525095"
"350.0";"5.256423"
"360.0";"5.306962"
"370.0";"5.353743"
"380.0";"5.244326"
"390.0";"5.464"
"400.0";"5.25445"
"410.0";"5.339015"
"420.0";"5.252017"
"430.0";"5.350547"
"440.0";"5.443056"
"450.0";"5.452401"
"460.0";"5.41646"
"470.0";"5.519689"
"480.0";"5.377069"
"490.0";"5.443711"
"500.0";"5.515265"
"510.0";"5.588124"
"520.0";"5.647603"
"530.0";"5.729712"
"540.0";"5.612178"
"550.0";"5.699225"
"560.0";"5.647245"
"570.0";"5.449858"
"580.0";"5.604816"
"590.0";"5.763222"
"600.0";"5.656677"
"610.0";"5.523544"
"620.0";"5.443625"
"630.0";"5.6772"
"640.0";"5.755966"
"650.0";"5.971337"
"660.0";"6.027879"
"670.0";"6.053551"
"680.0";"5.941707"
"690.0";"5.902221"
"700.0";"6.018623"
"710.0";"5.834103"
"720.0";"5.661868"
"730.0";"5.649285"
"740.0";"5.577435"
"750.0";"5.538719"
"760.0";"5.506756"
"770.0";"5.508118"
"780.0";"5.650544"
"790.0";"5.564778"
"800.0";"5.424575"
"810.0";"5.218535"
"820.0";"5.345066"
