# This .csv file was created 12.10.2024 14:31
# extracted out of file prod_sasa.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/LIGAND/CLAD/2blg_clad_3
# Original file was created by command :
"Solvent Accessible Surface"
"Time (ps)";"Total"
"0.0";"85.465"
"10.0";"86.173"
"20.0";"87.298"
"30.0";"82.991"
"40.0";"85.919"
"50.0";"85.491"
"60.0";"86.954"
"70.0";"85.786"
"80.0";"84.665"
"90.0";"86.909"
"100.0";"85.026"
"110.0";"85.838"
"120.0";"84.989"
"130.0";"83.597"
"140.0";"86.128"
"150.0";"84.722"
"160.0";"85.367"
"170.0";"85.525"
"180.0";"85.776"
"190.0";"83.061"
"200.0";"85.357"
"210.0";"83.893"
"220.0";"83.309"
"230.0";"84.066"
"240.0";"84.809"
"250.0";"84.895"
"260.0";"84.871"
"270.0";"84.293"
"280.0";"84.795"
"290.0";"84.704"
"300.0";"85.544"
"310.0";"85.861"
"320.0";"86.946"
"330.0";"87.406"
"340.0";"87.39"
"350.0";"84.796"
"360.0";"85.613"
"370.0";"86.003"
"380.0";"85.036"
"390.0";"84.351"
"400.0";"87.165"
"410.0";"85.62"
"420.0";"82.903"
"430.0";"83.456"
"440.0";"85.937"
"450.0";"84.937"
"460.0";"86.863"
"470.0";"85.974"
"480.0";"84.704"
"490.0";"85.065"
"500.0";"84.09"
"510.0";"84.6"
"520.0";"83.795"
"530.0";"85.572"
"540.0";"89.402"
"550.0";"85.887"
"560.0";"84.844"
"570.0";"85.558"
"580.0";"86.076"
"590.0";"86.953"
"600.0";"87.564"
"610.0";"85.745"
"620.0";"85.737"
"630.0";"86.541"
"640.0";"85.598"
"650.0";"85.6"
"660.0";"85.132"
"670.0";"86.427"
"680.0";"87.491"
"690.0";"86.867"
"700.0";"86.291"
"710.0";"85.732"
"720.0";"87.353"
"730.0";"85.492"
"740.0";"86.16"
"750.0";"84.646"
"760.0";"85.321"
"770.0";"87.242"
"780.0";"83.249"
"790.0";"84.756"
"800.0";"85.814"
"810.0";"84.855"
"820.0";"85.168"
"830.0";"84.53"
"840.0";"85.701"
"850.0";"85.563"
"860.0";"87.061"
"870.0";"85.822"
"880.0";"85.448"
"890.0";"85.475"
"900.0";"86.763"
"910.0";"87.041"
"920.0";"86.912"
"930.0";"86.856"
"940.0";"85.482"
"950.0";"86.693"
"960.0";"86.013"
"970.0";"86.655"
"980.0";"84.199"
"990.0";"84.449"
"1000.0";"84.747"
"1010.0";"85.568"
"1020.0";"85.21"
"1030.0";"86.145"
"1040.0";"86.846"
"1050.0";"85.197"
"1060.0";"85.735"
"1070.0";"85.587"
"1080.0";"85.804"
"1090.0";"86.406"
"1100.0";"84.338"
"1110.0";"86.412"
"1120.0";"85.077"
"1130.0";"85.978"
"1140.0";"87.442"
"1150.0";"85.169"
"1160.0";"85.697"
"1170.0";"84.692"
"1180.0";"87.118"
"1190.0";"85.841"
"1200.0";"86.719"
"1210.0";"87.854"
"1220.0";"88.981"
"1230.0";"86.38"
"1240.0";"89.146"
"1250.0";"86.731"
"1260.0";"87.075"
"1270.0";"87.075"
"1280.0";"85.428"
"1290.0";"87.694"
"1300.0";"86.651"
"1310.0";"86.383"
"1320.0";"86.55"
"1330.0";"87.527"
"1340.0";"87.195"
"1350.0";"85.905"
"1360.0";"86.306"
"1370.0";"87.276"
"1380.0";"85.678"
"1390.0";"88.923"
"1400.0";"86.88"
"1410.0";"88.897"
"1420.0";"86.759"
"1430.0";"86.07"
"1440.0";"86.635"
"1450.0";"84.673"
"1460.0";"82.939"
"1470.0";"87.644"
"1480.0";"85.255"
"1490.0";"86.21"
"1500.0";"85.424"
"1510.0";"86.077"
"1520.0";"86.827"
"1530.0";"87.433"
"1540.0";"85.103"
"1550.0";"85.902"
"1560.0";"85.459"
"1570.0";"86.92"
"1580.0";"86.255"
"1590.0";"87.195"
"1600.0";"86.023"
"1610.0";"84.739"
"1620.0";"85.85"
"1630.0";"85.834"
"1640.0";"84.511"
"1650.0";"86.21"
"1660.0";"86.914"
"1670.0";"88.201"
"1680.0";"86.848"
"1690.0";"86.435"
"1700.0";"87.117"
"1710.0";"85.564"
"1720.0";"85.842"
"1730.0";"86.126"
"1740.0";"86.713"
"1750.0";"85.745"
"1760.0";"87.753"
"1770.0";"83.479"
"1780.0";"84.006"
"1790.0";"83.889"
"1800.0";"83.654"
"1810.0";"85.48"
"1820.0";"83.721"
"1830.0";"84.741"
"1840.0";"85.198"
"1850.0";"85.15"
"1860.0";"85.109"
"1870.0";"83.893"
"1880.0";"85.67"
"1890.0";"84.321"
"1900.0";"85.674"
"1910.0";"85.954"
"1920.0";"84.14"
"1930.0";"83.944"
"1940.0";"84.712"
"1950.0";"86.774"
"1960.0";"83.48"
"1970.0";"85.855"
"1980.0";"84.853"
"1990.0";"84.878"
"2000.0";"84.177"
"2010.0";"85.749"
"2020.0";"85.582"
"2030.0";"84.776"
"2040.0";"85.703"
"2050.0";"84.769"
"2060.0";"83.375"
"2070.0";"86.155"
"2080.0";"85.368"
"2090.0";"86.042"
"2100.0";"84.036"
"2110.0";"86.292"
"2120.0";"85.729"
"2130.0";"84.68"
"2140.0";"83.457"
"2150.0";"84.575"
"2160.0";"84.0"
"2170.0";"84.256"
"2180.0";"85.217"
"2190.0";"84.882"
"2200.0";"83.152"
"2210.0";"85.222"
"2220.0";"88.321"
"2230.0";"85.812"
"2240.0";"85.938"
"2250.0";"85.24"
"2260.0";"83.426"
"2270.0";"85.915"
"2280.0";"87.509"
"2290.0";"85.103"
"2300.0";"84.863"
"2310.0";"84.697"
"2320.0";"84.765"
"2330.0";"84.39"
"2340.0";"84.903"
"2350.0";"85.324"
"2360.0";"84.041"
"2370.0";"85.46"
"2380.0";"83.63"
"2390.0";"85.405"
"2400.0";"85.302"
"2410.0";"82.339"
"2420.0";"84.775"
"2430.0";"83.717"
"2440.0";"84.688"
"2450.0";"85.551"
"2460.0";"84.816"
"2470.0";"85.41"
"2480.0";"84.97"
"2490.0";"86.237"
"2500.0";"84.058"
"2510.0";"85.986"
"2520.0";"84.732"
"2530.0";"86.376"
"2540.0";"85.866"
"2550.0";"85.991"
"2560.0";"85.64"
"2570.0";"87.129"
"2580.0";"85.913"
"2590.0";"85.942"
"2600.0";"84.745"
"2610.0";"85.794"
"2620.0";"84.959"
"2630.0";"85.549"
"2640.0";"83.8"
"2650.0";"87.89"
"2660.0";"86.218"
"2670.0";"87.783"
"2680.0";"86.51"
"2690.0";"86.243"
"2700.0";"86.046"
"2710.0";"85.95"
"2720.0";"86.667"
"2730.0";"86.023"
"2740.0";"85.678"
"2750.0";"86.794"
"2760.0";"85.648"
"2770.0";"84.788"
"2780.0";"85.596"
"2790.0";"84.523"
"2800.0";"85.722"
"2810.0";"86.082"
"2820.0";"85.23"
"2830.0";"85.761"
"2840.0";"85.103"
"2850.0";"84.84"
"2860.0";"85.467"
"2870.0";"84.74"
"2880.0";"84.551"
"2890.0";"85.492"
"2900.0";"84.57"
"2910.0";"86.044"
"2920.0";"85.503"
"2930.0";"85.402"
"2940.0";"85.514"
"2950.0";"85.94"
"2960.0";"86.887"
"2970.0";"85.034"
"2980.0";"85.449"
"2990.0";"86.825"
"3000.0";"84.414"
"3010.0";"85.23"
"3020.0";"85.257"
"3030.0";"85.973"
"3040.0";"84.646"
"3050.0";"84.34"
"3060.0";"86.261"
"3070.0";"87.526"
"3080.0";"86.788"
"3090.0";"85.757"
"3100.0";"85.671"
"3110.0";"85.754"
"3120.0";"85.61"
"3130.0";"86.315"
"3140.0";"85.521"
"3150.0";"86.828"
"3160.0";"86.368"
"3170.0";"85.89"
"3180.0";"86.002"
"3190.0";"85.325"
"3200.0";"86.154"
"3210.0";"86.149"
"3220.0";"83.795"
"3230.0";"84.091"
"3240.0";"83.998"
"3250.0";"86.538"
"3260.0";"83.972"
"3270.0";"83.378"
"3280.0";"83.682"
"3290.0";"84.222"
"3300.0";"85.542"
"3310.0";"83.418"
"3320.0";"84.83"
"3330.0";"83.692"
"3340.0";"85.098"
"3350.0";"84.069"
"3360.0";"82.724"
"3370.0";"85.029"
"3380.0";"85.136"
"3390.0";"83.625"
"3400.0";"85.664"
"3410.0";"83.267"
"3420.0";"84.848"
"3430.0";"84.88"
"3440.0";"84.008"
"3450.0";"84.859"
"3460.0";"87.195"
"3470.0";"85.704"
"3480.0";"85.391"
"3490.0";"82.166"
"3500.0";"83.433"
"3510.0";"84.337"
"3520.0";"83.298"
"3530.0";"84.609"
"3540.0";"83.414"
"3550.0";"83.505"
"3560.0";"82.723"
"3570.0";"84.566"
"3580.0";"83.005"
"3590.0";"83.219"
"3600.0";"84.733"
"3610.0";"83.999"
"3620.0";"83.951"
"3630.0";"85.802"
"3640.0";"85.619"
"3650.0";"86.892"
"3660.0";"84.146"
"3670.0";"84.217"
"3680.0";"85.531"
"3690.0";"85.737"
"3700.0";"85.374"
"3710.0";"85.027"
"3720.0";"87.707"
"3730.0";"84.96"
"3740.0";"85.43"
"3750.0";"87.856"
"3760.0";"86.14"
"3770.0";"85.559"
"3780.0";"86.701"
"3790.0";"85.581"
"3800.0";"85.456"
"3810.0";"83.568"
"3820.0";"86.754"
"3830.0";"85.137"
"3840.0";"84.313"
"3850.0";"84.78"
"3860.0";"85.156"
"3870.0";"85.657"
"3880.0";"86.64"
"3890.0";"83.545"
"3900.0";"84.452"
"3910.0";"86.422"
"3920.0";"83.807"
"3930.0";"82.571"
"3940.0";"85.941"
"3950.0";"83.964"
"3960.0";"84.41"
"3970.0";"85.27"
"3980.0";"86.23"
"3990.0";"85.47"
"4000.0";"85.156"
"4010.0";"83.815"
"4020.0";"83.903"
"4030.0";"83.355"
"4040.0";"84.441"
"4050.0";"82.661"
"4060.0";"84.994"
"4070.0";"83.863"
"4080.0";"84.607"
"4090.0";"85.846"
"4100.0";"84.787"
"4110.0";"83.884"
"4120.0";"85.053"
"4130.0";"84.593"
"4140.0";"85.598"
"4150.0";"86.122"
"4160.0";"85.874"
"4170.0";"85.313"
"4180.0";"85.919"
"4190.0";"86.086"
"4200.0";"83.853"
"4210.0";"83.434"
"4220.0";"85.197"
"4230.0";"83.093"
"4240.0";"83.77"
"4250.0";"85.527"
"4260.0";"84.726"
"4270.0";"84.317"
"4280.0";"85.166"
"4290.0";"86.34"
"4300.0";"86.007"
"4310.0";"84.491"
"4320.0";"85.993"
"4330.0";"85.104"
"4340.0";"84.105"
"4350.0";"81.669"
"4360.0";"85.092"
"4370.0";"84.525"
"4380.0";"84.037"
"4390.0";"84.784"
"4400.0";"84.695"
"4410.0";"85.003"
"4420.0";"87.473"
"4430.0";"85.817"
"4440.0";"86.138"
"4450.0";"85.561"
"4460.0";"83.719"
"4470.0";"86.727"
"4480.0";"86.444"
"4490.0";"83.994"
"4500.0";"86.687"
"4510.0";"86.521"
"4520.0";"86.07"
"4530.0";"85.771"
"4540.0";"83.951"
"4550.0";"85.285"
"4560.0";"84.655"
"4570.0";"86.644"
"4580.0";"84.357"
"4590.0";"84.555"
"4600.0";"84.376"
"4610.0";"84.122"
"4620.0";"84.66"
"4630.0";"87.739"
"4640.0";"85.755"
"4650.0";"87.52"
"4660.0";"85.007"
"4670.0";"86.775"
"4680.0";"85.9"
"4690.0";"86.249"
"4700.0";"85.546"
"4710.0";"84.56"
"4720.0";"85.723"
"4730.0";"86.441"
"4740.0";"84.283"
"4750.0";"86.892"
"4760.0";"85.999"
"4770.0";"84.909"
"4780.0";"85.99"
"4790.0";"83.408"
"4800.0";"86.291"
"4810.0";"84.357"
"4820.0";"86.079"
"4830.0";"84.666"
"4840.0";"86.21"
"4850.0";"85.602"
"4860.0";"88.141"
"4870.0";"85.429"
"4880.0";"86.787"
"4890.0";"84.697"
"4900.0";"85.797"
"4910.0";"85.315"
"4920.0";"85.634"
"4930.0";"87.244"
"4940.0";"86.437"
"4950.0";"86.92"
"4960.0";"84.744"
"4970.0";"86.204"
"4980.0";"84.633"
"4990.0";"85.004"
"5000.0";"85.931"
"5010.0";"85.261"
"5020.0";"84.298"
"5030.0";"83.433"
"5040.0";"86.965"
"5050.0";"85.227"
"5060.0";"85.967"
"5070.0";"83.823"
"5080.0";"86.34"
"5090.0";"84.845"
"5100.0";"85.69"
"5110.0";"86.793"
"5120.0";"85.502"
"5130.0";"85.844"
"5140.0";"85.19"
"5150.0";"84.857"
"5160.0";"83.929"
"5170.0";"85.519"
"5180.0";"85.345"
"5190.0";"85.951"
"5200.0";"84.098"
"5210.0";"86.158"
"5220.0";"86.719"
"5230.0";"85.43"
"5240.0";"86.552"
"5250.0";"86.5"
"5260.0";"86.628"
"5270.0";"87.421"
"5280.0";"86.735"
"5290.0";"85.701"
"5300.0";"83.845"
"5310.0";"85.688"
"5320.0";"85.248"
"5330.0";"84.412"
"5340.0";"85.439"
"5350.0";"84.362"
"5360.0";"84.732"
"5370.0";"87.405"
"5380.0";"86.329"
"5390.0";"86.143"
"5400.0";"85.957"
"5410.0";"85.587"
"5420.0";"85.849"
"5430.0";"86.953"
"5440.0";"86.433"
"5450.0";"86.192"
"5460.0";"88.147"
"5470.0";"85.038"
"5480.0";"86.844"
"5490.0";"86.686"
"5500.0";"84.665"
"5510.0";"88.072"
"5520.0";"86.938"
"5530.0";"86.385"
"5540.0";"86.553"
"5550.0";"86.706"
"5560.0";"85.053"
"5570.0";"85.817"
"5580.0";"84.55"
"5590.0";"84.823"
"5600.0";"86.33"
"5610.0";"83.845"
"5620.0";"86.288"
"5630.0";"84.7"
"5640.0";"84.74"
"5650.0";"86.04"
"5660.0";"85.119"
"5670.0";"86.088"
"5680.0";"85.146"
"5690.0";"84.788"
"5700.0";"85.44"
"5710.0";"85.965"
"5720.0";"85.785"
"5730.0";"83.739"
"5740.0";"85.08"
"5750.0";"83.922"
"5760.0";"84.768"
"5770.0";"84.76"
"5780.0";"85.898"
"5790.0";"83.167"
"5800.0";"85.885"
"5810.0";"83.65"
"5820.0";"84.647"
"5830.0";"86.265"
"5840.0";"86.284"
"5850.0";"84.841"
"5860.0";"85.466"
"5870.0";"85.775"
"5880.0";"84.945"
"5890.0";"85.923"
"5900.0";"85.034"
"5910.0";"84.582"
"5920.0";"86.2"
"5930.0";"83.622"
"5940.0";"86.568"
"5950.0";"86.364"
"5960.0";"88.391"
"5970.0";"87.017"
"5980.0";"87.445"
"5990.0";"85.112"
"6000.0";"86.114"
"6010.0";"85.514"
"6020.0";"85.87"
"6030.0";"86.046"
"6040.0";"85.292"
"6050.0";"85.912"
"6060.0";"85.944"
"6070.0";"85.166"
"6080.0";"87.267"
"6090.0";"84.11"
"6100.0";"86.253"
"6110.0";"85.845"
"6120.0";"86.615"
"6130.0";"87.777"
"6140.0";"86.709"
"6150.0";"86.28"
"6160.0";"86.591"
"6170.0";"86.851"
"6180.0";"86.027"
"6190.0";"86.566"
"6200.0";"86.837"
"6210.0";"87.831"
"6220.0";"86.345"
"6230.0";"87.287"
"6240.0";"88.292"
"6250.0";"86.662"
"6260.0";"89.292"
"6270.0";"86.694"
"6280.0";"87.387"
"6290.0";"87.097"
"6300.0";"87.49"
"6310.0";"86.092"
"6320.0";"86.703"
"6330.0";"87.906"
"6340.0";"85.537"
"6350.0";"86.959"
"6360.0";"86.661"
"6370.0";"86.564"
"6380.0";"87.344"
"6390.0";"86.547"
"6400.0";"87.4"
"6410.0";"86.659"
"6420.0";"85.693"
"6430.0";"86.602"
"6440.0";"87.072"
"6450.0";"88.268"
"6460.0";"86.581"
"6470.0";"86.91"
"6480.0";"86.398"
"6490.0";"86.355"
"6500.0";"88.955"
"6510.0";"87.264"
"6520.0";"87.482"
"6530.0";"87.015"
"6540.0";"87.826"
"6550.0";"88.006"
"6560.0";"87.146"
"6570.0";"85.78"
"6580.0";"87.196"
"6590.0";"87.955"
"6600.0";"87.098"
"6610.0";"87.299"
"6620.0";"85.562"
"6630.0";"86.588"
"6640.0";"84.776"
"6650.0";"84.95"
"6660.0";"84.201"
"6670.0";"85.442"
"6680.0";"85.529"
"6690.0";"84.155"
"6700.0";"86.421"
"6710.0";"85.853"
"6720.0";"86.596"
"6730.0";"84.489"
"6740.0";"86.318"
"6750.0";"87.108"
"6760.0";"86.32"
"6770.0";"84.809"
"6780.0";"85.817"
"6790.0";"85.844"
"6800.0";"88.159"
"6810.0";"86.817"
"6820.0";"87.997"
"6830.0";"86.238"
"6840.0";"84.153"
"6850.0";"84.936"
"6860.0";"86.292"
"6870.0";"86.48"
"6880.0";"85.776"
"6890.0";"84.858"
"6900.0";"87.181"
"6910.0";"85.807"
"6920.0";"86.111"
"6930.0";"87.258"
"6940.0";"87.082"
"6950.0";"86.522"
"6960.0";"84.873"
"6970.0";"85.564"
"6980.0";"86.292"
"6990.0";"85.16"
"7000.0";"83.405"
"7010.0";"87.918"
"7020.0";"85.905"
"7030.0";"87.533"
"7040.0";"85.991"
"7050.0";"87.07"
"7060.0";"86.754"
"7070.0";"87.261"
"7080.0";"85.5"
"7090.0";"86.21"
"7100.0";"86.712"
"7110.0";"84.123"
"7120.0";"87.243"
"7130.0";"87.713"
"7140.0";"87.05"
"7150.0";"86.431"
"7160.0";"84.635"
"7170.0";"86.984"
"7180.0";"87.984"
"7190.0";"85.223"
"7200.0";"87.498"
"7210.0";"85.311"
"7220.0";"84.968"
"7230.0";"85.924"
"7240.0";"85.391"
"7250.0";"86.319"
"7260.0";"85.259"
"7270.0";"87.235"
"7280.0";"86.021"
"7290.0";"85.701"
"7300.0";"87.476"
"7310.0";"86.499"
"7320.0";"87.411"
"7330.0";"84.668"
"7340.0";"88.804"
"7350.0";"86.962"
"7360.0";"86.11"
"7370.0";"86.75"
"7380.0";"87.011"
"7390.0";"86.578"
"7400.0";"89.293"
"7410.0";"85.861"
"7420.0";"88.199"
"7430.0";"87.014"
"7440.0";"86.801"
"7450.0";"89.383"
"7460.0";"88.605"
"7470.0";"89.231"
"7480.0";"87.779"
"7490.0";"86.766"
"7500.0";"88.691"
"7510.0";"86.699"
"7520.0";"87.055"
"7530.0";"86.261"
"7540.0";"86.647"
"7550.0";"86.399"
"7560.0";"85.465"
"7570.0";"86.775"
"7580.0";"85.777"
"7590.0";"85.906"
"7600.0";"87.507"
"7610.0";"86.806"
"7620.0";"88.987"
"7630.0";"87.608"
"7640.0";"84.167"
"7650.0";"86.445"
"7660.0";"86.668"
"7670.0";"86.206"
"7680.0";"86.674"
"7690.0";"87.865"
"7700.0";"88.036"
"7710.0";"86.114"
"7720.0";"86.561"
"7730.0";"85.943"
"7740.0";"86.497"
"7750.0";"88.286"
"7760.0";"87.999"
"7770.0";"86.054"
"7780.0";"87.346"
"7790.0";"86.258"
"7800.0";"85.438"
"7810.0";"84.714"
"7820.0";"83.968"
"7830.0";"86.278"
"7840.0";"85.269"
"7850.0";"84.914"
"7860.0";"84.21"
"7870.0";"84.228"
"7880.0";"87.831"
"7890.0";"86.424"
"7900.0";"86.7"
"7910.0";"85.277"
"7920.0";"85.239"
"7930.0";"85.643"
"7940.0";"84.539"
"7950.0";"84.514"
"7960.0";"84.99"
"7970.0";"86.18"
"7980.0";"86.058"
"7990.0";"86.879"
"8000.0";"85.606"
"8010.0";"85.319"
"8020.0";"87.063"
"8030.0";"84.961"
"8040.0";"85.322"
"8050.0";"86.137"
"8060.0";"86.413"
"8070.0";"84.449"
"8080.0";"85.944"
"8090.0";"85.043"
"8100.0";"85.559"
"8110.0";"86.493"
"8120.0";"84.646"
"8130.0";"83.589"
"8140.0";"85.022"
"8150.0";"85.251"
"8160.0";"86.558"
"8170.0";"84.589"
"8180.0";"85.624"
"8190.0";"85.205"
"8200.0";"84.669"
"8210.0";"86.257"
"8220.0";"86.555"
"8230.0";"85.791"
"8240.0";"86.873"
"8250.0";"84.989"
"8260.0";"87.023"
"8270.0";"85.615"
"8280.0";"88.888"
"8290.0";"87.153"
"8300.0";"86.917"
"8310.0";"87.047"
"8320.0";"88.676"
"8330.0";"87.99"
"8340.0";"88.775"
"8350.0";"86.081"
"8360.0";"88.144"
"8370.0";"85.343"
"8380.0";"86.578"
"8390.0";"86.492"
"8400.0";"87.409"
"8410.0";"86.824"
"8420.0";"86.563"
"8430.0";"86.329"
"8440.0";"86.785"
"8450.0";"86.505"
"8460.0";"86.849"
"8470.0";"88.717"
"8480.0";"87.143"
"8490.0";"86.449"
"8500.0";"85.977"
"8510.0";"87.62"
"8520.0";"89.035"
"8530.0";"86.606"
"8540.0";"86.146"
"8550.0";"85.426"
"8560.0";"87.758"
"8570.0";"85.993"
"8580.0";"85.964"
"8590.0";"87.548"
"8600.0";"87.284"
"8610.0";"85.97"
"8620.0";"86.624"
"8630.0";"85.98"
"8640.0";"86.587"
"8650.0";"85.527"
"8660.0";"87.807"
"8670.0";"85.607"
"8680.0";"86.39"
"8690.0";"85.869"
"8700.0";"85.27"
"8710.0";"87.193"
"8720.0";"86.792"
"8730.0";"87.326"
"8740.0";"85.105"
"8750.0";"87.436"
"8760.0";"86.664"
"8770.0";"87.092"
"8780.0";"85.64"
"8790.0";"88.265"
"8800.0";"85.912"
"8810.0";"87.374"
"8820.0";"86.875"
"8830.0";"86.375"
"8840.0";"88.106"
"8850.0";"86.211"
"8860.0";"85.928"
"8870.0";"85.981"
"8880.0";"85.813"
"8890.0";"87.499"
"8900.0";"85.01"
"8910.0";"87.41"
"8920.0";"85.732"
"8930.0";"86.384"
"8940.0";"87.383"
"8950.0";"86.617"
"8960.0";"87.266"
"8970.0";"84.576"
"8980.0";"85.192"
"8990.0";"84.801"
"9000.0";"84.365"
"9010.0";"84.705"
"9020.0";"86.244"
"9030.0";"86.189"
"9040.0";"84.474"
"9050.0";"84.814"
"9060.0";"84.381"
"9070.0";"84.089"
"9080.0";"84.623"
"9090.0";"85.391"
"9100.0";"83.601"
"9110.0";"85.004"
"9120.0";"83.33"
"9130.0";"83.485"
"9140.0";"84.677"
"9150.0";"87.037"
"9160.0";"83.353"
"9170.0";"85.381"
"9180.0";"84.203"
"9190.0";"84.906"
"9200.0";"83.473"
"9210.0";"83.722"
"9220.0";"83.987"
"9230.0";"84.103"
"9240.0";"82.615"
"9250.0";"85.655"
"9260.0";"87.196"
"9270.0";"84.919"
"9280.0";"85.808"
"9290.0";"85.535"
"9300.0";"84.752"
"9310.0";"85.873"
"9320.0";"85.173"
"9330.0";"83.83"
"9340.0";"86.228"
"9350.0";"86.796"
"9360.0";"87.189"
