# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_center_rottrans_rmsd.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/NOLIGAND/2blg_noligand_1
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"5e-07"
"10.0";"0.0603457"
"20.0";"0.0735809"
"30.0";"0.0712126"
"40.0";"0.0737836"
"50.0";"0.0648032"
"60.0";"0.0733149"
"70.0";"0.0732723"
"80.0";"0.0765896"
"90.0";"0.0747316"
"100.0";"0.0856749"
"110.0";"0.0768261"
"120.0";"0.0753588"
"130.0";"0.0754731"
"140.0";"0.0710531"
"150.0";"0.0723197"
"160.0";"0.0796659"
"170.0";"0.0911669"
"180.0";"0.0948831"
"190.0";"0.0895406"
"200.0";"0.0915226"
"210.0";"0.0951396"
"220.0";"0.0838805"
"230.0";"0.0871727"
"240.0";"0.0841779"
"250.0";"0.0808657"
"260.0";"0.0799562"
"270.0";"0.0701976"
"280.0";"0.0755074"
"290.0";"0.0759292"
"300.0";"0.0729517"
"310.0";"0.0712117"
"320.0";"0.0790182"
"330.0";"0.073347"
"340.0";"0.0701037"
"350.0";"0.0682421"
"360.0";"0.0719383"
"370.0";"0.0713318"
"380.0";"0.0686803"
"390.0";"0.0811668"
"400.0";"0.0860935"
"410.0";"0.0829149"
"420.0";"0.0747735"
"430.0";"0.0814734"
"440.0";"0.0892079"
"450.0";"0.0861634"
"460.0";"0.0887055"
"470.0";"0.0776036"
"480.0";"0.0775245"
"490.0";"0.0881764"
"500.0";"0.0888327"
"510.0";"0.0890536"
"520.0";"0.0854664"
"530.0";"0.0903988"
"540.0";"0.0879948"
"550.0";"0.0891843"
"560.0";"0.0891517"
"570.0";"0.0849612"
"580.0";"0.0961013"
"590.0";"0.0883617"
"600.0";"0.1021592"
"610.0";"0.090148"
"620.0";"0.0943852"
"630.0";"0.0835265"
"640.0";"0.0920286"
"650.0";"0.0922557"
"660.0";"0.1071821"
"670.0";"0.0979619"
"680.0";"0.1007083"
"690.0";"0.0984414"
"700.0";"0.0950516"
"710.0";"0.0939827"
"720.0";"0.1053053"
"730.0";"0.1080832"
"740.0";"0.1034477"
"750.0";"0.0920672"
"760.0";"0.0987457"
"770.0";"0.0941298"
"780.0";"0.093471"
"790.0";"0.1024044"
"800.0";"0.0991769"
"810.0";"0.098469"
"820.0";"0.0994385"
"830.0";"0.097466"
"840.0";"0.0964546"
"850.0";"0.1017189"
"860.0";"0.094577"
"870.0";"0.0903031"
"880.0";"0.0894673"
"890.0";"0.0930924"
"900.0";"0.0889776"
"910.0";"0.0936099"
"920.0";"0.097735"
"930.0";"0.1004036"
"940.0";"0.1085741"
"950.0";"0.0997085"
"960.0";"0.0990296"
"970.0";"0.0924592"
"980.0";"0.089205"
"990.0";"0.0922397"
"1000.0";"0.090974"
"1010.0";"0.0847697"
"1020.0";"0.094773"
"1030.0";"0.0890789"
"1040.0";"0.0831231"
"1050.0";"0.0817566"
"1060.0";"0.0883832"
"1070.0";"0.0925711"
"1080.0";"0.0904183"
"1090.0";"0.0858284"
"1100.0";"0.0971163"
"1110.0";"0.1032832"
"1120.0";"0.1008935"
"1130.0";"0.0941131"
"1140.0";"0.0966936"
"1150.0";"0.1089565"
"1160.0";"0.1083222"
"1170.0";"0.1018867"
"1180.0";"0.1017847"
"1190.0";"0.1018711"
"1200.0";"0.1000002"
"1210.0";"0.0992683"
"1220.0";"0.098042"
"1230.0";"0.1031384"
"1240.0";"0.0951048"
"1250.0";"0.0956595"
"1260.0";"0.0950898"
"1270.0";"0.1052599"
"1280.0";"0.0992076"
"1290.0";"0.1046837"
"1300.0";"0.1036816"
"1310.0";"0.1039519"
"1320.0";"0.1115008"
"1330.0";"0.1082474"
"1340.0";"0.1103998"
"1350.0";"0.1186815"
"1360.0";"0.1136733"
"1370.0";"0.0991794"
"1380.0";"0.1011926"
"1390.0";"0.1039501"
"1400.0";"0.1020557"
"1410.0";"0.1031372"
"1420.0";"0.1056559"
"1430.0";"0.113011"
"1440.0";"0.1192599"
"1450.0";"0.0978243"
"1460.0";"0.1043805"
"1470.0";"0.1119322"
"1480.0";"0.1029187"
"1490.0";"0.1074081"
"1500.0";"0.1025688"
"1510.0";"0.1168195"
"1520.0";"0.1103098"
"1530.0";"0.1021529"
"1540.0";"0.1048596"
"1550.0";"0.1211394"
"1560.0";"0.1008995"
"1570.0";"0.0968735"
"1580.0";"0.0998338"
"1590.0";"0.0979299"
"1600.0";"0.1018165"
"1610.0";"0.1093838"
"1620.0";"0.1056942"
"1630.0";"0.1104644"
"1640.0";"0.1197258"
"1650.0";"0.1161034"
"1660.0";"0.1070386"
"1670.0";"0.1046776"
"1680.0";"0.0990894"
"1690.0";"0.1000069"
"1700.0";"0.1150989"
"1710.0";"0.1125019"
"1720.0";"0.1119975"
"1730.0";"0.1185578"
"1740.0";"0.1137515"
"1750.0";"0.1167168"
"1760.0";"0.0987333"
"1770.0";"0.0924202"
"1780.0";"0.0891912"
"1790.0";"0.0904752"
"1800.0";"0.0921183"
"1810.0";"0.1012058"
"1820.0";"0.0993849"
"1830.0";"0.1036877"
"1840.0";"0.1018769"
"1850.0";"0.1058964"
"1860.0";"0.1177509"
"1870.0";"0.1074321"
"1880.0";"0.1140595"
"1890.0";"0.1077058"
"1900.0";"0.1105529"
"1910.0";"0.1172033"
"1920.0";"0.1046705"
"1930.0";"0.0995105"
"1940.0";"0.1119696"
"1950.0";"0.1054246"
"1960.0";"0.1205819"
"1970.0";"0.1102647"
"1980.0";"0.1102363"
"1990.0";"0.1186318"
"2000.0";"0.1309784"
"2010.0";"0.1303374"
"2020.0";"0.1074608"
"2030.0";"0.1075923"
"2040.0";"0.1158704"
"2050.0";"0.1236146"
"2060.0";"0.1119733"
"2070.0";"0.1046992"
"2080.0";"0.1155128"
"2090.0";"0.1019259"
"2100.0";"0.1021732"
"2110.0";"0.1119457"
"2120.0";"0.1105672"
"2130.0";"0.1039806"
"2140.0";"0.10538"
"2150.0";"0.1024279"
"2160.0";"0.1147946"
"2170.0";"0.113096"
"2180.0";"0.1116984"
"2190.0";"0.115941"
"2200.0";"0.1195082"
"2210.0";"0.1143007"
"2220.0";"0.134711"
"2230.0";"0.1175718"
"2240.0";"0.1391373"
"2250.0";"0.1226059"
"2260.0";"0.1128113"
"2270.0";"0.1125389"
"2280.0";"0.1244593"
"2290.0";"0.1214982"
"2300.0";"0.1183636"
"2310.0";"0.1147208"
"2320.0";"0.1193722"
"2330.0";"0.1087177"
"2340.0";"0.1177712"
"2350.0";"0.1221406"
"2360.0";"0.1295921"
"2370.0";"0.128373"
"2380.0";"0.1264647"
"2390.0";"0.1103716"
"2400.0";"0.1156337"
"2410.0";"0.1254423"
"2420.0";"0.1297566"
"2430.0";"0.1270689"
"2440.0";"0.1292579"
"2450.0";"0.1187477"
"2460.0";"0.123864"
"2470.0";"0.1228016"
"2480.0";"0.1156707"
"2490.0";"0.1163031"
"2500.0";"0.122564"
"2510.0";"0.1111574"
"2520.0";"0.1170952"
"2530.0";"0.125479"
"2540.0";"0.126353"
"2550.0";"0.1304553"
"2560.0";"0.1135301"
"2570.0";"0.109416"
"2580.0";"0.1297631"
"2590.0";"0.1293623"
"2600.0";"0.1108929"
"2610.0";"0.1162021"
"2620.0";"0.1136445"
"2630.0";"0.1160486"
"2640.0";"0.1015926"
"2650.0";"0.1048378"
"2660.0";"0.1096792"
"2670.0";"0.1041135"
"2680.0";"0.1027988"
"2690.0";"0.1087484"
"2700.0";"0.0956807"
"2710.0";"0.0992864"
"2720.0";"0.1079211"
"2730.0";"0.0988162"
"2740.0";"0.1033663"
"2750.0";"0.0985803"
"2760.0";"0.0876614"
"2770.0";"0.0971552"
"2780.0";"0.0966546"
"2790.0";"0.0937337"
"2800.0";"0.1021609"
"2810.0";"0.0976462"
"2820.0";"0.1053816"
"2830.0";"0.1061089"
"2840.0";"0.1060997"
"2850.0";"0.1051518"
"2860.0";"0.1128157"
"2870.0";"0.1080713"
"2880.0";"0.1068907"
"2890.0";"0.109578"
"2900.0";"0.1049248"
"2910.0";"0.0959586"
"2920.0";"0.1011123"
"2930.0";"0.1044112"
"2940.0";"0.0925191"
"2950.0";"0.0988098"
"2960.0";"0.1079952"
"2970.0";"0.1068171"
"2980.0";"0.0991255"
"2990.0";"0.1087216"
"3000.0";"0.0985357"
"3010.0";"0.0940343"
"3020.0";"0.1090195"
"3030.0";"0.1060048"
"3040.0";"0.1143685"
"3050.0";"0.1138172"
"3060.0";"0.1132816"
"3070.0";"0.1160501"
"3080.0";"0.1154075"
"3090.0";"0.1014053"
"3100.0";"0.1053256"
"3110.0";"0.1104824"
"3120.0";"0.1022214"
"3130.0";"0.1081539"
"3140.0";"0.1189037"
"3150.0";"0.1138459"
"3160.0";"0.1087235"
"3170.0";"0.104939"
"3180.0";"0.1073602"
"3190.0";"0.1000359"
"3200.0";"0.1100899"
"3210.0";"0.1162103"
"3220.0";"0.1088342"
"3230.0";"0.110471"
"3240.0";"0.1152905"
"3250.0";"0.1112244"
"3260.0";"0.1203557"
"3270.0";"0.1114492"
"3280.0";"0.1215808"
"3290.0";"0.1228518"
"3300.0";"0.120816"
"3310.0";"0.1277028"
"3320.0";"0.1160084"
"3330.0";"0.1217469"
"3340.0";"0.1106041"
"3350.0";"0.098915"
"3360.0";"0.0956573"
"3370.0";"0.103582"
"3380.0";"0.1131699"
"3390.0";"0.1013143"
"3400.0";"0.0962183"
"3410.0";"0.0977042"
"3420.0";"0.0913093"
"3430.0";"0.1010097"
"3440.0";"0.0927226"
"3450.0";"0.1064906"
"3460.0";"0.1020328"
"3470.0";"0.0889334"
"3480.0";"0.1053015"
"3490.0";"0.103243"
"3500.0";"0.0963579"
"3510.0";"0.0903564"
"3520.0";"0.1019096"
"3530.0";"0.0894034"
"3540.0";"0.0974224"
"3550.0";"0.0950547"
"3560.0";"0.1010096"
"3570.0";"0.1037248"
"3580.0";"0.1003053"
"3590.0";"0.0948085"
"3600.0";"0.0960281"
"3610.0";"0.098442"
"3620.0";"0.098744"
"3630.0";"0.1010318"
"3640.0";"0.1061059"
"3650.0";"0.095757"
"3660.0";"0.106391"
"3670.0";"0.1012465"
"3680.0";"0.0905192"
"3690.0";"0.1098552"
"3700.0";"0.0846191"
"3710.0";"0.0815952"
"3720.0";"0.0962433"
"3730.0";"0.0835173"
"3740.0";"0.0887156"
"3750.0";"0.0889452"
"3760.0";"0.078224"
"3770.0";"0.0901444"
"3780.0";"0.0857185"
"3790.0";"0.087547"
"3800.0";"0.0842195"
"3810.0";"0.0801622"
"3820.0";"0.0861427"
"3830.0";"0.0941914"
"3840.0";"0.088356"
"3850.0";"0.091956"
"3860.0";"0.1080607"
"3870.0";"0.091584"
"3880.0";"0.0860258"
"3890.0";"0.0898561"
"3900.0";"0.0873"
"3910.0";"0.0859138"
"3920.0";"0.0880858"
"3930.0";"0.1036153"
"3940.0";"0.093316"
"3950.0";"0.0913992"
"3960.0";"0.089187"
"3970.0";"0.0867267"
"3980.0";"0.0984984"
"3990.0";"0.0872532"
"4000.0";"0.0943856"
"4010.0";"0.0886588"
"4020.0";"0.1017681"
"4030.0";"0.0898443"
"4040.0";"0.0908962"
"4050.0";"0.0975076"
"4060.0";"0.1127675"
"4070.0";"0.1085924"
"4080.0";"0.0934117"
"4090.0";"0.1020029"
"4100.0";"0.097293"
"4110.0";"0.0985421"
"4120.0";"0.1057108"
"4130.0";"0.1037784"
"4140.0";"0.1120351"
"4150.0";"0.1026554"
"4160.0";"0.1196663"
"4170.0";"0.1107903"
"4180.0";"0.10995"
"4190.0";"0.1263092"
"4200.0";"0.1224725"
"4210.0";"0.1124662"
"4220.0";"0.1130082"
"4230.0";"0.1156015"
"4240.0";"0.1106008"
"4250.0";"0.1078128"
