# This .csv file was created 12.10.2024 14:28
# extracted out of file prod_sasa.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/2BLG/NOLIGAND/2blg_noligand_3
# Original file was created by command :
"Solvent Accessible Surface"
"Time (ps)";"Total"
"0.0";"88.078"
"10.0";"86.356"
"20.0";"86.386"
"30.0";"85.727"
"40.0";"85.491"
"50.0";"85.682"
"60.0";"85.256"
"70.0";"85.419"
"80.0";"86.158"
"90.0";"85.94"
"100.0";"88.116"
"110.0";"86.485"
"120.0";"86.292"
"130.0";"85.662"
"140.0";"85.809"
"150.0";"86.06"
"160.0";"84.663"
"170.0";"86.589"
"180.0";"84.969"
"190.0";"86.035"
"200.0";"85.361"
"210.0";"86.049"
"220.0";"86.596"
"230.0";"87.056"
"240.0";"86.03"
"250.0";"86.263"
"260.0";"86.862"
"270.0";"88.024"
"280.0";"85.26"
"290.0";"85.737"
"300.0";"86.645"
"310.0";"87.751"
"320.0";"87.422"
"330.0";"86.334"
"340.0";"87.853"
"350.0";"86.336"
"360.0";"88.474"
"370.0";"88.567"
"380.0";"86.192"
"390.0";"87.608"
"400.0";"87.731"
"410.0";"87.803"
"420.0";"86.84"
"430.0";"86.162"
"440.0";"87.155"
"450.0";"86.895"
"460.0";"87.693"
"470.0";"85.156"
"480.0";"85.459"
"490.0";"86.381"
"500.0";"88.116"
"510.0";"88.566"
"520.0";"88.521"
"530.0";"89.156"
"540.0";"87.673"
"550.0";"87.389"
"560.0";"86.038"
"570.0";"86.495"
"580.0";"85.641"
"590.0";"86.379"
"600.0";"87.57"
"610.0";"88.463"
"620.0";"88.138"
"630.0";"87.922"
"640.0";"88.286"
"650.0";"87.485"
"660.0";"88.187"
"670.0";"86.723"
"680.0";"87.629"
"690.0";"87.345"
"700.0";"87.706"
"710.0";"87.817"
"720.0";"85.415"
"730.0";"88.825"
"740.0";"87.696"
"750.0";"88.248"
"760.0";"88.755"
"770.0";"87.082"
"780.0";"86.066"
"790.0";"87.407"
"800.0";"87.328"
"810.0";"87.174"
"820.0";"86.939"
"830.0";"86.215"
"840.0";"86.325"
"850.0";"85.883"
"860.0";"87.362"
"870.0";"88.616"
"880.0";"87.5"
"890.0";"88.181"
"900.0";"86.314"
"910.0";"87.273"
"920.0";"86.667"
"930.0";"87.314"
"940.0";"85.497"
"950.0";"86.308"
"960.0";"86.822"
"970.0";"85.497"
"980.0";"84.817"
"990.0";"87.476"
"1000.0";"86.726"
"1010.0";"86.763"
"1020.0";"86.28"
"1030.0";"87.686"
"1040.0";"85.073"
"1050.0";"84.467"
"1060.0";"86.554"
"1070.0";"86.606"
"1080.0";"88.687"
"1090.0";"85.268"
"1100.0";"86.144"
"1110.0";"85.487"
"1120.0";"85.57"
"1130.0";"87.935"
"1140.0";"87.846"
"1150.0";"85.272"
"1160.0";"86.865"
"1170.0";"85.476"
"1180.0";"85.727"
"1190.0";"85.127"
"1200.0";"86.407"
"1210.0";"87.639"
"1220.0";"88.043"
"1230.0";"85.748"
"1240.0";"85.269"
"1250.0";"85.576"
"1260.0";"86.069"
"1270.0";"86.721"
"1280.0";"87.24"
"1290.0";"85.836"
"1300.0";"84.566"
"1310.0";"84.299"
"1320.0";"85.43"
"1330.0";"84.92"
"1340.0";"86.066"
"1350.0";"86.132"
"1360.0";"86.746"
"1370.0";"85.603"
"1380.0";"87.167"
"1390.0";"85.722"
"1400.0";"85.207"
"1410.0";"85.447"
"1420.0";"83.842"
"1430.0";"84.919"
"1440.0";"84.999"
"1450.0";"86.177"
"1460.0";"85.695"
"1470.0";"86.159"
"1480.0";"85.249"
"1490.0";"86.623"
"1500.0";"86.254"
"1510.0";"87.386"
"1520.0";"86.951"
"1530.0";"85.926"
"1540.0";"83.92"
"1550.0";"87.489"
"1560.0";"86.408"
"1570.0";"87.517"
"1580.0";"87.125"
"1590.0";"85.528"
"1600.0";"86.39"
"1610.0";"84.014"
"1620.0";"86.848"
"1630.0";"87.752"
"1640.0";"87.628"
"1650.0";"86.755"
"1660.0";"86.44"
"1670.0";"87.644"
"1680.0";"86.244"
"1690.0";"85.899"
"1700.0";"85.894"
"1710.0";"88.694"
"1720.0";"87.443"
"1730.0";"86.689"
"1740.0";"86.41"
"1750.0";"87.202"
"1760.0";"87.469"
"1770.0";"86.36"
"1780.0";"84.281"
"1790.0";"86.509"
"1800.0";"86.822"
"1810.0";"86.56"
"1820.0";"85.366"
"1830.0";"87.794"
"1840.0";"85.7"
"1850.0";"85.451"
"1860.0";"86.434"
"1870.0";"86.191"
"1880.0";"83.84"
"1890.0";"84.688"
"1900.0";"84.725"
"1910.0";"84.692"
"1920.0";"85.803"
"1930.0";"85.263"
"1940.0";"86.507"
"1950.0";"83.452"
"1960.0";"84.661"
"1970.0";"85.047"
"1980.0";"86.55"
"1990.0";"86.264"
"2000.0";"85.444"
"2010.0";"85.54"
"2020.0";"84.467"
"2030.0";"84.113"
"2040.0";"85.358"
"2050.0";"86.565"
"2060.0";"85.638"
"2070.0";"85.106"
"2080.0";"87.268"
"2090.0";"87.808"
"2100.0";"86.826"
"2110.0";"84.636"
"2120.0";"86.007"
"2130.0";"85.852"
"2140.0";"84.833"
"2150.0";"87.153"
"2160.0";"86.582"
"2170.0";"86.11"
"2180.0";"84.015"
"2190.0";"85.832"
"2200.0";"86.148"
"2210.0";"85.391"
"2220.0";"83.544"
"2230.0";"84.373"
"2240.0";"85.72"
"2250.0";"83.861"
"2260.0";"83.521"
"2270.0";"85.627"
"2280.0";"84.819"
"2290.0";"86.027"
"2300.0";"84.659"
"2310.0";"84.245"
"2320.0";"84.367"
"2330.0";"83.484"
"2340.0";"86.764"
"2350.0";"84.978"
"2360.0";"84.41"
"2370.0";"85.167"
"2380.0";"84.491"
"2390.0";"84.872"
"2400.0";"86.461"
"2410.0";"84.93"
"2420.0";"87.008"
"2430.0";"85.92"
"2440.0";"84.699"
"2450.0";"84.444"
"2460.0";"84.725"
"2470.0";"83.998"
"2480.0";"85.832"
"2490.0";"84.351"
"2500.0";"84.057"
"2510.0";"85.685"
"2520.0";"85.728"
"2530.0";"83.099"
"2540.0";"85.518"
"2550.0";"83.84"
"2560.0";"87.905"
"2570.0";"86.356"
"2580.0";"85.766"
"2590.0";"86.325"
"2600.0";"88.069"
"2610.0";"85.019"
"2620.0";"86.562"
"2630.0";"86.166"
"2640.0";"85.044"
"2650.0";"84.974"
"2660.0";"86.163"
"2670.0";"84.344"
"2680.0";"85.004"
"2690.0";"84.755"
"2700.0";"85.169"
"2710.0";"82.53"
