Sample	pH	Round	Ligand	Measure
CA	6	1	1	1
CA	6	1	2	0
CA	6	1	3	0
CA	6	1	4	0
CA	6	1	5	0
CA	6	1	6	0
CA	6	1	7	0
CA	6	1	8	0
CA	6	1	9	0
CA	6	1	10	0
CA	6	2	1	1
CA	6	2	2	0
CA	6	2	3	0
CA	6	2	4	0
CA	6	2	5	0
CA	6	2	6	0
CA	6	2	7	0
CA	6	2	8	0
CA	6	2	9	0
CA	6	2	10	0
CA	6	3	1	0
CA	6	3	2	0
CA	6	3	3	2
CA	6	3	4	0
CA	6	3	5	0
CA	6	3	6	0
CA	6	3	7	0
CA	6	3	8	0
CA	6	3	9	0
CA	6	3	10	1
CAB	6	1	1	0
CAB	6	1	2	0
CAB	6	1	3	0
CAB	6	1	4	0
CAB	6	1	5	0
CAB	6	1	6	0
CAB	6	1	7	0
CAB	6	1	8	7
CAB	6	1	9	0
CAB	6	1	10	0
CAB	6	2	1	0
CAB	6	2	2	0
CAB	6	2	3	0
CAB	6	2	4	0
CAB	6	2	5	0
CAB	6	2	6	0
CAB	6	2	7	0
CAB	6	2	8	0
CAB	6	2	9	2
CAB	6	2	10	0
CAB	6	3	1	0
CAB	6	3	2	0
CAB	6	3	3	0
CAB	6	3	4	3
CAB	6	3	5	0
CAB	6	3	6	0
CAB	6	3	7	0
CAB	6	3	8	0
CAB	6	3	9	0
CAB	6	3	10	0
CAD	6	1	1	0
CAD	6	1	2	0
CAD	6	1	3	0
CAD	6	1	4	0
CAD	6	1	5	0
CAD	6	1	6	0
CAD	6	1	7	0
CAD	6	1	8	0
CAD	6	1	9	0
CAD	6	1	10	0
CAD	6	2	1	0
CAD	6	2	2	0
CAD	6	2	3	0
CAD	6	2	4	0
CAD	6	2	5	0
CAD	6	2	6	0
CAD	6	2	7	0
CAD	6	2	8	0
CAD	6	2	9	0
CAD	6	2	10	0
CAD	6	3	1	0
CAD	6	3	2	0
CAD	6	3	3	0
CAD	6	3	4	2
CAD	6	3	5	0
CAD	6	3	6	0
CAD	6	3	7	0
CAD	6	3	8	0
CAD	6	3	9	1
CAD	6	3	10	0
CLA	6	1	1	1
CLA	6	1	2	0
CLA	6	1	3	1
CLA	6	1	4	2
CLA	6	1	5	0
CLA	6	1	6	0
CLA	6	1	7	0
CLA	6	1	8	0
CLA	6	1	9	0
CLA	6	1	10	0
CLA	6	2	1	0
CLA	6	2	2	1
CLA	6	2	3	1
CLA	6	2	4	0
CLA	6	2	5	0
CLA	6	2	6	0
CLA	6	2	7	0
CLA	6	2	8	3
CLA	6	2	9	0
CLA	6	2	10	0
CLA	6	3	1	1
CLA	6	3	2	0
CLA	6	3	3	0
CLA	6	3	4	2
CLA	6	3	5	0
CLA	6	3	6	0
CLA	6	3	7	0
CLA	6	3	8	0
CLA	6	3	9	0
CLA	6	3	10	0
CLAB	6	1	1	1
CLAB	6	1	2	0
CLAB	6	1	3	0
CLAB	6	1	4	0
CLAB	6	1	5	0
CLAB	6	1	6	0
CLAB	6	1	7	0
CLAB	6	1	8	0
CLAB	6	1	9	0
CLAB	6	1	10	0
CLAB	6	2	1	0
CLAB	6	2	2	1
CLAB	6	2	3	0
CLAB	6	2	4	0
CLAB	6	2	5	0
CLAB	6	2	6	0
CLAB	6	2	7	0
CLAB	6	2	8	0
CLAB	6	2	9	0
CLAB	6	2	10	0
CLAB	6	3	1	1
CLAB	6	3	2	0
CLAB	6	3	3	0
CLAB	6	3	4	0
CLAB	6	3	5	0
CLAB	6	3	6	0
CLAB	6	3	7	0
CLAB	6	3	8	0
CLAB	6	3	9	0
CLAB	6	3	10	0
CLAD	6	1	1	0
CLAD	6	1	2	1
CLAD	6	1	3	0
CLAD	6	1	4	0
CLAD	6	1	5	0
CLAD	6	1	6	0
CLAD	6	1	7	0
CLAD	6	1	8	0
CLAD	6	1	9	0
CLAD	6	1	10	0
CLAD	6	2	1	0
CLAD	6	2	2	0
CLAD	6	2	3	0
CLAD	6	2	4	0
CLAD	6	2	5	0
CLAD	6	2	6	0
CLAD	6	2	7	1
CLAD	6	2	8	0
CLAD	6	2	9	0
CLAD	6	2	10	0
CLAD	6	3	1	1
CLAD	6	3	2	0
CLAD	6	3	3	0
CLAD	6	3	4	0
CLAD	6	3	5	0
CLAD	6	3	6	0
CLAD	6	3	7	0
CLAD	6	3	8	0
CLAD	6	3	9	0
CLAD	6	3	10	2
