# Kontakt-Daten
Sample,Round,Ligand,Measure
6FXB_CLAB,Rep.1-mol1,CLAB,0
6FXB_CLAB,Rep.1-mol2,CLAB,0
6FXB_CLAB,Rep.1-mol3,CLAB,0
6FXB_CLAB,Rep.1-mol4,CLAB,0
6FXB_CLAB,Rep.1-mol5,CLAB,0
6FXB_CLAB,Rep.1-mol6,CLAB,0
6FXB_CLAB,Rep.1-mol7,CLAB,0
6FXB_CLAB,Rep.1-mol8,CLAB,0
6FXB_CLAB,Rep.1-mol9,CLAB,0
6FXB_CLAB,Rep.1-mol10,CLAB,0
6FXB_CLAB,Rep.1-mol11,CLAB,0
6FXB_CLAB,Rep.1-mol12,CLAB,0
6FXB_CLAB,Rep.1-mol13,CLAB,0
6FXB_CLAB,Rep.1-mol14,CLAB,0
6FXB_CLAB,Rep.1-mol15,CLAB,0
6FXB_CLAB,Rep.1-mol16,CLAB,0
6FXB_CLAB,Rep.1-mol17,CLAB,0
6FXB_CLAB,Rep.1-mol18,CLAB,0
6FXB_CLAB,Rep.1-mol19,CLAB,0
6FXB_CLAB,Rep.1-mol20,CLAB,0
6FXB_CLAB,Rep.2-mol1,CLAB,0
6FXB_CLAB,Rep.2-mol2,CLAB,0
6FXB_CLAB,Rep.2-mol3,CLAB,0
6FXB_CLAB,Rep.2-mol4,CLAB,0
6FXB_CLAB,Rep.2-mol5,CLAB,0
6FXB_CLAB,Rep.2-mol6,CLAB,0
6FXB_CLAB,Rep.2-mol7,CLAB,0
6FXB_CLAB,Rep.2-mol8,CLAB,0
6FXB_CLAB,Rep.2-mol9,CLAB,0
6FXB_CLAB,Rep.2-mol10,CLAB,0
6FXB_CLAB,Rep.2-mol11,CLAB,0
6FXB_CLAB,Rep.2-mol12,CLAB,0
6FXB_CLAB,Rep.2-mol13,CLAB,0
6FXB_CLAB,Rep.2-mol14,CLAB,0
6FXB_CLAB,Rep.2-mol15,CLAB,0
6FXB_CLAB,Rep.2-mol16,CLAB,3
6FXB_CLAB,Rep.2-mol17,CLAB,0
6FXB_CLAB,Rep.2-mol18,CLAB,0
6FXB_CLAB,Rep.2-mol19,CLAB,0
6FXB_CLAB,Rep.2-mol20,CLAB,0
6FXB_CLAB,Rep.3-mol1,CLAB,0
6FXB_CLAB,Rep.3-mol2,CLAB,0
6FXB_CLAB,Rep.3-mol3,CLAB,0
6FXB_CLAB,Rep.3-mol4,CLAB,0
6FXB_CLAB,Rep.3-mol5,CLAB,0
6FXB_CLAB,Rep.3-mol6,CLAB,0
6FXB_CLAB,Rep.3-mol7,CLAB,0
6FXB_CLAB,Rep.3-mol8,CLAB,0
6FXB_CLAB,Rep.3-mol9,CLAB,0
6FXB_CLAB,Rep.3-mol10,CLAB,0
6FXB_CLAB,Rep.3-mol11,CLAB,0
6FXB_CLAB,Rep.3-mol12,CLAB,0
6FXB_CLAB,Rep.3-mol13,CLAB,0
6FXB_CLAB,Rep.3-mol14,CLAB,0
6FXB_CLAB,Rep.3-mol15,CLAB,0
6FXB_CLAB,Rep.3-mol16,CLAB,0
6FXB_CLAB,Rep.3-mol17,CLAB,0
6FXB_CLAB,Rep.3-mol18,CLAB,0
6FXB_CLAB,Rep.3-mol19,CLAB,0
6FXB_CLAB,Rep.3-mol20,CLAB,0
