Time (ps);Coul-SR:Protein-MOL;LJ-SR:Protein-MOL
0.0;-0.0038538017429193897;-0.012796448801742919
10.0;-0.005788010321172048;-0.012900053342595922
20.0;-0.0034685019723988604;-0.009389252292835899
30.0;-0.00333591262069523;-0.011632802367584977
40.0;-0.005591653741275361;-0.01245075582268031
50.0;-0.007053716380959525;-0.012295939145004188
60.0;0.0003182773802629203;-0.010837312010760925
70.0;-0.003583921450675663;-0.007949673796426644
80.0;-0.001935777058279371;-0.009295609004008634
90.0;-0.0004083304306720076;-0.008894847050481427
100.0;-0.004828522815918625;-0.011169750250302512
110.0;-0.004475213385596014;-0.012343040393679634
120.0;-0.005708730114635998;-0.01400273132457976
130.0;-0.005331527958148538;-0.014502712810271743
140.0;-0.0020692059415345003;-0.014755287890717759
150.0;-0.010181575295793843;-0.018232803072539182
160.0;-0.008526017339590432;-0.016426216188104574
170.0;-0.011779400805951641;-0.019465446993180407
180.0;-0.003182245545189792;-0.01720226010661928
190.0;-0.009304566991313504;-0.019162874315296004
200.0;-0.022870163626104948;-0.015480906526236602
210.0;-0.03130832082262856;-0.0157013527264961
220.0;-0.03584621054627026;-0.013715724621654924
230.0;-0.03452919009633408;-0.02151007086501398
240.0;-0.041574876683832016;-0.017110355048465007
250.0;-0.03042871771119554;-0.024417963747660688
260.0;-0.034087937820612466;-0.02059018809264729
270.0;-0.0303845151179827;-0.01983218575552822
280.0;-0.032383841940042776;-0.0232063071400878
290.0;-0.023947294863283168;-0.01577198811104554
300.0;-0.018129324933547956;-0.014019626018366052
310.0;-0.02921437871755092;-0.016502782157011762
320.0;-0.027050313371780276;-0.01901096425935424
330.0;-0.025709659327355954;-0.017528539767210177
340.0;-0.029627182912296685;-0.018100507552455406
350.0;-0.044673818344203836;-0.019652326203040388
360.0;-0.043939829627436026;-0.01813417217458147
370.0;-0.05801833143275035;-0.01569190537575765
380.0;-0.058334730477172594;-0.01711694259554389
390.0;-0.05824157186100776;-0.01909625244371571
400.0;-0.05945613345676446;-0.019429050713822397
410.0;-0.06780832808207092;-0.014908571635621204
420.0;-0.0674063699509908;-0.015702338225941213
430.0;-0.06920471506787387;-0.012418528750643577
440.0;-0.048072077738382624;-0.019668619241601286
450.0;-0.02770988280610768;-0.017464663712692438
460.0;-0.025005932860520098;-0.01537653427895981
470.0;-0.026426744837024136;-0.01761062857676039
