# This .csv file was created 12.10.2024 14:35
# extracted out of file mindist_major_allergenic_epitope_r_203-222_MOL_2.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CA/6fxb_ca_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_203-222-MOL"
"0.0";"0.648465"
"10.0";"0.4237701"
"20.0";"0.4852417"
"30.0";"0.5861413"
"40.0";"0.6004974"
"50.0";"0.801598"
"60.0";"0.6577705"
"70.0";"0.5423138"
"80.0";"0.6550399"
"90.0";"1.01014"
"100.0";"1.222793"
"110.0";"1.110713"
"120.0";"1.24812"
"130.0";"1.167874"
"140.0";"0.9851869"
"150.0";"1.403784"
"160.0";"1.166304"
"170.0";"1.508423"
"180.0";"1.388798"
"190.0";"1.270671"
"200.0";"1.295973"
"210.0";"1.027162"
"220.0";"1.169289"
"230.0";"1.232386"
"240.0";"1.189944"
"250.0";"1.017637"
"260.0";"1.160028"
"270.0";"0.9386396"
"280.0";"1.08382"
"290.0";"1.026202"
"300.0";"1.309647"
"310.0";"1.364822"
"320.0";"1.471839"
"330.0";"1.396299"
"340.0";"1.295569"
"350.0";"1.319137"
"360.0";"1.606228"
"370.0";"1.498305"
"380.0";"1.546873"
"390.0";"1.638544"
"400.0";"1.269018"
"410.0";"1.266027"
"420.0";"0.8482848"
"430.0";"1.02053"
"440.0";"1.180711"
"450.0";"1.258005"
"460.0";"1.105102"
"470.0";"0.9351869"
"480.0";"1.310405"
"490.0";"1.571261"
"500.0";"1.511169"
"510.0";"1.520028"
"520.0";"1.75603"
"530.0";"1.662424"
"540.0";"1.538875"
"550.0";"1.19846"
"560.0";"1.565238"
"570.0";"1.385747"
"580.0";"1.214534"
"590.0";"1.081701"
"600.0";"1.379436"
"610.0";"1.463663"
"620.0";"1.370396"
"630.0";"1.287817"
"640.0";"1.731096"
"650.0";"1.735171"
"660.0";"2.021233"
"670.0";"2.078408"
"680.0";"2.127417"
"690.0";"2.145877"
"700.0";"2.062296"
"710.0";"1.985263"
"720.0";"2.061536"
"730.0";"2.273236"
"740.0";"2.377792"
"750.0";"2.377173"
"760.0";"2.367367"
"770.0";"2.309177"
"780.0";"2.305959"
