# This .csv file was created 12.10.2024 14:35
# extracted out of file prod_center_rottrans_rmsd.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CA/6fxb_ca_1
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"6e-07"
"10.0";"0.0559783"
"20.0";"0.0648152"
"30.0";"0.0686164"
"40.0";"0.065194"
"50.0";"0.0677675"
"60.0";"0.083085"
"70.0";"0.0851979"
"80.0";"0.0874389"
"90.0";"0.0891684"
"100.0";"0.0877921"
"110.0";"0.0796069"
"120.0";"0.0821898"
"130.0";"0.0812435"
"140.0";"0.0749479"
"150.0";"0.0813694"
"160.0";"0.0765684"
"170.0";"0.0810167"
"180.0";"0.0791268"
"190.0";"0.0844419"
"200.0";"0.0976742"
"210.0";"0.0818107"
"220.0";"0.1047004"
"230.0";"0.0948389"
"240.0";"0.0942064"
"250.0";"0.0930853"
"260.0";"0.0968995"
"270.0";"0.1094095"
"280.0";"0.1160472"
"290.0";"0.1176374"
"300.0";"0.096856"
"310.0";"0.1266009"
"320.0";"0.1308308"
"330.0";"0.1273623"
"340.0";"0.1337328"
"350.0";"0.130292"
"360.0";"0.1315796"
"370.0";"0.1436822"
"380.0";"0.1313104"
"390.0";"0.1263027"
"400.0";"0.1247164"
"410.0";"0.114962"
"420.0";"0.1267034"
"430.0";"0.0981269"
"440.0";"0.1218831"
"450.0";"0.1111074"
"460.0";"0.118227"
"470.0";"0.1101845"
"480.0";"0.1184495"
"490.0";"0.1037449"
"500.0";"0.0981396"
"510.0";"0.0999239"
"520.0";"0.1169308"
"530.0";"0.119422"
"540.0";"0.1111699"
"550.0";"0.1131848"
"560.0";"0.1111039"
"570.0";"0.1027084"
"580.0";"0.1012771"
"590.0";"0.1150666"
"600.0";"0.1009171"
"610.0";"0.109303"
"620.0";"0.1094997"
"630.0";"0.1090375"
"640.0";"0.1074944"
"650.0";"0.1165949"
"660.0";"0.1183367"
"670.0";"0.1040842"
"680.0";"0.0874797"
"690.0";"0.0997412"
"700.0";"0.1013158"
"710.0";"0.1119281"
"720.0";"0.1124152"
"730.0";"0.1213096"
"740.0";"0.1181706"
"750.0";"0.1013799"
"760.0";"0.1035232"
"770.0";"0.1116947"
"780.0";"0.0981031"
"790.0";"0.1019901"
