# This .csv file was created 12.10.2024 14:35
# extracted out of file prod_mindist_mol10_inner_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CA/6fxb_ca_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL10-inner_dimer_area"
"0.0";"3.200515"
"10.0";"3.232519"
"20.0";"3.364188"
"30.0";"3.280141"
"40.0";"3.60982"
"50.0";"3.875789"
"60.0";"3.572624"
"70.0";"3.735289"
"80.0";"3.983067"
"90.0";"3.816264"
"100.0";"3.808906"
"110.0";"3.802664"
"120.0";"3.579609"
"130.0";"3.569796"
"140.0";"3.693816"
"150.0";"3.938365"
"160.0";"3.692107"
"170.0";"3.850011"
"180.0";"3.835991"
"190.0";"3.581813"
"200.0";"3.575291"
"210.0";"3.811283"
"220.0";"3.833246"
"230.0";"3.781075"
"240.0";"3.763603"
"250.0";"3.881271"
"260.0";"4.068358"
"270.0";"3.892749"
"280.0";"3.62273"
"290.0";"3.714061"
"300.0";"3.65269"
"310.0";"3.34138"
"320.0";"3.447807"
"330.0";"3.519311"
"340.0";"3.415493"
"350.0";"3.25468"
"360.0";"3.33972"
"370.0";"3.44399"
"380.0";"3.559686"
"390.0";"3.422918"
"400.0";"3.380666"
"410.0";"3.396607"
"420.0";"3.478133"
"430.0";"3.659898"
"440.0";"3.409386"
"450.0";"2.949401"
"460.0";"3.044435"
"470.0";"3.002812"
"480.0";"3.14431"
"490.0";"2.937447"
"500.0";"2.972612"
"510.0";"3.158058"
"520.0";"3.176819"
"530.0";"3.514735"
"540.0";"3.375816"
"550.0";"3.34522"
"560.0";"3.330315"
"570.0";"3.148696"
"580.0";"3.244277"
"590.0";"3.108177"
"600.0";"3.26632"
"610.0";"3.12951"
"620.0";"3.01596"
"630.0";"3.308255"
"640.0";"3.355628"
"650.0";"3.299088"
"660.0";"3.142813"
"670.0";"2.936757"
"680.0";"3.046064"
"690.0";"3.032879"
"700.0";"3.133106"
"710.0";"3.194843"
"720.0";"3.218219"
"730.0";"3.29081"
"740.0";"3.161194"
"750.0";"3.128049"
"760.0";"3.427503"
"770.0";"3.423919"
"780.0";"3.713524"
"790.0";"3.730061"
"800.0";"3.889051"
"810.0";"3.990139"
"820.0";"3.832414"
"830.0";"3.499737"
"840.0";"3.455728"
"850.0";"3.24968"
"860.0";"3.168037"
"870.0";"3.045851"
"880.0";"3.2426"
"890.0";"3.403511"
"900.0";"3.945005"
"910.0";"3.947893"
"920.0";"4.075437"
"930.0";"4.037284"
"940.0";"3.544846"
"950.0";"4.000972"
"960.0";"4.174675"
"970.0";"4.146512"
"980.0";"3.987576"
"990.0";"4.044111"
"1000.0";"4.263295"
"1010.0";"4.264694"
"1020.0";"4.202847"
"1030.0";"4.088476"
"1040.0";"4.158871"
"1050.0";"4.228547"
"1060.0";"4.59483"
"1070.0";"4.557252"
"1080.0";"4.447739"
"1090.0";"4.334539"
"1100.0";"4.514499"
"1110.0";"4.512315"
"1120.0";"4.538804"
"1130.0";"4.464988"
"1140.0";"4.5219"
"1150.0";"4.23454"
"1160.0";"4.431639"
"1170.0";"4.450428"
"1180.0";"4.322335"
"1190.0";"4.366256"
"1200.0";"4.337211"
"1210.0";"4.379821"
"1220.0";"4.586518"
"1230.0";"4.565174"
"1240.0";"4.734627"
"1250.0";"4.737223"
"1260.0";"4.330682"
"1270.0";"3.992218"
"1280.0";"3.945009"
"1290.0";"4.142056"
"1300.0";"4.150891"
"1310.0";"4.18872"
"1320.0";"4.283303"
"1330.0";"3.763334"
"1340.0";"3.877488"
"1350.0";"3.847242"
"1360.0";"3.551351"
"1370.0";"3.582227"
"1380.0";"3.918549"
"1390.0";"3.719998"
"1400.0";"3.432624"
"1410.0";"3.435884"
"1420.0";"3.460494"
"1430.0";"3.523092"
"1440.0";"3.263239"
"1450.0";"3.417147"
"1460.0";"3.854342"
"1470.0";"3.735716"
"1480.0";"3.944859"
"1490.0";"3.377321"
"1500.0";"3.566466"
"1510.0";"3.574901"
"1520.0";"3.641354"
"1530.0";"3.894253"
"1540.0";"3.78686"
"1550.0";"3.661253"
"1560.0";"3.45823"
"1570.0";"3.219532"
"1580.0";"3.406683"
"1590.0";"3.355554"
"1600.0";"3.065073"
"1610.0";"2.920761"
"1620.0";"3.081761"
"1630.0";"2.869666"
"1640.0";"2.942392"
"1650.0";"2.93983"
"1660.0";"3.029859"
"1670.0";"3.302394"
"1680.0";"3.12632"
"1690.0";"2.85118"
"1700.0";"2.997087"
"1710.0";"2.921978"
"1720.0";"2.866984"
"1730.0";"2.759822"
"1740.0";"2.523432"
"1750.0";"2.318006"
"1760.0";"2.360844"
"1770.0";"2.727037"
"1780.0";"2.640855"
"1790.0";"3.156277"
"1800.0";"3.105596"
"1810.0";"2.84173"
"1820.0";"3.167153"
"1830.0";"2.853575"
"1840.0";"3.270475"
"1850.0";"3.191686"
"1860.0";"3.265245"
"1870.0";"3.069522"
"1880.0";"2.914335"
"1890.0";"2.918151"
"1900.0";"2.906267"
"1910.0";"2.79184"
"1920.0";"2.913704"
"1930.0";"2.97575"
"1940.0";"3.011625"
"1950.0";"2.946321"
"1960.0";"2.752973"
"1970.0";"2.792421"
"1980.0";"2.819459"
"1990.0";"3.009753"
"2000.0";"3.013448"
"2010.0";"3.099773"
"2020.0";"3.000318"
"2030.0";"2.847915"
"2040.0";"3.036855"
"2050.0";"3.226805"
"2060.0";"2.860653"
"2070.0";"2.811034"
"2080.0";"2.70678"
"2090.0";"2.895069"
"2100.0";"2.877678"
"2110.0";"2.855918"
"2120.0";"2.787133"
"2130.0";"3.052001"
"2140.0";"2.642951"
"2150.0";"2.972424"
"2160.0";"3.083456"
"2170.0";"3.189596"
"2180.0";"3.185964"
"2190.0";"3.214889"
"2200.0";"3.051596"
"2210.0";"2.926648"
"2220.0";"3.033103"
"2230.0";"2.980739"
"2240.0";"2.837758"
"2250.0";"2.971802"
"2260.0";"3.110034"
"2270.0";"3.116817"
"2280.0";"3.418659"
"2290.0";"3.43621"
"2300.0";"3.494545"
"2310.0";"3.301251"
"2320.0";"3.232789"
"2330.0";"3.602591"
"2340.0";"3.514837"
"2350.0";"3.612138"
"2360.0";"3.999666"
"2370.0";"3.748479"
"2380.0";"3.69296"
"2390.0";"3.636762"
"2400.0";"3.49537"
"2410.0";"2.988521"
"2420.0";"3.244228"
"2430.0";"3.185613"
"2440.0";"2.740368"
"2450.0";"2.797086"
"2460.0";"3.230417"
"2470.0";"2.999289"
"2480.0";"3.284075"
"2490.0";"3.297766"
"2500.0";"3.687562"
"2510.0";"3.608086"
"2520.0";"3.900982"
"2530.0";"4.23104"
"2540.0";"4.363491"
"2550.0";"4.646959"
"2560.0";"4.795957"
"2570.0";"4.580318"
"2580.0";"4.515188"
"2590.0";"4.557481"
"2600.0";"4.545586"
"2610.0";"4.495838"
"2620.0";"4.554963"
"2630.0";"4.32175"
"2640.0";"4.423406"
"2650.0";"4.31132"
"2660.0";"4.543566"
"2670.0";"4.633281"
"2680.0";"4.596225"
"2690.0";"4.612008"
"2700.0";"4.548425"
"2710.0";"4.438299"
"2720.0";"4.744014"
"2730.0";"4.56078"
"2740.0";"4.310397"
"2750.0";"4.510119"
"2760.0";"4.74581"
"2770.0";"4.838784"
"2780.0";"4.953978"
"2790.0";"4.982199"
"2800.0";"4.944938"
"2810.0";"5.091305"
"2820.0";"4.939572"
"2830.0";"5.257087"
"2840.0";"5.243471"
"2850.0";"4.938309"
"2860.0";"4.80221"
"2870.0";"4.847554"
"2880.0";"4.728475"
"2890.0";"4.786734"
"2900.0";"4.715989"
"2910.0";"4.969831"
