# This .csv file was created 12.10.2024 14:35
# extracted out of file prod_mindist_mol17_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CA/6fxb_ca_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein-MOL17"
"0.0";"2.828229"
"10.0";"2.726388"
"20.0";"2.727114"
"30.0";"2.733429"
"40.0";"2.758694"
"50.0";"2.767761"
"60.0";"2.567225"
"70.0";"2.679114"
"80.0";"2.788563"
"90.0";"3.308851"
"100.0";"3.082831"
"110.0";"3.090044"
"120.0";"3.315357"
"130.0";"3.42256"
"140.0";"3.484567"
"150.0";"3.867272"
"160.0";"3.92001"
"170.0";"3.956269"
"180.0";"3.8046"
"190.0";"3.689608"
"200.0";"3.660149"
"210.0";"3.3181"
"220.0";"3.441354"
"230.0";"3.569931"
"240.0";"3.4638"
"250.0";"3.701288"
"260.0";"3.598098"
"270.0";"3.260393"
"280.0";"3.276278"
"290.0";"3.52108"
"300.0";"3.513135"
"310.0";"3.608499"
"320.0";"3.661246"
"330.0";"3.436785"
"340.0";"3.543473"
"350.0";"3.62254"
"360.0";"3.368534"
"370.0";"3.445437"
"380.0";"3.7135"
"390.0";"3.53877"
"400.0";"3.518039"
"410.0";"3.562029"
"420.0";"3.667983"
"430.0";"3.653952"
"440.0";"3.370763"
"450.0";"3.839188"
"460.0";"3.644214"
"470.0";"3.262453"
"480.0";"3.127742"
"490.0";"3.037599"
"500.0";"3.325718"
"510.0";"3.354125"
"520.0";"3.370601"
"530.0";"3.830222"
"540.0";"3.770327"
"550.0";"3.663037"
"560.0";"3.682451"
"570.0";"3.4194"
"580.0";"3.284939"
"590.0";"2.955224"
"600.0";"2.80014"
"610.0";"2.813603"
"620.0";"2.85112"
"630.0";"2.904784"
"640.0";"3.125596"
"650.0";"3.258792"
"660.0";"3.375925"
"670.0";"3.326807"
"680.0";"3.115357"
"690.0";"3.103543"
"700.0";"3.072521"
"710.0";"3.069781"
"720.0";"3.142038"
"730.0";"3.25838"
"740.0";"3.413916"
"750.0";"3.12501"
"760.0";"3.092161"
"770.0";"3.042021"
"780.0";"3.041836"
