# This .csv file was created 12.10.2024 14:36
# extracted out of file mindist_major_allergenic_epitope_r_149-162_MOL.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CA/6fxb_ca_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_149-162-MOL"
"0.0";"2.538956"
"10.0";"2.553874"
"20.0";"2.070706"
"30.0";"2.348302"
"40.0";"2.555328"
"50.0";"2.693507"
"60.0";"2.725484"
"70.0";"2.651551"
"80.0";"2.706186"
"90.0";"2.389779"
"100.0";"2.557019"
"110.0";"2.707486"
"120.0";"2.738354"
"130.0";"2.397397"
"140.0";"2.865395"
"150.0";"2.864796"
"160.0";"2.670012"
"170.0";"2.613664"
"180.0";"2.703658"
"190.0";"2.451882"
"200.0";"2.455675"
"210.0";"2.387277"
"220.0";"2.432353"
"230.0";"2.436316"
"240.0";"2.497238"
"250.0";"2.483654"
"260.0";"2.374555"
"270.0";"2.328761"
"280.0";"2.335377"
"290.0";"2.441766"
"300.0";"2.211735"
"310.0";"2.059943"
"320.0";"2.043918"
"330.0";"2.089552"
"340.0";"1.846296"
"350.0";"2.014193"
"360.0";"2.234151"
"370.0";"2.040519"
"380.0";"2.14665"
"390.0";"2.02159"
"400.0";"2.198165"
"410.0";"2.031514"
"420.0";"2.062035"
"430.0";"2.173367"
"440.0";"2.18705"
"450.0";"2.229067"
"460.0";"2.169707"
"470.0";"2.363026"
"480.0";"2.318458"
"490.0";"2.201189"
"500.0";"2.259643"
"510.0";"2.238736"
"520.0";"2.25357"
"530.0";"2.39942"
"540.0";"2.452426"
"550.0";"2.596527"
"560.0";"2.632752"
"570.0";"2.546022"
"580.0";"2.662556"
"590.0";"2.464906"
"600.0";"2.278759"
"610.0";"2.357384"
"620.0";"2.374331"
"630.0";"2.50131"
"640.0";"2.34218"
"650.0";"2.417406"
"660.0";"2.39359"
"670.0";"2.072546"
"680.0";"1.765807"
"690.0";"1.956031"
"700.0";"2.186842"
"710.0";"2.292703"
"720.0";"2.361094"
"730.0";"2.379062"
"740.0";"2.434115"
"750.0";"2.495155"
"760.0";"2.398398"
"770.0";"2.455013"
"780.0";"2.442616"
"790.0";"2.256855"
"800.0";"2.558639"
"810.0";"2.483569"
"820.0";"2.452166"
"830.0";"2.406445"
"840.0";"2.437163"
"850.0";"2.503452"
"860.0";"2.468167"
"870.0";"2.574222"
"880.0";"2.49851"
"890.0";"2.443778"
"900.0";"2.371626"
"910.0";"2.342417"
"920.0";"2.382709"
"930.0";"2.364624"
"940.0";"2.33252"
"950.0";"2.333279"
"960.0";"2.10877"
"970.0";"2.22744"
"980.0";"2.307868"
"990.0";"2.459757"
"1000.0";"2.454948"
"1010.0";"2.50793"
"1020.0";"2.349845"
"1030.0";"2.499519"
"1040.0";"2.407493"
"1050.0";"2.462995"
"1060.0";"2.420523"
"1070.0";"2.459633"
"1080.0";"2.456796"
"1090.0";"2.53462"
"1100.0";"2.368403"
"1110.0";"2.476305"
"1120.0";"2.413825"
"1130.0";"2.427836"
"1140.0";"2.348512"
"1150.0";"2.480219"
"1160.0";"2.48897"
"1170.0";"2.40218"
"1180.0";"2.548856"
"1190.0";"2.519741"
"1200.0";"2.504664"
"1210.0";"2.536731"
"1220.0";"2.566264"
"1230.0";"2.432889"
"1240.0";"2.474453"
"1250.0";"2.486982"
"1260.0";"2.472983"
"1270.0";"2.562952"
"1280.0";"2.530134"
"1290.0";"2.445619"
"1300.0";"2.477222"
"1310.0";"2.489106"
"1320.0";"2.471582"
"1330.0";"2.479685"
"1340.0";"2.478099"
"1350.0";"2.471006"
"1360.0";"2.427971"
"1370.0";"2.310507"
"1380.0";"2.360029"
"1390.0";"2.390717"
"1400.0";"2.432752"
"1410.0";"2.498625"
"1420.0";"2.208335"
"1430.0";"2.202943"
"1440.0";"2.301673"
"1450.0";"2.269789"
"1460.0";"2.228347"
"1470.0";"2.231354"
"1480.0";"2.135758"
"1490.0";"2.170621"
"1500.0";"2.098843"
"1510.0";"2.215121"
"1520.0";"2.243683"
"1530.0";"1.932176"
"1540.0";"2.065246"
"1550.0";"2.198878"
"1560.0";"2.231066"
"1570.0";"2.262599"
"1580.0";"2.324311"
"1590.0";"2.188607"
"1600.0";"2.296493"
"1610.0";"2.275486"
"1620.0";"2.213978"
"1630.0";"2.255664"
"1640.0";"2.240369"
"1650.0";"2.229498"
"1660.0";"2.261419"
"1670.0";"2.274512"
"1680.0";"2.235095"
"1690.0";"2.255284"
"1700.0";"2.258839"
"1710.0";"2.236809"
"1720.0";"2.301572"
"1730.0";"2.270185"
"1740.0";"2.155717"
"1750.0";"2.181571"
"1760.0";"2.172445"
"1770.0";"2.137742"
"1780.0";"2.086446"
"1790.0";"2.058042"
"1800.0";"2.146277"
"1810.0";"2.284581"
"1820.0";"2.299584"
"1830.0";"2.220398"
"1840.0";"2.394496"
"1850.0";"2.305362"
"1860.0";"2.23395"
"1870.0";"2.137107"
"1880.0";"2.099977"
"1890.0";"2.236555"
"1900.0";"2.273232"
"1910.0";"2.019599"
"1920.0";"1.904051"
"1930.0";"2.013371"
"1940.0";"1.749535"
"1950.0";"1.805759"
"1960.0";"1.817561"
"1970.0";"1.856526"
"1980.0";"1.69819"
"1990.0";"1.388477"
"2000.0";"1.581071"
"2010.0";"1.641277"
"2020.0";"1.669382"
"2030.0";"1.688674"
"2040.0";"1.659361"
"2050.0";"1.717564"
"2060.0";"1.613752"
"2070.0";"1.632266"
"2080.0";"1.444657"
"2090.0";"1.613666"
"2100.0";"1.649315"
"2110.0";"1.698148"
"2120.0";"1.599537"
"2130.0";"1.544853"
"2140.0";"1.550283"
"2150.0";"1.588341"
"2160.0";"1.59803"
"2170.0";"1.546112"
"2180.0";"1.495119"
"2190.0";"1.56622"
"2200.0";"1.573198"
"2210.0";"1.540215"
"2220.0";"1.535657"
"2230.0";"1.448303"
"2240.0";"1.580321"
"2250.0";"1.635686"
"2260.0";"1.52985"
"2270.0";"1.521273"
"2280.0";"1.487344"
"2290.0";"1.458369"
"2300.0";"1.533737"
"2310.0";"1.487183"
"2320.0";"1.498939"
"2330.0";"1.403619"
"2340.0";"1.380986"
"2350.0";"1.315241"
"2360.0";"1.345473"
"2370.0";"1.294174"
"2380.0";"1.426094"
"2390.0";"1.372856"
"2400.0";"1.425306"
"2410.0";"1.29035"
"2420.0";"1.356277"
"2430.0";"1.486485"
"2440.0";"1.483947"
"2450.0";"1.374448"
"2460.0";"1.368641"
"2470.0";"1.421615"
"2480.0";"1.379294"
"2490.0";"1.39135"
"2500.0";"1.419124"
"2510.0";"1.462517"
"2520.0";"1.38078"
"2530.0";"1.365018"
"2540.0";"1.35053"
"2550.0";"1.333582"
"2560.0";"1.467433"
"2570.0";"1.477611"
"2580.0";"1.529776"
"2590.0";"1.484526"
"2600.0";"1.575339"
"2610.0";"1.445277"
"2620.0";"1.448486"
"2630.0";"1.422391"
"2640.0";"1.476717"
"2650.0";"1.432044"
"2660.0";"1.451883"
"2670.0";"1.536546"
"2680.0";"1.38981"
"2690.0";"1.500658"
"2700.0";"1.455834"
"2710.0";"1.504207"
"2720.0";"1.30458"
"2730.0";"1.522355"
"2740.0";"1.399487"
"2750.0";"1.395237"
"2760.0";"1.451647"
