# This .csv file was created 12.10.2024 14:36
# extracted out of file prod_center_rottrans_gyration.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CA/6fxb_ca_2
# Original file was created by command :
"Radius of gyration (total and around axes)"
"Time (ps)";"Rg";"Rg\sX\N";"Rg\sY\N";"Rg\sZ\N"
"0.0";"2.14012";"1.9597";"1.95681";"1.22092"
"10.0";"2.14052";"1.9605";"1.95906";"1.21746"
"20.0";"2.14414";"1.96226";"1.96007";"1.22568"
"30.0";"2.1421";"1.96218";"1.96019";"1.21849"
"40.0";"2.14054";"1.96073";"1.959";"1.21724"
"50.0";"2.14622";"1.96359";"1.96511";"1.22277"
"60.0";"2.15252";"1.97052";"1.97253";"1.22181"
"70.0";"2.14734";"1.96476";"1.96548";"1.22426"
"80.0";"2.15621";"1.97746";"1.97465";"1.22021"
"90.0";"2.16367";"1.98395";"1.98292";"1.22267"
"100.0";"2.16723";"1.99208";"1.98651";"1.21619"
"110.0";"2.15727";"1.97861";"1.97405";"1.22305"
"120.0";"2.15391";"1.97559";"1.97516";"1.21429"
"130.0";"2.15182";"1.97179";"1.97317";"1.21625"
"140.0";"2.14731";"1.96683";"1.96429";"1.22272"
"150.0";"2.158";"1.97929";"1.97921";"1.21618"
"160.0";"2.15623";"1.97721";"1.97412";"1.22155"
"170.0";"2.14894";"1.96863";"1.96539";"1.22378"
"180.0";"2.15773";"1.9794";"1.97787";"1.21721"
"190.0";"2.14865";"1.9705";"1.96409";"1.22182"
"200.0";"2.16273";"1.987";"1.98157";"1.21656"
"210.0";"2.16409";"1.98705";"1.98414";"1.2171"
"220.0";"2.16028";"1.98142";"1.98087";"1.2181"
"230.0";"2.1605";"1.98082";"1.97929";"1.22241"
"240.0";"2.15578";"1.9772";"1.97025";"1.22618"
"250.0";"2.16246";"1.98294";"1.98346";"1.21916"
"260.0";"2.16663";"1.98808";"1.9849";"1.22321"
"270.0";"2.16477";"1.98602";"1.98209";"1.22454"
"280.0";"2.16149";"1.98307";"1.97865";"1.22329"
"290.0";"2.15118";"1.9726";"1.96857";"1.22013"
"300.0";"2.1585";"1.97917";"1.9779";"1.22025"
"310.0";"2.15731";"1.97707";"1.97742";"1.22022"
"320.0";"2.15631";"1.9753";"1.97726";"1.21981"
"330.0";"2.16842";"1.99278";"1.98915";"1.21497"
"340.0";"2.16023";"1.98214";"1.98256";"1.21401"
"350.0";"2.16663";"1.98967";"1.98873";"1.21438"
"360.0";"2.15581";"1.97633";"1.9782";"1.21484"
"370.0";"2.16126";"1.98283";"1.98369";"1.21469"
"380.0";"2.16657";"1.98872";"1.98768";"1.21745"
"390.0";"2.16015";"1.98088";"1.98226";"1.21624"
"400.0";"2.16228";"1.98489";"1.98178";"1.21807"
"410.0";"2.15366";"1.97261";"1.97368";"1.22059"
"420.0";"2.16056";"1.98086";"1.97836";"1.22409"
"430.0";"2.1574";"1.9751";"1.97645";"1.2253"
"440.0";"2.154";"1.97079";"1.97306";"1.22573"
"450.0";"2.16138";"1.97899";"1.98153";"1.22484"
"460.0";"2.15989";"1.98136";"1.98028";"1.21777"
"470.0";"2.1579";"1.97587";"1.98133";"1.21792"
"480.0";"2.15572";"1.97649";"1.97622";"1.2175"
"490.0";"2.15196";"1.97074";"1.97268";"1.21925"
"500.0";"2.15459";"1.97384";"1.97462";"1.2204"
"510.0";"2.17056";"1.99409";"1.99346";"1.2134"
