# This .csv file was created 12.10.2024 14:36
# extracted out of file prod_center_rottrans_p1_gyration.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CA/6fxb_ca_2
# Original file was created by command :
"Radius of gyration (total and around axes)"
"Time (ps)";"Rg";"Rg\sX\N";"Rg\sY\N";"Rg\sZ\N"
"0.0";"1.4869";"1.2269";"1.19936";"1.21574"
"10.0";"1.48664";"1.2245";"1.20352";"1.21339"
"20.0";"1.48934";"1.2201";"1.19884";"1.22899"
"30.0";"1.48697";"1.22488";"1.19773";"1.21954"
"40.0";"1.48577";"1.22337";"1.19326";"1.2225"
"50.0";"1.4904";"1.22468";"1.19925";"1.22661"
"60.0";"1.48812";"1.22217";"1.20329";"1.21959"
"70.0";"1.48843";"1.2218";"1.20178";"1.22221"
"80.0";"1.48973";"1.22775";"1.20032";"1.22083"
"90.0";"1.4951";"1.2328";"1.20272";"1.22649"
"100.0";"1.4881";"1.23095";"1.19755";"1.21635"
"110.0";"1.48944";"1.22696";"1.19546";"1.22569"
"120.0";"1.49154";"1.22846";"1.20625";"1.21869"
"130.0";"1.48805";"1.22806";"1.20429";"1.21249"
"140.0";"1.49538";"1.23605";"1.20257";"1.22406"
"150.0";"1.49017";"1.22846";"1.2032";"1.21836"
"160.0";"1.5009";"1.24256";"1.20856";"1.22507"
"170.0";"1.49534";"1.23145";"1.2066";"1.22463"
"180.0";"1.49407";"1.23465";"1.21038";"1.21455"
"190.0";"1.48894";"1.22522";"1.19951";"1.22226"
"200.0";"1.48865";"1.22761";"1.19964";"1.21902"
"210.0";"1.49395";"1.22931";"1.20693";"1.22307"
"220.0";"1.49371";"1.23222";"1.2103";"1.2162"
"230.0";"1.49925";"1.23816";"1.20821";"1.22586"
"240.0";"1.49758";"1.23709";"1.19948";"1.23139"
"250.0";"1.48816";"1.22679";"1.20201";"1.2163"
"260.0";"1.49848";"1.23702";"1.2067";"1.2266"
"270.0";"1.49957";"1.23902";"1.20367";"1.23021"
"280.0";"1.49318";"1.2312";"1.20121";"1.22491"
"290.0";"1.49392";"1.23146";"1.20444";"1.2233"
"300.0";"1.49226";"1.2331";"1.20012";"1.22182"
"310.0";"1.49356";"1.2318";"1.20934";"1.21721"
"320.0";"1.49094";"1.22824";"1.20334";"1.22032"
"330.0";"1.48822";"1.23209";"1.19722";"1.21582"
"340.0";"1.49135";"1.23082";"1.20755";"1.21455"
"350.0";"1.49106";"1.23264";"1.20492";"1.21462"
"360.0";"1.48907";"1.23038";"1.20635";"1.21059"
"370.0";"1.49581";"1.23075";"1.21445";"1.21871"
"380.0";"1.49315";"1.22728";"1.20915";"1.22097"
"390.0";"1.49236";"1.2335";"1.20757";"1.21431"
"400.0";"1.49001";"1.22656";"1.2032";"1.21988"
"410.0";"1.49418";"1.23078";"1.20888";"1.22023"
"420.0";"1.49154";"1.22655";"1.19999";"1.22677"
"430.0";"1.4942";"1.22747";"1.20901";"1.22346"
"440.0";"1.49255";"1.22143";"1.20841";"1.22609"
"450.0";"1.49294";"1.22759";"1.20549";"1.22375"
"460.0";"1.49499";"1.23579";"1.20795";"1.21805"
"470.0";"1.48946";"1.22463";"1.2075";"1.21622"
"480.0";"1.48934";"1.22796";"1.20554";"1.21452"
"490.0";"1.49291";"1.23489";"1.20409";"1.2177"
"500.0";"1.49188";"1.22979";"1.20803";"1.21642"
"510.0";"1.49445";"1.24123";"1.20703";"1.21209"
"520.0";"1.49285";"1.23113";"1.20883";"1.21665"
"530.0";"1.48529";"1.22066";"1.19843";"1.21899"
"540.0";"1.48948";"1.22814";"1.20193";"1.21825"
"550.0";"1.49013";"1.22828";"1.19757";"1.22397"
"560.0";"1.49414";"1.23384";"1.20525";"1.22063"
"570.0";"1.49757";"1.23522";"1.20279";"1.23004"
"580.0";"1.49591";"1.23677";"1.20388";"1.22334"
"590.0";"1.49122";"1.23273";"1.19862";"1.22114"
"600.0";"1.48934";"1.23314";"1.19587";"1.21881"
"610.0";"1.48676";"1.22845";"1.19904";"1.21414"
"620.0";"1.4927";"1.22756";"1.21045";"1.2183"
"630.0";"1.48983";"1.22977";"1.20339";"1.21603"
"640.0";"1.49619";"1.23393";"1.21145";"1.21941"
"650.0";"1.49351";"1.22947";"1.20492";"1.22381"
"660.0";"1.49155";"1.23038";"1.20065";"1.22231"
"670.0";"1.49836";"1.23779";"1.20851";"1.22376"
"680.0";"1.49799";"1.23802";"1.19971";"1.23124"
"690.0";"1.49708";"1.23718";"1.20921";"1.22054"
"700.0";"1.49461";"1.23424";"1.20211";"1.22445"
"710.0";"1.49957";"1.24201";"1.20256";"1.22828"
"720.0";"1.49281";"1.23067";"1.20388";"1.22193"
"730.0";"1.49129";"1.23229";"1.19719";"1.22314"
"740.0";"1.49578";"1.22818";"1.20985";"1.22577"
"750.0";"1.49531";"1.23229";"1.19457";"1.23547"
"760.0";"1.5033";"1.24099";"1.20585";"1.2352"
"770.0";"1.49722";"1.23532";"1.21105";"1.22093"
"780.0";"1.49463";"1.22852";"1.20646";"1.22598"
"790.0";"1.48865";"1.22552";"1.19779";"1.22293"
"800.0";"1.49471";"1.23534";"1.2027";"1.22301"
"810.0";"1.4957";"1.23269";"1.20475";"1.22608"
"820.0";"1.50001";"1.23889";"1.20045";"1.23456"
"830.0";"1.49404";"1.22873";"1.2049";"1.22586"
"840.0";"1.49746";"1.23811";"1.20082";"1.22877"
"850.0";"1.48878";"1.2267";"1.2009";"1.219"
"860.0";"1.49064";"1.23343";"1.19647";"1.22113"
"870.0";"1.49565";"1.23414";"1.20339";"1.22586"
"880.0";"1.49713";"1.23244";"1.20246";"1.23207"
"890.0";"1.49227";"1.23431";"1.19754";"1.22315"
"900.0";"1.49582";"1.23372";"1.20092";"1.2291"
"910.0";"1.49744";"1.23741";"1.19837";"1.23181"
"920.0";"1.49396";"1.23675";"1.19513";"1.22716"
"930.0";"1.49497";"1.23656";"1.19517";"1.22978"
"940.0";"1.49806";"1.23889";"1.19464";"1.23545"
"950.0";"1.48835";"1.23148";"1.18981";"1.224"
"960.0";"1.49504";"1.23347";"1.20148";"1.2269"
"970.0";"1.49002";"1.22909";"1.19516";"1.22525"
"980.0";"1.49186";"1.23252";"1.19545";"1.22599"
"990.0";"1.49307";"1.23235";"1.19905";"1.2256"
"1000.0";"1.48994";"1.22639";"1.1943";"1.2286"
"1010.0";"1.49001";"1.2318";"1.19689";"1.2208"
"1020.0";"1.49096";"1.23076";"1.19668";"1.22439"
"1030.0";"1.4935";"1.23452";"1.20566";"1.21796"
"1040.0";"1.49026";"1.2293";"1.1992";"1.22168"
"1050.0";"1.48753";"1.22882";"1.18667";"1.22773"
"1060.0";"1.49195";"1.23633";"1.19356";"1.22421"
"1070.0";"1.49453";"1.23773";"1.19012";"1.23243"
"1080.0";"1.48878";"1.22885";"1.18979";"1.22771"
"1090.0";"1.49326";"1.2342";"1.19294";"1.23014"
"1100.0";"1.48867";"1.23026";"1.19099";"1.22485"
"1110.0";"1.48994";"1.22745";"1.18618";"1.23539"
"1120.0";"1.48446";"1.22384";"1.18219";"1.22958"
"1130.0";"1.4916";"1.23588";"1.18646";"1.23072"
"1140.0";"1.4867";"1.22856";"1.18869";"1.22401"
"1150.0";"1.48718";"1.22069";"1.19373";"1.22814"
"1160.0";"1.49368";"1.23148";"1.18795";"1.23871"
"1170.0";"1.4952";"1.23823";"1.18916";"1.23448"
"1180.0";"1.49197";"1.23402";"1.19464";"1.22557"
"1190.0";"1.49202";"1.23326";"1.19432";"1.22675"
"1200.0";"1.49464";"1.23645";"1.19311";"1.23108"
"1210.0";"1.4893";"1.2321";"1.19327";"1.22231"
"1220.0";"1.49069";"1.23264";"1.19576";"1.22274"
"1230.0";"1.48756";"1.23159";"1.19148";"1.22035"
"1240.0";"1.48822";"1.22816";"1.19595";"1.22104"
"1250.0";"1.49083";"1.23052";"1.19904";"1.222"
"1260.0";"1.49371";"1.2355";"1.19629";"1.22669"
"1270.0";"1.49128";"1.23269";"1.19796";"1.22196"
"1280.0";"1.49236";"1.23161";"1.19701";"1.22661"
"1290.0";"1.48534";"1.22651";"1.19389";"1.21769"
"1300.0";"1.48852";"1.23054";"1.20095";"1.21446"
"1310.0";"1.49017";"1.22968";"1.20044";"1.21985"
"1320.0";"1.48667";"1.23129";"1.20126";"1.20884"
"1330.0";"1.4854";"1.2284";"1.195";"1.21483"
"1340.0";"1.49121";"1.23651";"1.19826";"1.21762"
"1350.0";"1.48865";"1.23061";"1.19447";"1.22108"
"1360.0";"1.48776";"1.23052";"1.19787";"1.21563"
"1370.0";"1.49234";"1.24036";"1.19796";"1.21677"
"1380.0";"1.48207";"1.22377";"1.19289";"1.21346"
"1390.0";"1.49157";"1.23622";"1.20464";"1.21252"
"1400.0";"1.48884";"1.23423";"1.19247";"1.21984"
