# This .csv file was created 12.10.2024 14:36
# extracted out of file prod_center_rottrans_p2_rmsd.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CA/6fxb_ca_2
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"7e-07"
"10.0";"0.0588821"
"20.0";"0.0571911"
"30.0";"0.060623"
"40.0";"0.0687346"
"50.0";"0.0689807"
"60.0";"0.0661498"
"70.0";"0.0728091"
"80.0";"0.0706499"
"90.0";"0.0645392"
"100.0";"0.0654321"
"110.0";"0.061693"
"120.0";"0.05934"
"130.0";"0.0628835"
"140.0";"0.0577339"
"150.0";"0.0732348"
"160.0";"0.0754109"
"170.0";"0.0672444"
"180.0";"0.0694656"
"190.0";"0.0674624"
"200.0";"0.0705156"
"210.0";"0.0764201"
"220.0";"0.0748949"
"230.0";"0.0740186"
"240.0";"0.0675067"
"250.0";"0.0569324"
"260.0";"0.0645576"
"270.0";"0.0673204"
"280.0";"0.0720965"
"290.0";"0.0822869"
"300.0";"0.0707477"
"310.0";"0.0762096"
"320.0";"0.0800045"
"330.0";"0.0789359"
"340.0";"0.0761592"
"350.0";"0.0714061"
"360.0";"0.0719763"
"370.0";"0.0784561"
"380.0";"0.0815633"
"390.0";"0.0749419"
"400.0";"0.0759163"
"410.0";"0.0743311"
"420.0";"0.0786931"
"430.0";"0.0678585"
"440.0";"0.0721525"
"450.0";"0.0753632"
"460.0";"0.0731102"
"470.0";"0.0836475"
"480.0";"0.0819532"
"490.0";"0.0825988"
"500.0";"0.0773195"
"510.0";"0.0747459"
"520.0";"0.077318"
"530.0";"0.0799372"
"540.0";"0.0757885"
"550.0";"0.0756614"
"560.0";"0.0704857"
"570.0";"0.0768985"
"580.0";"0.0754212"
"590.0";"0.0720364"
"600.0";"0.0763268"
"610.0";"0.0833757"
"620.0";"0.0756899"
"630.0";"0.0836625"
"640.0";"0.0698166"
"650.0";"0.0696037"
"660.0";"0.0814897"
"670.0";"0.0825581"
"680.0";"0.0748207"
"690.0";"0.0766359"
"700.0";"0.070311"
"710.0";"0.0696413"
"720.0";"0.0696449"
"730.0";"0.0726867"
"740.0";"0.0729424"
"750.0";"0.0726854"
"760.0";"0.0692666"
"770.0";"0.0704806"
"780.0";"0.0757938"
"790.0";"0.0713614"
"800.0";"0.065518"
"810.0";"0.0744211"
"820.0";"0.0643264"
"830.0";"0.0743476"
"840.0";"0.0812676"
"850.0";"0.0699237"
"860.0";"0.084228"
"870.0";"0.0611357"
"880.0";"0.0728002"
"890.0";"0.0659079"
"900.0";"0.0681771"
"910.0";"0.0743666"
"920.0";"0.0755646"
"930.0";"0.0765136"
"940.0";"0.0728993"
"950.0";"0.0729344"
"960.0";"0.0700333"
"970.0";"0.0652077"
"980.0";"0.0656705"
"990.0";"0.0666179"
"1000.0";"0.0729809"
"1010.0";"0.0737645"
"1020.0";"0.07303"
"1030.0";"0.0856521"
"1040.0";"0.078613"
"1050.0";"0.0705779"
"1060.0";"0.0776052"
"1070.0";"0.0708771"
"1080.0";"0.0698464"
"1090.0";"0.0729137"
"1100.0";"0.0741484"
"1110.0";"0.0736379"
"1120.0";"0.0691993"
"1130.0";"0.0708352"
"1140.0";"0.0722097"
"1150.0";"0.0670237"
"1160.0";"0.0770723"
"1170.0";"0.0652604"
"1180.0";"0.0707127"
"1190.0";"0.0691474"
"1200.0";"0.0768696"
"1210.0";"0.0679333"
"1220.0";"0.0775735"
"1230.0";"0.0745079"
"1240.0";"0.0865267"
"1250.0";"0.0812457"
"1260.0";"0.0829619"
"1270.0";"0.0706238"
"1280.0";"0.07492"
"1290.0";"0.0771144"
"1300.0";"0.0685858"
"1310.0";"0.0748504"
"1320.0";"0.0721677"
"1330.0";"0.0725294"
"1340.0";"0.0732137"
"1350.0";"0.0774941"
"1360.0";"0.0769714"
"1370.0";"0.0802481"
"1380.0";"0.0785591"
"1390.0";"0.0744064"
"1400.0";"0.080732"
"1410.0";"0.0817649"
"1420.0";"0.0848973"
"1430.0";"0.0832558"
"1440.0";"0.0768049"
"1450.0";"0.0788839"
"1460.0";"0.0858193"
"1470.0";"0.0751218"
"1480.0";"0.0767948"
"1490.0";"0.0683769"
"1500.0";"0.0713864"
"1510.0";"0.0678048"
"1520.0";"0.0748816"
"1530.0";"0.0816389"
"1540.0";"0.0729923"
"1550.0";"0.0692729"
"1560.0";"0.0814791"
"1570.0";"0.0723167"
"1580.0";"0.0720247"
"1590.0";"0.0753987"
"1600.0";"0.0790542"
"1610.0";"0.0725302"
"1620.0";"0.0790188"
"1630.0";"0.0746146"
"1640.0";"0.0698484"
"1650.0";"0.0735187"
"1660.0";"0.0641324"
"1670.0";"0.0669251"
"1680.0";"0.0765147"
"1690.0";"0.0703814"
"1700.0";"0.0818278"
"1710.0";"0.0699302"
"1720.0";"0.0781892"
"1730.0";"0.0734679"
"1740.0";"0.0767672"
"1750.0";"0.0747207"
"1760.0";"0.0872326"
"1770.0";"0.0774303"
"1780.0";"0.082029"
"1790.0";"0.0797318"
"1800.0";"0.0799002"
"1810.0";"0.0776851"
"1820.0";"0.0718907"
"1830.0";"0.0756057"
"1840.0";"0.0746072"
"1850.0";"0.0750503"
"1860.0";"0.0785576"
"1870.0";"0.0815896"
"1880.0";"0.0742589"
"1890.0";"0.0720819"
"1900.0";"0.0748779"
"1910.0";"0.0828455"
"1920.0";"0.0695632"
"1930.0";"0.0809043"
"1940.0";"0.0805538"
"1950.0";"0.0736591"
"1960.0";"0.0809113"
"1970.0";"0.0837146"
"1980.0";"0.0788513"
"1990.0";"0.0765283"
"2000.0";"0.0776741"
"2010.0";"0.0772491"
"2020.0";"0.0701973"
"2030.0";"0.0849278"
"2040.0";"0.0792148"
"2050.0";"0.0838258"
"2060.0";"0.091878"
"2070.0";"0.0923434"
"2080.0";"0.0778958"
"2090.0";"0.0850359"
"2100.0";"0.0853076"
"2110.0";"0.0767027"
"2120.0";"0.0951754"
"2130.0";"0.0910749"
"2140.0";"0.0823338"
"2150.0";"0.0844314"
"2160.0";"0.0882551"
"2170.0";"0.0778293"
"2180.0";"0.0851311"
"2190.0";"0.077353"
"2200.0";"0.0823612"
"2210.0";"0.077249"
"2220.0";"0.0794455"
"2230.0";"0.0857424"
"2240.0";"0.0835173"
"2250.0";"0.0857627"
"2260.0";"0.0714798"
"2270.0";"0.0854334"
"2280.0";"0.081468"
"2290.0";"0.0720634"
"2300.0";"0.085031"
"2310.0";"0.0889898"
"2320.0";"0.0917134"
"2330.0";"0.0918472"
"2340.0";"0.0814216"
"2350.0";"0.0884403"
"2360.0";"0.0790865"
"2370.0";"0.0892355"
"2380.0";"0.0836645"
"2390.0";"0.0882888"
"2400.0";"0.0777749"
"2410.0";"0.0881447"
"2420.0";"0.0884356"
"2430.0";"0.0788836"
"2440.0";"0.0865649"
"2450.0";"0.0929238"
"2460.0";"0.0838872"
"2470.0";"0.0912723"
"2480.0";"0.0893246"
"2490.0";"0.0801498"
"2500.0";"0.0888362"
"2510.0";"0.0783309"
"2520.0";"0.0787733"
"2530.0";"0.0826946"
"2540.0";"0.09233"
"2550.0";"0.0885223"
"2560.0";"0.0890198"
"2570.0";"0.0800005"
"2580.0";"0.0857017"
"2590.0";"0.074728"
"2600.0";"0.0856651"
"2610.0";"0.0928793"
"2620.0";"0.0982192"
"2630.0";"0.0857852"
"2640.0";"0.0897934"
"2650.0";"0.0868127"
"2660.0";"0.0913605"
"2670.0";"0.0845609"
"2680.0";"0.0920949"
"2690.0";"0.0855858"
"2700.0";"0.09711"
"2710.0";"0.1049992"
"2720.0";"0.0957084"
"2730.0";"0.0927763"
"2740.0";"0.0864436"
"2750.0";"0.0873962"
"2760.0";"0.0885862"
"2770.0";"0.0849293"
"2780.0";"0.0818677"
"2790.0";"0.0857936"
"2800.0";"0.0881273"
"2810.0";"0.0832157"
"2820.0";"0.0791695"
"2830.0";"0.091941"
"2840.0";"0.0788346"
"2850.0";"0.0800553"
"2860.0";"0.0832323"
"2870.0";"0.0839534"
"2880.0";"0.0829379"
"2890.0";"0.0870075"
"2900.0";"0.0786426"
"2910.0";"0.0770254"
"2920.0";"0.0841414"
"2930.0";"0.0754295"
"2940.0";"0.082799"
"2950.0";"0.0803883"
"2960.0";"0.0799989"
"2970.0";"0.0798328"
"2980.0";"0.0845904"
"2990.0";"0.0885566"
"3000.0";"0.0803516"
"3010.0";"0.083992"
"3020.0";"0.0890198"
"3030.0";"0.0806439"
"3040.0";"0.0858719"
"3050.0";"0.079561"
"3060.0";"0.0837612"
"3070.0";"0.088524"
"3080.0";"0.0823617"
"3090.0";"0.0833853"
"3100.0";"0.0812559"
"3110.0";"0.0763467"
"3120.0";"0.0821232"
"3130.0";"0.0881088"
"3140.0";"0.0778745"
"3150.0";"0.0864185"
"3160.0";"0.0812848"
"3170.0";"0.0798038"
"3180.0";"0.0845943"
"3190.0";"0.0901216"
"3200.0";"0.0835066"
"3210.0";"0.0940298"
"3220.0";"0.0965872"
"3230.0";"0.0743127"
"3240.0";"0.0773508"
"3250.0";"0.0798534"
"3260.0";"0.0792441"
"3270.0";"0.0862655"
"3280.0";"0.0945583"
"3290.0";"0.0890525"
"3300.0";"0.0866636"
"3310.0";"0.0828258"
"3320.0";"0.0791083"
"3330.0";"0.0809172"
"3340.0";"0.0860489"
"3350.0";"0.07618"
"3360.0";"0.0785219"
"3370.0";"0.0723343"
"3380.0";"0.0778096"
"3390.0";"0.0747979"
"3400.0";"0.0723917"
"3410.0";"0.0722465"
"3420.0";"0.0746683"
"3430.0";"0.076526"
"3440.0";"0.0785403"
"3450.0";"0.0715677"
