# This .csv file was created 12.10.2024 14:36
# extracted out of file prod_mindist_mol1_outer_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CA/6fxb_ca_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL1-outer_dimer_area"
"0.0";"4.304072"
"10.0";"4.427124"
"20.0";"4.369764"
"30.0";"4.394041"
"40.0";"4.332287"
"50.0";"4.13419"
"60.0";"3.794037"
"70.0";"3.882037"
"80.0";"3.813326"
"90.0";"4.002281"
"100.0";"3.787475"
"110.0";"3.816845"
"120.0";"3.657392"
"130.0";"3.714515"
"140.0";"3.823929"
"150.0";"3.960716"
"160.0";"4.04514"
"170.0";"4.32704"
"180.0";"4.389281"
"190.0";"4.192826"
"200.0";"4.018551"
"210.0";"4.008189"
"220.0";"4.048839"
"230.0";"4.084385"
"240.0";"4.17174"
"250.0";"4.156337"
"260.0";"4.223264"
"270.0";"4.32077"
"280.0";"4.245085"
"290.0";"4.459116"
"300.0";"4.316784"
"310.0";"4.145505"
"320.0";"4.342465"
"330.0";"4.118284"
"340.0";"3.979832"
"350.0";"3.866264"
"360.0";"4.077987"
"370.0";"4.120958"
"380.0";"4.137186"
"390.0";"4.314556"
"400.0";"4.434599"
"410.0";"4.41257"
"420.0";"4.16802"
"430.0";"4.169172"
"440.0";"4.297386"
"450.0";"4.132619"
"460.0";"4.05093"
"470.0";"3.850747"
"480.0";"3.786464"
"490.0";"3.828865"
"500.0";"3.818293"
"510.0";"3.936341"
"520.0";"4.167518"
"530.0";"4.271238"
"540.0";"4.215503"
"550.0";"4.616891"
"560.0";"4.956602"
"570.0";"4.838331"
"580.0";"4.67202"
"590.0";"4.821447"
"600.0";"5.022356"
"610.0";"4.934893"
"620.0";"4.799896"
"630.0";"4.785738"
"640.0";"4.731262"
"650.0";"4.983754"
"660.0";"4.998559"
"670.0";"5.154912"
"680.0";"4.999804"
"690.0";"4.912698"
"700.0";"4.904624"
"710.0";"4.829958"
"720.0";"4.908173"
"730.0";"4.990065"
"740.0";"4.745018"
"750.0";"4.595313"
"760.0";"4.658635"
"770.0";"4.421563"
"780.0";"4.871538"
"790.0";"4.701838"
"800.0";"4.555185"
"810.0";"4.654046"
"820.0";"4.758474"
"830.0";"4.774509"
"840.0";"4.691949"
"850.0";"4.343712"
"860.0";"4.564086"
"870.0";"4.49532"
"880.0";"4.581365"
"890.0";"4.659918"
"900.0";"4.26992"
"910.0";"3.835531"
"920.0";"3.964755"
"930.0";"3.811896"
"940.0";"3.716478"
"950.0";"3.674243"
"960.0";"3.522416"
"970.0";"3.69378"
"980.0";"3.65249"
"990.0";"3.606077"
"1000.0";"3.687142"
"1010.0";"3.714935"
"1020.0";"3.885663"
"1030.0";"4.224931"
"1040.0";"4.320012"
"1050.0";"4.670482"
"1060.0";"4.783913"
"1070.0";"4.718095"
"1080.0";"4.381851"
"1090.0";"4.466256"
"1100.0";"4.442093"
"1110.0";"4.587295"
"1120.0";"4.437658"
"1130.0";"4.459732"
"1140.0";"4.520451"
"1150.0";"3.967699"
"1160.0";"4.305036"
"1170.0";"3.974227"
"1180.0";"4.029035"
"1190.0";"4.424614"
"1200.0";"4.525978"
"1210.0";"4.440869"
"1220.0";"4.585861"
"1230.0";"4.613563"
"1240.0";"4.448512"
"1250.0";"4.244739"
"1260.0";"4.111492"
"1270.0";"4.021727"
"1280.0";"4.169971"
"1290.0";"4.351016"
"1300.0";"4.510769"
"1310.0";"4.44175"
"1320.0";"4.715642"
"1330.0";"4.825881"
"1340.0";"5.204187"
"1350.0";"5.275502"
"1360.0";"5.028269"
"1370.0";"5.007784"
"1380.0";"5.393117"
"1390.0";"5.502875"
"1400.0";"5.494692"
"1410.0";"5.354937"
"1420.0";"5.486819"
"1430.0";"5.251052"
"1440.0";"5.271947"
"1450.0";"5.34576"
"1460.0";"5.172716"
"1470.0";"5.248905"
"1480.0";"5.247588"
"1490.0";"5.390876"
"1500.0";"5.561737"
"1510.0";"5.481834"
"1520.0";"5.364227"
"1530.0";"5.052789"
"1540.0";"4.98155"
"1550.0";"5.068154"
"1560.0";"4.305297"
"1570.0";"4.247242"
"1580.0";"4.413596"
"1590.0";"4.05514"
"1600.0";"4.185146"
"1610.0";"4.63962"
"1620.0";"4.486785"
"1630.0";"4.257635"
"1640.0";"4.362196"
"1650.0";"4.533495"
"1660.0";"4.449092"
"1670.0";"4.689083"
"1680.0";"4.474903"
"1690.0";"4.557928"
"1700.0";"4.376532"
"1710.0";"4.695212"
"1720.0";"4.483676"
"1730.0";"4.311471"
"1740.0";"4.234361"
"1750.0";"4.144235"
"1760.0";"4.358771"
"1770.0";"4.256179"
"1780.0";"4.124643"
"1790.0";"4.058928"
"1800.0";"4.347969"
"1810.0";"4.227177"
"1820.0";"4.294229"
"1830.0";"4.354865"
"1840.0";"4.336758"
"1850.0";"4.655765"
"1860.0";"5.078311"
"1870.0";"5.07095"
"1880.0";"5.164217"
"1890.0";"4.726211"
"1900.0";"4.657297"
"1910.0";"5.064521"
"1920.0";"5.056508"
"1930.0";"5.060851"
"1940.0";"5.05841"
"1950.0";"4.955213"
"1960.0";"5.080055"
"1970.0";"5.416883"
"1980.0";"5.659063"
"1990.0";"5.28746"
"2000.0";"5.149726"
"2010.0";"5.464651"
"2020.0";"5.314317"
"2030.0";"4.948485"
"2040.0";"5.018768"
"2050.0";"5.01843"
"2060.0";"5.148048"
"2070.0";"5.066097"
"2080.0";"5.109717"
"2090.0";"5.107926"
"2100.0";"4.889903"
"2110.0";"4.840513"
"2120.0";"4.765056"
"2130.0";"4.555874"
"2140.0";"4.502836"
"2150.0";"4.301177"
"2160.0";"4.143476"
"2170.0";"4.342104"
"2180.0";"4.503398"
"2190.0";"4.417876"
"2200.0";"4.461696"
"2210.0";"4.36442"
"2220.0";"4.275377"
"2230.0";"4.607287"
"2240.0";"4.616661"
"2250.0";"4.42646"
"2260.0";"4.539371"
"2270.0";"4.546258"
"2280.0";"4.518247"
"2290.0";"4.329084"
"2300.0";"4.423011"
"2310.0";"4.694019"
"2320.0";"4.99004"
"2330.0";"4.488991"
"2340.0";"4.591134"
"2350.0";"4.683071"
"2360.0";"4.636587"
"2370.0";"4.752064"
"2380.0";"4.93533"
"2390.0";"5.071409"
"2400.0";"4.755445"
"2410.0";"4.654179"
"2420.0";"4.683026"
"2430.0";"4.658153"
"2440.0";"4.452769"
"2450.0";"4.55892"
"2460.0";"4.793682"
"2470.0";"4.767272"
"2480.0";"4.789822"
"2490.0";"5.036174"
"2500.0";"4.884446"
"2510.0";"4.9658"
"2520.0";"4.939546"
"2530.0";"5.105616"
"2540.0";"5.135808"
"2550.0";"5.188864"
"2560.0";"5.025497"
"2570.0";"5.063236"
"2580.0";"5.07007"
"2590.0";"5.099044"
"2600.0";"5.332353"
"2610.0";"5.378881"
"2620.0";"5.374261"
"2630.0";"5.251441"
"2640.0";"5.330154"
"2650.0";"5.555253"
"2660.0";"5.369494"
"2670.0";"5.265138"
"2680.0";"5.405671"
"2690.0";"5.08042"
"2700.0";"4.97226"
"2710.0";"4.893191"
"2720.0";"4.91541"
