# This .csv file was created 12.10.2024 14:36
# extracted out of file prod_mindist_mol6_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CA/6fxb_ca_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL6-dimer_area"
"0.0";"2.381638"
"10.0";"2.508308"
"20.0";"2.238852"
"30.0";"2.281474"
"40.0";"2.335982"
"50.0";"2.60899"
"60.0";"2.518589"
"70.0";"2.535584"
"80.0";"2.636954"
"90.0";"2.666798"
"100.0";"2.585573"
"110.0";"2.590461"
"120.0";"2.720465"
"130.0";"2.418724"
"140.0";"2.631778"
"150.0";"2.594756"
"160.0";"2.29728"
"170.0";"2.325779"
"180.0";"2.247437"
"190.0";"2.243423"
"200.0";"2.46982"
"210.0";"2.38807"
"220.0";"2.182535"
"230.0";"2.451848"
"240.0";"2.274168"
"250.0";"2.414979"
"260.0";"2.436789"
"270.0";"2.769256"
"280.0";"2.65048"
"290.0";"2.68611"
"300.0";"2.532515"
"310.0";"2.516464"
"320.0";"2.449156"
"330.0";"2.225603"
"340.0";"2.258561"
"350.0";"2.229517"
"360.0";"2.228044"
"370.0";"2.241727"
"380.0";"2.355492"
"390.0";"2.593846"
"400.0";"2.479352"
"410.0";"2.62956"
"420.0";"2.698534"
"430.0";"2.692788"
"440.0";"2.619253"
"450.0";"2.70973"
"460.0";"2.800138"
"470.0";"2.830187"
"480.0";"2.757228"
"490.0";"3.152774"
"500.0";"3.045174"
"510.0";"2.754305"
"520.0";"2.77223"
"530.0";"3.183533"
"540.0";"3.183019"
"550.0";"3.054692"
"560.0";"2.949539"
"570.0";"2.860271"
"580.0";"2.974146"
"590.0";"2.737486"
"600.0";"3.11435"
"610.0";"3.504673"
"620.0";"3.304344"
"630.0";"2.949079"
"640.0";"2.990732"
"650.0";"3.082795"
"660.0";"3.32567"
"670.0";"3.222299"
"680.0";"3.044003"
"690.0";"3.071976"
"700.0";"3.218553"
"710.0";"2.985143"
"720.0";"3.072963"
"730.0";"2.966567"
"740.0";"2.971253"
"750.0";"3.292627"
"760.0";"3.230912"
"770.0";"3.177459"
"780.0";"3.009252"
"790.0";"3.053048"
"800.0";"3.137991"
"810.0";"3.203661"
"820.0";"3.699804"
"830.0";"3.621475"
"840.0";"3.475044"
"850.0";"3.482297"
"860.0";"3.343515"
"870.0";"3.815696"
"880.0";"4.132535"
"890.0";"3.847034"
"900.0";"3.695299"
"910.0";"3.937531"
"920.0";"3.991051"
"930.0";"3.689331"
"940.0";"4.03414"
"950.0";"3.882215"
"960.0";"3.99833"
"970.0";"3.958608"
"980.0";"3.81672"
"990.0";"3.700815"
"1000.0";"3.723971"
"1010.0";"3.404433"
"1020.0";"3.306975"
"1030.0";"3.276515"
"1040.0";"3.542493"
"1050.0";"3.552081"
"1060.0";"3.441876"
"1070.0";"3.131187"
"1080.0";"3.19197"
"1090.0";"3.344581"
"1100.0";"3.241189"
"1110.0";"3.200622"
"1120.0";"2.888502"
"1130.0";"2.842235"
"1140.0";"2.711665"
"1150.0";"2.54081"
"1160.0";"2.667609"
"1170.0";"2.398855"
"1180.0";"2.498775"
"1190.0";"2.462194"
"1200.0";"2.429383"
"1210.0";"2.555818"
"1220.0";"2.610842"
"1230.0";"2.522904"
"1240.0";"2.525469"
"1250.0";"2.558608"
"1260.0";"2.368313"
"1270.0";"2.497664"
"1280.0";"2.530124"
"1290.0";"2.653874"
"1300.0";"2.481819"
"1310.0";"2.49277"
"1320.0";"2.372385"
"1330.0";"2.736314"
"1340.0";"2.651662"
"1350.0";"2.771028"
"1360.0";"3.045876"
"1370.0";"3.088472"
"1380.0";"3.185712"
"1390.0";"3.350945"
"1400.0";"3.318635"
"1410.0";"3.472858"
"1420.0";"3.179275"
"1430.0";"3.103724"
"1440.0";"2.996806"
"1450.0";"2.861849"
"1460.0";"2.749751"
"1470.0";"2.738399"
"1480.0";"2.833989"
"1490.0";"2.847018"
"1500.0";"3.002114"
"1510.0";"3.175123"
"1520.0";"3.323055"
"1530.0";"3.122149"
"1540.0";"2.854507"
"1550.0";"2.782557"
"1560.0";"2.680122"
"1570.0";"2.484947"
"1580.0";"2.46216"
"1590.0";"2.428121"
"1600.0";"2.583201"
"1610.0";"2.574219"
"1620.0";"2.62095"
"1630.0";"2.530025"
"1640.0";"2.562814"
"1650.0";"2.610935"
"1660.0";"2.788969"
"1670.0";"3.017141"
"1680.0";"2.666066"
"1690.0";"2.538974"
"1700.0";"2.571706"
"1710.0";"2.631714"
"1720.0";"2.475623"
"1730.0";"2.585005"
"1740.0";"2.569481"
"1750.0";"2.430233"
"1760.0";"2.385794"
"1770.0";"2.365826"
"1780.0";"2.420581"
"1790.0";"2.369321"
"1800.0";"2.560455"
"1810.0";"2.46259"
"1820.0";"2.344268"
"1830.0";"2.382414"
"1840.0";"2.56503"
"1850.0";"2.737605"
"1860.0";"2.634167"
"1870.0";"2.495763"
"1880.0";"2.551351"
"1890.0";"2.363863"
"1900.0";"2.544719"
"1910.0";"2.732043"
"1920.0";"2.739755"
"1930.0";"2.879472"
"1940.0";"2.763082"
"1950.0";"2.918761"
"1960.0";"2.979735"
"1970.0";"2.942571"
"1980.0";"2.959408"
"1990.0";"2.919398"
"2000.0";"2.877989"
"2010.0";"2.823419"
"2020.0";"2.782864"
"2030.0";"2.89471"
"2040.0";"3.034159"
"2050.0";"2.756452"
"2060.0";"2.84447"
"2070.0";"2.949003"
"2080.0";"2.955162"
"2090.0";"3.045252"
"2100.0";"3.130023"
"2110.0";"2.826383"
"2120.0";"2.862612"
"2130.0";"2.894311"
"2140.0";"2.752928"
"2150.0";"2.76561"
"2160.0";"2.788172"
"2170.0";"2.83484"
"2180.0";"2.583908"
"2190.0";"2.715596"
"2200.0";"2.672868"
"2210.0";"2.629893"
"2220.0";"2.934643"
"2230.0";"2.917019"
"2240.0";"2.97615"
"2250.0";"2.843548"
"2260.0";"2.995157"
"2270.0";"2.831453"
"2280.0";"3.005131"
"2290.0";"2.942575"
"2300.0";"2.785819"
"2310.0";"2.603552"
"2320.0";"2.558554"
"2330.0";"2.616774"
"2340.0";"2.457686"
"2350.0";"2.339698"
"2360.0";"2.332253"
"2370.0";"2.25463"
"2380.0";"2.224391"
"2390.0";"2.414955"
"2400.0";"2.455209"
"2410.0";"2.402499"
"2420.0";"2.669785"
"2430.0";"2.431263"
"2440.0";"2.548531"
"2450.0";"2.699039"
"2460.0";"2.492778"
"2470.0";"2.33885"
"2480.0";"2.251197"
"2490.0";"2.204155"
"2500.0";"2.289956"
"2510.0";"2.215358"
"2520.0";"2.295559"
"2530.0";"2.30096"
"2540.0";"2.173676"
"2550.0";"2.318815"
"2560.0";"2.346855"
"2570.0";"2.222077"
"2580.0";"2.515855"
"2590.0";"2.416948"
"2600.0";"2.648384"
"2610.0";"2.840713"
"2620.0";"2.979931"
"2630.0";"2.640155"
"2640.0";"2.906562"
"2650.0";"2.738841"
"2660.0";"3.031996"
"2670.0";"3.00527"
"2680.0";"2.951136"
"2690.0";"2.85249"
"2700.0";"2.921077"
"2710.0";"2.95232"
"2720.0";"3.009923"
"2730.0";"2.659014"
"2740.0";"2.816116"
"2750.0";"2.754102"
"2760.0";"2.81868"
"2770.0";"2.901134"
"2780.0";"2.749428"
"2790.0";"2.709062"
"2800.0";"2.458226"
"2810.0";"2.489663"
"2820.0";"2.623894"
"2830.0";"3.066625"
"2840.0";"3.151976"
"2850.0";"3.184494"
"2860.0";"3.057466"
"2870.0";"3.102753"
"2880.0";"2.98491"
"2890.0";"2.768769"
"2900.0";"2.942988"
"2910.0";"3.228998"
"2920.0";"3.119526"
"2930.0";"3.135888"
"2940.0";"2.874032"
"2950.0";"3.041172"
"2960.0";"2.795637"
"2970.0";"2.890938"
"2980.0";"2.780537"
"2990.0";"2.749256"
"3000.0";"2.484564"
"3010.0";"2.236758"
"3020.0";"2.265309"
"3030.0";"2.439313"
"3040.0";"2.435831"
"3050.0";"2.639742"
"3060.0";"2.710066"
"3070.0";"2.447481"
"3080.0";"2.384463"
"3090.0";"2.472081"
"3100.0";"2.489946"
"3110.0";"2.398381"
"3120.0";"2.404166"
"3130.0";"2.61265"
"3140.0";"2.893015"
"3150.0";"2.796208"
"3160.0";"2.850162"
"3170.0";"2.731202"
"3180.0";"2.663142"
"3190.0";"2.40804"
"3200.0";"2.165914"
"3210.0";"2.019692"
"3220.0";"1.979881"
"3230.0";"2.093001"
"3240.0";"2.155804"
"3250.0";"2.19188"
"3260.0";"2.350585"
"3270.0";"2.296436"
"3280.0";"2.406093"
"3290.0";"2.389551"
"3300.0";"2.371051"
"3310.0";"2.48183"
"3320.0";"2.374542"
"3330.0";"2.637248"
"3340.0";"3.096076"
"3350.0";"2.933566"
"3360.0";"2.909196"
"3370.0";"2.903242"
"3380.0";"3.288688"
"3390.0";"2.890519"
"3400.0";"2.604816"
"3410.0";"2.71703"
"3420.0";"2.616559"
"3430.0";"2.513371"
"3440.0";"2.799467"
"3450.0";"2.317363"
"3460.0";"2.288155"
"3470.0";"2.243816"
"3480.0";"2.196698"
"3490.0";"2.120151"
"3500.0";"2.058113"
"3510.0";"2.367665"
"3520.0";"2.291048"
"3530.0";"2.416821"
"3540.0";"2.436365"
"3550.0";"2.418986"
"3560.0";"2.296836"
"3570.0";"2.471487"
"3580.0";"2.669663"
"3590.0";"2.885512"
"3600.0";"2.873633"
"3610.0";"2.988573"
"3620.0";"3.088206"
"3630.0";"3.117598"
"3640.0";"3.247988"
"3650.0";"3.385801"
"3660.0";"3.370105"
"3670.0";"3.664615"
"3680.0";"3.569495"
"3690.0";"3.693222"
"3700.0";"4.128951"
"3710.0";"4.030228"
"3720.0";"3.861259"
"3730.0";"3.686671"
"3740.0";"3.520586"
"3750.0";"3.496346"
"3760.0";"3.486752"
"3770.0";"3.703588"
"3780.0";"3.447086"
"3790.0";"3.493458"
"3800.0";"3.572886"
"3810.0";"3.152227"
"3820.0";"3.473073"
"3830.0";"3.351056"
"3840.0";"3.161348"
"3850.0";"3.368825"
"3860.0";"3.269286"
"3870.0";"3.106934"
"3880.0";"2.95637"
"3890.0";"2.837371"
"3900.0";"2.73762"
"3910.0";"2.687176"
"3920.0";"2.762704"
"3930.0";"3.026679"
"3940.0";"2.594428"
"3950.0";"2.622202"
"3960.0";"2.723638"
"3970.0";"2.66479"
"3980.0";"2.692709"
"3990.0";"2.712915"
"4000.0";"2.761685"
"4010.0";"2.408775"
"4020.0";"2.558514"
"4030.0";"2.744441"
"4040.0";"2.473613"
"4050.0";"2.499862"
"4060.0";"2.498953"
"4070.0";"2.721286"
"4080.0";"2.271924"
"4090.0";"2.157311"
"4100.0";"2.354012"
"4110.0";"2.372063"
"4120.0";"2.144716"
"4130.0";"2.003116"
"4140.0";"2.032043"
"4150.0";"1.938571"
"4160.0";"1.967523"
"4170.0";"1.919854"
"4180.0";"1.982642"
"4190.0";"1.891032"
"4200.0";"1.883597"
"4210.0";"1.944611"
"4220.0";"2.167523"
"4230.0";"2.271763"
"4240.0";"2.389228"
"4250.0";"2.525511"
"4260.0";"2.298617"
"4270.0";"2.253937"
"4280.0";"2.098244"
"4290.0";"2.374814"
"4300.0";"2.056627"
"4310.0";"2.070201"
"4320.0";"2.334892"
"4330.0";"2.500082"
"4340.0";"2.386474"
"4350.0";"2.520458"
"4360.0";"2.425948"
"4370.0";"2.22175"
"4380.0";"2.049292"
"4390.0";"2.058096"
"4400.0";"1.922316"
"4410.0";"1.930459"
"4420.0";"1.943789"
"4430.0";"1.69468"
"4440.0";"1.92849"
"4450.0";"1.941054"
"4460.0";"1.919897"
"4470.0";"1.877506"
"4480.0";"1.836645"
"4490.0";"1.728703"
"4500.0";"2.07585"
"4510.0";"2.018621"
"4520.0";"1.774419"
"4530.0";"1.754839"
"4540.0";"2.01857"
"4550.0";"1.807303"
"4560.0";"1.9924"
"4570.0";"2.059906"
"4580.0";"2.18872"
"4590.0";"2.204847"
"4600.0";"2.065156"
"4610.0";"1.93138"
"4620.0";"1.812191"
"4630.0";"1.674785"
"4640.0";"1.695781"
"4650.0";"1.726357"
"4660.0";"1.778061"
"4670.0";"1.839944"
"4680.0";"1.788915"
"4690.0";"1.918891"
"4700.0";"1.817701"
"4710.0";"1.796479"
"4720.0";"1.661602"
"4730.0";"1.734705"
"4740.0";"1.822032"
"4750.0";"1.747078"
"4760.0";"1.538229"
"4770.0";"1.606929"
"4780.0";"1.638645"
"4790.0";"1.65339"
"4800.0";"1.806625"
"4810.0";"1.538797"
"4820.0";"1.574399"
"4830.0";"1.515116"
"4840.0";"1.479323"
"4850.0";"1.619347"
"4860.0";"1.586413"
"4870.0";"1.595094"
"4880.0";"1.605108"
"4890.0";"1.803281"
"4900.0";"1.810616"
"4910.0";"1.567973"
"4920.0";"1.577371"
"4930.0";"1.952314"
"4940.0";"1.88781"
"4950.0";"2.039106"
"4960.0";"1.86093"
"4970.0";"2.046488"
"4980.0";"2.127055"
"4990.0";"2.023184"
"5000.0";"1.979642"
"5010.0";"2.028936"
"5020.0";"1.883207"
"5030.0";"1.798131"
"5040.0";"1.805065"
"5050.0";"1.897373"
"5060.0";"2.413813"
"5070.0";"2.541964"
"5080.0";"2.381133"
"5090.0";"2.812127"
"5100.0";"2.733884"
"5110.0";"2.899506"
"5120.0";"2.75455"
"5130.0";"2.782132"
"5140.0";"2.543756"
"5150.0";"2.401181"
"5160.0";"2.605181"
"5170.0";"2.872954"
"5180.0";"2.644558"
"5190.0";"2.463945"
"5200.0";"2.52205"
"5210.0";"2.466379"
"5220.0";"2.297556"
"5230.0";"2.467723"
"5240.0";"2.819179"
"5250.0";"2.932621"
"5260.0";"2.963624"
"5270.0";"2.877039"
"5280.0";"3.098939"
"5290.0";"3.114204"
"5300.0";"3.150997"
"5310.0";"3.05016"
"5320.0";"3.283726"
"5330.0";"3.31017"
"5340.0";"3.274835"
"5350.0";"3.179757"
"5360.0";"3.358835"
"5370.0";"3.54191"
"5380.0";"3.674569"
"5390.0";"3.393929"
"5400.0";"3.355571"
"5410.0";"3.330133"
"5420.0";"3.078427"
"5430.0";"3.323439"
"5440.0";"3.233773"
"5450.0";"2.942545"
"5460.0";"2.99467"
"5470.0";"3.283025"
"5480.0";"3.405108"
"5490.0";"3.835045"
"5500.0";"3.726379"
"5510.0";"3.778542"
"5520.0";"3.773782"
"5530.0";"4.005575"
"5540.0";"4.125928"
"5550.0";"4.096512"
"5560.0";"3.633807"
"5570.0";"3.608078"
"5580.0";"3.617002"
"5590.0";"3.821642"
"5600.0";"3.797865"
"5610.0";"3.971112"
"5620.0";"4.058781"
"5630.0";"4.110974"
"5640.0";"4.006112"
"5650.0";"3.766401"
"5660.0";"4.234552"
"5670.0";"4.318181"
"5680.0";"4.301292"
"5690.0";"4.524902"
"5700.0";"4.240591"
"5710.0";"4.149331"
"5720.0";"4.476872"
"5730.0";"4.264305"
"5740.0";"4.4733"
"5750.0";"4.687367"
"5760.0";"4.545578"
"5770.0";"4.513402"
"5780.0";"4.44164"
"5790.0";"4.747416"
"5800.0";"5.192877"
"5810.0";"4.779777"
"5820.0";"4.872564"
"5830.0";"5.230363"
"5840.0";"5.394915"
"5850.0";"5.447567"
"5860.0";"5.80349"
"5870.0";"5.777363"
"5880.0";"5.667995"
"5890.0";"5.597864"
"5900.0";"5.679528"
"5910.0";"5.228061"
"5920.0";"5.250959"
"5930.0";"5.209167"
"5940.0";"5.0981"
"5950.0";"5.108181"
"5960.0";"5.008881"
"5970.0";"4.908963"
"5980.0";"4.815812"
"5990.0";"4.904735"
"6000.0";"4.956881"
"6010.0";"5.096121"
"6020.0";"4.7991"
"6030.0";"4.991536"
"6040.0";"4.987593"
"6050.0";"4.629695"
"6060.0";"4.485471"
"6070.0";"4.376975"
"6080.0";"4.399893"
"6090.0";"4.130011"
"6100.0";"4.390465"
"6110.0";"4.671808"
"6120.0";"4.678389"
"6130.0";"4.611756"
"6140.0";"4.699153"
"6150.0";"4.730213"
"6160.0";"4.702547"
"6170.0";"4.653552"
"6180.0";"4.477518"
"6190.0";"4.642854"
"6200.0";"4.417361"
"6210.0";"4.296895"
"6220.0";"4.26448"
"6230.0";"3.936714"
"6240.0";"3.668948"
"6250.0";"3.573184"
"6260.0";"3.412605"
"6270.0";"3.591583"
"6280.0";"3.431576"
"6290.0";"3.649881"
"6300.0";"3.881066"
"6310.0";"4.281765"
"6320.0";"3.863635"
"6330.0";"3.72533"
"6340.0";"3.435184"
"6350.0";"3.2878"
"6360.0";"3.411858"
"6370.0";"3.115263"
"6380.0";"3.136442"
"6390.0";"3.181559"
"6400.0";"3.190241"
"6410.0";"2.991255"
"6420.0";"2.929024"
"6430.0";"3.227897"
"6440.0";"3.721906"
"6450.0";"3.598118"
"6460.0";"3.465834"
"6470.0";"3.581213"
"6480.0";"3.593389"
"6490.0";"3.94383"
"6500.0";"4.209124"
"6510.0";"4.219353"
"6520.0";"4.20963"
"6530.0";"4.374097"
"6540.0";"4.47712"
"6550.0";"4.13333"
"6560.0";"4.032194"
"6570.0";"3.988224"
"6580.0";"4.118454"
"6590.0";"4.280624"
"6600.0";"4.542217"
"6610.0";"4.358996"
"6620.0";"4.139097"
"6630.0";"4.125383"
"6640.0";"4.12004"
"6650.0";"4.394773"
"6660.0";"4.408175"
"6670.0";"4.309679"
"6680.0";"4.570447"
"6690.0";"4.851476"
"6700.0";"4.807494"
"6710.0";"4.737587"
"6720.0";"4.944346"
"6730.0";"4.774895"
"6740.0";"5.054445"
"6750.0";"5.206257"
"6760.0";"5.379773"
"6770.0";"5.267842"
"6780.0";"5.450694"
"6790.0";"5.47454"
"6800.0";"5.491294"
"6810.0";"5.456807"
"6820.0";"5.565933"
"6830.0";"5.22615"
"6840.0";"5.392441"
"6850.0";"5.367021"
"6860.0";"5.553056"
"6870.0";"5.530313"
"6880.0";"5.539404"
"6890.0";"5.525217"
"6900.0";"5.632318"
"6910.0";"5.543364"
"6920.0";"5.38913"
"6930.0";"5.244568"
"6940.0";"5.382496"
"6950.0";"5.419676"
"6960.0";"5.229406"
"6970.0";"5.499221"
"6980.0";"5.395313"
"6990.0";"5.305369"
"7000.0";"5.712039"
"7010.0";"5.755542"
"7020.0";"5.875779"
"7030.0";"5.664944"
"7040.0";"5.800152"
"7050.0";"5.897078"
"7060.0";"5.815234"
"7070.0";"5.859678"
"7080.0";"6.049877"
"7090.0";"5.759015"
"7100.0";"5.838776"
"7110.0";"5.640323"
"7120.0";"5.352571"
"7130.0";"5.39331"
"7140.0";"5.04892"
"7150.0";"4.829877"
"7160.0";"4.363752"
"7170.0";"4.398132"
"7180.0";"4.31775"
"7190.0";"4.34841"
"7200.0";"4.328319"
"7210.0";"4.225852"
"7220.0";"4.378821"
"7230.0";"4.778418"
"7240.0";"4.596741"
"7250.0";"4.626146"
"7260.0";"4.174251"
"7270.0";"4.04717"
"7280.0";"4.217627"
"7290.0";"4.108902"
"7300.0";"4.090863"
"7310.0";"4.16313"
"7320.0";"4.197823"
"7330.0";"4.149399"
"7340.0";"4.134813"
"7350.0";"3.972826"
"7360.0";"4.164585"
"7370.0";"4.205899"
"7380.0";"4.435196"
