# This .csv file was created 12.10.2024 14:36
# extracted out of file prod_mol7_rms.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CA/6fxb_ca_2
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"0.0001003"
"10.0";"0.0837837"
"20.0";"0.0940341"
"30.0";"0.1049879"
"40.0";"0.1180797"
"50.0";"0.1025688"
"60.0";"0.1154592"
"70.0";"0.1124461"
"80.0";"0.122337"
"90.0";"0.121922"
"100.0";"0.1203985"
"110.0";"0.1202503"
"120.0";"0.1219629"
"130.0";"0.1312669"
"140.0";"0.1276028"
"150.0";"0.1385891"
"160.0";"0.1351932"
"170.0";"0.1177291"
"180.0";"0.1194954"
"190.0";"0.1257525"
"200.0";"0.1287721"
"210.0";"0.1321646"
"220.0";"0.1244768"
"230.0";"0.1228485"
"240.0";"0.1213495"
"250.0";"0.1355855"
"260.0";"0.1267968"
"270.0";"0.1294203"
"280.0";"0.1321865"
"290.0";"0.1241502"
"300.0";"0.1255937"
"310.0";"0.1260731"
"320.0";"0.1375659"
"330.0";"0.1392516"
"340.0";"0.138248"
"350.0";"0.1364069"
"360.0";"0.1292525"
"370.0";"0.1306779"
"380.0";"0.1331099"
"390.0";"0.1287072"
"400.0";"0.1320307"
"410.0";"0.1296953"
"420.0";"0.1370113"
"430.0";"0.1372859"
"440.0";"0.1335115"
"450.0";"0.1310678"
"460.0";"0.1366239"
"470.0";"0.1425518"
"480.0";"0.1592046"
"490.0";"0.1530195"
"500.0";"0.1352239"
"510.0";"0.1442231"
"520.0";"0.1366521"
"530.0";"0.1449627"
"540.0";"0.133766"
"550.0";"0.1367007"
"560.0";"0.1372373"
"570.0";"0.1423373"
"580.0";"0.143466"
"590.0";"0.1536713"
"600.0";"0.1483022"
"610.0";"0.1609992"
"620.0";"0.1467825"
"630.0";"0.1436192"
"640.0";"0.1393737"
"650.0";"0.1395912"
"660.0";"0.1491916"
"670.0";"0.1472992"
"680.0";"0.1439699"
"690.0";"0.1372224"
"700.0";"0.1390501"
"710.0";"0.1433896"
"720.0";"0.1507124"
"730.0";"0.1473049"
"740.0";"0.1536567"
"750.0";"0.1677895"
"760.0";"0.1578466"
"770.0";"0.144941"
"780.0";"0.1444964"
"790.0";"0.1461284"
"800.0";"0.1428759"
"810.0";"0.1472938"
"820.0";"0.1514062"
"830.0";"0.1454805"
"840.0";"0.1551061"
"850.0";"0.1600486"
"860.0";"0.1604111"
"870.0";"0.1705448"
"880.0";"0.1710888"
"890.0";"0.1584651"
"900.0";"0.1520111"
"910.0";"0.1607537"
"920.0";"0.1735827"
"930.0";"0.1598001"
"940.0";"0.1537641"
"950.0";"0.1562137"
"960.0";"0.1581776"
"970.0";"0.160394"
"980.0";"0.1718093"
"990.0";"0.1661144"
"1000.0";"0.1461069"
"1010.0";"0.1524388"
"1020.0";"0.1462953"
"1030.0";"0.1462947"
"1040.0";"0.1567668"
"1050.0";"0.1684416"
"1060.0";"0.160855"
"1070.0";"0.1610038"
"1080.0";"0.1564409"
"1090.0";"0.1634254"
"1100.0";"0.1652298"
"1110.0";"0.1656406"
"1120.0";"0.1914235"
"1130.0";"0.181967"
"1140.0";"0.1773663"
"1150.0";"0.1721448"
"1160.0";"0.187111"
"1170.0";"0.1791691"
"1180.0";"0.1607714"
"1190.0";"0.1691907"
"1200.0";"0.1620898"
"1210.0";"0.1614617"
"1220.0";"0.1445882"
"1230.0";"0.1579248"
"1240.0";"0.1574233"
"1250.0";"0.1573366"
"1260.0";"0.1511611"
"1270.0";"0.1409851"
"1280.0";"0.1368956"
"1290.0";"0.1400979"
"1300.0";"0.1431213"
"1310.0";"0.1402523"
"1320.0";"0.1418395"
"1330.0";"0.1422716"
"1340.0";"0.1446285"
"1350.0";"0.1504107"
"1360.0";"0.1465554"
"1370.0";"0.1551301"
"1380.0";"0.14358"
"1390.0";"0.1476024"
"1400.0";"0.150987"
"1410.0";"0.160203"
"1420.0";"0.1515907"
"1430.0";"0.1434616"
"1440.0";"0.1467454"
"1450.0";"0.1465745"
"1460.0";"0.1467708"
"1470.0";"0.1483638"
"1480.0";"0.1433059"
"1490.0";"0.1470612"
"1500.0";"0.1547436"
"1510.0";"0.150188"
"1520.0";"0.1482818"
"1530.0";"0.145838"
"1540.0";"0.1434202"
"1550.0";"0.1557631"
"1560.0";"0.1507155"
"1570.0";"0.1472357"
"1580.0";"0.1455633"
"1590.0";"0.1466473"
"1600.0";"0.1471828"
"1610.0";"0.1404668"
"1620.0";"0.1533224"
"1630.0";"0.1614031"
"1640.0";"0.1579901"
"1650.0";"0.1591357"
"1660.0";"0.1511617"
"1670.0";"0.1558101"
"1680.0";"0.1597326"
"1690.0";"0.1613165"
"1700.0";"0.1638922"
"1710.0";"0.1637097"
"1720.0";"0.1714303"
"1730.0";"0.174305"
"1740.0";"0.181327"
"1750.0";"0.1731637"
"1760.0";"0.1767736"
"1770.0";"0.1700262"
"1780.0";"0.186198"
"1790.0";"0.1708822"
"1800.0";"0.1678306"
"1810.0";"0.1610744"
"1820.0";"0.161631"
"1830.0";"0.1725231"
"1840.0";"0.1605407"
"1850.0";"0.1626954"
"1860.0";"0.1653447"
"1870.0";"0.1714435"
"1880.0";"0.1752385"
"1890.0";"0.1744547"
"1900.0";"0.1735338"
"1910.0";"0.1868329"
"1920.0";"0.1696754"
"1930.0";"0.1739562"
"1940.0";"0.1784628"
"1950.0";"0.1634607"
"1960.0";"0.1542291"
"1970.0";"0.1641441"
"1980.0";"0.1559055"
"1990.0";"0.1532508"
"2000.0";"0.1557231"
"2010.0";"0.1511022"
"2020.0";"0.1482538"
"2030.0";"0.1525832"
"2040.0";"0.1516797"
"2050.0";"0.1511443"
"2060.0";"0.1651354"
"2070.0";"0.1692877"
"2080.0";"0.1695519"
"2090.0";"0.1696476"
"2100.0";"0.1721109"
"2110.0";"0.1666758"
"2120.0";"0.1810189"
"2130.0";"0.1854064"
"2140.0";"0.1781829"
"2150.0";"0.1853883"
"2160.0";"0.1858982"
"2170.0";"0.1787931"
"2180.0";"0.1795521"
"2190.0";"0.1699441"
"2200.0";"0.1770318"
"2210.0";"0.175519"
"2220.0";"0.180772"
"2230.0";"0.194259"
"2240.0";"0.1815009"
"2250.0";"0.1810506"
"2260.0";"0.189214"
"2270.0";"0.197408"
"2280.0";"0.1960591"
"2290.0";"0.196874"
"2300.0";"0.2005534"
"2310.0";"0.191376"
"2320.0";"0.1856272"
"2330.0";"0.2038518"
"2340.0";"0.1851552"
"2350.0";"0.1828228"
"2360.0";"0.1697637"
"2370.0";"0.1756241"
"2380.0";"0.1843808"
"2390.0";"0.1803991"
"2400.0";"0.1670841"
"2410.0";"0.1858674"
"2420.0";"0.1730806"
"2430.0";"0.1636382"
"2440.0";"0.1674644"
"2450.0";"0.1592039"
"2460.0";"0.1598686"
"2470.0";"0.1609755"
"2480.0";"0.1604805"
"2490.0";"0.1677334"
"2500.0";"0.1711852"
"2510.0";"0.1727497"
"2520.0";"0.1756264"
"2530.0";"0.1691095"
"2540.0";"0.1674511"
"2550.0";"0.1669965"
"2560.0";"0.1717155"
"2570.0";"0.1626211"
"2580.0";"0.1802543"
"2590.0";"0.1616927"
"2600.0";"0.1761944"
"2610.0";"0.1707145"
"2620.0";"0.1832855"
"2630.0";"0.1704845"
"2640.0";"0.1668312"
"2650.0";"0.1661146"
"2660.0";"0.1714592"
"2670.0";"0.1810176"
"2680.0";"0.1799625"
"2690.0";"0.183407"
"2700.0";"0.1857014"
"2710.0";"0.1856222"
"2720.0";"0.1814916"
"2730.0";"0.1910909"
"2740.0";"0.1888923"
"2750.0";"0.1835472"
"2760.0";"0.1757509"
"2770.0";"0.1777306"
"2780.0";"0.1806232"
"2790.0";"0.1816898"
"2800.0";"0.1766619"
"2810.0";"0.190556"
"2820.0";"0.1789361"
"2830.0";"0.1903278"
"2840.0";"0.1855201"
"2850.0";"0.185071"
"2860.0";"0.1895449"
"2870.0";"0.1849207"
"2880.0";"0.1901454"
"2890.0";"0.1803"
"2900.0";"0.1721265"
"2910.0";"0.1729909"
"2920.0";"0.175975"
"2930.0";"0.1729206"
"2940.0";"0.1821125"
"2950.0";"0.1959554"
"2960.0";"0.1804127"
"2970.0";"0.202952"
"2980.0";"0.2003743"
"2990.0";"0.2115569"
"3000.0";"0.2026983"
"3010.0";"0.1972013"
"3020.0";"0.1923021"
"3030.0";"0.1820149"
"3040.0";"0.1774132"
"3050.0";"0.1752476"
"3060.0";"0.1791603"
"3070.0";"0.187903"
"3080.0";"0.1845427"
"3090.0";"0.1823456"
"3100.0";"0.1743389"
"3110.0";"0.1702486"
"3120.0";"0.1752479"
"3130.0";"0.1770817"
"3140.0";"0.1710692"
"3150.0";"0.1767001"
"3160.0";"0.1707423"
"3170.0";"0.1726995"
"3180.0";"0.1731634"
"3190.0";"0.1750695"
"3200.0";"0.1778523"
"3210.0";"0.1773296"
"3220.0";"0.1800901"
"3230.0";"0.1820899"
"3240.0";"0.1656394"
"3250.0";"0.167458"
"3260.0";"0.1733518"
"3270.0";"0.1710372"
"3280.0";"0.1825914"
"3290.0";"0.17089"
"3300.0";"0.1791855"
"3310.0";"0.177744"
"3320.0";"0.1753068"
"3330.0";"0.1721822"
"3340.0";"0.1732418"
"3350.0";"0.170983"
"3360.0";"0.1789179"
"3370.0";"0.1707616"
"3380.0";"0.1828107"
"3390.0";"0.180818"
"3400.0";"0.1814221"
"3410.0";"0.1776296"
"3420.0";"0.1795515"
"3430.0";"0.1934167"
"3440.0";"0.1890247"
"3450.0";"0.1909351"
"3460.0";"0.193327"
"3470.0";"0.1917993"
"3480.0";"0.1925405"
"3490.0";"0.2008317"
"3500.0";"0.1978663"
"3510.0";"0.2133113"
"3520.0";"0.2048794"
"3530.0";"0.1941788"
"3540.0";"0.19611"
"3550.0";"0.1985196"
"3560.0";"0.2079984"
"3570.0";"0.2017584"
"3580.0";"0.1975554"
"3590.0";"0.199069"
"3600.0";"0.208426"
"3610.0";"0.2144481"
"3620.0";"0.2115638"
"3630.0";"0.2054461"
"3640.0";"0.1990344"
"3650.0";"0.1908692"
"3660.0";"0.1820944"
"3670.0";"0.1968198"
"3680.0";"0.2012655"
"3690.0";"0.1963107"
"3700.0";"0.1918548"
"3710.0";"0.1895965"
"3720.0";"0.1840254"
"3730.0";"0.1917647"
"3740.0";"0.1887944"
"3750.0";"0.1819039"
"3760.0";"0.1893892"
"3770.0";"0.1891631"
"3780.0";"0.1867337"
"3790.0";"0.1828382"
"3800.0";"0.1783998"
"3810.0";"0.1834636"
"3820.0";"0.177678"
"3830.0";"0.1876952"
"3840.0";"0.1806321"
"3850.0";"0.1768285"
"3860.0";"0.1794347"
"3870.0";"0.174312"
"3880.0";"0.1749982"
"3890.0";"0.1752363"
"3900.0";"0.175162"
"3910.0";"0.1732815"
"3920.0";"0.1762263"
"3930.0";"0.1771563"
"3940.0";"0.1801881"
"3950.0";"0.1843623"
"3960.0";"0.1865519"
"3970.0";"0.1796519"
"3980.0";"0.1826816"
"3990.0";"0.1771068"
"4000.0";"0.1812546"
"4010.0";"0.1845232"
"4020.0";"0.1822135"
"4030.0";"0.1803387"
"4040.0";"0.1874962"
"4050.0";"0.184149"
"4060.0";"0.1888705"
"4070.0";"0.1894792"
"4080.0";"0.1768803"
"4090.0";"0.1771077"
"4100.0";"0.1892275"
"4110.0";"0.1781857"
"4120.0";"0.180358"
"4130.0";"0.1769687"
"4140.0";"0.1742072"
"4150.0";"0.1704887"
"4160.0";"0.1832161"
"4170.0";"0.188278"
"4180.0";"0.1818486"
"4190.0";"0.1894343"
"4200.0";"0.1770341"
"4210.0";"0.1734011"
"4220.0";"0.1855178"
"4230.0";"0.1761576"
"4240.0";"0.1841669"
"4250.0";"0.1869873"
"4260.0";"0.1812643"
"4270.0";"0.1740552"
"4280.0";"0.1844271"
"4290.0";"0.1880744"
"4300.0";"0.1825805"
"4310.0";"0.1824815"
"4320.0";"0.1820719"
"4330.0";"0.1759468"
"4340.0";"0.184977"
"4350.0";"0.1804737"
"4360.0";"0.1755286"
"4370.0";"0.1844729"
"4380.0";"0.184401"
"4390.0";"0.1873214"
"4400.0";"0.2010733"
"4410.0";"0.1944376"
"4420.0";"0.1952379"
"4430.0";"0.1946843"
"4440.0";"0.1949169"
"4450.0";"0.1902691"
"4460.0";"0.1847216"
"4470.0";"0.1916844"
"4480.0";"0.189057"
"4490.0";"0.18884"
"4500.0";"0.186756"
"4510.0";"0.1885669"
"4520.0";"0.1831852"
"4530.0";"0.1893646"
"4540.0";"0.1905479"
"4550.0";"0.1987426"
"4560.0";"0.1914443"
"4570.0";"0.1871569"
"4580.0";"0.1853647"
"4590.0";"0.1899353"
"4600.0";"0.190234"
"4610.0";"0.1893291"
"4620.0";"0.1913507"
"4630.0";"0.1926661"
"4640.0";"0.1980707"
"4650.0";"0.1940899"
"4660.0";"0.2000819"
"4670.0";"0.2172934"
"4680.0";"0.2053386"
"4690.0";"0.2019717"
"4700.0";"0.2071952"
"4710.0";"0.2021693"
"4720.0";"0.1996155"
"4730.0";"0.1967188"
"4740.0";"0.1937474"
"4750.0";"0.2045856"
"4760.0";"0.2129959"
"4770.0";"0.2243205"
"4780.0";"0.2157256"
"4790.0";"0.2104232"
"4800.0";"0.2042515"
"4810.0";"0.1996528"
"4820.0";"0.1960777"
"4830.0";"0.1900136"
"4840.0";"0.1870602"
"4850.0";"0.1922057"
"4860.0";"0.184667"
"4870.0";"0.1817021"
"4880.0";"0.1828693"
"4890.0";"0.1826433"
"4900.0";"0.1863571"
"4910.0";"0.1878986"
"4920.0";"0.2120979"
"4930.0";"0.2039173"
"4940.0";"0.2073066"
"4950.0";"0.1947265"
"4960.0";"0.1938275"
"4970.0";"0.1977957"
"4980.0";"0.2113445"
"4990.0";"0.2052037"
"5000.0";"0.1843085"
"5010.0";"0.190203"
"5020.0";"0.1912519"
"5030.0";"0.1854136"
"5040.0";"0.1823537"
"5050.0";"0.1872295"
"5060.0";"0.1751263"
"5070.0";"0.1769277"
"5080.0";"0.1764039"
"5090.0";"0.1868677"
"5100.0";"0.1871924"
"5110.0";"0.1895041"
"5120.0";"0.1861732"
"5130.0";"0.1962444"
"5140.0";"0.211035"
"5150.0";"0.2007533"
"5160.0";"0.1878653"
"5170.0";"0.1976006"
"5180.0";"0.195746"
"5190.0";"0.2029714"
"5200.0";"0.2042018"
"5210.0";"0.1940264"
"5220.0";"0.1826351"
"5230.0";"0.1796595"
"5240.0";"0.184704"
"5250.0";"0.1919365"
"5260.0";"0.1773643"
"5270.0";"0.188657"
"5280.0";"0.183499"
"5290.0";"0.1798037"
"5300.0";"0.1900871"
"5310.0";"0.1904775"
"5320.0";"0.1799396"
"5330.0";"0.18081"
"5340.0";"0.1818402"
"5350.0";"0.1774985"
"5360.0";"0.1703536"
"5370.0";"0.1728046"
"5380.0";"0.184896"
"5390.0";"0.1724886"
"5400.0";"0.1628533"
"5410.0";"0.1615446"
"5420.0";"0.1611269"
"5430.0";"0.1690923"
"5440.0";"0.1690292"
"5450.0";"0.1751568"
"5460.0";"0.1715994"
"5470.0";"0.1683882"
"5480.0";"0.1698573"
"5490.0";"0.1882526"
"5500.0";"0.1870226"
"5510.0";"0.1892892"
"5520.0";"0.1799413"
"5530.0";"0.1782372"
"5540.0";"0.1786135"
"5550.0";"0.1700325"
"5560.0";"0.1597811"
"5570.0";"0.1681491"
"5580.0";"0.1672254"
"5590.0";"0.1751669"
"5600.0";"0.1635216"
"5610.0";"0.1732147"
"5620.0";"0.1818621"
"5630.0";"0.1758816"
"5640.0";"0.179963"
"5650.0";"0.1799414"
"5660.0";"0.1843472"
"5670.0";"0.1863673"
"5680.0";"0.173863"
"5690.0";"0.1760989"
"5700.0";"0.1668662"
"5710.0";"0.176562"
"5720.0";"0.1826978"
"5730.0";"0.184986"
"5740.0";"0.1760317"
"5750.0";"0.173405"
"5760.0";"0.1825717"
"5770.0";"0.1747297"
"5780.0";"0.1672271"
"5790.0";"0.1812229"
"5800.0";"0.1738364"
"5810.0";"0.1817731"
"5820.0";"0.1706708"
"5830.0";"0.1809923"
"5840.0";"0.193964"
"5850.0";"0.1766117"
"5860.0";"0.1796716"
"5870.0";"0.1703469"
"5880.0";"0.1652589"
"5890.0";"0.1686384"
"5900.0";"0.1619071"
"5910.0";"0.1623112"
"5920.0";"0.1587145"
"5930.0";"0.1623627"
"5940.0";"0.1576699"
"5950.0";"0.1608478"
"5960.0";"0.1670392"
"5970.0";"0.1734065"
"5980.0";"0.156473"
"5990.0";"0.1532185"
"6000.0";"0.1562389"
"6010.0";"0.1651382"
"6020.0";"0.1668394"
"6030.0";"0.1764376"
"6040.0";"0.1667772"
"6050.0";"0.1660142"
"6060.0";"0.1723762"
"6070.0";"0.1730891"
"6080.0";"0.1752141"
"6090.0";"0.1812028"
"6100.0";"0.1773538"
"6110.0";"0.165861"
"6120.0";"0.185423"
"6130.0";"0.1870362"
"6140.0";"0.1809389"
"6150.0";"0.1721076"
"6160.0";"0.1699788"
"6170.0";"0.1802512"
"6180.0";"0.1729638"
"6190.0";"0.1955932"
"6200.0";"0.175354"
"6210.0";"0.1741551"
"6220.0";"0.178925"
"6230.0";"0.1799998"
"6240.0";"0.1714675"
"6250.0";"0.1861276"
"6260.0";"0.1774602"
"6270.0";"0.1632909"
"6280.0";"0.1744219"
"6290.0";"0.169221"
"6300.0";"0.1586801"
"6310.0";"0.1592191"
"6320.0";"0.1692591"
"6330.0";"0.1718136"
"6340.0";"0.1728711"
"6350.0";"0.1733552"
"6360.0";"0.1594379"
"6370.0";"0.1690545"
"6380.0";"0.1682806"
"6390.0";"0.1783065"
"6400.0";"0.1734843"
"6410.0";"0.1806821"
"6420.0";"0.1653846"
"6430.0";"0.1608773"
"6440.0";"0.1643137"
"6450.0";"0.1822944"
"6460.0";"0.1635131"
"6470.0";"0.1716619"
"6480.0";"0.1703078"
"6490.0";"0.1736074"
"6500.0";"0.1767282"
"6510.0";"0.173528"
"6520.0";"0.1816465"
"6530.0";"0.1923504"
"6540.0";"0.1733643"
"6550.0";"0.1762724"
"6560.0";"0.1735971"
"6570.0";"0.1641171"
"6580.0";"0.1718048"
"6590.0";"0.1778852"
"6600.0";"0.1849186"
"6610.0";"0.1810995"
"6620.0";"0.1872876"
"6630.0";"0.1979693"
"6640.0";"0.1987641"
"6650.0";"0.1924852"
"6660.0";"0.1824981"
"6670.0";"0.1895874"
"6680.0";"0.1794616"
"6690.0";"0.1779258"
"6700.0";"0.1706258"
"6710.0";"0.183778"
"6720.0";"0.1797678"
"6730.0";"0.1806531"
"6740.0";"0.1833182"
"6750.0";"0.1889212"
"6760.0";"0.1795084"
"6770.0";"0.1902416"
"6780.0";"0.1814664"
"6790.0";"0.2066736"
"6800.0";"0.198628"
"6810.0";"0.1837888"
"6820.0";"0.1811634"
"6830.0";"0.1872488"
"6840.0";"0.1910039"
"6850.0";"0.1864331"
"6860.0";"0.20662"
"6870.0";"0.1854047"
"6880.0";"0.177263"
"6890.0";"0.1792516"
"6900.0";"0.1998713"
"6910.0";"0.1883747"
"6920.0";"0.1909783"
"6930.0";"0.179265"
"6940.0";"0.1833787"
"6950.0";"0.1887384"
"6960.0";"0.1925061"
"6970.0";"0.1897892"
"6980.0";"0.1947717"
"6990.0";"0.2082137"
"7000.0";"0.196466"
"7010.0";"0.1883945"
"7020.0";"0.2021544"
"7030.0";"0.1891636"
"7040.0";"0.1815196"
"7050.0";"0.1880558"
"7060.0";"0.1918037"
"7070.0";"0.1930317"
"7080.0";"0.1868754"
"7090.0";"0.1814653"
"7100.0";"0.1942253"
"7110.0";"0.1835767"
"7120.0";"0.1718901"
"7130.0";"0.1787896"
"7140.0";"0.1877328"
"7150.0";"0.1896889"
"7160.0";"0.2071287"
"7170.0";"0.1891019"
"7180.0";"0.1985784"
"7190.0";"0.1950863"
"7200.0";"0.1911749"
"7210.0";"0.1943033"
"7220.0";"0.1826121"
"7230.0";"0.1990137"
"7240.0";"0.1848758"
"7250.0";"0.1920483"
"7260.0";"0.1945726"
"7270.0";"0.1876651"
"7280.0";"0.2034706"
"7290.0";"0.2076287"
"7300.0";"0.2160079"
"7310.0";"0.1906455"
"7320.0";"0.1828632"
"7330.0";"0.1875866"
"7340.0";"0.2002988"
"7350.0";"0.2076043"
"7360.0";"0.1866021"
"7370.0";"0.1993012"
"7380.0";"0.2100706"
"7390.0";"0.1862026"
"7400.0";"0.1972316"
"7410.0";"0.2143869"
"7420.0";"0.208181"
"7430.0";"0.2013241"
"7440.0";"0.1898876"
"7450.0";"0.1810911"
"7460.0";"0.1870468"
"7470.0";"0.1911358"
"7480.0";"0.1860061"
"7490.0";"0.1965179"
"7500.0";"0.2022192"
"7510.0";"0.1948502"
"7520.0";"0.2039682"
"7530.0";"0.2122689"
"7540.0";"0.220669"
"7550.0";"0.2157253"
"7560.0";"0.2098959"
"7570.0";"0.2113719"
"7580.0";"0.2086806"
"7590.0";"0.2044179"
"7600.0";"0.1836331"
"7610.0";"0.1999274"
"7620.0";"0.2087611"
"7630.0";"0.2022283"
"7640.0";"0.1826392"
"7650.0";"0.1800031"
"7660.0";"0.1884422"
"7670.0";"0.1876671"
"7680.0";"0.1964891"
"7690.0";"0.1964785"
"7700.0";"0.1824733"
"7710.0";"0.1805691"
"7720.0";"0.1875767"
"7730.0";"0.1990763"
"7740.0";"0.1973208"
"7750.0";"0.2003836"
"7760.0";"0.1908435"
"7770.0";"0.2012081"
"7780.0";"0.2031578"
"7790.0";"0.2191549"
"7800.0";"0.2070574"
"7810.0";"0.1966459"
"7820.0";"0.2143875"
