# This .csv file was created 12.10.2024 14:36
# extracted out of file prod_sasa.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CA/6fxb_ca_2
# Original file was created by command :
"Solvent Accessible Surface"
"Time (ps)";"Total"
"0.0";"160.636"
"10.0";"159.051"
"20.0";"161.511"
"30.0";"159.637"
"40.0";"159.558"
"50.0";"162.499"
"60.0";"164.134"
"70.0";"159.277"
"80.0";"161.921"
"90.0";"163.096"
"100.0";"160.295"
"110.0";"161.678"
"120.0";"160.692"
"130.0";"161.154"
"140.0";"164.572"
"150.0";"162.127"
"160.0";"165.243"
"170.0";"164.011"
"180.0";"163.401"
"190.0";"160.76"
"200.0";"163.513"
"210.0";"165.08"
"220.0";"164.932"
"230.0";"165.978"
"240.0";"162.636"
"250.0";"161.714"
"260.0";"164.877"
"270.0";"166.334"
"280.0";"163.225"
"290.0";"159.381"
"300.0";"162.008"
"310.0";"163.413"
"320.0";"161.383"
"330.0";"159.756"
"340.0";"163.523"
"350.0";"162.247"
"360.0";"161.362"
"370.0";"162.124"
"380.0";"164.481"
"390.0";"164.034"
"400.0";"162.638"
"410.0";"163.825"
"420.0";"163.988"
"430.0";"163.685"
"440.0";"165.09"
"450.0";"165.06"
"460.0";"162.079"
"470.0";"163.339"
"480.0";"163.368"
"490.0";"160.483"
"500.0";"163.693"
"510.0";"163.492"
"520.0";"162.236"
"530.0";"165.336"
"540.0";"163.161"
"550.0";"160.58"
"560.0";"161.121"
"570.0";"162.252"
"580.0";"164.056"
"590.0";"162.524"
"600.0";"161.361"
"610.0";"162.78"
"620.0";"162.425"
"630.0";"159.335"
"640.0";"165.526"
"650.0";"164.686"
"660.0";"164.231"
"670.0";"161.955"
"680.0";"162.212"
"690.0";"162.203"
"700.0";"162.992"
"710.0";"163.88"
"720.0";"160.588"
"730.0";"161.69"
"740.0";"163.062"
"750.0";"160.987"
"760.0";"162.012"
"770.0";"162.441"
"780.0";"163.811"
"790.0";"160.71"
"800.0";"162.281"
