# This .csv file was created 12.10.2024 14:35
# extracted out of file ie_prod_mol.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CA/6fxb_ca_3
# Original file was created by command :
"GROMACS Energies"
"Time (ps)";"Coul-SR:Protein-MOL";"LJ-SR:Protein-MOL"
"0.0";"-12.372631";"-41.183563"
"10.0";"-13.698666";"-29.944714"
"20.0";"-3.135586";"-33.386986"
"30.0";"-52.507088";"-34.851151"
"40.0";"-10.635746";"-36.894451"
"50.0";"-42.180676";"-37.797035"
"60.0";"-15.181391";"-30.413031"
"70.0";"-12.363132";"-41.690716"
"80.0";"-13.711283";"-28.374079"
"90.0";"-1.781373";"-26.582262"
"100.0";"-4.731269";"-31.512955"
"110.0";"-19.92403";"-40.147758"
"120.0";"-42.437366";"-35.926105"
"130.0";"-24.859159";"-40.087551"
"140.0";"-3.042757";"-29.518084"
"150.0";"-103.269791";"-37.090393"
"160.0";"-1.719382";"-39.803387"
"170.0";"-34.598961";"-53.614521"
"180.0";"-51.317539";"-51.01585"
"190.0";"-40.962967";"-57.492077"
"200.0";"-20.679169";"-43.455772"
"210.0";"-28.929605";"-53.156208"
"220.0";"-19.173159";"-49.036751"
"230.0";"-13.805434";"-42.55909"
"240.0";"-15.276318";"-30.209438"
"250.0";"-21.961819";"-36.089226"
"260.0";"-25.875172";"-26.661823"
"270.0";"-10.341522";"-28.872673"
"280.0";"-3.077067";"-24.931793"
"290.0";"-20.673721";"-36.028015"
"300.0";"-9.839758";"-52.723839"
"310.0";"-15.558935";"-45.342186"
"320.0";"-74.098114";"-39.685043"
"330.0";"-46.455284";"-53.182415"
"340.0";"-18.68648";"-47.695179"
"350.0";"-41.325851";"-53.190037"
"360.0";"-28.832973";"-43.516022"
"370.0";"-20.976719";"-40.261082"
"380.0";"-8.443565";"-38.167767"
"390.0";"-34.223618";"-49.342556"
"400.0";"-78.552132";"-55.032265"
"410.0";"-66.048584";"-51.875977"
"420.0";"-81.286606";"-38.800819"
"430.0";"-44.666733";"-43.069649"
"440.0";"-66.763046";"-51.979591"
