# This .csv file was created 12.10.2024 14:36
# extracted out of file mindist_major_allergenic_epitope_r_102-124_MOL6.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CA/6fxb_ca_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_102-124-MOL6"
"0.0";"3.202696"
"10.0";"2.708853"
"20.0";"2.704757"
"30.0";"2.895181"
"40.0";"2.920927"
"50.0";"3.300165"
"60.0";"3.464689"
"70.0";"3.200387"
"80.0";"3.097308"
"90.0";"2.994951"
"100.0";"3.056915"
"110.0";"3.30445"
"120.0";"3.273286"
"130.0";"2.965978"
"140.0";"3.039966"
"150.0";"2.697495"
"160.0";"2.783156"
"170.0";"2.679713"
"180.0";"2.771525"
"190.0";"2.822113"
"200.0";"2.639853"
"210.0";"3.060283"
"220.0";"3.031195"
"230.0";"2.914636"
"240.0";"3.192275"
"250.0";"3.056743"
"260.0";"3.447767"
"270.0";"3.594122"
"280.0";"3.327058"
"290.0";"3.307687"
"300.0";"3.407301"
"310.0";"2.977614"
"320.0";"3.213984"
"330.0";"3.278595"
"340.0";"3.413367"
"350.0";"3.667705"
"360.0";"3.574581"
"370.0";"3.556781"
"380.0";"3.615446"
"390.0";"3.502232"
"400.0";"3.227224"
"410.0";"3.117131"
"420.0";"3.1382"
"430.0";"3.191489"
"440.0";"3.370084"
"450.0";"3.24779"
"460.0";"3.164487"
"470.0";"3.164312"
"480.0";"3.302114"
"490.0";"3.454683"
"500.0";"3.766465"
"510.0";"3.514348"
"520.0";"3.522759"
"530.0";"3.701023"
"540.0";"3.740263"
"550.0";"4.162951"
"560.0";"4.065772"
"570.0";"4.074774"
"580.0";"4.273462"
"590.0";"4.448827"
"600.0";"4.338985"
"610.0";"4.524765"
"620.0";"4.757914"
"630.0";"4.492968"
"640.0";"4.493899"
"650.0";"4.755887"
"660.0";"4.668724"
"670.0";"4.538805"
"680.0";"4.404011"
"690.0";"4.334012"
"700.0";"4.366621"
"710.0";"4.089829"
"720.0";"4.049833"
"730.0";"4.316429"
"740.0";"4.233762"
"750.0";"4.405361"
"760.0";"4.362398"
"770.0";"4.384069"
"780.0";"4.447396"
"790.0";"4.224141"
"800.0";"4.352001"
"810.0";"4.168886"
"820.0";"4.072946"
"830.0";"4.196114"
"840.0";"4.367695"
"850.0";"4.344547"
"860.0";"4.174928"
"870.0";"4.607891"
"880.0";"4.763629"
"890.0";"5.289025"
"900.0";"5.237484"
"910.0";"5.357904"
"920.0";"5.572105"
"930.0";"5.72249"
"940.0";"5.775974"
"950.0";"5.738734"
"960.0";"5.75804"
"970.0";"5.509865"
"980.0";"5.433443"
"990.0";"5.683929"
"1000.0";"5.654492"
"1010.0";"5.647293"
"1020.0";"5.687439"
"1030.0";"5.810171"
"1040.0";"5.664761"
"1050.0";"5.696147"
"1060.0";"5.337413"
"1070.0";"5.466198"
"1080.0";"5.582577"
"1090.0";"5.473525"
"1100.0";"5.272875"
"1110.0";"5.127692"
"1120.0";"5.373345"
"1130.0";"5.059595"
"1140.0";"4.828211"
"1150.0";"5.048043"
"1160.0";"4.998832"
"1170.0";"5.2111"
"1180.0";"5.164713"
"1190.0";"5.181935"
"1200.0";"5.4491"
"1210.0";"5.513883"
"1220.0";"5.610804"
"1230.0";"5.333898"
"1240.0";"5.071219"
"1250.0";"5.135475"
"1260.0";"5.118802"
"1270.0";"4.980536"
"1280.0";"5.136451"
"1290.0";"5.00614"
"1300.0";"5.278756"
"1310.0";"5.272789"
"1320.0";"4.890871"
"1330.0";"4.715034"
"1340.0";"4.817407"
"1350.0";"4.751265"
"1360.0";"5.298022"
"1370.0";"5.528273"
"1380.0";"5.281286"
"1390.0";"5.280773"
"1400.0";"5.17474"
"1410.0";"5.038884"
"1420.0";"5.140071"
"1430.0";"5.124184"
"1440.0";"4.818377"
"1450.0";"4.915193"
"1460.0";"5.091023"
"1470.0";"5.148517"
"1480.0";"5.186039"
"1490.0";"5.383924"
"1500.0";"5.602414"
"1510.0";"5.364384"
"1520.0";"5.054676"
"1530.0";"5.059544"
"1540.0";"5.139219"
"1550.0";"5.235092"
"1560.0";"5.287045"
"1570.0";"5.523922"
"1580.0";"5.147494"
"1590.0";"4.885784"
