# This .csv file was created 12.10.2024 14:36
# extracted out of file mindist_major_allergenic_epitope_r_203-222_MOL8_2.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CA/6fxb_ca_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_203-222-MOL8"
"0.0";"4.012937"
"10.0";"4.0518"
"20.0";"4.112057"
"30.0";"3.985371"
"40.0";"4.060348"
"50.0";"4.152313"
"60.0";"4.193326"
"70.0";"4.009077"
"80.0";"3.989917"
"90.0";"3.895035"
"100.0";"3.808395"
"110.0";"3.81612"
"120.0";"3.690234"
"130.0";"3.824949"
"140.0";"3.661294"
"150.0";"3.44013"
"160.0";"3.511712"
"170.0";"3.306306"
"180.0";"3.433399"
"190.0";"3.461696"
"200.0";"3.371721"
"210.0";"3.430225"
"220.0";"3.615261"
"230.0";"3.616165"
"240.0";"3.622892"
"250.0";"3.509168"
"260.0";"3.485621"
"270.0";"3.34079"
"280.0";"3.421841"
"290.0";"3.458524"
"300.0";"3.463215"
"310.0";"3.47706"
"320.0";"3.410338"
"330.0";"3.498103"
"340.0";"3.561036"
"350.0";"3.465452"
"360.0";"3.486733"
"370.0";"3.422597"
"380.0";"3.397162"
"390.0";"3.536806"
"400.0";"3.529774"
"410.0";"3.664226"
"420.0";"3.525595"
"430.0";"3.571243"
"440.0";"3.541834"
"450.0";"3.537999"
"460.0";"3.488468"
"470.0";"3.407547"
"480.0";"3.289188"
"490.0";"3.248892"
"500.0";"3.197654"
"510.0";"3.202415"
"520.0";"3.34858"
"530.0";"3.224082"
"540.0";"3.246604"
"550.0";"3.339632"
"560.0";"3.273776"
"570.0";"3.209158"
"580.0";"3.22492"
"590.0";"3.312592"
"600.0";"3.289331"
"610.0";"3.278719"
"620.0";"3.220507"
"630.0";"3.187604"
"640.0";"3.200137"
"650.0";"3.241954"
"660.0";"3.296647"
"670.0";"3.38031"
"680.0";"3.290409"
"690.0";"3.347735"
"700.0";"3.265444"
"710.0";"3.215329"
"720.0";"3.217731"
"730.0";"3.163839"
"740.0";"3.234643"
"750.0";"3.239281"
"760.0";"3.274987"
"770.0";"3.24477"
"780.0";"3.43226"
"790.0";"3.271299"
"800.0";"3.427804"
"810.0";"3.386929"
"820.0";"3.212553"
"830.0";"3.323023"
"840.0";"3.276111"
"850.0";"3.251859"
"860.0";"3.233231"
"870.0";"3.225767"
"880.0";"3.355804"
"890.0";"3.186844"
"900.0";"3.221393"
"910.0";"3.313736"
"920.0";"3.515064"
"930.0";"3.386961"
"940.0";"3.288643"
"950.0";"3.320278"
"960.0";"3.254755"
"970.0";"3.27109"
"980.0";"3.311324"
"990.0";"3.297357"
"1000.0";"3.297648"
"1010.0";"3.268931"
"1020.0";"3.222559"
"1030.0";"3.256424"
"1040.0";"3.282403"
"1050.0";"3.275383"
"1060.0";"3.29948"
"1070.0";"3.267397"
"1080.0";"3.302271"
"1090.0";"3.270389"
"1100.0";"3.317813"
"1110.0";"3.294695"
"1120.0";"3.288653"
"1130.0";"3.249357"
"1140.0";"3.359133"
"1150.0";"3.346811"
"1160.0";"3.274384"
"1170.0";"3.367074"
"1180.0";"3.201668"
"1190.0";"3.173287"
"1200.0";"3.106961"
"1210.0";"3.187906"
"1220.0";"3.170623"
"1230.0";"3.231789"
"1240.0";"3.265954"
"1250.0";"3.21143"
"1260.0";"3.265223"
"1270.0";"3.338211"
"1280.0";"3.281757"
"1290.0";"3.185417"
"1300.0";"3.248008"
"1310.0";"3.21257"
"1320.0";"3.27846"
"1330.0";"3.26187"
"1340.0";"3.346914"
"1350.0";"3.252025"
"1360.0";"3.420254"
"1370.0";"3.441108"
"1380.0";"3.337393"
"1390.0";"3.36677"
"1400.0";"3.20974"
"1410.0";"3.30127"
"1420.0";"3.283933"
"1430.0";"3.225423"
"1440.0";"3.212834"
"1450.0";"3.311157"
"1460.0";"3.205886"
"1470.0";"3.148539"
"1480.0";"3.261728"
"1490.0";"3.252014"
"1500.0";"3.277978"
"1510.0";"3.178352"
"1520.0";"3.218519"
"1530.0";"3.283454"
"1540.0";"3.259388"
"1550.0";"3.231735"
"1560.0";"3.282125"
"1570.0";"3.233755"
"1580.0";"3.289916"
"1590.0";"3.282833"
"1600.0";"3.281266"
"1610.0";"3.192525"
"1620.0";"3.127243"
"1630.0";"3.21226"
"1640.0";"3.253996"
"1650.0";"3.372548"
"1660.0";"3.414645"
"1670.0";"3.421654"
"1680.0";"3.309761"
"1690.0";"3.313491"
"1700.0";"3.423751"
"1710.0";"3.366675"
"1720.0";"3.412323"
"1730.0";"3.259429"
"1740.0";"3.265185"
"1750.0";"3.289098"
"1760.0";"3.376156"
"1770.0";"3.387257"
"1780.0";"3.334933"
"1790.0";"3.25924"
"1800.0";"3.238708"
"1810.0";"3.354396"
"1820.0";"3.247991"
"1830.0";"3.378533"
"1840.0";"3.519444"
"1850.0";"3.58716"
"1860.0";"3.512127"
"1870.0";"3.545161"
"1880.0";"3.531067"
"1890.0";"3.507719"
"1900.0";"3.456938"
"1910.0";"3.443203"
"1920.0";"3.529306"
"1930.0";"3.571673"
"1940.0";"3.383962"
"1950.0";"3.579432"
"1960.0";"3.663242"
"1970.0";"3.29085"
"1980.0";"3.408815"
"1990.0";"3.485443"
"2000.0";"3.3315"
"2010.0";"3.340588"
"2020.0";"3.378552"
"2030.0";"3.324362"
"2040.0";"3.456834"
"2050.0";"3.393137"
"2060.0";"3.424421"
"2070.0";"3.513058"
"2080.0";"3.673189"
"2090.0";"3.395764"
"2100.0";"3.4749"
"2110.0";"3.46765"
"2120.0";"3.388113"
"2130.0";"3.391158"
"2140.0";"3.499748"
"2150.0";"3.604228"
"2160.0";"3.356334"
"2170.0";"3.405861"
"2180.0";"3.314796"
"2190.0";"3.322625"
"2200.0";"3.391451"
"2210.0";"3.291392"
"2220.0";"3.262002"
"2230.0";"3.43536"
"2240.0";"3.43564"
"2250.0";"3.346893"
"2260.0";"3.355427"
"2270.0";"3.353698"
"2280.0";"3.291755"
"2290.0";"3.319175"
"2300.0";"3.396983"
"2310.0";"3.355106"
"2320.0";"3.301656"
"2330.0";"3.255496"
"2340.0";"3.405997"
"2350.0";"3.339083"
"2360.0";"3.367142"
"2370.0";"3.322076"
"2380.0";"3.293527"
"2390.0";"3.354209"
"2400.0";"3.363202"
"2410.0";"3.341199"
