# This .csv file was created 12.10.2024 14:34
# extracted out of file ie_prod_mol.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAB/6fxb_cab_1
# Original file was created by command :
"GROMACS Energies"
"Time (ps)";"Coul-SR:Protein-MOL";"LJ-SR:Protein-MOL"
"0.0";"-343.301636";"-85.652695"
"10.0";"-328.470184";"-98.639252"
"20.0";"-327.531952";"-114.630157"
"30.0";"-408.389832";"-106.91362"
"40.0";"-422.58313";"-85.264755"
"50.0";"-441.138397";"-114.858711"
"60.0";"-450.743988";"-133.007599"
"70.0";"-411.669342";"-112.778778"
"80.0";"-460.342316";"-95.520523"
"90.0";"-454.335297";"-127.685173"
"100.0";"-491.407959";"-99.69281"
"110.0";"-475.404602";"-110.828941"
"120.0";"-498.63205";"-104.630287"
"130.0";"-478.991852";"-91.364021"
"140.0";"-536.87677";"-93.06279"
"150.0";"-502.962708";"-78.661118"
"160.0";"-452.936981";"-85.05397"
"170.0";"-506.030182";"-109.459061"
"180.0";"-463.737762";"-76.960449"
"190.0";"-495.857239";"-95.467331"
"200.0";"-489.208282";"-130.476944"
"210.0";"-516.709717";"-96.323326"
"220.0";"-493.998993";"-105.641678"
"230.0";"-549.33606";"-67.159004"
"240.0";"-439.794769";"-126.236076"
"250.0";"-469.485352";"-118.286377"
"260.0";"-489.617279";"-114.505188"
"270.0";"-548.104919";"-88.641159"
"280.0";"-499.346558";"-105.371742"
"290.0";"-562.981384";"-97.758804"
"300.0";"-570.025635";"-90.175842"
"310.0";"-532.682556";"-120.829567"
"320.0";"-506.565857";"-113.731987"
"330.0";"-459.685608";"-114.827019"
"340.0";"-517.100098";"-131.549149"
"350.0";"-467.45636";"-109.64576"
"360.0";"-452.796143";"-106.071587"
"370.0";"-496.753387";"-116.676407"
"380.0";"-485.081482";"-99.448936"
"390.0";"-395.003448";"-151.936554"
"400.0";"-418.735229";"-136.870178"
"410.0";"-460.422974";"-129.289307"
"420.0";"-447.513855";"-113.482483"
"430.0";"-441.320374";"-108.374535"
"440.0";"-509.243713";"-104.258385"
"450.0";"-451.395081";"-100.978065"
"460.0";"-353.601593";"-138.226318"
"470.0";"-349.494568";"-143.186127"
"480.0";"-447.288666";"-141.464966"
"490.0";"-302.242126";"-139.540573"
"500.0";"-327.702332";"-160.132721"
"510.0";"-345.38916";"-138.988739"
"520.0";"-357.664215";"-149.856232"
"530.0";"-468.465118";"-159.326019"
"540.0";"-485.991028";"-136.815292"
"550.0";"-532.71106";"-151.927399"
"560.0";"-446.390564";"-176.450348"
"570.0";"-580.187561";"-98.310455"
"580.0";"-398.7117";"-154.102631"
"590.0";"-441.259583";"-163.728806"
"600.0";"-415.940552";"-136.708725"
"610.0";"-450.14151";"-136.510284"
"620.0";"-492.236023";"-125.432991"
"630.0";"-459.42807";"-135.722672"
"640.0";"-554.514526";"-151.122757"
"650.0";"-534.350342";"-116.934799"
"660.0";"-400.767578";"-113.928986"
"670.0";"-394.908966";"-104.525238"
"680.0";"-373.54071";"-129.631439"
"690.0";"-422.576172";"-151.652954"
"700.0";"-473.505219";"-145.779861"
"710.0";"-356.340454";"-144.038773"
"720.0";"-323.79599";"-148.755905"
"730.0";"-328.771942";"-147.878922"
"740.0";"-451.685669";"-146.715668"
"750.0";"-462.037354";"-125.368355"
"760.0";"-507.254669";"-120.88485"
"770.0";"-516.040405";"-123.548454"
"780.0";"-428.444275";"-168.26239"
"790.0";"-421.794647";"-161.863571"
"800.0";"-468.020477";"-157.489243"
"810.0";"-552.111328";"-143.758453"
"820.0";"-501.472534";"-127.827919"
"830.0";"-530.492554";"-122.3778"
"840.0";"-550.822266";"-137.047943"
"850.0";"-476.603912";"-113.370422"
"860.0";"-500.565094";"-148.863403"
"870.0";"-480.391174";"-100.278458"
"880.0";"-474.585632";"-152.501556"
"890.0";"-441.993103";"-156.729538"
"900.0";"-461.821625";"-132.749771"
"910.0";"-467.896973";"-141.335663"
"920.0";"-473.422089";"-148.43399"
"930.0";"-521.735046";"-102.86409"
"940.0";"-471.827606";"-116.002213"
"950.0";"-470.180389";"-146.109787"
"960.0";"-495.69873";"-127.478325"
"970.0";"-474.264404";"-131.141693"
"980.0";"-513.414429";"-136.602768"
"990.0";"-483.154694";"-136.730148"
"1000.0";"-436.098938";"-145.12178"
"1010.0";"-399.054535";"-141.897858"
"1020.0";"-390.039734";"-137.113876"
"1030.0";"-362.57312";"-155.914734"
"1040.0";"-390.121185";"-171.6147"
"1050.0";"-398.201874";"-136.282166"
"1060.0";"-317.46225";"-181.183212"
"1070.0";"-366.289581";"-159.900391"
"1080.0";"-370.981598";"-131.69342"
"1090.0";"-345.699005";"-182.589478"
"1100.0";"-315.348633";"-178.66272"
"1110.0";"-347.511597";"-120.211716"
"1120.0";"-350.93988";"-133.084122"
"1130.0";"-293.75293";"-145.668991"
"1140.0";"-222.959976";"-156.017715"
"1150.0";"-214.105957";"-164.274673"
"1160.0";"-237.759735";"-152.754593"
"1170.0";"-261.191345";"-163.003769"
"1180.0";"-253.983521";"-153.464172"
"1190.0";"-268.948547";"-134.184189"
"1200.0";"-289.406952";"-153.653778"
"1210.0";"-280.866882";"-138.931244"
"1220.0";"-215.231003";"-147.379532"
"1230.0";"-282.994659";"-180.896515"
"1240.0";"-273.108948";"-164.344696"
"1250.0";"-321.279724";"-141.349564"
"1260.0";"-307.713806";"-144.616135"
"1270.0";"-370.369781";"-127.538589"
"1280.0";"-322.417999";"-166.1539"
"1290.0";"-327.02182";"-120.420479"
"1300.0";"-216.313034";"-153.749893"
"1310.0";"-200.204178";"-149.283127"
"1320.0";"-322.188141";"-141.717285"
"1330.0";"-250.731033";"-140.907166"
"1340.0";"-277.219238";"-133.619705"
"1350.0";"-276.708282";"-157.022949"
"1360.0";"-262.228333";"-170.520401"
"1370.0";"-284.00296";"-165.159439"
"1380.0";"-427.960846";"-158.173508"
"1390.0";"-313.836975";"-166.572968"
"1400.0";"-268.621124";"-156.431168"
"1410.0";"-251.769455";"-165.67952"
"1420.0";"-274.266907";"-150.56958"
"1430.0";"-387.116272";"-118.475861"
"1440.0";"-422.602356";"-121.848793"
"1450.0";"-289.152771";"-147.784302"
"1460.0";"-328.430664";"-137.934433"
"1470.0";"-349.443878";"-129.221741"
"1480.0";"-369.186646";"-109.504601"
"1490.0";"-398.364044";"-114.940163"
"1500.0";"-428.405762";"-135.61734"
"1510.0";"-435.50119";"-158.355911"
"1520.0";"-421.794983";"-149.498901"
"1530.0";"-457.009399";"-145.636612"
"1540.0";"-403.445557";"-170.109955"
