# This .csv file was created 12.10.2024 14:34
# extracted out of file prod_center_rottrans_p2_gyration.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAB/6fxb_cab_1
# Original file was created by command :
"Radius of gyration (total and around axes)"
"Time (ps)";"Rg";"Rg\sX\N";"Rg\sY\N";"Rg\sZ\N"
"0.0";"1.4857";"1.19591";"1.2342";"1.20879"
"10.0";"1.48551";"1.19385";"1.2382";"1.20626"
"20.0";"1.48216";"1.20203";"1.2311";"1.19714"
"30.0";"1.48919";"1.20825";"1.23574";"1.20351"
"40.0";"1.48229";"1.20164";"1.22094";"1.20819"
"50.0";"1.4834";"1.20646";"1.22281";"1.20422"
"60.0";"1.49027";"1.20689";"1.23169";"1.21168"
"70.0";"1.48448";"1.20465";"1.2295";"1.20187"
"80.0";"1.48446";"1.19825";"1.23022";"1.20747"
"90.0";"1.4801";"1.20383";"1.22516";"1.19633"
"100.0";"1.48532";"1.20816";"1.22717";"1.20281"
"110.0";"1.48156";"1.20565";"1.22865";"1.19452"
"120.0";"1.48302";"1.20556";"1.22775";"1.19914"
"130.0";"1.4865";"1.20497";"1.23369";"1.20224"
"140.0";"1.4878";"1.2129";"1.23442";"1.19675"
"150.0";"1.48374";"1.20765";"1.22719";"1.1994"
"160.0";"1.48771";"1.20802";"1.23484";"1.201"
"170.0";"1.49188";"1.21143";"1.23657";"1.20613"
"180.0";"1.48862";"1.20961";"1.23279";"1.20377"
"190.0";"1.48329";"1.20823";"1.22721";"1.19768"
"200.0";"1.4902";"1.21236";"1.2353";"1.20235"
"210.0";"1.48717";"1.21617";"1.23045";"1.19594"
"220.0";"1.48661";"1.21558";"1.22715";"1.19854"
"230.0";"1.48695";"1.20583";"1.23654";"1.19958"
"240.0";"1.48696";"1.20501";"1.23896";"1.19793"
"250.0";"1.48534";"1.20349";"1.22993";"1.20472"
"260.0";"1.48555";"1.2037";"1.23379";"1.20109"
"270.0";"1.4821";"1.2036";"1.23052";"1.196"
"280.0";"1.48835";"1.20519";"1.23345";"1.20685"
"290.0";"1.48438";"1.20517";"1.22908";"1.20154"
"300.0";"1.48527";"1.20472";"1.22991";"1.20334"
"310.0";"1.48712";"1.19273";"1.24628";"1.20302"
"320.0";"1.4897";"1.20423";"1.23659";"1.20793"
"330.0";"1.48921";"1.2056";"1.23882";"1.20305"
"340.0";"1.4871";"1.20263";"1.23738";"1.20228"
"350.0";"1.48752";"1.20901";"1.23499";"1.19938"
"360.0";"1.4911";"1.20839";"1.23872";"1.20503"
"370.0";"1.48527";"1.20189";"1.22948";"1.20661"
"380.0";"1.48726";"1.20161";"1.23822";"1.20285"
"390.0";"1.48417";"1.19977";"1.23532";"1.20002"
"400.0";"1.48798";"1.2009";"1.23624";"1.20736"
"410.0";"1.48416";"1.20165";"1.23547";"1.19796"
"420.0";"1.4775";"1.20017";"1.22571";"1.193"
"430.0";"1.48417";"1.2057";"1.2334";"1.19604"
"440.0";"1.48468";"1.20389";"1.23071";"1.20189"
"450.0";"1.48782";"1.20693";"1.23328";"1.20397"
"460.0";"1.48769";"1.21136";"1.23277";"1.19972"
"470.0";"1.49202";"1.21048";"1.23408";"1.20998"
"480.0";"1.48912";"1.21206";"1.23126";"1.2041"
"490.0";"1.48461";"1.20552";"1.23114";"1.19963"
"500.0";"1.48904";"1.20961";"1.23273";"1.20487"
"510.0";"1.48798";"1.20776";"1.23073";"1.20613"
"520.0";"1.48532";"1.20145";"1.23636";"1.20013"
"530.0";"1.48994";"1.20251";"1.2369";"1.20991"
"540.0";"1.48474";"1.20071";"1.23252";"1.20337"
"550.0";"1.48865";"1.20937";"1.2361";"1.20069"
"560.0";"1.48891";"1.20688";"1.2364";"1.20353"
"570.0";"1.4892";"1.21226";"1.23206";"1.20329"
"580.0";"1.4887";"1.20512";"1.24086";"1.20018"
"590.0";"1.4917";"1.21284";"1.23802";"1.20277"
"600.0";"1.49195";"1.21448";"1.23537";"1.20446"
"610.0";"1.48174";"1.19901";"1.23385";"1.19629"
"620.0";"1.48578";"1.20782";"1.2374";"1.19379"
"630.0";"1.4846";"1.20388";"1.23686";"1.19538"
"640.0";"1.48583";"1.20373";"1.23295";"1.2026"
"650.0";"1.48978";"1.2043";"1.24262";"1.20185"
"660.0";"1.49252";"1.20547";"1.23835";"1.21184"
"670.0";"1.49073";"1.20581";"1.23839";"1.20704"
"680.0";"1.49194";"1.20611";"1.24255";"1.20546"
"690.0";"1.48958";"1.2083";"1.23523";"1.20496"
"700.0";"1.48021";"1.19781";"1.22705";"1.20067"
"710.0";"1.48262";"1.2038";"1.22773";"1.19993"
"720.0";"1.48508";"1.20345";"1.23638";"1.1975"
"730.0";"1.49018";"1.21234";"1.23478";"1.20283"
"740.0";"1.48842";"1.20792";"1.23144";"1.20634"
"750.0";"1.4871";"1.20775";"1.23535";"1.19923"
"760.0";"1.48454";"1.2035";"1.22984";"1.20284"
"770.0";"1.48948";"1.20717";"1.23671";"1.20432"
"780.0";"1.48958";"1.2062";"1.23163";"1.21074"
"790.0";"1.4904";"1.20735";"1.23031";"1.21294"
"800.0";"1.48663";"1.2048";"1.22999";"1.20654"
"810.0";"1.48052";"1.19912";"1.22338";"1.20389"
"820.0";"1.48671";"1.20037";"1.22725";"1.21392"
"830.0";"1.48733";"1.20524";"1.23229";"1.20549"
"840.0";"1.48703";"1.20653";"1.23303";"1.2027"
"850.0";"1.48916";"1.20006";"1.23262";"1.21479"
"860.0";"1.4894";"1.20949";"1.22953";"1.20914"
"870.0";"1.4941";"1.21052";"1.23418";"1.21496"
"880.0";"1.48981";"1.21308";"1.22881";"1.20727"
"890.0";"1.48941";"1.20529";"1.23367";"1.20914"
"900.0";"1.48626";"1.20676";"1.22739";"1.20631"
"910.0";"1.48481";"1.20606";"1.22348";"1.2074"
"920.0";"1.49026";"1.2063";"1.23951";"1.20425"
"930.0";"1.48671";"1.20735";"1.22566";"1.20858"
"940.0";"1.48716";"1.19598";"1.23728";"1.20915"
"950.0";"1.48312";"1.19787";"1.22612";"1.20873"
"960.0";"1.49236";"1.20402";"1.23802";"1.21321"
"970.0";"1.48745";"1.21122";"1.22798";"1.20419"
"980.0";"1.48963";"1.21254";"1.23177";"1.20437"
"990.0";"1.48934";"1.21307";"1.22787";"1.20709"
"1000.0";"1.49191";"1.21528";"1.2288";"1.21027"
"1010.0";"1.48491";"1.21421";"1.22107";"1.20191"
"1020.0";"1.49029";"1.21482";"1.22776";"1.20779"
"1030.0";"1.48118";"1.20591";"1.21779";"1.20439"
"1040.0";"1.4851";"1.2073";"1.22423";"1.20611"
"1050.0";"1.48344";"1.20643";"1.22618";"1.20091"
"1060.0";"1.48336";"1.20983";"1.22457";"1.19894"
"1070.0";"1.486";"1.21013";"1.23";"1.19961"
"1080.0";"1.48917";"1.20875";"1.22479";"1.21411"
"1090.0";"1.48978";"1.20681";"1.23123";"1.21102"
"1100.0";"1.48834";"1.20909";"1.22668";"1.20984"
"1110.0";"1.49082";"1.21108";"1.23047";"1.2101"
"1120.0";"1.4897";"1.20963";"1.22754";"1.21177"
"1130.0";"1.49365";"1.21512";"1.23302";"1.21043"
"1140.0";"1.49475";"1.21599";"1.23182";"1.21347"
"1150.0";"1.49069";"1.21511";"1.22593";"1.21035"
"1160.0";"1.48848";"1.21615";"1.22111";"1.20872"
"1170.0";"1.48817";"1.2044";"1.22761";"1.21313"
"1180.0";"1.48997";"1.21282";"1.2306";"1.20612"
"1190.0";"1.49165";"1.21358";"1.23582";"1.20416"
"1200.0";"1.48941";"1.20658";"1.23254";"1.20901"
"1210.0";"1.49128";"1.21294";"1.2297";"1.21015"
"1220.0";"1.48849";"1.20922";"1.22969";"1.207"
"1230.0";"1.48886";"1.20448";"1.23145";"1.21087"
"1240.0";"1.49156";"1.21417";"1.23639";"1.20276"
"1250.0";"1.49431";"1.21658";"1.23993";"1.2035"
"1260.0";"1.49381";"1.21297";"1.2397";"1.20614"
"1270.0";"1.4922";"1.20871";"1.23904";"1.20711"
"1280.0";"1.48669";"1.2098";"1.22429";"1.20748"
"1290.0";"1.48805";"1.21461";"1.22617";"1.20408"
"1300.0";"1.49019";"1.21247";"1.23346";"1.20409"
"1310.0";"1.48997";"1.20967";"1.23688";"1.20283"
"1320.0";"1.48889";"1.20506";"1.23286";"1.20892"
"1330.0";"1.49036";"1.20707";"1.23412";"1.20925"
"1340.0";"1.48883";"1.20278";"1.23551";"1.20833"
"1350.0";"1.48675";"1.20895";"1.22727";"1.20544"
"1360.0";"1.48794";"1.20684";"1.23017";"1.20754"
"1370.0";"1.48794";"1.21183";"1.22538";"1.20742"
"1380.0";"1.48541";"1.20227";"1.23167";"1.20433"
"1390.0";"1.48813";"1.2052";"1.23493";"1.20478"
"1400.0";"1.48593";"1.19804";"1.23406";"1.20738"
"1410.0";"1.48489";"1.20349";"1.22904";"1.20452"
"1420.0";"1.48592";"1.20663";"1.22742";"1.20558"
"1430.0";"1.48816";"1.20468";"1.22929";"1.21114"
"1440.0";"1.48904";"1.21121";"1.23438";"1.20155"
"1450.0";"1.48369";"1.19602";"1.23276";"1.20522"
"1460.0";"1.48714";"1.21091";"1.22682";"1.2049"
"1470.0";"1.48849";"1.20344";"1.23218";"1.21023"
"1480.0";"1.48904";"1.19978";"1.23732";"1.20997"
"1490.0";"1.4878";"1.20323";"1.23224";"1.20869"
"1500.0";"1.49091";"1.20373";"1.24013";"1.20778"
"1510.0";"1.48809";"1.19389";"1.23969";"1.21103"
"1520.0";"1.49149";"1.20561";"1.23979";"1.2077"
"1530.0";"1.48642";"1.20554";"1.23213";"1.20309"
"1540.0";"1.48923";"1.20502";"1.23938";"1.2031"
"1550.0";"1.48963";"1.20467";"1.23206";"1.21193"
"1560.0";"1.48738";"1.2043";"1.23218";"1.20666"
"1570.0";"1.49371";"1.21133";"1.23701";"1.21029"
"1580.0";"1.48408";"1.19644";"1.22532";"1.2133"
"1590.0";"1.48656";"1.20751";"1.22675";"1.20695"
"1600.0";"1.49031";"1.20423";"1.2331";"1.21299"
"1610.0";"1.49144";"1.21041";"1.23261";"1.21011"
"1620.0";"1.4858";"1.20729";"1.2313";"1.20064"
"1630.0";"1.49247";"1.20524";"1.23936";"1.21091"
"1640.0";"1.49318";"1.20738";"1.23678";"1.21317"
"1650.0";"1.49067";"1.20712";"1.23319";"1.2109"
"1660.0";"1.49224";"1.20048";"1.23907";"1.21538"
"1670.0";"1.49575";"1.20662";"1.24352";"1.21337"
"1680.0";"1.49192";"1.20818";"1.23821";"1.20781"
"1690.0";"1.49243";"1.20954";"1.23849";"1.20742"
"1700.0";"1.49378";"1.21549";"1.23434";"1.20903"
"1710.0";"1.4873";"1.20341";"1.22758";"1.21202"
"1720.0";"1.48709";"1.20054";"1.2302";"1.21169"
"1730.0";"1.49062";"1.20484";"1.23067";"1.21562"
"1740.0";"1.49217";"1.20011";"1.23263";"1.22208"
"1750.0";"1.49245";"1.21373";"1.22569";"1.21628"
"1760.0";"1.48553";"1.20427";"1.22163";"1.21282"
"1770.0";"1.49157";"1.21498";"1.22466";"1.21392"
"1780.0";"1.49371";"1.21233";"1.22634";"1.22012"
"1790.0";"1.48137";"1.20407";"1.21682";"1.20768"
"1800.0";"1.49117";"1.2052";"1.22963";"1.21766"
"1810.0";"1.49345";"1.2204";"1.22088";"1.21689"
