# This .csv file was created 12.10.2024 14:34
# extracted out of file prod_center_rottrans_rmsd.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAB/6fxb_cab_1
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"6e-07"
"10.0";"0.0616691"
"20.0";"0.0716491"
"30.0";"0.0718921"
"40.0";"0.0739349"
"50.0";"0.0805735"
"60.0";"0.0878109"
"70.0";"0.0786267"
"80.0";"0.087364"
"90.0";"0.0833301"
"100.0";"0.0901683"
"110.0";"0.0884315"
"120.0";"0.0971177"
"130.0";"0.1049274"
"140.0";"0.0995272"
"150.0";"0.1142547"
"160.0";"0.1344651"
"170.0";"0.1093712"
"180.0";"0.1068172"
"190.0";"0.085481"
"200.0";"0.1078147"
"210.0";"0.1001561"
"220.0";"0.1184162"
"230.0";"0.1123682"
"240.0";"0.1139309"
"250.0";"0.0922714"
"260.0";"0.1023835"
"270.0";"0.0930818"
"280.0";"0.0823764"
"290.0";"0.088393"
"300.0";"0.097854"
"310.0";"0.0982544"
"320.0";"0.0854101"
"330.0";"0.0810525"
"340.0";"0.0699352"
"350.0";"0.0849682"
"360.0";"0.0799665"
"370.0";"0.0773827"
"380.0";"0.081508"
"390.0";"0.073652"
"400.0";"0.0771441"
"410.0";"0.0808898"
"420.0";"0.0706788"
"430.0";"0.0744615"
"440.0";"0.0719306"
"450.0";"0.0777019"
"460.0";"0.1067202"
"470.0";"0.0730885"
"480.0";"0.0803143"
"490.0";"0.0820392"
"500.0";"0.0803696"
"510.0";"0.0795042"
"520.0";"0.0882319"
"530.0";"0.098762"
"540.0";"0.1036169"
"550.0";"0.0977791"
"560.0";"0.0999686"
"570.0";"0.0820647"
"580.0";"0.0866207"
"590.0";"0.078088"
"600.0";"0.1037228"
"610.0";"0.1113623"
"620.0";"0.0976074"
"630.0";"0.0859905"
"640.0";"0.0796357"
"650.0";"0.0878211"
"660.0";"0.0877749"
"670.0";"0.0822222"
"680.0";"0.0823734"
"690.0";"0.0783426"
"700.0";"0.0894379"
"710.0";"0.0899687"
"720.0";"0.082726"
"730.0";"0.0883537"
"740.0";"0.0813564"
"750.0";"0.0851329"
"760.0";"0.0894133"
"770.0";"0.0859296"
"780.0";"0.0862135"
"790.0";"0.083077"
"800.0";"0.0819774"
"810.0";"0.0970512"
"820.0";"0.0900582"
"830.0";"0.0883994"
"840.0";"0.1056791"
"850.0";"0.0926733"
"860.0";"0.0938176"
"870.0";"0.0989636"
"880.0";"0.0861695"
"890.0";"0.0840773"
"900.0";"0.1001962"
"910.0";"0.1042548"
"920.0";"0.0986825"
"930.0";"0.099256"
"940.0";"0.1132083"
"950.0";"0.1155089"
"960.0";"0.1087976"
"970.0";"0.096554"
"980.0";"0.106272"
"990.0";"0.104273"
"1000.0";"0.1015054"
"1010.0";"0.133075"
"1020.0";"0.131008"
"1030.0";"0.126272"
"1040.0";"0.1151137"
"1050.0";"0.1054558"
"1060.0";"0.1102225"
"1070.0";"0.1111976"
"1080.0";"0.1048259"
"1090.0";"0.1056724"
"1100.0";"0.1035717"
"1110.0";"0.1040227"
"1120.0";"0.1085263"
"1130.0";"0.1070652"
"1140.0";"0.1078728"
"1150.0";"0.1016351"
"1160.0";"0.1113784"
"1170.0";"0.0973405"
"1180.0";"0.0945393"
"1190.0";"0.1005283"
"1200.0";"0.093327"
"1210.0";"0.1011122"
"1220.0";"0.1107152"
"1230.0";"0.1201766"
"1240.0";"0.1048497"
"1250.0";"0.1035915"
"1260.0";"0.1051704"
"1270.0";"0.1070189"
