# This .csv file was created 12.10.2024 14:34
# extracted out of file prod_mindist_mol16_outer_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAB/6fxb_cab_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL16-outer_dimer_area"
"0.0";"2.059285"
"10.0";"2.13812"
"20.0";"2.079169"
"30.0";"2.071892"
"40.0";"2.12539"
"50.0";"2.090654"
"60.0";"2.080443"
"70.0";"2.041842"
"80.0";"2.065387"
"90.0";"2.050804"
"100.0";"2.024513"
"110.0";"2.067952"
"120.0";"2.124773"
"130.0";"2.011702"
"140.0";"2.00299"
"150.0";"2.057863"
"160.0";"2.071259"
"170.0";"1.964567"
"180.0";"2.013682"
"190.0";"2.024896"
"200.0";"2.020276"
"210.0";"2.052516"
"220.0";"2.041474"
"230.0";"2.028622"
"240.0";"2.030666"
"250.0";"2.044338"
"260.0";"1.956851"
"270.0";"2.103276"
"280.0";"2.10103"
"290.0";"2.029996"
"300.0";"2.143808"
"310.0";"2.043481"
"320.0";"2.026369"
"330.0";"2.105255"
"340.0";"2.045178"
"350.0";"1.979459"
"360.0";"2.024339"
"370.0";"2.080582"
"380.0";"2.024481"
"390.0";"2.059764"
"400.0";"2.071896"
"410.0";"2.053701"
"420.0";"2.080076"
"430.0";"2.079343"
"440.0";"2.068108"
"450.0";"2.065901"
"460.0";"2.0894"
"470.0";"2.026057"
"480.0";"2.097681"
"490.0";"2.024126"
"500.0";"2.065933"
"510.0";"1.994389"
"520.0";"2.051285"
"530.0";"2.017897"
"540.0";"2.070427"
"550.0";"1.99602"
"560.0";"2.027367"
"570.0";"2.065666"
"580.0";"2.060128"
"590.0";"2.077043"
"600.0";"2.044696"
"610.0";"2.073654"
"620.0";"2.11459"
"630.0";"2.07444"
"640.0";"2.09389"
"650.0";"2.026604"
"660.0";"2.056875"
"670.0";"2.059702"
"680.0";"2.04025"
"690.0";"2.059183"
"700.0";"2.070674"
"710.0";"2.100824"
"720.0";"2.051928"
"730.0";"2.045118"
