# This .csv file was created 12.10.2024 14:34
# extracted out of file prod_mindist_neg1_mol11_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAB/6fxb_cab_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_neg1-MOL11"
"0.0";"2.445604"
"10.0";"2.455296"
"20.0";"2.370871"
"30.0";"2.213284"
"40.0";"2.354315"
"50.0";"2.489821"
"60.0";"2.190171"
"70.0";"2.226411"
"80.0";"2.460268"
"90.0";"2.432222"
"100.0";"2.278192"
"110.0";"2.507387"
"120.0";"2.654339"
"130.0";"2.690761"
"140.0";"2.582097"
"150.0";"3.035511"
"160.0";"2.509959"
"170.0";"2.566934"
"180.0";"2.50429"
"190.0";"2.457779"
"200.0";"2.49718"
"210.0";"2.80708"
"220.0";"2.902279"
"230.0";"2.755712"
"240.0";"2.992478"
"250.0";"3.286038"
"260.0";"3.294894"
"270.0";"3.494873"
"280.0";"3.493799"
"290.0";"3.216269"
"300.0";"3.476883"
"310.0";"3.264269"
"320.0";"3.432597"
"330.0";"3.406236"
"340.0";"3.358291"
"350.0";"3.415179"
"360.0";"3.236927"
"370.0";"3.265723"
"380.0";"3.286595"
"390.0";"3.524718"
"400.0";"3.307348"
"410.0";"3.142008"
"420.0";"3.381901"
"430.0";"3.265834"
"440.0";"3.238453"
"450.0";"3.252883"
"460.0";"3.396501"
"470.0";"3.438198"
"480.0";"3.285105"
"490.0";"3.283267"
"500.0";"3.203188"
"510.0";"3.177141"
"520.0";"3.206977"
"530.0";"3.530234"
"540.0";"3.608852"
"550.0";"3.411721"
"560.0";"3.207707"
"570.0";"3.093024"
"580.0";"3.202279"
"590.0";"3.184405"
"600.0";"3.059023"
"610.0";"3.000936"
"620.0";"3.057771"
"630.0";"2.863945"
"640.0";"2.680026"
"650.0";"2.907366"
"660.0";"3.088679"
"670.0";"2.820858"
"680.0";"2.735078"
"690.0";"2.65668"
"700.0";"3.030692"
"710.0";"3.268404"
"720.0";"3.280717"
"730.0";"2.83534"
"740.0";"2.884594"
"750.0";"2.979971"
"760.0";"3.111383"
"770.0";"3.174932"
"780.0";"3.030991"
"790.0";"3.154992"
"800.0";"3.199933"
"810.0";"3.266594"
"820.0";"3.338985"
"830.0";"3.314207"
"840.0";"3.552072"
"850.0";"3.75278"
"860.0";"3.493086"
"870.0";"3.45606"
"880.0";"3.446214"
"890.0";"3.357205"
"900.0";"3.129999"
"910.0";"3.217248"
"920.0";"3.482904"
"930.0";"3.522957"
"940.0";"3.618615"
"950.0";"3.568703"
"960.0";"3.717797"
"970.0";"3.418443"
"980.0";"3.446456"
"990.0";"3.172664"
"1000.0";"3.053843"
"1010.0";"3.138767"
"1020.0";"3.000921"
"1030.0";"2.761342"
"1040.0";"2.327003"
"1050.0";"2.301439"
"1060.0";"2.392924"
"1070.0";"2.347451"
"1080.0";"2.700611"
"1090.0";"3.051456"
"1100.0";"2.970455"
"1110.0";"3.004763"
"1120.0";"3.017478"
"1130.0";"3.021994"
"1140.0";"2.994929"
"1150.0";"2.99628"
"1160.0";"2.876938"
"1170.0";"3.055799"
"1180.0";"2.983302"
"1190.0";"3.08231"
"1200.0";"3.066569"
"1210.0";"3.310025"
"1220.0";"3.019124"
"1230.0";"3.128699"
"1240.0";"3.223786"
"1250.0";"3.042788"
"1260.0";"3.14306"
"1270.0";"2.984671"
"1280.0";"3.225877"
"1290.0";"3.255361"
"1300.0";"3.520703"
"1310.0";"3.554098"
"1320.0";"3.453787"
"1330.0";"3.428011"
"1340.0";"3.61718"
"1350.0";"3.51178"
"1360.0";"3.386876"
"1370.0";"3.254959"
"1380.0";"3.263668"
"1390.0";"3.774778"
"1400.0";"3.5602"
"1410.0";"3.348196"
"1420.0";"3.245466"
"1430.0";"2.738851"
"1440.0";"2.45049"
"1450.0";"2.638966"
"1460.0";"2.646002"
"1470.0";"2.65511"
"1480.0";"2.998441"
"1490.0";"3.163258"
"1500.0";"3.262612"
"1510.0";"3.348658"
"1520.0";"3.535242"
"1530.0";"3.65799"
"1540.0";"3.656135"
"1550.0";"3.741721"
"1560.0";"3.735801"
"1570.0";"3.696118"
"1580.0";"3.993288"
"1590.0";"4.007442"
"1600.0";"3.957678"
"1610.0";"4.057007"
"1620.0";"4.166369"
"1630.0";"3.813161"
"1640.0";"3.590857"
"1650.0";"3.617627"
"1660.0";"3.545515"
"1670.0";"3.253497"
"1680.0";"3.205844"
"1690.0";"2.988118"
"1700.0";"3.021276"
"1710.0";"3.221322"
"1720.0";"3.488853"
"1730.0";"3.325229"
"1740.0";"3.197715"
"1750.0";"3.29718"
"1760.0";"3.415747"
"1770.0";"3.4999"
"1780.0";"3.248385"
"1790.0";"2.900818"
"1800.0";"2.884986"
"1810.0";"2.947485"
"1820.0";"2.715731"
"1830.0";"2.88245"
"1840.0";"2.618207"
"1850.0";"2.3654"
"1860.0";"2.518874"
"1870.0";"2.177338"
"1880.0";"2.108445"
"1890.0";"1.663243"
"1900.0";"1.526657"
"1910.0";"1.628946"
"1920.0";"1.612958"
"1930.0";"1.764414"
"1940.0";"1.723689"
"1950.0";"1.76182"
"1960.0";"1.931579"
"1970.0";"2.209715"
"1980.0";"2.210295"
"1990.0";"2.330014"
"2000.0";"2.300895"
"2010.0";"2.229959"
"2020.0";"2.26221"
"2030.0";"2.360828"
"2040.0";"2.424025"
"2050.0";"2.344594"
"2060.0";"2.093935"
"2070.0";"1.703525"
"2080.0";"1.62209"
"2090.0";"1.482788"
"2100.0";"1.755746"
"2110.0";"1.915653"
"2120.0";"2.099844"
"2130.0";"2.174932"
"2140.0";"2.385425"
"2150.0";"2.276862"
"2160.0";"2.022355"
"2170.0";"2.262357"
"2180.0";"2.19346"
"2190.0";"2.290231"
"2200.0";"2.194031"
"2210.0";"2.027036"
"2220.0";"1.764397"
"2230.0";"2.030204"
"2240.0";"1.930851"
"2250.0";"1.709257"
"2260.0";"1.839665"
"2270.0";"1.634849"
"2280.0";"1.748801"
"2290.0";"1.790607"
"2300.0";"1.706947"
"2310.0";"1.373408"
"2320.0";"1.428426"
"2330.0";"1.168014"
"2340.0";"1.075653"
"2350.0";"1.114822"
"2360.0";"1.130498"
"2370.0";"1.145077"
"2380.0";"1.233869"
"2390.0";"1.238596"
"2400.0";"1.358272"
"2410.0";"1.151647"
"2420.0";"1.154263"
"2430.0";"1.444118"
"2440.0";"1.503892"
"2450.0";"1.417558"
"2460.0";"1.577477"
"2470.0";"1.541303"
"2480.0";"1.735744"
"2490.0";"1.755181"
"2500.0";"1.907377"
"2510.0";"2.019309"
"2520.0";"2.063367"
"2530.0";"2.07387"
"2540.0";"1.877737"
"2550.0";"1.947261"
"2560.0";"1.615804"
"2570.0";"1.629184"
"2580.0";"1.778757"
"2590.0";"1.365804"
"2600.0";"1.346516"
"2610.0";"1.272639"
"2620.0";"1.218576"
"2630.0";"1.127472"
"2640.0";"1.227852"
"2650.0";"1.340586"
"2660.0";"1.407218"
"2670.0";"1.219791"
"2680.0";"1.48099"
"2690.0";"1.559988"
"2700.0";"1.462913"
"2710.0";"1.021212"
"2720.0";"1.058067"
"2730.0";"1.267983"
"2740.0";"1.268063"
"2750.0";"1.114697"
"2760.0";"1.043681"
"2770.0";"1.109105"
"2780.0";"1.11256"
"2790.0";"1.356859"
"2800.0";"1.241118"
"2810.0";"1.073371"
"2820.0";"0.9762545"
"2830.0";"1.016674"
"2840.0";"0.8918601"
"2850.0";"1.417495"
"2860.0";"1.268822"
"2870.0";"1.136438"
"2880.0";"0.8599216"
"2890.0";"0.7171673"
"2900.0";"0.3240309"
"2910.0";"0.2228476"
"2920.0";"0.2488654"
"2930.0";"0.2496898"
"2940.0";"0.2139717"
"2950.0";"0.2733168"
"2960.0";"0.2545763"
"2970.0";"0.2452041"
"2980.0";"0.2693192"
