# This .csv file was created 12.10.2024 14:34
# extracted out of file prod_mindist_pos1_mol16_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAB/6fxb_cab_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_pos1-MOL16"
"0.0";"0.1742699"
"10.0";"0.1878435"
"20.0";"0.175491"
"30.0";"0.1888624"
"40.0";"0.2074468"
"50.0";"0.1805933"
"60.0";"0.1778567"
"70.0";"0.1732461"
"80.0";"0.1753969"
"90.0";"0.1956396"
"100.0";"0.1720288"
"110.0";"0.1888119"
"120.0";"0.18291"
"130.0";"0.1874277"
"140.0";"0.1921067"
"150.0";"0.1824962"
"160.0";"0.1639116"
"170.0";"0.17289"
"180.0";"0.1899636"
"190.0";"0.1809363"
"200.0";"0.1862683"
"210.0";"0.1861667"
"220.0";"0.1812237"
"230.0";"0.1764794"
"240.0";"0.2038949"
"250.0";"0.192177"
"260.0";"0.1839434"
"270.0";"0.1681338"
"280.0";"0.1800056"
"290.0";"0.1679794"
"300.0";"0.1633952"
"310.0";"0.182904"
"320.0";"0.1846783"
"330.0";"0.1974589"
"340.0";"0.1812925"
"350.0";"0.1799698"
"360.0";"0.1863385"
"370.0";"0.1694401"
"380.0";"0.1797196"
"390.0";"0.2018146"
"400.0";"0.1791117"
"410.0";"0.188013"
"420.0";"0.1804135"
"430.0";"0.175539"
"440.0";"0.179513"
"450.0";"0.168339"
"460.0";"0.2014297"
"470.0";"0.1850787"
"480.0";"0.1854023"
"490.0";"0.1785802"
"500.0";"0.2042549"
"510.0";"0.1722236"
"520.0";"0.1823485"
"530.0";"0.1859596"
"540.0";"0.1911047"
"550.0";"0.1723861"
"560.0";"0.177443"
"570.0";"0.1811433"
"580.0";"0.181036"
"590.0";"0.2089235"
"600.0";"0.2013801"
"610.0";"0.1773499"
"620.0";"0.170839"
"630.0";"0.1709646"
"640.0";"0.1929352"
"650.0";"0.1763092"
"660.0";"0.1687513"
"670.0";"0.1766748"
"680.0";"0.1741868"
"690.0";"0.1816947"
"700.0";"0.1894703"
"710.0";"0.1849353"
