# This .csv file was created 12.10.2024 14:34
# extracted out of file mindist_major_allergenic_epitope_r_102-124_MOL.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAB/6fxb_cab_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_102-124-MOL"
"0.0";"0.3902551"
"10.0";"0.4099686"
"20.0";"0.4750126"
"30.0";"0.4140747"
"40.0";"0.477378"
"50.0";"0.4117791"
"60.0";"0.4405564"
"70.0";"0.4635656"
"80.0";"0.4916788"
"90.0";"0.4709361"
"100.0";"0.4420079"
"110.0";"0.4497492"
"120.0";"0.4269531"
"130.0";"0.4508394"
"140.0";"0.4065341"
"150.0";"0.421955"
"160.0";"0.426462"
"170.0";"0.4889921"
"180.0";"0.4491289"
"190.0";"0.4197966"
"200.0";"0.4553799"
"210.0";"0.4716301"
"220.0";"0.419602"
"230.0";"0.4828707"
"240.0";"0.4623798"
"250.0";"0.476937"
"260.0";"0.4189835"
"270.0";"0.4762877"
"280.0";"0.5216521"
"290.0";"0.4729746"
"300.0";"0.431385"
"310.0";"0.4181302"
"320.0";"0.429801"
"330.0";"0.4016567"
"340.0";"0.3979273"
"350.0";"0.4253398"
"360.0";"0.3930253"
"370.0";"0.3863948"
"380.0";"0.4640701"
"390.0";"0.4288754"
"400.0";"0.4573456"
"410.0";"0.4554218"
"420.0";"0.4721571"
"430.0";"0.49957"
"440.0";"0.4399397"
"450.0";"0.4130501"
"460.0";"0.488994"
"470.0";"0.4714329"
"480.0";"0.4884597"
"490.0";"0.4865247"
"500.0";"0.4383158"
"510.0";"0.4743901"
"520.0";"0.3910475"
"530.0";"0.4388312"
"540.0";"0.4283525"
"550.0";"0.4598188"
"560.0";"0.4282162"
"570.0";"0.4031114"
"580.0";"0.3985602"
"590.0";"0.3892943"
"600.0";"0.4098682"
"610.0";"0.4659742"
"620.0";"0.4295918"
"630.0";"0.4163963"
"640.0";"0.4427676"
"650.0";"0.4768774"
"660.0";"0.4742002"
"670.0";"0.4861165"
"680.0";"0.4856643"
"690.0";"0.5039473"
"700.0";"0.5341594"
"710.0";"0.5332813"
"720.0";"0.4499624"
"730.0";"0.4614962"
"740.0";"0.4641448"
"750.0";"0.4652205"
"760.0";"0.4230768"
"770.0";"0.4699533"
"780.0";"0.4558257"
"790.0";"0.4541597"
"800.0";"0.4263015"
"810.0";"0.42858"
"820.0";"0.4679037"
"830.0";"0.4625949"
"840.0";"0.4444481"
"850.0";"0.4260937"
"860.0";"0.5005246"
"870.0";"0.4442398"
"880.0";"0.4239976"
"890.0";"0.4194912"
"900.0";"0.4224952"
"910.0";"0.3948941"
"920.0";"0.4149193"
"930.0";"0.4210441"
"940.0";"0.438485"
"950.0";"0.4087701"
"960.0";"0.4541696"
"970.0";"0.415247"
"980.0";"0.4611572"
"990.0";"0.4978966"
"1000.0";"0.4997074"
"1010.0";"0.5457653"
"1020.0";"0.412297"
"1030.0";"0.4880623"
"1040.0";"0.4833471"
"1050.0";"0.4674806"
"1060.0";"0.4506034"
"1070.0";"0.4001565"
"1080.0";"0.4559591"
"1090.0";"0.4451281"
"1100.0";"0.4304635"
"1110.0";"0.4373685"
"1120.0";"0.427791"
"1130.0";"0.4386263"
"1140.0";"0.4677876"
"1150.0";"0.4593103"
"1160.0";"0.4251812"
"1170.0";"0.4821957"
"1180.0";"0.440216"
"1190.0";"0.3773193"
"1200.0";"0.4077179"
"1210.0";"0.3710767"
"1220.0";"0.4065148"
"1230.0";"0.4020608"
"1240.0";"0.4470023"
"1250.0";"0.3834828"
"1260.0";"0.4311869"
"1270.0";"0.3704121"
"1280.0";"0.3734076"
"1290.0";"0.4046058"
"1300.0";"0.4026982"
"1310.0";"0.4351151"
"1320.0";"0.405094"
"1330.0";"0.443938"
"1340.0";"0.3657721"
"1350.0";"0.3969923"
"1360.0";"0.4290397"
"1370.0";"0.4197811"
"1380.0";"0.3862707"
"1390.0";"0.3629381"
"1400.0";"0.3881662"
"1410.0";"0.3694224"
"1420.0";"0.3786764"
"1430.0";"0.4128506"
"1440.0";"0.3698649"
"1450.0";"0.4026485"
"1460.0";"0.3638064"
