# This .csv file was created 12.10.2024 14:34
# extracted out of file mindist_major_allergenic_epitope_r_264-288_MOL8_2.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAB/6fxb_cab_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_264-288-MOL8"
"0.0";"2.88374"
"10.0";"3.109882"
"20.0";"3.17638"
"30.0";"2.87997"
"40.0";"2.72038"
"50.0";"2.56677"
"60.0";"2.63955"
"70.0";"2.612375"
"80.0";"2.804831"
"90.0";"2.698001"
"100.0";"2.931367"
"110.0";"3.041677"
"120.0";"2.925897"
"130.0";"2.939196"
"140.0";"2.973932"
"150.0";"3.019986"
"160.0";"2.825478"
"170.0";"2.944814"
"180.0";"2.564112"
"190.0";"2.820879"
"200.0";"2.838916"
"210.0";"2.634074"
"220.0";"2.629299"
"230.0";"2.609583"
"240.0";"2.481122"
"250.0";"2.62696"
"260.0";"2.552019"
"270.0";"2.804494"
"280.0";"2.688805"
"290.0";"2.870328"
"300.0";"2.883326"
"310.0";"2.933324"
"320.0";"3.144495"
"330.0";"3.143357"
"340.0";"2.930754"
"350.0";"3.082521"
"360.0";"2.952842"
"370.0";"2.701524"
"380.0";"2.643195"
"390.0";"2.480335"
"400.0";"2.559847"
"410.0";"2.421005"
"420.0";"2.437345"
"430.0";"2.454695"
"440.0";"2.410573"
"450.0";"2.207442"
"460.0";"2.019916"
"470.0";"1.924731"
"480.0";"2.206565"
"490.0";"2.042336"
"500.0";"2.225925"
"510.0";"2.078834"
"520.0";"1.795311"
"530.0";"1.490467"
"540.0";"1.439089"
"550.0";"1.453574"
"560.0";"1.65975"
"570.0";"1.466662"
"580.0";"1.821756"
"590.0";"1.801377"
"600.0";"1.893079"
"610.0";"1.81231"
"620.0";"1.742107"
"630.0";"2.056067"
"640.0";"2.140986"
"650.0";"2.25274"
"660.0";"1.969694"
"670.0";"1.60663"
"680.0";"1.702121"
"690.0";"1.642606"
"700.0";"1.868664"
"710.0";"1.646057"
"720.0";"1.450243"
"730.0";"1.453532"
"740.0";"1.118221"
"750.0";"1.172921"
"760.0";"1.314235"
"770.0";"1.28607"
"780.0";"1.412001"
"790.0";"1.374459"
"800.0";"1.50376"
"810.0";"1.635204"
"820.0";"1.331553"
"830.0";"1.178898"
"840.0";"1.356285"
"850.0";"1.494551"
"860.0";"1.445825"
"870.0";"1.484483"
"880.0";"1.403861"
"890.0";"1.527082"
"900.0";"1.658274"
"910.0";"1.423463"
"920.0";"1.358378"
"930.0";"1.200577"
"940.0";"1.113263"
"950.0";"1.109445"
"960.0";"1.432423"
"970.0";"1.634327"
"980.0";"1.5848"
"990.0";"1.576485"
"1000.0";"1.447527"
"1010.0";"1.435917"
"1020.0";"1.503608"
"1030.0";"1.54038"
"1040.0";"1.657254"
"1050.0";"1.626855"
"1060.0";"1.692986"
"1070.0";"1.601305"
"1080.0";"1.708338"
"1090.0";"1.59746"
"1100.0";"1.502936"
"1110.0";"1.673018"
"1120.0";"2.034556"
"1130.0";"2.176263"
"1140.0";"2.061207"
"1150.0";"2.016059"
"1160.0";"1.852795"
"1170.0";"1.974815"
"1180.0";"1.837465"
"1190.0";"1.94691"
"1200.0";"1.964106"
"1210.0";"1.747094"
"1220.0";"1.856075"
"1230.0";"1.803563"
"1240.0";"1.660636"
"1250.0";"1.620096"
"1260.0";"1.671563"
"1270.0";"1.742011"
"1280.0";"1.797067"
"1290.0";"1.739827"
"1300.0";"1.934546"
"1310.0";"1.900797"
"1320.0";"1.982972"
"1330.0";"1.797394"
"1340.0";"1.752961"
"1350.0";"1.819683"
"1360.0";"1.854196"
"1370.0";"1.955544"
"1380.0";"2.072449"
"1390.0";"1.977778"
"1400.0";"1.9499"
"1410.0";"2.146799"
"1420.0";"2.295635"
"1430.0";"2.518919"
"1440.0";"2.475585"
"1450.0";"2.461937"
"1460.0";"2.073962"
"1470.0";"1.835966"
"1480.0";"1.838675"
"1490.0";"2.161774"
"1500.0";"2.146791"
"1510.0";"2.190549"
"1520.0";"2.208076"
"1530.0";"2.430916"
"1540.0";"2.621985"
"1550.0";"2.700266"
"1560.0";"2.475775"
"1570.0";"2.428666"
"1580.0";"2.857558"
"1590.0";"2.756935"
"1600.0";"2.590247"
"1610.0";"2.538805"
"1620.0";"2.385994"
"1630.0";"2.05272"
"1640.0";"2.24217"
"1650.0";"1.807404"
"1660.0";"1.976901"
"1670.0";"1.943241"
"1680.0";"2.095718"
"1690.0";"2.408047"
"1700.0";"2.255172"
"1710.0";"2.011738"
"1720.0";"2.088455"
"1730.0";"1.836526"
"1740.0";"1.86122"
"1750.0";"1.80758"
"1760.0";"1.829871"
"1770.0";"1.872111"
"1780.0";"2.037642"
"1790.0";"2.033048"
"1800.0";"2.308365"
"1810.0";"2.258825"
"1820.0";"2.279021"
"1830.0";"2.609967"
"1840.0";"2.567319"
"1850.0";"2.930535"
"1860.0";"2.743959"
"1870.0";"2.883896"
"1880.0";"2.768263"
"1890.0";"3.14519"
"1900.0";"3.097188"
"1910.0";"3.259777"
"1920.0";"2.890586"
"1930.0";"3.007848"
"1940.0";"3.010448"
"1950.0";"3.087602"
"1960.0";"2.823313"
"1970.0";"2.791898"
"1980.0";"2.709098"
"1990.0";"2.624572"
"2000.0";"2.957929"
"2010.0";"2.817631"
"2020.0";"2.751592"
"2030.0";"2.52496"
"2040.0";"2.306334"
"2050.0";"2.098177"
"2060.0";"2.237419"
"2070.0";"2.403373"
"2080.0";"2.125837"
"2090.0";"2.162433"
"2100.0";"2.092994"
"2110.0";"2.327731"
"2120.0";"2.082334"
"2130.0";"1.989914"
"2140.0";"1.834058"
"2150.0";"1.74141"
"2160.0";"1.61685"
"2170.0";"1.804058"
"2180.0";"1.954183"
"2190.0";"1.950107"
"2200.0";"2.228287"
"2210.0";"2.226684"
"2220.0";"2.205744"
"2230.0";"2.274828"
"2240.0";"2.427576"
"2250.0";"2.556856"
"2260.0";"2.636703"
"2270.0";"2.479858"
"2280.0";"2.677953"
"2290.0";"2.618705"
"2300.0";"2.495947"
"2310.0";"2.831828"
"2320.0";"3.035623"
"2330.0";"3.211838"
"2340.0";"3.309308"
"2350.0";"3.217489"
"2360.0";"3.357901"
"2370.0";"3.051124"
"2380.0";"2.859989"
"2390.0";"2.977842"
"2400.0";"3.113947"
"2410.0";"3.467836"
"2420.0";"3.401923"
"2430.0";"3.68976"
"2440.0";"3.525906"
"2450.0";"3.490249"
"2460.0";"3.211169"
"2470.0";"3.323315"
"2480.0";"3.158206"
"2490.0";"3.143147"
"2500.0";"3.087896"
"2510.0";"3.042157"
"2520.0";"3.150537"
"2530.0";"3.393323"
"2540.0";"3.214785"
"2550.0";"3.149666"
"2560.0";"3.159352"
"2570.0";"3.119573"
"2580.0";"3.369312"
"2590.0";"3.398834"
"2600.0";"3.139366"
"2610.0";"2.930566"
"2620.0";"3.093899"
"2630.0";"3.128381"
"2640.0";"2.902836"
"2650.0";"2.927102"
"2660.0";"2.925836"
"2670.0";"2.885593"
"2680.0";"2.835902"
"2690.0";"2.944323"
"2700.0";"2.678892"
"2710.0";"2.850201"
"2720.0";"2.718975"
"2730.0";"2.621685"
"2740.0";"2.657626"
"2750.0";"2.537811"
"2760.0";"2.857344"
"2770.0";"2.532231"
"2780.0";"2.968254"
"2790.0";"2.996456"
"2800.0";"2.998529"
"2810.0";"3.191653"
"2820.0";"3.239073"
"2830.0";"2.790592"
"2840.0";"2.743788"
"2850.0";"2.724409"
"2860.0";"2.627871"
"2870.0";"2.702105"
"2880.0";"2.752981"
"2890.0";"2.648534"
"2900.0";"2.767594"
"2910.0";"2.642624"
"2920.0";"2.836415"
"2930.0";"2.524469"
"2940.0";"2.649928"
"2950.0";"2.638497"
"2960.0";"2.77503"
"2970.0";"2.607499"
"2980.0";"2.432172"
"2990.0";"2.456219"
"3000.0";"2.370736"
"3010.0";"2.489043"
"3020.0";"2.694904"
"3030.0";"2.67223"
"3040.0";"2.733097"
"3050.0";"2.590936"
"3060.0";"2.62412"
"3070.0";"2.244712"
"3080.0";"2.448844"
"3090.0";"2.339614"
"3100.0";"2.116285"
"3110.0";"2.198814"
"3120.0";"2.079047"
"3130.0";"2.15361"
"3140.0";"2.123993"
"3150.0";"1.811808"
"3160.0";"1.84506"
"3170.0";"1.911048"
"3180.0";"1.912022"
"3190.0";"2.012283"
"3200.0";"1.943593"
"3210.0";"2.042361"
"3220.0";"1.952891"
"3230.0";"2.081953"
"3240.0";"2.1713"
"3250.0";"2.052632"
