# This .csv file was created 12.10.2024 14:34
# extracted out of file prod_center_rottrans_p1_rmsd.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAB/6fxb_cab_2
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"6e-07"
"10.0";"0.0476308"
"20.0";"0.0546366"
"30.0";"0.0591655"
"40.0";"0.0536792"
"50.0";"0.0598662"
"60.0";"0.0623801"
"70.0";"0.0590825"
"80.0";"0.0667953"
"90.0";"0.065728"
"100.0";"0.0648456"
"110.0";"0.0634902"
"120.0";"0.062379"
"130.0";"0.0653119"
"140.0";"0.0695966"
"150.0";"0.0733397"
"160.0";"0.0700966"
"170.0";"0.0689689"
"180.0";"0.0680042"
"190.0";"0.0787883"
"200.0";"0.0682112"
"210.0";"0.0672582"
"220.0";"0.0699604"
"230.0";"0.0622569"
"240.0";"0.0730829"
"250.0";"0.0668481"
"260.0";"0.0727671"
"270.0";"0.0781468"
"280.0";"0.0838595"
"290.0";"0.0781672"
"300.0";"0.0876943"
"310.0";"0.0851349"
"320.0";"0.0731943"
"330.0";"0.0771569"
"340.0";"0.0754345"
"350.0";"0.0707879"
"360.0";"0.0744252"
"370.0";"0.0661582"
"380.0";"0.0718398"
"390.0";"0.081343"
"400.0";"0.0687979"
"410.0";"0.0786707"
"420.0";"0.0694124"
"430.0";"0.078206"
"440.0";"0.0745803"
"450.0";"0.0774669"
"460.0";"0.0771168"
"470.0";"0.0777845"
"480.0";"0.0804581"
"490.0";"0.0798769"
"500.0";"0.0854395"
"510.0";"0.0780895"
"520.0";"0.0842614"
"530.0";"0.0794529"
"540.0";"0.0770319"
"550.0";"0.0853804"
"560.0";"0.0801838"
"570.0";"0.068336"
"580.0";"0.0834716"
"590.0";"0.0796246"
"600.0";"0.0842351"
"610.0";"0.0764127"
"620.0";"0.0801093"
"630.0";"0.0769426"
"640.0";"0.0705957"
"650.0";"0.0821162"
"660.0";"0.0774466"
"670.0";"0.0770336"
"680.0";"0.0812507"
"690.0";"0.0768227"
"700.0";"0.0709777"
"710.0";"0.0740088"
"720.0";"0.0756853"
"730.0";"0.0751297"
"740.0";"0.0823706"
"750.0";"0.0821485"
"760.0";"0.0888379"
"770.0";"0.0851748"
"780.0";"0.0857298"
"790.0";"0.0815809"
"800.0";"0.0839993"
"810.0";"0.0796896"
"820.0";"0.0833087"
"830.0";"0.0744902"
"840.0";"0.0756306"
"850.0";"0.0735654"
"860.0";"0.0833099"
"870.0";"0.0744966"
"880.0";"0.0794677"
"890.0";"0.0801945"
"900.0";"0.08829"
"910.0";"0.0789951"
"920.0";"0.081215"
"930.0";"0.0816461"
"940.0";"0.0843017"
"950.0";"0.0793277"
"960.0";"0.0801774"
