# This .csv file was created 12.10.2024 14:34
# extracted out of file prod_mindist_mol6_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAB/6fxb_cab_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL6-dimer_area"
"0.0";"4.989202"
"10.0";"5.062046"
"20.0";"5.088699"
"30.0";"5.078538"
"40.0";"4.939144"
"50.0";"4.860979"
"60.0";"4.768919"
"70.0";"4.859591"
"80.0";"4.720109"
"90.0";"4.911062"
"100.0";"5.020345"
"110.0";"5.053662"
"120.0";"4.890387"
"130.0";"4.681009"
"140.0";"5.060647"
"150.0";"5.096282"
"160.0";"4.998164"
"170.0";"4.964351"
"180.0";"4.919794"
"190.0";"4.978235"
"200.0";"4.828879"
"210.0";"4.916879"
"220.0";"4.72415"
"230.0";"4.757954"
"240.0";"4.723115"
"250.0";"4.770329"
"260.0";"4.773834"
"270.0";"4.955986"
"280.0";"4.989241"
"290.0";"5.135066"
"300.0";"5.335526"
"310.0";"5.371027"
"320.0";"5.275842"
"330.0";"5.134236"
"340.0";"5.014274"
"350.0";"5.22106"
"360.0";"5.213366"
"370.0";"5.456918"
"380.0";"5.624191"
"390.0";"5.844182"
"400.0";"6.213027"
"410.0";"6.146342"
"420.0";"6.333609"
"430.0";"6.186221"
"440.0";"6.13232"
"450.0";"6.236938"
"460.0";"6.407432"
"470.0";"6.453295"
"480.0";"6.447535"
"490.0";"6.505805"
"500.0";"6.487355"
"510.0";"6.421252"
"520.0";"6.464089"
"530.0";"6.417234"
"540.0";"6.433034"
"550.0";"6.186925"
"560.0";"6.316629"
"570.0";"6.395897"
"580.0";"6.175096"
"590.0";"5.982689"
"600.0";"5.693089"
"610.0";"5.662165"
"620.0";"5.69394"
"630.0";"5.720616"
"640.0";"5.570816"
"650.0";"5.664011"
"660.0";"5.482974"
"670.0";"5.460664"
"680.0";"5.217681"
"690.0";"4.913898"
"700.0";"4.7839"
"710.0";"4.647001"
"720.0";"4.614368"
"730.0";"4.684222"
"740.0";"4.654755"
"750.0";"4.716277"
"760.0";"4.811431"
"770.0";"4.851171"
"780.0";"4.860942"
"790.0";"4.795108"
"800.0";"4.624321"
"810.0";"4.504682"
"820.0";"4.692411"
"830.0";"4.837172"
"840.0";"4.683822"
"850.0";"4.616294"
"860.0";"4.681054"
"870.0";"4.603415"
"880.0";"4.862422"
"890.0";"4.991776"
"900.0";"5.170807"
"910.0";"5.612"
"920.0";"5.376503"
"930.0";"5.63574"
"940.0";"5.747502"
"950.0";"5.971902"
"960.0";"6.021272"
"970.0";"6.385027"
"980.0";"6.446134"
"990.0";"6.484085"
"1000.0";"6.648907"
"1010.0";"6.761899"
"1020.0";"6.686153"
"1030.0";"6.650163"
"1040.0";"6.763526"
"1050.0";"6.860197"
"1060.0";"6.777904"
"1070.0";"7.248445"
"1080.0";"7.188769"
"1090.0";"7.204092"
"1100.0";"7.445744"
"1110.0";"7.266887"
"1120.0";"7.159383"
