# This .csv file was created 12.10.2024 14:34
# extracted out of file prod_mol5_rms.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAB/6fxb_cab_2
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"9.5e-05"
"10.0";"0.081229"
"20.0";"0.0993287"
"30.0";"0.0990344"
"40.0";"0.1007962"
"50.0";"0.1157987"
"60.0";"0.1050696"
"70.0";"0.1018802"
"80.0";"0.1192324"
"90.0";"0.127255"
"100.0";"0.1232852"
"110.0";"0.1352624"
"120.0";"0.123781"
"130.0";"0.1234296"
"140.0";"0.1348854"
"150.0";"0.1287948"
"160.0";"0.1334824"
"170.0";"0.1433634"
"180.0";"0.1521748"
"190.0";"0.1551636"
"200.0";"0.1507236"
"210.0";"0.1545325"
"220.0";"0.1485668"
"230.0";"0.1514585"
"240.0";"0.1440244"
"250.0";"0.1415091"
"260.0";"0.1528425"
"270.0";"0.1716114"
"280.0";"0.1647069"
"290.0";"0.1486191"
"300.0";"0.151567"
"310.0";"0.1521606"
"320.0";"0.1466025"
"330.0";"0.1474757"
"340.0";"0.1543292"
"350.0";"0.1487693"
"360.0";"0.1509043"
"370.0";"0.1490383"
"380.0";"0.1532353"
"390.0";"0.1582485"
"400.0";"0.1410251"
"410.0";"0.1465011"
"420.0";"0.1510337"
"430.0";"0.15119"
"440.0";"0.1647249"
"450.0";"0.1493942"
"460.0";"0.1546296"
"470.0";"0.1540272"
"480.0";"0.1575307"
"490.0";"0.1495981"
"500.0";"0.151165"
"510.0";"0.1555595"
"520.0";"0.1588843"
"530.0";"0.142871"
"540.0";"0.1406006"
"550.0";"0.1517356"
"560.0";"0.1562286"
"570.0";"0.1530316"
"580.0";"0.1506254"
"590.0";"0.1521362"
"600.0";"0.1466526"
"610.0";"0.1464263"
"620.0";"0.1476403"
"630.0";"0.1445087"
"640.0";"0.1408808"
"650.0";"0.1516703"
"660.0";"0.1409648"
"670.0";"0.1416541"
"680.0";"0.1538165"
"690.0";"0.1618897"
"700.0";"0.1604186"
"710.0";"0.1617864"
"720.0";"0.1700045"
"730.0";"0.1710463"
"740.0";"0.1605449"
"750.0";"0.158513"
"760.0";"0.1638688"
"770.0";"0.1600859"
"780.0";"0.1733002"
"790.0";"0.1653749"
"800.0";"0.1694102"
"810.0";"0.168334"
"820.0";"0.1619128"
"830.0";"0.1638694"
"840.0";"0.1770339"
"850.0";"0.1650503"
"860.0";"0.1753203"
"870.0";"0.1684811"
"880.0";"0.1667853"
"890.0";"0.175991"
"900.0";"0.1745569"
"910.0";"0.1813012"
"920.0";"0.1777277"
"930.0";"0.1716472"
"940.0";"0.1779125"
"950.0";"0.1794666"
"960.0";"0.1789266"
"970.0";"0.1777361"
"980.0";"0.1731004"
"990.0";"0.1717396"
"1000.0";"0.1759256"
"1010.0";"0.1711367"
"1020.0";"0.1639803"
"1030.0";"0.1581336"
"1040.0";"0.1674129"
"1050.0";"0.1622114"
"1060.0";"0.1623096"
"1070.0";"0.159601"
"1080.0";"0.162248"
"1090.0";"0.1653995"
"1100.0";"0.1630516"
"1110.0";"0.1712037"
"1120.0";"0.1741457"
"1130.0";"0.1669278"
"1140.0";"0.1674203"
"1150.0";"0.173932"
"1160.0";"0.1842155"
"1170.0";"0.1744669"
"1180.0";"0.1860903"
"1190.0";"0.2050276"
"1200.0";"0.1843028"
"1210.0";"0.1795662"
"1220.0";"0.1842677"
"1230.0";"0.1744595"
"1240.0";"0.1695966"
"1250.0";"0.174002"
"1260.0";"0.1698323"
"1270.0";"0.1696402"
"1280.0";"0.1642059"
"1290.0";"0.1756893"
"1300.0";"0.1796523"
"1310.0";"0.1953902"
