Time (ps);Coul-SR:Protein-MOL;LJ-SR:Protein-MOL
0.0;-0.10751229991522497;-0.027011309617256424
10.0;-0.1107801099931099;-0.03251778604726228
20.0;-0.12562252829622966;-0.023293417222597004
30.0;-0.10765812477240885;-0.03660333903211273
40.0;-0.07596371005485145;-0.03420723022009223
50.0;-0.0744292372437505;-0.029809271194691084
60.0;-0.07523017521455802;-0.033217044764533916
70.0;-0.08096686477433225;-0.03592084348869474
80.0;-0.07236213022846427;-0.040356556070057274
90.0;-0.07101999653428889;-0.03680424209229931
100.0;-0.10303966972647771;-0.028139022204304413
110.0;-0.10446466965752721;-0.03476239602587801
120.0;-0.10528536782133943;-0.03472311367658738
130.0;-0.1137259622664929;-0.03383530875690437
140.0;-0.11116310642090894;-0.02479886117846524
150.0;-0.09598738298738298;-0.029679140920807583
160.0;-0.0974142913424909;-0.02715591892193724
170.0;-0.1033159062284789;-0.02619287065932907
180.0;-0.09312689631001854;-0.03585831653982877
190.0;-0.11310416175320563;-0.026979405047107156
200.0;-0.09991490626358887;-0.027324990660043978
210.0;-0.12221552761445423;-0.022989422539062988
220.0;-0.10639653433798171;-0.02754329109811566
230.0;-0.12791398424979966;-0.021878462727864582
240.0;-0.11074006964917685;-0.020065089921613245
250.0;-0.09506380798884052;-0.040664298415929924
260.0;-0.09313370468801167;-0.02581890697030002
270.0;-0.09260704581902193;-0.03799317200105685
280.0;-0.09561235857613906;-0.042013732057709516
290.0;-0.11448167355384586;-0.030831463868404733
300.0;-0.09469134709595803;-0.03290162565578141
310.0;-0.087530239828323;-0.025563640467782735
320.0;-0.09022207376099256;-0.03478719067421092
330.0;-0.10166634734809823;-0.03219595297531942
340.0;-0.08945586229892363;-0.03672111325093955
350.0;-0.11677947878848789;-0.02418972997248848
360.0;-0.10997462034951751;-0.029843297454737617
370.0;-0.0977574049774608;-0.04037764066600535
380.0;-0.12324325279941953;-0.03422004636490534
390.0;-0.09880217888692856;-0.0314024644177478
400.0;-0.1076237426007967;-0.031991360770882195
410.0;-0.10227925743962354;-0.035446786119204654
420.0;-0.08478884890754226;-0.04545441828169361
430.0;-0.11375855379570625;-0.027811824228175464
440.0;-0.11321064852202326;-0.04023523934284746
450.0;-0.11960639875242893;-0.026490652190056564
460.0;-0.08650801930930205;-0.041842959478971084
470.0;-0.11419260880865889;-0.03992379990222227
480.0;-0.12112216892811223;-0.036696510466727415
490.0;-0.11831872219216448;-0.03435592533655836
500.0;-0.10886940407574483;-0.025659792669733072
510.0;-0.11878753815594915;-0.03218315426743751
520.0;-0.09551768946582019;-0.04102479305496889
530.0;-0.10961589327508192;-0.03263621188953035
540.0;-0.10677584134539708;-0.035570681198566954
550.0;-0.10705964147584261;-0.036443784762723315
560.0;-0.11271901137693652;-0.04021210813123749
570.0;-0.09188591146077238;-0.031277452155724146
580.0;-0.09569400047089148;-0.034339723103422634
590.0;-0.11415399004660225;-0.035211345260035616
600.0;-0.073694068728866;-0.040001541961735346
610.0;-0.07668839720118373;-0.042058348171740985
620.0;-0.0881209093718135;-0.030172285634829897
630.0;-0.10538572698507427;-0.026308285311103234
640.0;-0.0839030906422566;-0.03568145334809213
