# This .csv file was created 12.10.2024 14:35
# extracted out of file mindist_major_allergenic_epitope_r_102-124_MOL14.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAB/6fxb_cab_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_102-124-MOL14"
"0.0";"4.049777"
"10.0";"4.356537"
"20.0";"4.42109"
"30.0";"4.36558"
"40.0";"4.322912"
"50.0";"4.268761"
"60.0";"4.456894"
"70.0";"4.280963"
"80.0";"3.721195"
"90.0";"3.622908"
"100.0";"3.157295"
"110.0";"3.483331"
"120.0";"3.384543"
"130.0";"3.507355"
"140.0";"3.512202"
"150.0";"3.636867"
"160.0";"3.774094"
"170.0";"3.827513"
"180.0";"3.982155"
"190.0";"4.121481"
"200.0";"3.946093"
"210.0";"3.938058"
"220.0";"3.975235"
"230.0";"3.886784"
"240.0";"3.889796"
"250.0";"4.070597"
"260.0";"3.991303"
"270.0";"3.695919"
"280.0";"3.419348"
"290.0";"3.710954"
"300.0";"3.264501"
"310.0";"3.350114"
"320.0";"3.243311"
"330.0";"3.415311"
"340.0";"3.480525"
"350.0";"3.255066"
"360.0";"3.159467"
"370.0";"3.300706"
"380.0";"3.567192"
"390.0";"3.63853"
"400.0";"3.567176"
"410.0";"3.837056"
"420.0";"3.78605"
"430.0";"4.042789"
"440.0";"3.641684"
"450.0";"3.771851"
"460.0";"3.728287"
"470.0";"3.856078"
"480.0";"3.460458"
"490.0";"3.427641"
"500.0";"3.267727"
"510.0";"3.538607"
"520.0";"3.55549"
"530.0";"3.322216"
"540.0";"3.366388"
"550.0";"3.157743"
"560.0";"2.749241"
"570.0";"2.98167"
"580.0";"3.157584"
"590.0";"3.858379"
"600.0";"3.907318"
"610.0";"3.737792"
"620.0";"4.082758"
"630.0";"4.253609"
"640.0";"4.631732"
"650.0";"4.676825"
"660.0";"4.891085"
"670.0";"4.716211"
"680.0";"4.574725"
"690.0";"4.655341"
"700.0";"4.513884"
"710.0";"4.048577"
"720.0";"4.129222"
"730.0";"4.040067"
"740.0";"3.805593"
"750.0";"3.713415"
"760.0";"3.968638"
"770.0";"3.928943"
"780.0";"4.182171"
"790.0";"4.155718"
"800.0";"4.23835"
"810.0";"4.201216"
"820.0";"4.209695"
"830.0";"3.976274"
"840.0";"3.719672"
"850.0";"3.915056"
"860.0";"3.615082"
"870.0";"3.547799"
