# This .csv file was created 12.10.2024 14:35
# extracted out of file mindist_major_allergenic_epitope_r_264-288_MOL_2.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAB/6fxb_cab_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_264-288-MOL"
"0.0";"1.720671"
"10.0";"1.600424"
"20.0";"1.633116"
"30.0";"1.541217"
"40.0";"1.565317"
"50.0";"1.581483"
"60.0";"1.414805"
"70.0";"1.564415"
"80.0";"1.570678"
"90.0";"1.463028"
"100.0";"1.526123"
"110.0";"1.627996"
"120.0";"1.592911"
"130.0";"1.450849"
"140.0";"1.553907"
"150.0";"1.639036"
"160.0";"1.729012"
"170.0";"1.564515"
"180.0";"1.243741"
"190.0";"1.180138"
"200.0";"1.294265"
"210.0";"1.095648"
"220.0";"0.8932291"
"230.0";"1.058117"
"240.0";"1.075718"
"250.0";"1.154478"
"260.0";"1.078794"
"270.0";"1.099219"
"280.0";"1.031022"
"290.0";"1.250994"
"300.0";"1.244759"
"310.0";"1.52877"
"320.0";"1.670534"
"330.0";"1.643545"
"340.0";"1.700324"
"350.0";"1.692834"
"360.0";"1.46773"
"370.0";"1.508345"
"380.0";"0.9657173"
"390.0";"1.190524"
"400.0";"1.193009"
"410.0";"1.06608"
"420.0";"0.964324"
"430.0";"1.252572"
"440.0";"1.055953"
"450.0";"1.001382"
"460.0";"0.9189503"
"470.0";"1.06947"
"480.0";"1.110702"
"490.0";"0.9054611"
"500.0";"0.9839391"
"510.0";"0.9338641"
"520.0";"0.9755357"
"530.0";"0.8476331"
"540.0";"0.8335159"
"550.0";"0.7434411"
"560.0";"0.8007253"
"570.0";"0.7862913"
"580.0";"0.7648795"
"590.0";"0.7339171"
"600.0";"0.8300851"
"610.0";"0.8370639"
"620.0";"0.750657"
"630.0";"0.6867349"
"640.0";"0.6506923"
"650.0";"0.537589"
"660.0";"0.6638086"
"670.0";"0.805369"
"680.0";"0.8017544"
"690.0";"0.8412783"
"700.0";"0.9466332"
"710.0";"0.9527183"
"720.0";"1.006859"
"730.0";"1.053195"
"740.0";"1.058545"
"750.0";"1.052598"
"760.0";"1.127309"
"770.0";"1.388583"
"780.0";"1.373954"
"790.0";"1.312449"
"800.0";"1.193265"
"810.0";"1.264803"
"820.0";"1.15802"
"830.0";"1.228331"
"840.0";"1.642923"
"850.0";"1.849807"
"860.0";"1.713698"
"870.0";"1.547593"
"880.0";"1.519057"
"890.0";"1.563159"
"900.0";"1.636465"
"910.0";"1.583289"
"920.0";"1.555765"
"930.0";"1.633699"
"940.0";"1.806304"
"950.0";"1.832971"
"960.0";"1.480853"
"970.0";"1.67432"
"980.0";"1.64709"
"990.0";"1.910635"
"1000.0";"1.877209"
"1010.0";"1.949378"
"1020.0";"1.911593"
"1030.0";"1.971604"
"1040.0";"1.872067"
"1050.0";"1.835596"
"1060.0";"1.745555"
"1070.0";"1.356364"
"1080.0";"1.487082"
"1090.0";"1.574017"
"1100.0";"1.519015"
"1110.0";"1.655991"
"1120.0";"1.662067"
"1130.0";"1.48547"
"1140.0";"1.529254"
"1150.0";"1.477845"
"1160.0";"1.422514"
"1170.0";"1.306617"
"1180.0";"1.145341"
"1190.0";"1.097505"
"1200.0";"1.045798"
"1210.0";"1.16382"
"1220.0";"1.075279"
"1230.0";"1.093997"
"1240.0";"1.136695"
"1250.0";"1.131292"
"1260.0";"1.011179"
"1270.0";"1.030611"
"1280.0";"0.8915411"
"1290.0";"0.8668253"
"1300.0";"0.8612118"
"1310.0";"0.7913149"
"1320.0";"0.7895424"
"1330.0";"0.9484053"
"1340.0";"0.8540009"
"1350.0";"1.023967"
"1360.0";"0.8775442"
"1370.0";"0.9187495"
"1380.0";"0.8206096"
"1390.0";"0.6566566"
"1400.0";"0.6787007"
"1410.0";"0.6076166"
"1420.0";"0.6293067"
"1430.0";"0.468783"
"1440.0";"0.4453794"
"1450.0";"0.4642824"
"1460.0";"0.5321474"
"1470.0";"0.4451838"
"1480.0";"0.6802134"
"1490.0";"0.7556282"
"1500.0";"0.6497568"
"1510.0";"0.7158701"
"1520.0";"0.6724316"
"1530.0";"0.8954222"
"1540.0";"1.008042"
"1550.0";"0.9309837"
"1560.0";"0.8828853"
"1570.0";"0.8580492"
"1580.0";"0.7881756"
"1590.0";"0.732583"
"1600.0";"0.8341542"
"1610.0";"0.8142225"
"1620.0";"0.8768451"
"1630.0";"1.013263"
"1640.0";"1.13879"
"1650.0";"0.9099349"
"1660.0";"1.012623"
"1670.0";"1.077779"
"1680.0";"1.357451"
"1690.0";"1.355777"
"1700.0";"1.363515"
"1710.0";"1.35314"
"1720.0";"1.465616"
"1730.0";"1.20814"
"1740.0";"1.202691"
"1750.0";"1.294505"
"1760.0";"1.397768"
"1770.0";"1.554813"
"1780.0";"1.737931"
"1790.0";"1.66592"
"1800.0";"1.645465"
"1810.0";"1.764902"
"1820.0";"1.746553"
"1830.0";"1.70379"
"1840.0";"1.572534"
"1850.0";"1.41038"
"1860.0";"1.589501"
"1870.0";"1.563162"
"1880.0";"1.356141"
"1890.0";"1.615374"
"1900.0";"1.53693"
"1910.0";"1.453102"
"1920.0";"1.482649"
"1930.0";"1.582854"
"1940.0";"1.478884"
"1950.0";"1.27584"
"1960.0";"1.414851"
"1970.0";"1.423942"
"1980.0";"1.333827"
"1990.0";"1.302133"
"2000.0";"1.251104"
"2010.0";"1.358376"
"2020.0";"1.299484"
"2030.0";"1.177268"
"2040.0";"1.250682"
"2050.0";"1.335227"
"2060.0";"1.097239"
"2070.0";"1.471572"
"2080.0";"1.529925"
"2090.0";"1.368505"
"2100.0";"1.447402"
"2110.0";"1.311927"
"2120.0";"1.258919"
"2130.0";"1.381561"
"2140.0";"1.318372"
"2150.0";"1.44114"
"2160.0";"1.373518"
"2170.0";"1.041329"
"2180.0";"1.059593"
"2190.0";"1.107922"
"2200.0";"0.9990295"
"2210.0";"1.101329"
"2220.0";"1.332835"
"2230.0";"1.245033"
"2240.0";"1.255457"
"2250.0";"0.9853308"
"2260.0";"1.013724"
"2270.0";"1.098875"
"2280.0";"1.109128"
"2290.0";"1.169404"
"2300.0";"1.241935"
"2310.0";"1.370356"
"2320.0";"1.64583"
"2330.0";"1.354425"
"2340.0";"1.60943"
"2350.0";"1.695403"
"2360.0";"1.588883"
"2370.0";"1.567706"
"2380.0";"1.646248"
"2390.0";"1.927909"
"2400.0";"1.995531"
"2410.0";"1.650739"
"2420.0";"1.725896"
"2430.0";"2.02968"
"2440.0";"1.946926"
"2450.0";"1.685074"
"2460.0";"1.791048"
"2470.0";"1.662293"
"2480.0";"1.785355"
"2490.0";"1.453137"
"2500.0";"1.475327"
"2510.0";"1.394855"
"2520.0";"1.453309"
"2530.0";"1.544168"
"2540.0";"1.434146"
"2550.0";"1.658759"
"2560.0";"1.605642"
"2570.0";"1.404087"
"2580.0";"1.546571"
"2590.0";"1.611413"
"2600.0";"1.690535"
"2610.0";"1.826986"
"2620.0";"1.597514"
"2630.0";"1.568481"
"2640.0";"1.383226"
"2650.0";"1.321407"
"2660.0";"1.204634"
"2670.0";"1.390116"
"2680.0";"1.621763"
"2690.0";"1.464009"
"2700.0";"1.488415"
"2710.0";"1.591815"
"2720.0";"1.579389"
"2730.0";"1.637065"
"2740.0";"1.519695"
"2750.0";"1.247443"
"2760.0";"1.548125"
"2770.0";"1.400426"
"2780.0";"1.251551"
"2790.0";"1.38207"
"2800.0";"1.240395"
"2810.0";"1.308548"
"2820.0";"1.019663"
"2830.0";"0.9849202"
"2840.0";"0.835843"
"2850.0";"0.8808147"
"2860.0";"1.064016"
"2870.0";"1.317946"
"2880.0";"1.329741"
"2890.0";"1.15978"
"2900.0";"1.215166"
"2910.0";"1.162011"
"2920.0";"1.176813"
"2930.0";"1.176443"
"2940.0";"1.123499"
"2950.0";"1.237444"
"2960.0";"1.294366"
"2970.0";"1.160414"
"2980.0";"1.113329"
"2990.0";"0.7628382"
"3000.0";"0.8839732"
"3010.0";"0.9938077"
"3020.0";"0.7989547"
"3030.0";"0.6178662"
"3040.0";"0.8713561"
"3050.0";"0.9154065"
"3060.0";"1.148608"
"3070.0";"1.306893"
"3080.0";"1.197438"
"3090.0";"1.07965"
"3100.0";"1.017598"
"3110.0";"0.9440435"
"3120.0";"0.8888088"
"3130.0";"1.249866"
"3140.0";"1.405003"
"3150.0";"1.438092"
"3160.0";"1.498224"
"3170.0";"1.50013"
"3180.0";"1.561995"
"3190.0";"1.617236"
"3200.0";"1.737237"
"3210.0";"1.597072"
"3220.0";"1.543"
"3230.0";"1.654125"
"3240.0";"1.473338"
"3250.0";"1.581107"
"3260.0";"1.656083"
"3270.0";"1.670638"
"3280.0";"1.781273"
"3290.0";"1.661565"
"3300.0";"1.446201"
"3310.0";"1.521227"
"3320.0";"1.423643"
"3330.0";"1.377725"
"3340.0";"1.624478"
"3350.0";"1.537078"
"3360.0";"1.288213"
"3370.0";"1.377368"
"3380.0";"1.404378"
"3390.0";"1.515962"
"3400.0";"1.417165"
"3410.0";"1.487149"
"3420.0";"1.446162"
"3430.0";"1.458598"
"3440.0";"1.545421"
"3450.0";"1.734977"
"3460.0";"1.797392"
"3470.0";"1.802986"
"3480.0";"1.68013"
"3490.0";"1.489204"
"3500.0";"1.553544"
"3510.0";"1.594702"
"3520.0";"1.525475"
"3530.0";"1.551827"
"3540.0";"1.465794"
"3550.0";"1.652191"
"3560.0";"1.563087"
"3570.0";"1.637481"
"3580.0";"1.638208"
"3590.0";"1.605062"
"3600.0";"1.474159"
"3610.0";"1.347897"
"3620.0";"1.291927"
"3630.0";"1.40698"
"3640.0";"1.506643"
"3650.0";"1.640652"
"3660.0";"1.258562"
"3670.0";"1.34646"
"3680.0";"1.331901"
"3690.0";"1.309233"
"3700.0";"1.236711"
"3710.0";"1.349598"
"3720.0";"1.398001"
"3730.0";"1.100266"
"3740.0";"1.053589"
"3750.0";"1.250167"
"3760.0";"1.304573"
"3770.0";"1.219845"
"3780.0";"1.18568"
"3790.0";"1.213762"
"3800.0";"1.071275"
"3810.0";"1.161438"
"3820.0";"1.210031"
"3830.0";"1.373137"
"3840.0";"1.441038"
"3850.0";"1.212582"
"3860.0";"1.193294"
"3870.0";"1.030053"
"3880.0";"1.096591"
"3890.0";"1.265426"
"3900.0";"1.432899"
"3910.0";"1.365753"
"3920.0";"1.174585"
"3930.0";"1.113834"
"3940.0";"1.163393"
"3950.0";"0.9607621"
"3960.0";"1.062708"
"3970.0";"1.076452"
"3980.0";"0.8910114"
"3990.0";"0.8784789"
"4000.0";"0.9904671"
"4010.0";"0.9217127"
"4020.0";"1.205718"
"4030.0";"1.13204"
"4040.0";"1.232626"
"4050.0";"1.30507"
"4060.0";"1.498734"
"4070.0";"1.745374"
"4080.0";"1.836563"
"4090.0";"1.876242"
"4100.0";"1.966235"
"4110.0";"1.976803"
"4120.0";"1.957701"
"4130.0";"2.079647"
"4140.0";"1.850967"
"4150.0";"2.042818"
"4160.0";"2.141894"
"4170.0";"2.191179"
"4180.0";"2.040135"
"4190.0";"2.127916"
"4200.0";"2.043512"
"4210.0";"2.001654"
"4220.0";"1.978109"
"4230.0";"1.837646"
"4240.0";"1.723628"
"4250.0";"1.893795"
"4260.0";"1.857874"
"4270.0";"1.810103"
"4280.0";"1.752166"
"4290.0";"1.763715"
"4300.0";"1.540723"
"4310.0";"1.545585"
"4320.0";"1.588178"
"4330.0";"1.674237"
"4340.0";"1.71162"
"4350.0";"1.616161"
"4360.0";"1.550798"
"4370.0";"1.682385"
"4380.0";"1.529952"
"4390.0";"1.568365"
"4400.0";"1.758943"
"4410.0";"1.700748"
"4420.0";"1.696365"
"4430.0";"1.485849"
"4440.0";"1.406505"
"4450.0";"1.53363"
"4460.0";"1.444829"
"4470.0";"1.559145"
"4480.0";"1.503445"
"4490.0";"1.342671"
"4500.0";"1.170256"
"4510.0";"1.145622"
"4520.0";"1.149501"
"4530.0";"1.062102"
"4540.0";"1.271969"
"4550.0";"1.370713"
"4560.0";"1.456897"
"4570.0";"1.242699"
"4580.0";"1.439637"
"4590.0";"1.500117"
"4600.0";"1.495273"
"4610.0";"1.623158"
"4620.0";"1.571253"
"4630.0";"1.596934"
"4640.0";"1.621344"
"4650.0";"1.65056"
"4660.0";"1.765132"
"4670.0";"1.999733"
"4680.0";"1.821976"
"4690.0";"1.897273"
"4700.0";"1.801275"
"4710.0";"1.731789"
"4720.0";"1.577196"
"4730.0";"1.685786"
"4740.0";"1.570189"
"4750.0";"1.587465"
"4760.0";"1.727788"
"4770.0";"1.5814"
"4780.0";"1.56154"
"4790.0";"1.374957"
"4800.0";"1.059921"
"4810.0";"1.139023"
"4820.0";"1.413937"
"4830.0";"1.488617"
"4840.0";"1.615631"
"4850.0";"1.682575"
"4860.0";"1.832215"
"4870.0";"1.666518"
"4880.0";"1.841935"
"4890.0";"1.857033"
"4900.0";"1.860651"
"4910.0";"2.080546"
"4920.0";"1.712637"
"4930.0";"1.518361"
"4940.0";"1.521079"
"4950.0";"1.593339"
"4960.0";"1.533526"
"4970.0";"1.308878"
"4980.0";"1.36094"
"4990.0";"1.310859"
"5000.0";"1.152234"
"5010.0";"1.207409"
"5020.0";"1.212281"
"5030.0";"1.306618"
"5040.0";"1.252516"
"5050.0";"1.350299"
"5060.0";"1.265446"
"5070.0";"1.066928"
"5080.0";"1.162933"
"5090.0";"1.341151"
"5100.0";"1.341225"
"5110.0";"1.27711"
"5120.0";"1.420801"
"5130.0";"1.400246"
"5140.0";"1.351253"
"5150.0";"1.264055"
"5160.0";"1.330722"
"5170.0";"1.319664"
"5180.0";"1.038201"
"5190.0";"1.087139"
"5200.0";"1.070973"
"5210.0";"0.9371468"
"5220.0";"0.8032941"
"5230.0";"0.6376354"
"5240.0";"0.6972507"
"5250.0";"0.5784366"
"5260.0";"0.54822"
"5270.0";"0.4513811"
"5280.0";"0.5568493"
"5290.0";"0.5652643"
"5300.0";"0.666031"
"5310.0";"0.7203918"
"5320.0";"0.6855109"
"5330.0";"0.6696608"
"5340.0";"0.6424725"
"5350.0";"0.636947"
