# This .csv file was created 12.10.2024 14:35
# extracted out of file prod_center_rottrans_gyration.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAB/6fxb_cab_3
# Original file was created by command :
"Radius of gyration (total and around axes)"
"Time (ps)";"Rg";"Rg\sX\N";"Rg\sY\N";"Rg\sZ\N"
"0.0";"2.1444";"1.96132";"1.96516";"1.21995"
"10.0";"2.1454";"1.96272";"1.9644";"1.22243"
"20.0";"2.13987";"1.95953";"1.95686";"1.22026"
"30.0";"2.15096";"1.97227";"1.96732";"1.22192"
"40.0";"2.14954";"1.97113";"1.96815";"1.21741"
"50.0";"2.13724";"1.95585";"1.95174";"1.22513"
"60.0";"2.13324";"1.95177";"1.95157";"1.21796"
"70.0";"2.13678";"1.95615";"1.95028";"1.22539"
"80.0";"2.14117";"1.96255";"1.95627";"1.22093"
"90.0";"2.14932";"1.9712";"1.96814";"1.21655"
"100.0";"2.14392";"1.96208";"1.96357";"1.21958"
"110.0";"2.13957";"1.95855";"1.95852";"1.2181"
"120.0";"2.13949";"1.95668";"1.95634";"1.22431"
"130.0";"2.14163";"1.95871";"1.95979";"1.22303"
"140.0";"2.13094";"1.94988";"1.94791";"1.21879"
"150.0";"2.13925";"1.95668";"1.95778";"1.22119"
"160.0";"2.14478";"1.96585";"1.96301";"1.21746"
"170.0";"2.15197";"1.97231";"1.96946";"1.22194"
"180.0";"2.14631";"1.96686";"1.96602";"1.21635"
"190.0";"2.15899";"1.97849";"1.98134";"1.2175"
"200.0";"2.16582";"1.98519";"1.98485";"1.22512"
"210.0";"2.16618";"1.98675";"1.9854";"1.22299"
"220.0";"2.16399";"1.98692";"1.98414";"1.21698"
"230.0";"2.16402";"1.98752";"1.98417";"1.21607"
"240.0";"2.15082";"1.97343";"1.96734";"1.21952"
"250.0";"2.15205";"1.97339";"1.97072";"1.21847"
"260.0";"2.14584";"1.96604";"1.96437";"1.21868"
"270.0";"2.15238";"1.9705";"1.9707";"1.22431"
"280.0";"2.15401";"1.97383";"1.97224";"1.22218"
"290.0";"2.15835";"1.97947";"1.97654";"1.22145"
"300.0";"2.16644";"1.98982";"1.98322";"1.22246"
"310.0";"2.17089";"1.99282";"1.99087";"1.22093"
"320.0";"2.16338";"1.98606";"1.982";"1.21969"
"330.0";"2.16079";"1.98325";"1.9818";"1.21541"
"340.0";"2.15278";"1.97782";"1.96886";"1.21687"
"350.0";"2.14764";"1.96872";"1.96311";"1.22271"
"360.0";"2.15007";"1.97224";"1.96934";"1.21554"
"370.0";"2.15113";"1.97528";"1.96848";"1.21573"
"380.0";"2.14983";"1.97091";"1.97113";"1.21395"
"390.0";"2.13769";"1.95953";"1.95581";"1.21428"
"400.0";"2.15645";"1.97692";"1.97745";"1.2174"
"410.0";"2.15149";"1.97188";"1.97315";"1.21498"
"420.0";"2.14552";"1.96979";"1.96405";"1.21201"
"430.0";"2.14975";"1.97417";"1.9698";"1.21051"
"440.0";"2.15679";"1.98233";"1.9769";"1.21068"
"450.0";"2.15411";"1.97655";"1.97311";"1.21674"
"460.0";"2.14665";"1.97235";"1.96397";"1.21196"
"470.0";"2.15976";"1.98467";"1.98109";"1.21059"
"480.0";"2.14583";"1.96688";"1.9649";"1.21644"
"490.0";"2.14788";"1.97045";"1.96945";"1.21051"
"500.0";"2.15199";"1.97511";"1.9707";"1.21548"
"510.0";"2.14198";"1.96448";"1.95939";"1.21565"
"520.0";"2.13626";"1.95509";"1.95371";"1.21978"
"530.0";"2.15048";"1.97229";"1.97049";"1.21508"
"540.0";"2.13544";"1.95559";"1.9503";"1.22155"
"550.0";"2.14044";"1.9576";"1.95776";"1.22389"
"560.0";"2.14171";"1.96457";"1.95786";"1.21699"
"570.0";"2.14483";"1.96674";"1.96426";"1.21415"
"580.0";"2.14575";"1.96545";"1.96579";"1.21702"
"590.0";"2.14043";"1.95859";"1.958";"1.22188"
"600.0";"2.14";"1.95836";"1.95855";"1.21987"
"610.0";"2.13372";"1.95463";"1.95226";"1.21391"
"620.0";"2.14525";"1.96818";"1.96378";"1.2141"
"630.0";"2.14335";"1.96359";"1.96203";"1.21763"
"640.0";"2.14677";"1.9697";"1.96494";"1.21513"
"650.0";"2.13706";"1.957";"1.95217";"1.222"
"660.0";"2.14043";"1.95968";"1.95776";"1.22053"
"670.0";"2.14953";"1.97151";"1.96912";"1.21516"
"680.0";"2.15296";"1.97476";"1.97472";"1.21298"
"690.0";"2.14991";"1.97099";"1.96982";"1.21624"
