# This .csv file was created 12.10.2024 14:35
# extracted out of file prod_mindist_mol11_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAB/6fxb_cab_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein-MOL11"
"0.0";"2.446554"
"10.0";"2.261985"
"20.0";"2.219409"
"30.0";"2.057569"
"40.0";"2.193076"
"50.0";"2.382918"
"60.0";"2.713705"
"70.0";"2.74923"
"80.0";"2.976151"
"90.0";"2.871486"
"100.0";"2.75766"
"110.0";"2.627111"
"120.0";"2.722378"
"130.0";"2.845518"
"140.0";"2.882175"
"150.0";"2.795001"
"160.0";"2.79271"
"170.0";"3.024758"
"180.0";"2.835838"
"190.0";"2.855458"
"200.0";"2.731586"
"210.0";"3.002818"
"220.0";"3.119087"
"230.0";"2.88821"
"240.0";"2.811443"
"250.0";"2.956186"
"260.0";"2.877615"
"270.0";"3.034465"
"280.0";"3.086401"
"290.0";"3.003321"
"300.0";"3.175825"
"310.0";"3.075199"
"320.0";"3.067953"
"330.0";"3.207196"
"340.0";"3.452433"
"350.0";"3.293332"
"360.0";"3.285399"
"370.0";"3.309197"
"380.0";"3.574219"
"390.0";"3.780751"
"400.0";"3.667857"
"410.0";"3.800575"
"420.0";"3.693483"
"430.0";"3.701472"
"440.0";"3.691229"
"450.0";"3.368676"
"460.0";"3.255054"
"470.0";"3.052141"
"480.0";"2.971851"
"490.0";"3.076014"
"500.0";"3.136523"
"510.0";"3.176585"
"520.0";"2.990458"
"530.0";"3.083005"
"540.0";"3.219259"
"550.0";"3.692035"
"560.0";"3.932529"
"570.0";"4.045535"
"580.0";"3.906929"
"590.0";"3.848392"
"600.0";"4.061153"
"610.0";"4.064145"
"620.0";"3.66"
"630.0";"3.610039"
"640.0";"3.716829"
"650.0";"3.816019"
"660.0";"3.924056"
"670.0";"3.825291"
"680.0";"3.891889"
"690.0";"3.749077"
"700.0";"3.70052"
"710.0";"3.855823"
"720.0";"3.718859"
"730.0";"3.76446"
"740.0";"3.487046"
"750.0";"3.612307"
"760.0";"3.420053"
"770.0";"3.382473"
"780.0";"3.476766"
"790.0";"3.366134"
"800.0";"3.658007"
"810.0";"3.543622"
"820.0";"3.428128"
"830.0";"3.178639"
"840.0";"3.214944"
"850.0";"3.242196"
"860.0";"3.219477"
"870.0";"3.126083"
"880.0";"3.343094"
"890.0";"3.564598"
"900.0";"3.198012"
"910.0";"3.43362"
"920.0";"3.454508"
"930.0";"3.296529"
"940.0";"3.252449"
"950.0";"3.278059"
"960.0";"3.056532"
"970.0";"2.997132"
"980.0";"2.799308"
"990.0";"2.722277"
"1000.0";"2.811621"
"1010.0";"2.655354"
"1020.0";"2.643295"
"1030.0";"2.866518"
"1040.0";"2.961693"
"1050.0";"3.242615"
"1060.0";"3.185157"
"1070.0";"3.49388"
"1080.0";"3.345193"
"1090.0";"3.35773"
"1100.0";"3.431207"
"1110.0";"3.498777"
"1120.0";"3.303339"
"1130.0";"3.54978"
"1140.0";"3.619769"
"1150.0";"3.146909"
"1160.0";"3.116487"
"1170.0";"3.284889"
"1180.0";"3.486302"
"1190.0";"3.040604"
"1200.0";"3.130471"
"1210.0";"3.008751"
"1220.0";"3.016166"
"1230.0";"3.257457"
"1240.0";"3.688612"
"1250.0";"3.939232"
"1260.0";"3.902878"
"1270.0";"3.709147"
"1280.0";"3.490586"
"1290.0";"3.826772"
"1300.0";"4.218005"
"1310.0";"4.563889"
"1320.0";"4.547595"
"1330.0";"4.550313"
"1340.0";"4.846447"
"1350.0";"4.802808"
"1360.0";"4.963307"
"1370.0";"5.046826"
"1380.0";"4.716279"
"1390.0";"4.444806"
"1400.0";"4.246865"
"1410.0";"4.149133"
"1420.0";"3.876663"
"1430.0";"3.883168"
"1440.0";"3.798609"
"1450.0";"3.781998"
"1460.0";"3.775671"
"1470.0";"3.713472"
"1480.0";"4.196042"
"1490.0";"4.476572"
"1500.0";"4.547898"
"1510.0";"4.127841"
"1520.0";"4.183211"
"1530.0";"4.231179"
"1540.0";"4.351581"
"1550.0";"4.43659"
"1560.0";"4.263479"
"1570.0";"4.468745"
"1580.0";"4.237232"
"1590.0";"4.372735"
"1600.0";"4.30322"
"1610.0";"4.304852"
"1620.0";"4.517872"
"1630.0";"4.456305"
"1640.0";"4.172282"
"1650.0";"4.172652"
"1660.0";"4.072112"
"1670.0";"3.965966"
"1680.0";"4.110148"
"1690.0";"3.907568"
"1700.0";"3.536962"
"1710.0";"3.725223"
"1720.0";"3.763451"
"1730.0";"3.723022"
"1740.0";"4.131572"
"1750.0";"3.703464"
"1760.0";"3.666785"
"1770.0";"3.536986"
"1780.0";"3.630495"
"1790.0";"3.623673"
"1800.0";"3.561523"
"1810.0";"3.496044"
"1820.0";"3.533507"
"1830.0";"3.37723"
"1840.0";"3.19555"
"1850.0";"3.20201"
"1860.0";"3.302675"
"1870.0";"3.447582"
"1880.0";"3.397613"
"1890.0";"3.478437"
"1900.0";"3.633315"
"1910.0";"3.849528"
"1920.0";"3.940889"
"1930.0";"3.772447"
"1940.0";"3.248484"
"1950.0";"3.417858"
"1960.0";"3.425936"
"1970.0";"3.241665"
"1980.0";"3.257291"
"1990.0";"3.275034"
"2000.0";"3.300144"
"2010.0";"3.319674"
"2020.0";"3.353725"
"2030.0";"3.544753"
"2040.0";"3.542426"
"2050.0";"3.396192"
"2060.0";"3.438709"
"2070.0";"3.561357"
"2080.0";"3.321047"
"2090.0";"3.283247"
"2100.0";"3.666319"
"2110.0";"3.900433"
"2120.0";"3.746945"
"2130.0";"4.029982"
"2140.0";"4.430787"
"2150.0";"4.234958"
"2160.0";"4.299242"
"2170.0";"4.492268"
"2180.0";"4.504579"
"2190.0";"4.611626"
"2200.0";"4.553063"
"2210.0";"4.819049"
"2220.0";"4.75898"
"2230.0";"4.991598"
"2240.0";"4.968749"
"2250.0";"4.98086"
"2260.0";"5.016779"
"2270.0";"4.767338"
"2280.0";"4.739359"
"2290.0";"5.171226"
"2300.0";"4.949471"
"2310.0";"4.636092"
"2320.0";"4.545732"
"2330.0";"4.768656"
"2340.0";"4.695673"
"2350.0";"4.915313"
