# This .csv file was created 12.10.2024 14:35
# extracted out of file prod_sasa.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAB/6fxb_cab_3
# Original file was created by command :
"Solvent Accessible Surface"
"Time (ps)";"Total"
"0.0";"159.245"
"10.0";"161.101"
"20.0";"160.092"
"30.0";"162.023"
"40.0";"160.251"
"50.0";"162.293"
"60.0";"159.747"
"70.0";"160.014"
"80.0";"156.786"
"90.0";"161.583"
"100.0";"161.23"
"110.0";"155.808"
"120.0";"159.901"
"130.0";"161.13"
"140.0";"160.429"
"150.0";"162.162"
"160.0";"161.178"
"170.0";"161.179"
"180.0";"159.784"
"190.0";"161.122"
"200.0";"163.277"
"210.0";"160.894"
"220.0";"160.056"
"230.0";"159.744"
"240.0";"159.083"
"250.0";"159.147"
"260.0";"158.788"
"270.0";"162.749"
"280.0";"163.162"
"290.0";"162.863"
"300.0";"161.258"
"310.0";"161.699"
"320.0";"161.359"
"330.0";"162.638"
"340.0";"160.449"
"350.0";"159.206"
"360.0";"158.962"
"370.0";"159.278"
"380.0";"162.623"
"390.0";"160.403"
"400.0";"161.166"
"410.0";"164.054"
"420.0";"162.02"
"430.0";"161.63"
"440.0";"162.215"
"450.0";"161.594"
"460.0";"161.373"
"470.0";"161.591"
"480.0";"160.222"
"490.0";"157.105"
"500.0";"158.057"
"510.0";"157.577"
"520.0";"158.617"
"530.0";"160.225"
"540.0";"158.823"
"550.0";"162.89"
"560.0";"158.918"
"570.0";"160.155"
"580.0";"161.396"
"590.0";"161.151"
"600.0";"159.991"
"610.0";"159.496"
"620.0";"161.815"
"630.0";"160.863"
"640.0";"160.808"
"650.0";"161.368"
"660.0";"158.514"
"670.0";"162.916"
"680.0";"161.128"
"690.0";"160.484"
"700.0";"157.86"
"710.0";"156.46"
"720.0";"158.737"
"730.0";"160.546"
"740.0";"159.433"
"750.0";"158.717"
"760.0";"160.092"
"770.0";"157.421"
"780.0";"156.622"
"790.0";"159.251"
"800.0";"158.635"
"810.0";"157.739"
"820.0";"157.461"
"830.0";"158.517"
"840.0";"159.823"
"850.0";"156.966"
"860.0";"154.694"
"870.0";"158.633"
"880.0";"158.509"
"890.0";"160.646"
"900.0";"158.889"
"910.0";"157.315"
"920.0";"157.461"
"930.0";"160.108"
"940.0";"155.901"
"950.0";"158.481"
"960.0";"159.58"
"970.0";"158.246"
"980.0";"156.778"
"990.0";"158.869"
"1000.0";"161.598"
"1010.0";"155.726"
"1020.0";"160.172"
"1030.0";"159.214"
"1040.0";"155.855"
"1050.0";"157.977"
"1060.0";"158.514"
"1070.0";"159.27"
"1080.0";"155.654"
"1090.0";"157.239"
"1100.0";"157.22"
"1110.0";"156.134"
"1120.0";"157.721"
"1130.0";"156.588"
"1140.0";"159.206"
"1150.0";"157.455"
"1160.0";"157.767"
"1170.0";"160.765"
"1180.0";"157.431"
"1190.0";"158.47"
"1200.0";"157.678"
"1210.0";"160.089"
"1220.0";"161.18"
"1230.0";"160.667"
"1240.0";"158.167"
"1250.0";"157.08"
"1260.0";"156.938"
"1270.0";"158.825"
"1280.0";"157.537"
"1290.0";"158.642"
"1300.0";"159.928"
"1310.0";"159.313"
"1320.0";"158.655"
"1330.0";"156.739"
"1340.0";"158.43"
"1350.0";"160.773"
"1360.0";"162.673"
"1370.0";"162.187"
"1380.0";"160.227"
"1390.0";"158.985"
"1400.0";"159.977"
"1410.0";"157.102"
"1420.0";"159.336"
"1430.0";"158.793"
"1440.0";"161.806"
"1450.0";"159.507"
"1460.0";"159.085"
"1470.0";"158.735"
"1480.0";"160.003"
"1490.0";"160.408"
"1500.0";"158.778"
"1510.0";"158.492"
"1520.0";"157.761"
"1530.0";"161.24"
"1540.0";"159.28"
"1550.0";"159.288"
"1560.0";"159.515"
"1570.0";"159.354"
"1580.0";"160.188"
"1590.0";"160.401"
"1600.0";"156.775"
"1610.0";"158.961"
"1620.0";"159.313"
"1630.0";"156.872"
"1640.0";"157.134"
"1650.0";"159.699"
"1660.0";"158.278"
"1670.0";"156.861"
"1680.0";"156.215"
"1690.0";"156.245"
"1700.0";"158.565"
"1710.0";"157.136"
"1720.0";"157.94"
"1730.0";"161.019"
"1740.0";"160.161"
"1750.0";"159.028"
"1760.0";"157.388"
"1770.0";"158.692"
"1780.0";"158.385"
"1790.0";"159.487"
"1800.0";"160.152"
"1810.0";"158.731"
"1820.0";"159.182"
"1830.0";"156.981"
"1840.0";"157.561"
"1850.0";"156.613"
"1860.0";"156.612"
"1870.0";"158.388"
"1880.0";"154.387"
"1890.0";"156.162"
"1900.0";"160.215"
"1910.0";"157.503"
"1920.0";"156.734"
"1930.0";"158.88"
"1940.0";"158.026"
"1950.0";"158.063"
"1960.0";"160.488"
"1970.0";"159.611"
"1980.0";"159.724"
"1990.0";"159.041"
"2000.0";"158.841"
"2010.0";"158.942"
"2020.0";"156.363"
"2030.0";"158.636"
"2040.0";"161.011"
"2050.0";"156.598"
"2060.0";"158.179"
"2070.0";"158.679"
"2080.0";"158.348"
"2090.0";"157.331"
"2100.0";"156.492"
"2110.0";"157.588"
"2120.0";"157.886"
"2130.0";"159.751"
"2140.0";"158.171"
"2150.0";"160.603"
"2160.0";"158.615"
"2170.0";"158.648"
"2180.0";"158.658"
"2190.0";"156.998"
"2200.0";"157.948"
"2210.0";"156.386"
"2220.0";"157.371"
"2230.0";"156.751"
"2240.0";"156.651"
"2250.0";"155.005"
"2260.0";"157.871"
"2270.0";"156.361"
"2280.0";"158.48"
"2290.0";"156.854"
"2300.0";"156.312"
"2310.0";"155.083"
"2320.0";"155.578"
"2330.0";"154.982"
"2340.0";"156.326"
"2350.0";"156.74"
"2360.0";"155.794"
"2370.0";"159.598"
"2380.0";"156.081"
"2390.0";"155.626"
"2400.0";"156.604"
"2410.0";"156.743"
"2420.0";"156.492"
"2430.0";"153.214"
"2440.0";"156.631"
