# This .csv file was created 12.10.2024 14:32
# extracted out of file mindist_major_allergenic_epitope_r_149-162_MOL.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAD/6fxb_cad_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_149-162-MOL"
"0.0";"2.034537"
"10.0";"2.041513"
"20.0";"1.95195"
"30.0";"1.985161"
"40.0";"1.968426"
"50.0";"2.078894"
"60.0";"2.104918"
"70.0";"2.130963"
"80.0";"2.178452"
"90.0";"2.185973"
"100.0";"2.124684"
"110.0";"2.197253"
"120.0";"2.094253"
"130.0";"2.089147"
"140.0";"1.993248"
"150.0";"2.084151"
"160.0";"2.079283"
"170.0";"1.854654"
"180.0";"2.034353"
"190.0";"1.850217"
"200.0";"2.018816"
"210.0";"1.74495"
"220.0";"1.855906"
"230.0";"1.890267"
"240.0";"1.781832"
"250.0";"1.763176"
"260.0";"1.693798"
"270.0";"1.591592"
"280.0";"1.609751"
"290.0";"1.612217"
"300.0";"1.683216"
"310.0";"1.656443"
"320.0";"1.5406"
"330.0";"1.51926"
"340.0";"1.445657"
"350.0";"1.603627"
"360.0";"1.830416"
"370.0";"1.855361"
"380.0";"2.012442"
"390.0";"1.941409"
"400.0";"1.849637"
"410.0";"1.987205"
"420.0";"2.035308"
"430.0";"1.996137"
"440.0";"1.831362"
"450.0";"1.844693"
"460.0";"1.842034"
"470.0";"1.953306"
"480.0";"1.861806"
"490.0";"1.847741"
"500.0";"1.814857"
"510.0";"1.873639"
"520.0";"1.701696"
"530.0";"1.428574"
"540.0";"1.678601"
"550.0";"1.893162"
"560.0";"1.888906"
"570.0";"1.803844"
"580.0";"1.781897"
"590.0";"1.714492"
"600.0";"1.6975"
"610.0";"1.629413"
"620.0";"1.713155"
"630.0";"1.817506"
"640.0";"1.844623"
"650.0";"1.962551"
"660.0";"1.918824"
"670.0";"1.900982"
"680.0";"1.819504"
"690.0";"1.883074"
"700.0";"1.860384"
"710.0";"1.997473"
"720.0";"1.861319"
"730.0";"1.930371"
"740.0";"1.928828"
"750.0";"1.921972"
"760.0";"1.836963"
"770.0";"1.875918"
"780.0";"1.825542"
"790.0";"1.75946"
"800.0";"1.645144"
"810.0";"1.786192"
"820.0";"1.739907"
"830.0";"1.773671"
"840.0";"1.852811"
"850.0";"1.81606"
"860.0";"1.841274"
"870.0";"1.853804"
"880.0";"1.937765"
"890.0";"1.826306"
"900.0";"1.606869"
"910.0";"1.640544"
"920.0";"1.519245"
"930.0";"1.600488"
"940.0";"1.638295"
"950.0";"1.785341"
"960.0";"1.788487"
"970.0";"1.676655"
"980.0";"1.663123"
"990.0";"1.722762"
"1000.0";"1.613934"
"1010.0";"1.598957"
"1020.0";"1.684246"
"1030.0";"1.63099"
"1040.0";"1.578333"
"1050.0";"1.651183"
"1060.0";"1.720935"
"1070.0";"1.716963"
"1080.0";"1.718358"
"1090.0";"1.60616"
"1100.0";"1.654032"
"1110.0";"1.778507"
"1120.0";"1.725455"
"1130.0";"1.69354"
"1140.0";"1.764443"
"1150.0";"1.708867"
"1160.0";"1.572812"
"1170.0";"1.83069"
"1180.0";"1.575065"
"1190.0";"1.813792"
"1200.0";"1.799754"
"1210.0";"1.713135"
"1220.0";"1.748075"
"1230.0";"1.764041"
"1240.0";"1.659964"
"1250.0";"1.5434"
"1260.0";"1.753266"
"1270.0";"1.606301"
"1280.0";"1.61323"
"1290.0";"1.604649"
"1300.0";"1.699486"
"1310.0";"1.808586"
"1320.0";"1.828728"
"1330.0";"1.832389"
"1340.0";"1.909079"
"1350.0";"1.818495"
"1360.0";"1.764508"
"1370.0";"1.799134"
"1380.0";"1.748281"
"1390.0";"1.721155"
"1400.0";"1.716548"
"1410.0";"1.756204"
"1420.0";"1.759401"
"1430.0";"1.766228"
"1440.0";"1.746614"
"1450.0";"1.82391"
"1460.0";"1.752766"
"1470.0";"1.699912"
"1480.0";"1.816409"
"1490.0";"1.721299"
"1500.0";"1.668086"
"1510.0";"1.860676"
"1520.0";"1.687993"
"1530.0";"1.837308"
