# This .csv file was created 12.10.2024 14:32
# extracted out of file mindist_major_allergenic_epitope_r_149-162_MOL9.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAD/6fxb_cad_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_149-162-MOL9"
"0.0";"3.208472"
"10.0";"3.029737"
"20.0";"3.186242"
"30.0";"3.277275"
"40.0";"3.369873"
"50.0";"3.362234"
"60.0";"3.06894"
"70.0";"3.229711"
"80.0";"3.245083"
"90.0";"3.221019"
"100.0";"3.424133"
"110.0";"3.162286"
"120.0";"3.033194"
"130.0";"2.825065"
"140.0";"2.802946"
"150.0";"2.64933"
"160.0";"2.527702"
"170.0";"2.49609"
"180.0";"2.604307"
"190.0";"2.673851"
"200.0";"2.859132"
"210.0";"2.757793"
"220.0";"2.582179"
"230.0";"2.61707"
"240.0";"2.593729"
"250.0";"2.585974"
"260.0";"2.419075"
"270.0";"2.427961"
"280.0";"2.71561"
"290.0";"2.861554"
"300.0";"2.807528"
"310.0";"2.880206"
"320.0";"2.674327"
"330.0";"2.836733"
"340.0";"2.846351"
"350.0";"2.96052"
"360.0";"2.91381"
"370.0";"2.861229"
"380.0";"2.729145"
"390.0";"2.740391"
"400.0";"2.526226"
"410.0";"2.550938"
"420.0";"2.728098"
"430.0";"2.882097"
"440.0";"2.914701"
"450.0";"2.797131"
"460.0";"2.609443"
"470.0";"2.719738"
"480.0";"2.69161"
"490.0";"2.786601"
"500.0";"2.701645"
"510.0";"2.585582"
"520.0";"2.672682"
"530.0";"2.656197"
"540.0";"2.687767"
"550.0";"2.864272"
"560.0";"2.827432"
"570.0";"2.891834"
"580.0";"2.9477"
"590.0";"2.861424"
"600.0";"3.039038"
"610.0";"2.946307"
"620.0";"2.847489"
"630.0";"2.615193"
"640.0";"2.719345"
"650.0";"2.691171"
"660.0";"2.926722"
"670.0";"2.911334"
"680.0";"2.625434"
"690.0";"2.664115"
"700.0";"2.462003"
"710.0";"2.438948"
"720.0";"2.318672"
"730.0";"2.115658"
"740.0";"1.928828"
"750.0";"1.921972"
"760.0";"1.964348"
"770.0";"2.357775"
"780.0";"2.473343"
"790.0";"2.62425"
"800.0";"2.642018"
"810.0";"2.604809"
"820.0";"2.556412"
"830.0";"2.578633"
"840.0";"2.569227"
"850.0";"2.560638"
"860.0";"2.723404"
"870.0";"2.879593"
"880.0";"2.78671"
"890.0";"2.778465"
"900.0";"2.755487"
"910.0";"2.772006"
"920.0";"2.873624"
"930.0";"3.036199"
"940.0";"3.159373"
"950.0";"3.043554"
"960.0";"2.730104"
"970.0";"2.888431"
"980.0";"2.948572"
"990.0";"3.097163"
"1000.0";"3.15992"
"1010.0";"3.418444"
"1020.0";"3.313791"
"1030.0";"3.564331"
"1040.0";"3.572487"
"1050.0";"3.67286"
"1060.0";"3.591918"
"1070.0";"3.455544"
"1080.0";"3.310831"
"1090.0";"3.229894"
"1100.0";"3.21615"
"1110.0";"3.053219"
"1120.0";"2.908628"
"1130.0";"2.879524"
"1140.0";"2.943531"
"1150.0";"3.014585"
"1160.0";"2.9658"
"1170.0";"2.970382"
"1180.0";"2.912366"
"1190.0";"2.965014"
"1200.0";"2.9149"
"1210.0";"2.85684"
"1220.0";"2.889578"
"1230.0";"2.969579"
"1240.0";"2.835303"
"1250.0";"2.967257"
"1260.0";"2.711023"
"1270.0";"2.883424"
"1280.0";"2.680039"
"1290.0";"2.757803"
"1300.0";"2.826351"
"1310.0";"2.685743"
"1320.0";"2.75188"
"1330.0";"2.788766"
"1340.0";"2.918648"
"1350.0";"3.037799"
"1360.0";"2.828498"
"1370.0";"3.096043"
"1380.0";"3.13499"
"1390.0";"3.345501"
"1400.0";"3.667817"
"1410.0";"3.612488"
"1420.0";"3.755735"
"1430.0";"3.790826"
"1440.0";"3.75928"
"1450.0";"3.708215"
"1460.0";"3.565468"
"1470.0";"3.559309"
"1480.0";"3.545999"
"1490.0";"3.567603"
"1500.0";"3.396164"
"1510.0";"3.658342"
"1520.0";"3.578063"
"1530.0";"3.599001"
"1540.0";"3.607605"
"1550.0";"3.527709"
"1560.0";"3.690985"
"1570.0";"3.755501"
"1580.0";"3.827207"
"1590.0";"3.521891"
"1600.0";"3.603796"
"1610.0";"3.460158"
"1620.0";"3.388732"
"1630.0";"3.376834"
"1640.0";"3.377754"
"1650.0";"3.406016"
"1660.0";"3.486948"
"1670.0";"3.595229"
"1680.0";"3.327959"
"1690.0";"3.433934"
"1700.0";"3.290652"
"1710.0";"3.220641"
"1720.0";"3.230462"
"1730.0";"3.424665"
"1740.0";"3.711143"
"1750.0";"3.732692"
"1760.0";"3.362064"
"1770.0";"3.376135"
"1780.0";"3.352908"
"1790.0";"3.453029"
"1800.0";"3.543305"
"1810.0";"3.696085"
"1820.0";"3.786363"
"1830.0";"3.64917"
"1840.0";"3.470761"
"1850.0";"3.597166"
"1860.0";"3.696699"
"1870.0";"3.827656"
"1880.0";"3.741933"
"1890.0";"3.795867"
"1900.0";"3.516371"
"1910.0";"3.678847"
"1920.0";"3.770272"
"1930.0";"3.876571"
"1940.0";"3.929475"
"1950.0";"3.828237"
"1960.0";"3.86335"
"1970.0";"3.973517"
"1980.0";"4.089403"
"1990.0";"3.8233"
"2000.0";"3.887879"
"2010.0";"3.878661"
"2020.0";"4.160243"
"2030.0";"4.182487"
"2040.0";"4.112836"
"2050.0";"4.241891"
"2060.0";"4.282759"
"2070.0";"4.29872"
"2080.0";"4.388228"
"2090.0";"4.181648"
"2100.0";"4.359756"
"2110.0";"4.303169"
"2120.0";"4.17224"
"2130.0";"4.12085"
"2140.0";"4.136589"
"2150.0";"4.106959"
"2160.0";"4.146281"
"2170.0";"3.848332"
"2180.0";"3.75021"
"2190.0";"4.008041"
"2200.0";"3.758237"
"2210.0";"3.700453"
"2220.0";"3.766153"
"2230.0";"3.840365"
"2240.0";"3.697844"
"2250.0";"3.531013"
"2260.0";"3.400797"
"2270.0";"3.678613"
"2280.0";"3.8336"
"2290.0";"4.021836"
"2300.0";"4.343575"
"2310.0";"4.175906"
"2320.0";"4.31208"
"2330.0";"4.063053"
"2340.0";"3.814718"
"2350.0";"3.855369"
"2360.0";"4.019043"
"2370.0";"3.991933"
"2380.0";"4.291453"
"2390.0";"4.2819"
"2400.0";"4.534085"
"2410.0";"4.632824"
"2420.0";"4.183449"
"2430.0";"4.103055"
"2440.0";"4.04125"
"2450.0";"3.748007"
"2460.0";"3.463034"
"2470.0";"3.238446"
"2480.0";"3.287678"
"2490.0";"2.946595"
"2500.0";"2.881893"
"2510.0";"2.82309"
"2520.0";"2.917107"
"2530.0";"2.91803"
"2540.0";"3.04402"
"2550.0";"3.286335"
"2560.0";"3.258449"
"2570.0";"2.995866"
"2580.0";"3.049148"
"2590.0";"3.139196"
"2600.0";"2.975126"
"2610.0";"3.226782"
"2620.0";"3.136586"
"2630.0";"2.91451"
"2640.0";"2.867118"
"2650.0";"2.950281"
"2660.0";"2.872481"
"2670.0";"2.870852"
"2680.0";"2.952729"
"2690.0";"2.814333"
"2700.0";"2.778118"
"2710.0";"2.944049"
"2720.0";"2.949729"
"2730.0";"3.09419"
"2740.0";"3.123544"
"2750.0";"3.388692"
"2760.0";"3.432616"
"2770.0";"3.463886"
"2780.0";"3.218822"
"2790.0";"3.051847"
"2800.0";"3.098838"
"2810.0";"3.111595"
"2820.0";"2.908014"
"2830.0";"2.756119"
"2840.0";"2.782722"
"2850.0";"2.984411"
"2860.0";"3.076341"
"2870.0";"3.164552"
"2880.0";"3.306941"
"2890.0";"3.114881"
"2900.0";"2.979348"
"2910.0";"2.751254"
"2920.0";"2.971895"
"2930.0";"2.667941"
"2940.0";"2.86724"
"2950.0";"3.024647"
"2960.0";"3.127182"
"2970.0";"3.09299"
"2980.0";"3.36852"
"2990.0";"3.460114"
"3000.0";"3.286931"
"3010.0";"3.524665"
"3020.0";"3.456226"
"3030.0";"3.41568"
"3040.0";"3.913964"
"3050.0";"3.946831"
"3060.0";"3.716253"
"3070.0";"3.544614"
"3080.0";"3.762177"
"3090.0";"3.906784"
"3100.0";"4.095039"
"3110.0";"4.068923"
"3120.0";"4.042825"
"3130.0";"3.968558"
"3140.0";"3.924264"
"3150.0";"4.028625"
"3160.0";"4.04169"
"3170.0";"4.070131"
"3180.0";"3.829876"
"3190.0";"3.944057"
"3200.0";"3.814167"
"3210.0";"3.955354"
"3220.0";"3.739502"
"3230.0";"3.606652"
"3240.0";"3.648381"
"3250.0";"3.686438"
"3260.0";"3.796858"
"3270.0";"3.810519"
"3280.0";"3.788759"
"3290.0";"3.661695"
"3300.0";"3.820682"
"3310.0";"3.836101"
"3320.0";"4.06474"
"3330.0";"4.247489"
"3340.0";"4.114673"
"3350.0";"3.977626"
"3360.0";"3.828987"
"3370.0";"3.694651"
"3380.0";"3.731155"
"3390.0";"3.515271"
"3400.0";"3.839205"
"3410.0";"4.031882"
"3420.0";"3.989772"
"3430.0";"4.01409"
"3440.0";"3.904552"
"3450.0";"3.862341"
"3460.0";"3.899617"
"3470.0";"3.770836"
"3480.0";"3.712955"
"3490.0";"3.73141"
"3500.0";"3.822366"
"3510.0";"3.799225"
"3520.0";"3.944253"
"3530.0";"3.88606"
"3540.0";"3.900534"
"3550.0";"3.560148"
"3560.0";"3.87315"
"3570.0";"3.9289"
"3580.0";"3.970506"
"3590.0";"4.088991"
"3600.0";"3.970629"
"3610.0";"3.916334"
"3620.0";"3.825895"
"3630.0";"4.003389"
"3640.0";"4.044856"
"3650.0";"3.954993"
"3660.0";"3.997464"
"3670.0";"4.176544"
"3680.0";"4.16736"
"3690.0";"4.037371"
"3700.0";"4.079896"
"3710.0";"4.344668"
"3720.0";"4.602733"
"3730.0";"4.786612"
"3740.0";"4.865716"
"3750.0";"4.896819"
"3760.0";"4.967784"
"3770.0";"4.928278"
"3780.0";"5.128826"
"3790.0";"5.079403"
"3800.0";"5.086615"
"3810.0";"4.990289"
"3820.0";"5.031328"
"3830.0";"5.291996"
"3840.0";"5.24919"
"3850.0";"5.001937"
"3860.0";"5.031581"
"3870.0";"4.959456"
