# This .csv file was created 12.10.2024 14:32
# extracted out of file mindist_major_allergenic_epitope_r_311-324_MOL_2.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAD/6fxb_cad_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_311-324-MOL"
"0.0";"1.773512"
"10.0";"1.792219"
"20.0";"1.854891"
"30.0";"1.837264"
"40.0";"1.802354"
"50.0";"1.811987"
"60.0";"1.78512"
"70.0";"1.846526"
"80.0";"1.873021"
"90.0";"2.034703"
"100.0";"2.11154"
"110.0";"2.099284"
"120.0";"2.145336"
"130.0";"2.191735"
"140.0";"2.049121"
"150.0";"1.963056"
"160.0";"1.992726"
"170.0";"1.984253"
"180.0";"2.056227"
"190.0";"2.088349"
"200.0";"2.083569"
"210.0";"2.021998"
"220.0";"1.877409"
"230.0";"1.972205"
"240.0";"2.043114"
"250.0";"1.95996"
"260.0";"1.947467"
"270.0";"1.981027"
"280.0";"1.926435"
"290.0";"1.988107"
"300.0";"2.030071"
"310.0";"1.964532"
"320.0";"1.991538"
"330.0";"2.023647"
"340.0";"1.9571"
"350.0";"1.947763"
"360.0";"1.966066"
"370.0";"1.939642"
"380.0";"1.965561"
"390.0";"1.958421"
"400.0";"1.936474"
"410.0";"1.924008"
"420.0";"1.892474"
"430.0";"1.932494"
"440.0";"1.853454"
"450.0";"1.888819"
"460.0";"1.945618"
"470.0";"1.887775"
"480.0";"1.860169"
"490.0";"1.803532"
"500.0";"1.973238"
"510.0";"1.997749"
"520.0";"1.884873"
"530.0";"1.680051"
"540.0";"1.811536"
"550.0";"1.702441"
"560.0";"1.849716"
"570.0";"1.932835"
"580.0";"1.734565"
"590.0";"1.796956"
"600.0";"1.768191"
"610.0";"1.815854"
"620.0";"1.737665"
"630.0";"1.498684"
"640.0";"1.497942"
"650.0";"1.563426"
"660.0";"1.563953"
"670.0";"1.774239"
"680.0";"1.674113"
"690.0";"1.779164"
"700.0";"1.936192"
"710.0";"1.819073"
"720.0";"1.724399"
"730.0";"1.683377"
"740.0";"1.713615"
"750.0";"1.622078"
"760.0";"1.610998"
"770.0";"1.613979"
"780.0";"1.660891"
"790.0";"1.680739"
"800.0";"1.665737"
"810.0";"1.542178"
"820.0";"1.60944"
"830.0";"1.619199"
"840.0";"1.58724"
"850.0";"1.517306"
"860.0";"1.441514"
"870.0";"1.53513"
"880.0";"1.477929"
"890.0";"1.519782"
"900.0";"1.47498"
"910.0";"1.486276"
"920.0";"1.490481"
"930.0";"1.443478"
"940.0";"1.396405"
"950.0";"1.491665"
"960.0";"1.499515"
"970.0";"1.563255"
"980.0";"1.50025"
"990.0";"1.476333"
"1000.0";"1.486694"
"1010.0";"1.45753"
"1020.0";"1.464657"
"1030.0";"1.543245"
"1040.0";"1.547606"
"1050.0";"1.485302"
"1060.0";"1.193359"
"1070.0";"1.222984"
"1080.0";"1.1184"
"1090.0";"1.178646"
"1100.0";"1.208405"
"1110.0";"1.179356"
"1120.0";"1.153652"
"1130.0";"1.142802"
"1140.0";"1.185417"
"1150.0";"1.268344"
"1160.0";"1.22763"
"1170.0";"1.259573"
"1180.0";"1.319141"
"1190.0";"1.293968"
"1200.0";"1.312841"
"1210.0";"1.385547"
"1220.0";"1.319903"
"1230.0";"1.41977"
"1240.0";"1.445165"
"1250.0";"1.284217"
"1260.0";"1.365071"
"1270.0";"1.461983"
