# This .csv file was created 12.10.2024 14:32
# extracted out of file prod_mindist_mol2_inner_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAD/6fxb_cad_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL2-inner_dimer_area"
"0.0";"3.809359"
"10.0";"3.801788"
"20.0";"3.582109"
"30.0";"3.666316"
"40.0";"3.685488"
"50.0";"3.853343"
"60.0";"3.908985"
"70.0";"3.99838"
"80.0";"4.119087"
"90.0";"3.975859"
"100.0";"4.032253"
"110.0";"3.988825"
"120.0";"4.072091"
"130.0";"4.207187"
"140.0";"4.094973"
"150.0";"4.269008"
"160.0";"4.225088"
"170.0";"4.307234"
"180.0";"4.500109"
"190.0";"4.275401"
"200.0";"4.233393"
"210.0";"4.169751"
"220.0";"4.376294"
"230.0";"4.371096"
"240.0";"4.3027"
"250.0";"4.409598"
"260.0";"4.287127"
"270.0";"4.481272"
"280.0";"4.511451"
"290.0";"4.176497"
"300.0";"4.431154"
"310.0";"4.295822"
"320.0";"4.255537"
"330.0";"4.312335"
"340.0";"4.199039"
"350.0";"4.199836"
"360.0";"4.196297"
"370.0";"4.015162"
"380.0";"4.046329"
"390.0";"4.121145"
"400.0";"4.151929"
"410.0";"4.099723"
"420.0";"3.850562"
"430.0";"3.823444"
"440.0";"3.817389"
"450.0";"3.875495"
"460.0";"3.756316"
"470.0";"3.609744"
"480.0";"3.637263"
"490.0";"3.704447"
"500.0";"3.787431"
"510.0";"3.841249"
"520.0";"3.844072"
"530.0";"4.149549"
"540.0";"4.102368"
"550.0";"3.918748"
"560.0";"3.995121"
"570.0";"4.135445"
"580.0";"3.966293"
"590.0";"4.130996"
"600.0";"4.002099"
"610.0";"4.058479"
"620.0";"4.028302"
"630.0";"3.806066"
"640.0";"3.827701"
"650.0";"3.895872"
"660.0";"4.092294"
"670.0";"4.245662"
"680.0";"4.371203"
"690.0";"4.392982"
"700.0";"4.299697"
"710.0";"4.269269"
"720.0";"4.487851"
"730.0";"4.380396"
"740.0";"4.465825"
"750.0";"4.480373"
"760.0";"4.258121"
"770.0";"4.208594"
"780.0";"4.266297"
"790.0";"4.295133"
"800.0";"4.238455"
"810.0";"4.053178"
"820.0";"3.988326"
"830.0";"4.02101"
"840.0";"4.128709"
"850.0";"4.388255"
"860.0";"4.406032"
"870.0";"4.339096"
"880.0";"4.244998"
"890.0";"4.318632"
"900.0";"4.228922"
"910.0";"4.037697"
"920.0";"3.668042"
"930.0";"3.772327"
"940.0";"3.824539"
"950.0";"3.926863"
"960.0";"3.950339"
"970.0";"3.882761"
"980.0";"3.920471"
"990.0";"3.898407"
"1000.0";"3.985193"
"1010.0";"4.215702"
"1020.0";"4.31524"
"1030.0";"4.255412"
"1040.0";"4.013814"
"1050.0";"4.215549"
"1060.0";"4.054215"
"1070.0";"4.138218"
"1080.0";"4.252864"
"1090.0";"4.436778"
"1100.0";"4.442586"
"1110.0";"4.729387"
"1120.0";"5.063112"
"1130.0";"5.091331"
"1140.0";"4.864892"
"1150.0";"4.965075"
"1160.0";"4.804275"
"1170.0";"4.693526"
"1180.0";"4.797752"
"1190.0";"4.664741"
"1200.0";"4.706711"
"1210.0";"4.94135"
"1220.0";"4.767295"
"1230.0";"4.78289"
"1240.0";"4.853575"
"1250.0";"5.064604"
"1260.0";"5.011853"
"1270.0";"5.213505"
"1280.0";"5.227932"
"1290.0";"5.442008"
"1300.0";"5.315341"
"1310.0";"5.156809"
"1320.0";"5.112824"
"1330.0";"5.077303"
"1340.0";"5.208955"
"1350.0";"5.173042"
"1360.0";"5.170571"
"1370.0";"5.100632"
"1380.0";"5.083164"
"1390.0";"5.091053"
"1400.0";"5.350282"
"1410.0";"4.976606"
"1420.0";"4.918594"
"1430.0";"4.809989"
"1440.0";"4.744213"
"1450.0";"4.812973"
"1460.0";"4.704348"
"1470.0";"4.725878"
"1480.0";"4.784265"
"1490.0";"4.622447"
"1500.0";"4.600478"
"1510.0";"4.594061"
"1520.0";"4.539572"
"1530.0";"4.581848"
"1540.0";"4.769685"
"1550.0";"4.767478"
"1560.0";"4.856718"
"1570.0";"4.851109"
"1580.0";"4.781134"
"1590.0";"4.852283"
"1600.0";"4.954187"
"1610.0";"5.150681"
"1620.0";"5.303544"
"1630.0";"5.356973"
"1640.0";"5.36759"
"1650.0";"5.400105"
"1660.0";"5.39406"
"1670.0";"5.409799"
"1680.0";"5.449815"
"1690.0";"5.536219"
"1700.0";"5.705566"
"1710.0";"5.679845"
"1720.0";"5.650946"
"1730.0";"5.435034"
"1740.0";"5.30761"
"1750.0";"5.365597"
"1760.0";"5.319203"
"1770.0";"5.443274"
"1780.0";"5.563163"
"1790.0";"5.372184"
"1800.0";"5.317344"
"1810.0";"5.250398"
"1820.0";"5.158072"
"1830.0";"5.194094"
"1840.0";"5.278221"
"1850.0";"5.167737"
"1860.0";"5.201453"
"1870.0";"5.34985"
"1880.0";"5.470282"
"1890.0";"5.371829"
"1900.0";"5.268047"
"1910.0";"5.364725"
"1920.0";"5.308077"
"1930.0";"5.304921"
"1940.0";"5.254118"
"1950.0";"5.236891"
"1960.0";"5.121863"
"1970.0";"5.075414"
"1980.0";"4.950252"
"1990.0";"4.812702"
"2000.0";"4.70417"
"2010.0";"4.70492"
"2020.0";"4.530655"
"2030.0";"4.452265"
"2040.0";"4.58832"
"2050.0";"4.54785"
"2060.0";"4.418374"
"2070.0";"4.473093"
"2080.0";"4.589501"
"2090.0";"4.721844"
"2100.0";"4.67871"
"2110.0";"4.809967"
"2120.0";"4.711932"
"2130.0";"4.835022"
"2140.0";"4.994427"
"2150.0";"5.05783"
"2160.0";"5.183122"
"2170.0";"5.361628"
"2180.0";"5.299302"
"2190.0";"5.208946"
"2200.0";"5.382098"
