# This .csv file was created 12.10.2024 14:32
# extracted out of file prod_mindist_mol4_outer_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAD/6fxb_cad_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL4-outer_dimer_area"
"0.0";"4.298718"
"10.0";"4.476723"
"20.0";"4.277196"
"30.0";"4.304532"
"40.0";"4.141534"
"50.0";"3.975104"
"60.0";"3.759705"
"70.0";"3.781687"
"80.0";"3.841199"
"90.0";"3.87095"
"100.0";"4.095173"
"110.0";"4.089745"
"120.0";"4.097549"
"130.0";"3.882865"
"140.0";"3.96763"
"150.0";"3.70294"
"160.0";"3.901569"
"170.0";"3.998648"
"180.0";"4.18183"
"190.0";"4.126848"
"200.0";"3.805875"
"210.0";"3.737819"
"220.0";"3.447292"
"230.0";"3.504512"
"240.0";"3.255117"
"250.0";"3.229204"
"260.0";"3.02619"
"270.0";"3.120099"
"280.0";"3.33339"
"290.0";"3.470676"
"300.0";"3.457453"
"310.0";"3.619725"
"320.0";"3.712399"
"330.0";"3.755553"
"340.0";"3.807703"
"350.0";"3.974937"
"360.0";"3.895909"
"370.0";"4.031566"
"380.0";"4.154351"
"390.0";"4.089948"
"400.0";"4.07339"
"410.0";"4.140688"
"420.0";"4.208277"
"430.0";"4.115068"
"440.0";"4.247802"
"450.0";"4.086405"
"460.0";"4.249751"
"470.0";"4.304435"
"480.0";"4.406219"
"490.0";"4.435955"
"500.0";"4.387381"
"510.0";"4.494707"
"520.0";"4.492607"
"530.0";"4.738567"
"540.0";"4.483115"
"550.0";"4.454111"
"560.0";"4.405281"
"570.0";"4.54763"
"580.0";"4.470443"
"590.0";"4.681597"
"600.0";"4.756167"
"610.0";"4.675262"
"620.0";"4.590997"
"630.0";"4.357584"
"640.0";"4.254408"
"650.0";"4.17"
"660.0";"4.248407"
"670.0";"4.253127"
"680.0";"3.895321"
"690.0";"3.967432"
"700.0";"4.084608"
"710.0";"3.9379"
"720.0";"3.998325"
"730.0";"4.119356"
"740.0";"4.087227"
"750.0";"4.181933"
"760.0";"4.15839"
"770.0";"4.101589"
"780.0";"4.016149"
"790.0";"4.168371"
"800.0";"4.341629"
"810.0";"4.51703"
"820.0";"4.381419"
"830.0";"4.40139"
"840.0";"4.242343"
"850.0";"4.414974"
"860.0";"4.349655"
"870.0";"4.319691"
"880.0";"4.214877"
"890.0";"4.409866"
"900.0";"4.44936"
"910.0";"4.437382"
"920.0";"4.644315"
"930.0";"4.765346"
"940.0";"4.798984"
"950.0";"4.822916"
"960.0";"4.581032"
"970.0";"4.623545"
"980.0";"4.748351"
"990.0";"5.006203"
"1000.0";"4.756776"
"1010.0";"4.860766"
"1020.0";"4.923854"
"1030.0";"4.842159"
"1040.0";"4.78546"
"1050.0";"4.826458"
"1060.0";"4.847101"
"1070.0";"4.807717"
"1080.0";"4.746975"
"1090.0";"5.125809"
"1100.0";"5.225886"
"1110.0";"5.175555"
"1120.0";"5.123818"
"1130.0";"5.196492"
"1140.0";"5.186471"
"1150.0";"4.972785"
"1160.0";"5.279334"
"1170.0";"5.014071"
"1180.0";"4.895712"
"1190.0";"5.074793"
"1200.0";"5.172626"
"1210.0";"5.260615"
"1220.0";"5.292958"
"1230.0";"5.14348"
"1240.0";"4.975231"
"1250.0";"4.804042"
"1260.0";"4.67547"
"1270.0";"4.655156"
"1280.0";"4.710369"
"1290.0";"4.693325"
"1300.0";"4.695573"
"1310.0";"4.508889"
"1320.0";"4.637882"
"1330.0";"4.798896"
"1340.0";"4.641026"
"1350.0";"4.636665"
"1360.0";"4.738442"
"1370.0";"5.103364"
"1380.0";"5.131352"
"1390.0";"5.032492"
"1400.0";"5.000726"
"1410.0";"5.11933"
"1420.0";"5.220901"
"1430.0";"5.273348"
"1440.0";"4.992793"
"1450.0";"5.053491"
"1460.0";"4.911789"
"1470.0";"4.970797"
"1480.0";"4.915496"
"1490.0";"5.114367"
"1500.0";"5.048876"
"1510.0";"5.034324"
"1520.0";"5.09437"
"1530.0";"5.100281"
"1540.0";"5.148049"
"1550.0";"5.112971"
"1560.0";"5.001267"
"1570.0";"4.814098"
"1580.0";"4.938277"
"1590.0";"4.850396"
"1600.0";"4.927794"
"1610.0";"4.840889"
"1620.0";"4.900704"
"1630.0";"4.885637"
"1640.0";"4.89398"
"1650.0";"4.83387"
"1660.0";"4.83699"
"1670.0";"4.907626"
"1680.0";"4.906987"
"1690.0";"4.93519"
"1700.0";"4.683668"
"1710.0";"4.703837"
"1720.0";"4.566509"
"1730.0";"4.563753"
"1740.0";"4.366886"
"1750.0";"4.367274"
"1760.0";"4.400844"
"1770.0";"4.150417"
"1780.0";"4.170071"
"1790.0";"4.312259"
"1800.0";"4.340567"
"1810.0";"4.313565"
"1820.0";"4.314329"
"1830.0";"4.432045"
"1840.0";"4.488293"
"1850.0";"4.46065"
"1860.0";"4.387348"
"1870.0";"4.445408"
"1880.0";"4.437977"
"1890.0";"4.489113"
"1900.0";"4.507014"
"1910.0";"4.628008"
"1920.0";"4.717972"
"1930.0";"4.877944"
"1940.0";"4.981781"
"1950.0";"5.063426"
"1960.0";"4.893015"
"1970.0";"4.758377"
"1980.0";"4.792285"
"1990.0";"5.014278"
"2000.0";"5.183717"
"2010.0";"5.09209"
"2020.0";"4.934597"
"2030.0";"4.898017"
"2040.0";"4.819591"
"2050.0";"4.973776"
"2060.0";"4.856289"
"2070.0";"4.634332"
"2080.0";"4.674074"
"2090.0";"4.732117"
"2100.0";"4.712528"
"2110.0";"4.529528"
"2120.0";"4.794486"
"2130.0";"4.613045"
"2140.0";"4.480354"
"2150.0";"4.516427"
"2160.0";"4.729063"
"2170.0";"4.474934"
"2180.0";"4.620028"
"2190.0";"4.711652"
"2200.0";"4.503779"
"2210.0";"4.511482"
"2220.0";"4.412859"
"2230.0";"4.37332"
"2240.0";"4.332118"
"2250.0";"4.253455"
"2260.0";"4.260174"
"2270.0";"4.203298"
"2280.0";"4.350982"
"2290.0";"4.432024"
"2300.0";"4.461201"
"2310.0";"4.56175"
"2320.0";"4.518548"
"2330.0";"4.396174"
"2340.0";"4.521459"
"2350.0";"4.476758"
"2360.0";"4.530251"
"2370.0";"4.458654"
"2380.0";"4.341162"
"2390.0";"4.379538"
"2400.0";"4.619454"
"2410.0";"4.852337"
"2420.0";"4.776465"
"2430.0";"5.090753"
"2440.0";"4.924876"
"2450.0";"4.769591"
"2460.0";"4.67745"
"2470.0";"4.517382"
"2480.0";"4.31817"
"2490.0";"4.46384"
"2500.0";"4.472481"
"2510.0";"4.277215"
"2520.0";"4.28254"
"2530.0";"4.485588"
"2540.0";"4.160055"
"2550.0";"4.101883"
"2560.0";"4.311627"
"2570.0";"4.360557"
"2580.0";"4.271678"
"2590.0";"4.336889"
"2600.0";"4.441003"
"2610.0";"4.483432"
"2620.0";"4.419402"
"2630.0";"4.472543"
"2640.0";"4.546549"
"2650.0";"4.488599"
"2660.0";"4.46734"
"2670.0";"4.682018"
"2680.0";"4.496568"
"2690.0";"4.660748"
"2700.0";"4.60833"
"2710.0";"4.420327"
"2720.0";"4.359081"
"2730.0";"4.192486"
"2740.0";"4.342226"
"2750.0";"4.4902"
"2760.0";"4.397155"
"2770.0";"4.282055"
"2780.0";"4.52915"
"2790.0";"4.765202"
"2800.0";"4.879272"
"2810.0";"4.893566"
"2820.0";"4.792859"
"2830.0";"4.729629"
"2840.0";"4.974597"
"2850.0";"5.068337"
"2860.0";"5.057232"
"2870.0";"5.110222"
"2880.0";"5.113019"
"2890.0";"4.84705"
"2900.0";"4.716631"
"2910.0";"4.664032"
"2920.0";"4.981424"
"2930.0";"4.973765"
"2940.0";"4.71611"
"2950.0";"4.978552"
"2960.0";"5.040729"
"2970.0";"5.065076"
"2980.0";"5.069504"
