# This .csv file was created 12.10.2024 14:33
# extracted out of file ie_prod_mol.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAD/6fxb_cad_2
# Original file was created by command :
"GROMACS Energies"
"Time (ps)";"Coul-SR:Protein-MOL";"LJ-SR:Protein-MOL"
"0.0";"-328.474884";"-106.895874"
"10.0";"-310.847321";"-108.427864"
"20.0";"-332.778107";"-93.754929"
"30.0";"-321.966309";"-82.211494"
"40.0";"-295.108246";"-104.191071"
"50.0";"-318.773987";"-107.030869"
"60.0";"-332.676392";"-100.173538"
"70.0";"-282.897339";"-105.706306"
"80.0";"-243.796051";"-112.177521"
"90.0";"-287.906799";"-104.830856"
"100.0";"-294.901337";"-86.146927"
"110.0";"-303.600403";"-98.441742"
"120.0";"-296.361542";"-107.076385"
"130.0";"-351.742279";"-93.639244"
"140.0";"-303.428619";"-102.503174"
"150.0";"-275.334869";"-109.114792"
"160.0";"-321.858704";"-102.812439"
"170.0";"-302.77533";"-105.269859"
"180.0";"-302.361298";"-117.234314"
"190.0";"-173.98262";"-116.213852"
"200.0";"-217.559525";"-109.475021"
"210.0";"-248.423889";"-111.368797"
"220.0";"-283.156982";"-87.927055"
"230.0";"-130.635864";"-92.750053"
"240.0";"-123.742981";"-79.698517"
"250.0";"-112.961761";"-79.843155"
"260.0";"-140.358154";"-88.593544"
"270.0";"-166.334595";"-89.734711"
"280.0";"-165.586761";"-83.076385"
"290.0";"-134.937866";"-78.460899"
"300.0";"-135.00972";"-101.663635"
"310.0";"-85.261467";"-94.220779"
"320.0";"-107.659218";"-79.472809"
"330.0";"-96.944702";"-105.640411"
"340.0";"-60.5625";"-95.133835"
"350.0";"-91.74733";"-84.889236"
"360.0";"-76.148758";"-94.114693"
"370.0";"-83.911942";"-102.00827"
"380.0";"-74.186844";"-82.284286"
"390.0";"-113.125";"-73.485107"
"400.0";"-103.334099";"-77.697929"
"410.0";"-130.00766";"-73.393036"
"420.0";"-129.881149";"-87.586723"
"430.0";"-132.838089";"-76.427124"
"440.0";"-99.568756";"-96.323441"
"450.0";"-147.954727";"-65.152054"
"460.0";"-134.780319";"-86.167175"
"470.0";"-145.026779";"-91.664627"
"480.0";"-107.293182";"-101.895264"
"490.0";"-112.143166";"-99.17543"
"500.0";"-155.121521";"-83.911331"
"510.0";"-199.238647";"-81.365219"
"520.0";"-145.11293";"-84.205154"
"530.0";"-169.35495";"-87.907516"
"540.0";"-161.396255";"-104.457619"
"550.0";"-181.510498";"-88.855064"
"560.0";"-131.216827";"-87.031746"
"570.0";"-140.66687";"-85.954803"
"580.0";"-132.148468";"-84.980064"
"590.0";"-135.769424";"-106.161949"
"600.0";"-112.457672";"-95.815193"
"610.0";"-181.630341";"-90.266869"
"620.0";"-95.791107";"-94.533432"
"630.0";"-129.8452";"-86.184059"
"640.0";"-127.339867";"-96.811241"
"650.0";"-165.677017";"-98.448959"
"660.0";"-135.623444";"-94.445511"
"670.0";"-133.942902";"-93.14743"
"680.0";"-113.615433";"-93.386566"
"690.0";"-158.911789";"-90.421066"
"700.0";"-171.652374";"-120.30452"
"710.0";"-143.628296";"-107.790634"
"720.0";"-149.287582";"-100.402756"
"730.0";"-127.061127";"-109.726654"
"740.0";"-149.718887";"-111.743835"
"750.0";"-147.856567";"-88.098289"
"760.0";"-151.52803";"-93.574875"
"770.0";"-146.617889";"-96.662918"
"780.0";"-188.96199";"-99.197212"
"790.0";"-150.137726";"-111.568291"
"800.0";"-155.37738";"-84.728935"
"810.0";"-154.002701";"-87.117851"
"820.0";"-150.963837";"-97.178879"
"830.0";"-140.626785";"-95.204109"
"840.0";"-128.481949";"-106.706665"
"850.0";"-124.015884";"-105.057518"
"860.0";"-152.481781";"-81.891068"
"870.0";"-175.5112";"-73.189392"
"880.0";"-150.866547";"-82.136009"
"890.0";"-127.35099";"-99.806725"
"900.0";"-145.473312";"-85.598747"
"910.0";"-134.643158";"-101.418465"
"920.0";"-136.68103";"-76.496315"
"930.0";"-128.205994";"-77.046852"
"940.0";"-137.181305";"-98.284897"
"950.0";"-132.797134";"-80.659073"
"960.0";"-151.105591";"-76.837868"
"970.0";"-197.150436";"-95.716545"
"980.0";"-160.76918";"-106.477806"
"990.0";"-160.573914";"-106.755417"
"1000.0";"-192.613831";"-100.17997"
"1010.0";"-230.721573";"-108.543259"
"1020.0";"-287.650543";"-112.37471"
"1030.0";"-272.975159";"-93.361107"
"1040.0";"-303.554626";"-97.875778"
"1050.0";"-288.923767";"-103.199181"
"1060.0";"-273.508972";"-104.355125"
"1070.0";"-272.763763";"-85.083054"
"1080.0";"-311.413147";"-82.546684"
"1090.0";"-357.324432";"-82.527657"
"1100.0";"-276.983276";"-94.327446"
"1110.0";"-275.89801";"-101.145538"
"1120.0";"-287.468597";"-84.11335"
"1130.0";"-281.353485";"-95.756073"
"1140.0";"-312.545685";"-101.398834"
"1150.0";"-389.36496";"-83.185623"
"1160.0";"-250.94339";"-96.455078"
"1170.0";"-330.855621";"-90.289886"
"1180.0";"-336.607758";"-94.912231"
"1190.0";"-309.758759";"-111.153595"
"1200.0";"-297.549988";"-94.51284"
"1210.0";"-294.472198";"-108.90522"
"1220.0";"-395.655426";"-87.248329"
"1230.0";"-364.601257";"-123.158745"
"1240.0";"-377.016327";"-110.707428"
"1250.0";"-404.094421";"-112.077377"
"1260.0";"-394.42981";"-104.156166"
"1270.0";"-408.975159";"-90.019966"
