Time (ps);Coul-SR:Protein-MOL;LJ-SR:Protein-MOL
0.0;-0.10187731730465041;-0.033154026090031076
10.0;-0.09608228219410118;-0.03351483484894381
20.0;-0.1036039959277962;-0.029188774976494542
30.0;-0.10098052596913813;-0.025784560908292564
40.0;-0.09191284439101266;-0.032450796701072024
50.0;-0.09994168140205668;-0.033556204226235266
60.0;-0.10318810662597162;-0.03107138940067866
70.0;-0.08980183700289501;-0.03355500088882117
80.0;-0.07665481851567708;-0.03527106972620141
90.0;-0.09031803463312106;-0.03288604824795307
100.0;-0.09261511261996885;-0.02705483612632531
110.0;-0.09600984226071886;-0.03113097356886705
120.0;-0.09227617384048223;-0.033339680478752555
130.0;-0.10927066759863313;-0.029089544579061828
140.0;-0.09378743694517941;-0.031682937489181766
150.0;-0.08654954325986094;-0.03429945304346732
160.0;-0.09999773321817154;-0.03194262177427874
170.0;-0.09441371106052573;-0.03282604976768842
180.0;-0.0962400765181078;-0.03731509100052837
190.0;-0.05448193774660237;-0.036391887016972504
200.0;-0.06723474266182915;-0.03383223448770327
210.0;-0.07749974699576975;-0.03474325124474338
220.0;-0.08818068014076173;-0.027382222602846375
230.0;-0.040482390346391985;-0.028742060068547064
240.0;-0.03850075948028027;-0.02479698976988463
250.0;-0.03574965535793404;-0.02526842046964998
260.0;-0.044706313623565086;-0.02821845863751608
270.0;-0.05236147242701454;-0.02824813200027702
280.0;-0.052560217685261014;-0.02636993956361374
290.0;-0.0426807860676375;-0.024817146914814202
300.0;-0.042407877874104785;-0.03193354535745697
310.0;-0.027006090044090818;-0.029843901720555444
320.0;-0.03397004266006992;-0.02507629873408136
330.0;-0.029985246885322975;-0.03267485215336459
340.0;-0.01875545824481428;-0.029461773705041095
350.0;-0.02806690058980446;-0.025968905557866916
360.0;-0.02392282931733216;-0.02956699224026892
370.0;-0.02631870965718408;-0.031994564501458454
380.0;-0.022968347595635857;-0.025475326629431944
390.0;-0.035187719680238885;-0.022857664935145728
400.0;-0.03165000428803332;-0.023797950626359154
410.0;-0.040395623858114064;-0.02280448302862327
420.0;-0.04044050397613695;-0.027271480480499183
430.0;-0.04117529477769237;-0.02368981203660079
440.0;-0.03164650190065728;-0.0306150250454505
450.0;-0.046229784528280665;-0.020357344973472236
460.0;-0.04209490820845643;-0.02691193602388641
470.0;-0.044472008966354705;-0.028108671667055087
480.0;-0.03286000747283441;-0.031206821105244458
490.0;-0.034934042129003716;-0.03089442516525759
500.0;-0.04789770919533131;-0.025909754523559564
510.0;-0.06262176092682345;-0.02557351883631609
520.0;-0.04454568979807344;-0.025848672957557974
530.0;-0.052462083428847575;-0.0272316305984251
540.0;-0.050814900697697854;-0.032888021699158734
550.0;-0.056507654709944156;-0.027662263786758984
560.0;-0.04061912290042781;-0.026941309798725867
570.0;-0.04344412702138436;-0.02654663020247816
580.0;-0.04181093203232277;-0.02688714998955901
590.0;-0.04213824456859093;-0.03294908410924892
600.0;-0.035461734841891496;-0.03021379428866941
610.0;-0.05742525561984254;-0.02853927376774479
620.0;-0.02984723124092504;-0.029455356486299537
630.0;-0.04030156680654533;-0.026749950028555108
640.0;-0.03929612130151951;-0.029875217866268372
650.0;-0.05262628471053117;-0.03127170587450527
660.0;-0.042507457578245963;-0.029601361194516358
670.0;-0.042648282515665596;-0.02965874153038871
680.0;-0.03612251786804354;-0.02969101828772001
690.0;-0.04990258538392935;-0.028394652120938058
700.0;-0.05320739406713989;-0.03729100771829763
710.0;-0.04537875454172065;-0.03405599633502891
720.0;-0.04677310244568793;-0.031457059785571506
730.0;-0.04008970947365764;-0.034620420770992796
740.0;-0.0466844464054081;-0.03484329319247655
750.0;-0.04577149229797668;-0.02727231017360509
760.0;-0.047111651058961056;-0.029093408387120843
770.0;-0.046410696898523014;-0.030597858277885758
780.0;-0.05983521108029031;-0.03141100556041089
790.0;-0.04700323273433097;-0.03492839866007138
800.0;-0.048866343359625614;-0.02664733586192148
810.0;-0.049104246167385145;-0.02777780112491391
820.0;-0.04769699057837767;-0.030703645112572907
830.0;-0.04472492255729489;-0.030278701188832986
840.0;-0.04092485618545864;-0.03398885954909443
850.0;-0.03910667944828804;-0.0331284231305302
860.0;-0.0479982438413256;-0.02577768586196259
870.0;-0.055629893057959165;-0.023198052602552154
880.0;-0.047691867824085785;-0.025964799769864953
890.0;-0.04042426579819449;-0.03168105391129903
900.0;-0.046640711505536996;-0.027444116100570053
910.0;-0.042575450124270345;-0.03206948546384776
920.0;-0.043379510730539986;-0.024278224398727948
930.0;-0.04086689681112854;-0.024559426997666677
940.0;-0.043341033312691936;-0.031052110161887546
950.0;-0.04167805954316346;-0.025314655112890976
960.0;-0.047626513212637736;-0.02421829471242341
970.0;-0.062434426104911143;-0.03031191650938019
980.0;-0.04999103844575181;-0.033109182328138406
990.0;-0.04979622839280288;-0.0331063557876587
1000.0;-0.060209132313039995;-0.031315243757580304
1010.0;-0.07196376041770636;-0.033855443095618325
1020.0;-0.08873721094521224;-0.034666433242843034
1030.0;-0.08411244330367049;-0.02876756569379052
1040.0;-0.09556802400261938;-0.03081420574753173
1050.0;-0.09167991997309166;-0.03274667485340035
1060.0;-0.08649052019100023;-0.03299975492521266
1070.0;-0.08636465512874096;-0.026939680458984004
1080.0;-0.09740549094799003;-0.025819398951543282
1090.0;-0.1120195470619216;-0.025872036528477922
1100.0;-0.08744870397615695;-0.029780905985388552
1110.0;-0.08698029294190343;-0.03188739391417294
1120.0;-0.09018792416484701;-0.026388998694877392
1130.0;-0.08935033567490663;-0.03040956562333274
1140.0;-0.09710790762271092;-0.031504605815059
1150.0;-0.12254971673171344;-0.02618205432456251
1160.0;-0.07819256224098713;-0.03005486492381516
1170.0;-0.10535662412350255;-0.028751627530776924
1180.0;-0.10705876901155802;-0.030187024432754266
1190.0;-0.09806402521258475;-0.03518921943559773
1200.0;-0.09436445135100849;-0.02997362679183052
1210.0;-0.09199611299251466;-0.034023099608862455
1220.0;-0.12617287535636612;-0.02782313047305011
1230.0;-0.11539182986884747;-0.03897823355529674
1240.0;-0.11964138555860904;-0.03513160871027728
1250.0;-0.1280887603017624;-0.03552598484848485
1260.0;-0.1249073114656499;-0.03298398431809689
1270.0;-0.1326291214813854;-0.029193139836554673
1280.0;-0.11318991614638788;-0.03314626312772083
1290.0;-0.13744376235392589;-0.03515213759134662
1300.0;-0.1229721604360686;-0.025970666788075934
1310.0;-0.13306418530796094;-0.03459906181993015
1320.0;-0.13031238923458482;-0.030607263420296477
1330.0;-0.11568998318314505;-0.03320049054448534
1340.0;-0.14562905844359048;-0.037769774311857705
1350.0;-0.1376654515259246;-0.02812558457467969
1360.0;-0.10437445836218291;-0.03515768773210801
1370.0;-0.12553029430561768;-0.033210193327794464
1380.0;-0.12167893159535137;-0.033324992428926545
1390.0;-0.12161816034432263;-0.03313715316244541
1400.0;-0.1300583936106088;-0.03688160318716094
1410.0;-0.16153203447842743;-0.029753852917163853
1420.0;-0.16380687610557307;-0.03286894944218452
1430.0;-0.15779491381799465;-0.03174076728975483
1440.0;-0.15214544723915335;-0.046153426947509194
1450.0;-0.1808877637867991;-0.024084035516841174
1460.0;-0.12937961663049974;-0.03151878101707708
1470.0;-0.1461943054762475;-0.03782825096551174
1480.0;-0.16131305765131673;-0.03914309940679714
1490.0;-0.17066975679998;-0.033166489873433534
1500.0;-0.16089228769007555;-0.03725651234509745
1510.0;-0.186169381957073;-0.028475770036684896
1520.0;-0.1846846962733229;-0.028306822796004282
1530.0;-0.18651314495078147;-0.029876549988992668
1540.0;-0.14451777200002497;-0.03514141722796876
1550.0;-0.16292644615527893;-0.034669550492037376
1560.0;-0.17481559144497522;-0.037674992956379647
1570.0;-0.16293003397178313;-0.03818922790249592
1580.0;-0.1797463804866457;-0.037506049927772324
1590.0;-0.17416325882205203;-0.03153020940600277
1600.0;-0.1423201376920195;-0.03959186243287124
1610.0;-0.1611694234649575;-0.03091833867451289
1620.0;-0.16654940607769114;-0.030967556877452684
1630.0;-0.12876794642522166;-0.042492134487200336
1640.0;-0.13579721662243543;-0.035675856767377764
1650.0;-0.14955578431435118;-0.04346816026446956
1660.0;-0.1492597565741371;-0.03624912166250662
1670.0;-0.18447262584999652;-0.031109738418895964
1680.0;-0.1567485413295338;-0.04467102065026079
1690.0;-0.16120116237279158;-0.031974822822482
1700.0;-0.16443133434337626;-0.037967012830101836
1710.0;-0.17058493768500757;-0.03482940524436879
1720.0;-0.18731833476513265;-0.025197800881653947
1730.0;-0.24114741960621658;-0.029248658899090646
1740.0;-0.17380944600974477;-0.02855801612364402
1750.0;-0.17567151211570972;-0.031119414563897062
1760.0;-0.16911146165933374;-0.04082945065996228
1770.0;-0.17791155937124864;-0.04044183295728086
1780.0;-0.1363877905423457;-0.02548349840336883
1790.0;-0.13307183931704042;-0.03621389003236204
1800.0;-0.13618351095174214;-0.03740508218508256
1810.0;-0.15218177870929395;-0.03849462351800294
1820.0;-0.13393831530360242;-0.03633100190976219
1830.0;-0.22825662945880815;-0.02785688397817866
1840.0;-0.20276969288656121;-0.04553790264148065
1850.0;-0.19949416667193814;-0.029293787757064326
1860.0;-0.18490938778593277;-0.037915842282174914
1870.0;-0.15831089309235521;-0.039680668663559446
1880.0;-0.1496556900456097;-0.04235451089209964
1890.0;-0.14051323545339287;-0.0404716509196552
1900.0;-0.15698439516884088;-0.042599270332688344
1910.0;-0.184100255844477;-0.04211842967922745
1920.0;-0.21526590277910174;-0.0430512586350435
1930.0;-0.20688326434118237;-0.0460145516032064
1940.0;-0.2139540677441562;-0.043586966860564264
1950.0;-0.19665845711922916;-0.03747920647550073
1960.0;-0.17942708349274364;-0.03604867753207335
1970.0;-0.17576489672929105;-0.03691679863934498
1980.0;-0.22131895781746058;-0.03575228875984706
1990.0;-0.2156091449278065;-0.038646596058102896
2000.0;-0.19298116528404713;-0.04772129955624599
2010.0;-0.2015934071999183;-0.02770365834205355
2020.0;-0.19334847860458323;-0.037666254357502524
2030.0;-0.20547130629246046;-0.03330887851053553
2040.0;-0.21033198328319966;-0.03616448276511702
2050.0;-0.1725444658349693;-0.04570605946425178
2060.0;-0.17908652577050602;-0.0425380706008133
2070.0;-0.2041754508986286;-0.036733855104058404
2080.0;-0.16931368192247315;-0.032987890478520895
2090.0;-0.18728450659064355;-0.02812645305277594
2100.0;-0.17565214249573083;-0.040094427297451135
2110.0;-0.1712774416125956;-0.03999890922916784
2120.0;-0.18457360791144575;-0.023052541002541
2130.0;-0.1947264289456614;-0.03314034915922359
2140.0;-0.17735911887229644;-0.041533743668534094
2150.0;-0.17380260509775433;-0.031643213101291805
2160.0;-0.13933992645476528;-0.03831715148293016
2170.0;-0.1494516435118428;-0.03458194080473462
2180.0;-0.21214137747437678;-0.03757278423244405
2190.0;-0.20910262934506477;-0.032321344569056325
2200.0;-0.22258202042214056;-0.038822811468775295
2210.0;-0.22181384213326658;-0.038865515007355016
2220.0;-0.2167524521474446;-0.02897295217586248
2230.0;-0.23449729276323997;-0.03170689593883304
2240.0;-0.22403772181801002;-0.035167067939147686
2250.0;-0.19640850784262817;-0.027649626074126604
2260.0;-0.1593540808093542;-0.02729822087049702
2270.0;-0.14816542203531752;-0.03575618274866591
2280.0;-0.18098245933380117;-0.039506258459070624
2290.0;-0.16474297467195992;-0.03988953238113872
2300.0;-0.11046425118786263;-0.031851142625761594
2310.0;-0.1510739446322638;-0.03995811060789692
2320.0;-0.14251301616537548;-0.037080628766013465
2330.0;-0.1500245267654605;-0.03387108406093077
2340.0;-0.15646411363708426;-0.03178609118868702
2350.0;-0.14639388140109927;-0.031270432590675565
2360.0;-0.15057350870633138;-0.03240637905580949
2370.0;-0.13615059285184675;-0.031773329521320046
2380.0;-0.17597727221222;-0.036701227857025946
2390.0;-0.1413903275961354;-0.04459080651353254
2400.0;-0.17010867591138693;-0.036693254065848134
2410.0;-0.17515904041248248;-0.03658865030280432
2420.0;-0.17449146725621875;-0.03190439991565657
2430.0;-0.14325166811562703;-0.028355480586061854
2440.0;-0.1336946064268961;-0.029377480891900946
2450.0;-0.14171077111148092;-0.031060213322922137
2460.0;-0.1334678522420433;-0.03359399666112295
2470.0;-0.11017897863801629;-0.03773852705473851
2480.0;-0.13389622402432844;-0.03534914061347175
2490.0;-0.11886669255795297;-0.03575343802326396
2500.0;-0.1289509790991534;-0.037010519820634566
2510.0;-0.1255569552428342;-0.0318369389156689
2520.0;-0.10599941294069115;-0.03425398660870117
2530.0;-0.11611672854890391;-0.0253806053227201
2540.0;-0.149204171345701;-0.030262565693641434
2550.0;-0.13355573077196453;-0.04096558596804105
2560.0;-0.13779105284329626;-0.04034811926136871
2570.0;-0.11859483074313688;-0.04005246127554593
2580.0;-0.1286415664035558;-0.04548424017166067
2590.0;-0.10533585625350819;-0.049174113703628106
2600.0;-0.11148495678128287;-0.0405517753260415
2610.0;-0.13758132166221437;-0.0456665231571667
2620.0;-0.12339203578563149;-0.047635889831553514
2630.0;-0.13187529926509584;-0.04737700930626057
2640.0;-0.1425740962217994;-0.03803074995101045
2650.0;-0.14598653975916123;-0.04160363366812001
2660.0;-0.15666117313786368;-0.03927801606862776
2670.0;-0.17293438266711963;-0.04184172705997811
2680.0;-0.17822136150686074;-0.031695657008453344
2690.0;-0.1856225602730152;-0.04109305593159509
2700.0;-0.16006430143495795;-0.042095062056460436
2710.0;-0.12614215729391143;-0.0416490874364661
2720.0;-0.13905656064862024;-0.044556080189180905
2730.0;-0.1346472940826643;-0.05066987903404382
2740.0;-0.14164225223084476;-0.04835636924154405
2750.0;-0.1487149506490209;-0.04393232917579105
2760.0;-0.13680241998587706;-0.047863713253303304
2770.0;-0.13517636597873825;-0.04044876628319026
2780.0;-0.11235672032993753;-0.05464614009713705
2790.0;-0.10298798794815431;-0.05324706915283357
2800.0;-0.11592801086734432;-0.04204633977371405
2810.0;-0.1669534876026748;-0.04670682505042279
2820.0;-0.12302142573608635;-0.049538859310318754
2830.0;-0.11731450835578142;-0.04647679882291361
2840.0;-0.1814220447169131;-0.05076562567616301
2850.0;-0.15708365869841207;-0.04746720001020753
2860.0;-0.1507679417187074;-0.047631539280474665
2870.0;-0.15940595671546787;-0.05230760471037556
2880.0;-0.20660711389534775;-0.047709687606090304
2890.0;-0.1827369652247231;-0.05187729019302435
2900.0;-0.16858170280746196;-0.06228189056562944
2910.0;-0.1887446649764121;-0.05605674493554328
2920.0;-0.19937436388637145;-0.05504440670020938
2930.0;-0.1924668744635395;-0.05373896535953036
2940.0;-0.16622823305124151;-0.053252308193062405
2950.0;-0.1922928568770929;-0.05153565639340196
2960.0;-0.1738811214079507;-0.05613903891952673
2970.0;-0.1912116688499987;-0.05187340574364714
2980.0;-0.17801012886614284;-0.05210589600654477
2990.0;-0.16425890229518952;-0.049105527628682616
3000.0;-0.18238425006227924;-0.04185066463114728
3010.0;-0.16527969641337079;-0.044101833970702206
3020.0;-0.20933686246799668;-0.03953758587036427
3030.0;-0.1818484457023296;-0.048597219887039425
3040.0;-0.2161041235434956;-0.04592796137270551
