# This .csv file was created 12.10.2024 14:33
# extracted out of file prod_center_rottrans_p2_rmsd.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAD/6fxb_cad_2
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"6e-07"
"10.0";"0.0517821"
"20.0";"0.0566295"
"30.0";"0.0592832"
"40.0";"0.0571908"
"50.0";"0.0615507"
"60.0";"0.0571137"
"70.0";"0.0638995"
"80.0";"0.0646985"
"90.0";"0.0687296"
"100.0";"0.0681018"
"110.0";"0.0683541"
"120.0";"0.0683284"
"130.0";"0.0628271"
"140.0";"0.0656231"
"150.0";"0.0683459"
"160.0";"0.0669867"
"170.0";"0.0705064"
"180.0";"0.0664415"
"190.0";"0.0590466"
"200.0";"0.065156"
"210.0";"0.0729572"
"220.0";"0.0647233"
"230.0";"0.0676339"
"240.0";"0.0635325"
"250.0";"0.0624022"
"260.0";"0.0659434"
"270.0";"0.0688997"
"280.0";"0.0694918"
"290.0";"0.0701431"
"300.0";"0.0698935"
"310.0";"0.0706458"
"320.0";"0.0705523"
"330.0";"0.0723358"
"340.0";"0.0750203"
"350.0";"0.0803217"
"360.0";"0.072777"
"370.0";"0.0837443"
"380.0";"0.0761191"
"390.0";"0.0791984"
"400.0";"0.0691973"
"410.0";"0.0710202"
"420.0";"0.072462"
"430.0";"0.077875"
"440.0";"0.0784062"
"450.0";"0.0732171"
"460.0";"0.0761962"
"470.0";"0.0744089"
"480.0";"0.0772429"
"490.0";"0.0728973"
"500.0";"0.078318"
"510.0";"0.0723127"
"520.0";"0.0861764"
"530.0";"0.0914065"
"540.0";"0.0850573"
"550.0";"0.0831628"
"560.0";"0.0920401"
"570.0";"0.0862079"
"580.0";"0.0868037"
"590.0";"0.08396"
"600.0";"0.0844027"
"610.0";"0.0817238"
"620.0";"0.0833638"
"630.0";"0.0961756"
"640.0";"0.0855448"
"650.0";"0.0869506"
"660.0";"0.0876842"
"670.0";"0.0892386"
"680.0";"0.1015247"
"690.0";"0.0945986"
"700.0";"0.1018748"
"710.0";"0.0942043"
"720.0";"0.0966544"
"730.0";"0.0945703"
"740.0";"0.0944031"
"750.0";"0.0928858"
"760.0";"0.0932709"
"770.0";"0.0994548"
"780.0";"0.0994475"
"790.0";"0.100234"
"800.0";"0.1048916"
"810.0";"0.1156205"
"820.0";"0.111065"
"830.0";"0.1073241"
"840.0";"0.0962072"
"850.0";"0.1043084"
"860.0";"0.1019476"
"870.0";"0.1077728"
"880.0";"0.1082696"
"890.0";"0.1064184"
"900.0";"0.1069051"
"910.0";"0.091583"
"920.0";"0.0986371"
"930.0";"0.102373"
"940.0";"0.1032702"
"950.0";"0.098224"
"960.0";"0.0978145"
"970.0";"0.1005583"
"980.0";"0.1018097"
"990.0";"0.1015186"
"1000.0";"0.0989012"
"1010.0";"0.0935041"
"1020.0";"0.0957051"
"1030.0";"0.0956164"
"1040.0";"0.0952546"
"1050.0";"0.0932454"
"1060.0";"0.0962176"
"1070.0";"0.0931995"
"1080.0";"0.0912344"
"1090.0";"0.1009423"
"1100.0";"0.0972413"
"1110.0";"0.0959422"
"1120.0";"0.0918834"
"1130.0";"0.0911641"
"1140.0";"0.0955947"
"1150.0";"0.0881527"
"1160.0";"0.091782"
"1170.0";"0.0997874"
"1180.0";"0.0990495"
"1190.0";"0.0929432"
"1200.0";"0.0971435"
"1210.0";"0.1034446"
"1220.0";"0.1021928"
"1230.0";"0.0933273"
"1240.0";"0.0957747"
"1250.0";"0.089132"
"1260.0";"0.0922415"
"1270.0";"0.0911381"
"1280.0";"0.0962787"
"1290.0";"0.0950204"
"1300.0";"0.0941068"
"1310.0";"0.088559"
"1320.0";"0.0930269"
"1330.0";"0.0907414"
"1340.0";"0.0835337"
"1350.0";"0.0783159"
"1360.0";"0.0923905"
"1370.0";"0.0861012"
"1380.0";"0.0840643"
"1390.0";"0.0818957"
"1400.0";"0.0857514"
"1410.0";"0.0928929"
"1420.0";"0.0896151"
"1430.0";"0.0891912"
"1440.0";"0.09862"
"1450.0";"0.0921272"
"1460.0";"0.0984037"
"1470.0";"0.0947138"
"1480.0";"0.0844708"
"1490.0";"0.0841617"
"1500.0";"0.0855466"
"1510.0";"0.0808297"
"1520.0";"0.0853394"
"1530.0";"0.0992091"
"1540.0";"0.0981156"
"1550.0";"0.0969566"
"1560.0";"0.1014686"
"1570.0";"0.091584"
"1580.0";"0.1024484"
"1590.0";"0.0981634"
"1600.0";"0.0990928"
"1610.0";"0.0947502"
"1620.0";"0.0929596"
"1630.0";"0.1000274"
"1640.0";"0.0894949"
"1650.0";"0.0985516"
"1660.0";"0.0984055"
"1670.0";"0.0997506"
"1680.0";"0.095797"
"1690.0";"0.0993607"
"1700.0";"0.097382"
"1710.0";"0.096611"
"1720.0";"0.0998106"
"1730.0";"0.1003855"
"1740.0";"0.0974787"
"1750.0";"0.1038901"
"1760.0";"0.0946159"
"1770.0";"0.0969354"
"1780.0";"0.1009575"
"1790.0";"0.0884429"
"1800.0";"0.0914728"
"1810.0";"0.0948923"
"1820.0";"0.1029034"
"1830.0";"0.0911595"
"1840.0";"0.0975478"
"1850.0";"0.1016632"
"1860.0";"0.0976918"
"1870.0";"0.0965837"
"1880.0";"0.0954829"
"1890.0";"0.0975812"
"1900.0";"0.0905901"
"1910.0";"0.098971"
"1920.0";"0.1000301"
"1930.0";"0.0947772"
"1940.0";"0.0814918"
"1950.0";"0.0810768"
"1960.0";"0.0777099"
"1970.0";"0.0879612"
"1980.0";"0.0788589"
"1990.0";"0.0839948"
"2000.0";"0.0861571"
"2010.0";"0.0812193"
"2020.0";"0.0887881"
"2030.0";"0.0887879"
"2040.0";"0.0854351"
"2050.0";"0.0877319"
"2060.0";"0.089807"
"2070.0";"0.0987949"
"2080.0";"0.0970441"
"2090.0";"0.0916937"
"2100.0";"0.095834"
"2110.0";"0.0822722"
"2120.0";"0.0881373"
"2130.0";"0.0877073"
"2140.0";"0.08724"
"2150.0";"0.0833164"
"2160.0";"0.0887301"
"2170.0";"0.087659"
"2180.0";"0.091559"
"2190.0";"0.0762422"
"2200.0";"0.0803952"
"2210.0";"0.0922388"
"2220.0";"0.0979521"
