# This .csv file was created 12.10.2024 14:33
# extracted out of file prod_mindist_neg1_mol6_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAD/6fxb_cad_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_neg1-MOL6"
"0.0";"0.3870973"
"10.0";"0.3987228"
"20.0";"0.4052764"
"30.0";"0.3741337"
"40.0";"0.4310847"
"50.0";"0.3704523"
"60.0";"0.3981583"
"70.0";"0.4179735"
"80.0";"0.3952631"
"90.0";"0.3890925"
"100.0";"0.3962449"
"110.0";"0.4002451"
"120.0";"0.4112857"
"130.0";"0.3944818"
"140.0";"0.362094"
"150.0";"0.3573838"
"160.0";"0.3681439"
"170.0";"0.3907071"
"180.0";"0.3512263"
"190.0";"0.4050404"
"200.0";"0.4001476"
"210.0";"0.4053517"
"220.0";"0.3861268"
"230.0";"0.3758896"
"240.0";"0.4381256"
"250.0";"0.4043737"
"260.0";"0.4033984"
"270.0";"0.3973826"
"280.0";"0.3769537"
"290.0";"0.4265406"
"300.0";"0.3914934"
"310.0";"0.3927675"
"320.0";"0.3935747"
"330.0";"0.4164271"
"340.0";"0.4071473"
"350.0";"0.3617359"
"360.0";"0.3974585"
"370.0";"0.4140472"
"380.0";"0.3793511"
"390.0";"0.3887176"
"400.0";"0.3954479"
"410.0";"0.4053222"
"420.0";"0.4069669"
"430.0";"0.3752906"
"440.0";"0.3979399"
"450.0";"0.3946519"
"460.0";"0.3954465"
"470.0";"0.3996573"
"480.0";"0.4155923"
"490.0";"0.4688893"
"500.0";"0.3861642"
"510.0";"0.4015681"
"520.0";"0.4032294"
"530.0";"0.390049"
"540.0";"0.4020897"
"550.0";"0.3801641"
"560.0";"0.3954354"
"570.0";"0.3609407"
"580.0";"0.4060026"
"590.0";"0.4066325"
"600.0";"0.4097685"
"610.0";"0.3867943"
"620.0";"0.3954"
"630.0";"0.3926359"
"640.0";"0.3919403"
"650.0";"0.4120643"
"660.0";"0.4257797"
"670.0";"0.4033027"
"680.0";"0.391741"
"690.0";"0.4181615"
"700.0";"0.4154395"
"710.0";"0.3921848"
"720.0";"0.3979223"
"730.0";"0.4019215"
"740.0";"0.3998879"
"750.0";"0.3690112"
"760.0";"0.3769589"
"770.0";"0.4015545"
"780.0";"0.3845891"
"790.0";"0.4143354"
"800.0";"0.3872532"
"810.0";"0.4054554"
"820.0";"0.3913898"
"830.0";"0.3997573"
"840.0";"0.4184372"
"850.0";"0.4173175"
"860.0";"0.3872443"
"870.0";"0.4082376"
"880.0";"0.3782248"
"890.0";"0.3848039"
"900.0";"0.4050606"
"910.0";"0.4072479"
"920.0";"0.3485327"
"930.0";"0.3919606"
"940.0";"0.401425"
"950.0";"0.3641882"
"960.0";"0.3632104"
"970.0";"0.4163785"
"980.0";"0.401096"
"990.0";"0.3936813"
"1000.0";"0.400541"
"1010.0";"0.3894486"
"1020.0";"0.3906979"
"1030.0";"0.4044378"
"1040.0";"0.4103501"
"1050.0";"0.4149192"
"1060.0";"0.3904116"
"1070.0";"0.3709949"
"1080.0";"0.3972231"
"1090.0";"0.3813684"
"1100.0";"0.3972405"
"1110.0";"0.4123364"
"1120.0";"0.3890064"
"1130.0";"0.3881561"
"1140.0";"0.4031237"
"1150.0";"0.3926769"
"1160.0";"0.3918534"
"1170.0";"0.3893945"
"1180.0";"0.3984695"
"1190.0";"0.3903768"
"1200.0";"0.3747107"
"1210.0";"0.3882498"
"1220.0";"0.3822432"
"1230.0";"0.4117051"
"1240.0";"0.3922257"
"1250.0";"0.4057289"
"1260.0";"0.3899051"
"1270.0";"0.3841993"
"1280.0";"0.385461"
"1290.0";"0.3882858"
"1300.0";"0.3868152"
"1310.0";"0.3811797"
"1320.0";"0.3966497"
"1330.0";"0.3976067"
"1340.0";"0.3955124"
"1350.0";"0.3693467"
"1360.0";"0.3788861"
"1370.0";"0.3682204"
"1380.0";"0.3900529"
"1390.0";"0.3705269"
"1400.0";"0.387808"
"1410.0";"0.3808014"
"1420.0";"0.4007915"
"1430.0";"0.3907226"
"1440.0";"0.3931223"
"1450.0";"0.3930012"
"1460.0";"0.3976907"
"1470.0";"0.3998453"
"1480.0";"0.3893521"
"1490.0";"0.3875953"
"1500.0";"0.4086147"
"1510.0";"0.3990513"
"1520.0";"0.4078503"
"1530.0";"0.3889589"
"1540.0";"0.381341"
"1550.0";"0.4048816"
"1560.0";"0.3768656"
"1570.0";"0.3597807"
"1580.0";"0.4028458"
"1590.0";"0.3943031"
