# This .csv file was created 12.10.2024 14:33
# extracted out of file mindist_major_allergenic_epitope_r_203-222_MOL4_2.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAD/6fxb_cad_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_203-222-MOL4"
"0.0";"4.288961"
"10.0";"4.258743"
"20.0";"4.096385"
"30.0";"3.950601"
"40.0";"4.018726"
"50.0";"4.059999"
"60.0";"4.076066"
"70.0";"3.986198"
"80.0";"4.021894"
"90.0";"3.989358"
"100.0";"4.029923"
"110.0";"4.048563"
"120.0";"4.016983"
"130.0";"4.079321"
"140.0";"3.941473"
"150.0";"4.280611"
"160.0";"4.597528"
"170.0";"4.657275"
"180.0";"4.835439"
"190.0";"4.817598"
"200.0";"4.809378"
"210.0";"4.809336"
"220.0";"4.896197"
"230.0";"4.794466"
"240.0";"4.50864"
"250.0";"4.673903"
"260.0";"4.623206"
"270.0";"4.719998"
"280.0";"4.583509"
"290.0";"4.775558"
"300.0";"4.578072"
"310.0";"4.494175"
"320.0";"4.258717"
"330.0";"4.265579"
"340.0";"4.250477"
"350.0";"4.29642"
"360.0";"4.367016"
"370.0";"4.477409"
"380.0";"4.302493"
"390.0";"4.340606"
"400.0";"4.420434"
"410.0";"4.231173"
"420.0";"4.027887"
"430.0";"3.996782"
"440.0";"3.879876"
"450.0";"3.783785"
"460.0";"3.881325"
"470.0";"3.721072"
"480.0";"3.834232"
"490.0";"3.578326"
"500.0";"3.841995"
"510.0";"3.915027"
"520.0";"4.028235"
"530.0";"4.050408"
"540.0";"3.905931"
"550.0";"4.032261"
"560.0";"3.922923"
"570.0";"3.931942"
"580.0";"4.214931"
"590.0";"4.216109"
"600.0";"4.35409"
"610.0";"4.362277"
"620.0";"4.506839"
"630.0";"4.270056"
"640.0";"4.245943"
"650.0";"4.311471"
"660.0";"4.216521"
"670.0";"4.411259"
"680.0";"4.581691"
"690.0";"4.503933"
"700.0";"4.325304"
"710.0";"4.25461"
"720.0";"4.301718"
"730.0";"4.354625"
"740.0";"4.486991"
"750.0";"4.492959"
"760.0";"4.768792"
"770.0";"4.673422"
"780.0";"4.596795"
"790.0";"4.568699"
"800.0";"4.464672"
"810.0";"4.56017"
"820.0";"4.633797"
"830.0";"4.729265"
"840.0";"4.61134"
"850.0";"5.026687"
"860.0";"4.946279"
"870.0";"4.770545"
"880.0";"4.629529"
"890.0";"4.886487"
"900.0";"5.063094"
"910.0";"5.081307"
"920.0";"5.105337"
"930.0";"5.312707"
"940.0";"5.465564"
"950.0";"5.578463"
"960.0";"5.435408"
"970.0";"5.37963"
"980.0";"5.430214"
"990.0";"5.535201"
"1000.0";"5.350455"
"1010.0";"5.450115"
"1020.0";"5.229808"
"1030.0";"5.06903"
"1040.0";"5.223846"
"1050.0";"5.554588"
"1060.0";"5.583015"
"1070.0";"5.785359"
"1080.0";"5.965233"
"1090.0";"5.923778"
"1100.0";"5.931211"
"1110.0";"5.990556"
"1120.0";"6.114236"
"1130.0";"5.896726"
"1140.0";"5.824414"
"1150.0";"5.82137"
"1160.0";"5.675151"
"1170.0";"5.477213"
"1180.0";"5.545529"
"1190.0";"5.38332"
"1200.0";"5.777997"
"1210.0";"5.872212"
"1220.0";"5.925609"
"1230.0";"6.010705"
"1240.0";"5.643061"
"1250.0";"5.670628"
"1260.0";"5.632054"
"1270.0";"5.624261"
"1280.0";"5.93643"
"1290.0";"6.086895"
"1300.0";"5.992697"
"1310.0";"6.289023"
"1320.0";"5.963321"
"1330.0";"5.817158"
"1340.0";"5.872493"
"1350.0";"5.869844"
"1360.0";"5.727194"
"1370.0";"5.663887"
"1380.0";"5.966501"
"1390.0";"5.685712"
"1400.0";"5.836111"
"1410.0";"5.933843"
"1420.0";"5.789992"
"1430.0";"5.769443"
