# This .csv file was created 12.10.2024 14:33
# extracted out of file prod_center_rottrans_p1_gyration.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAD/6fxb_cad_3
# Original file was created by command :
"Radius of gyration (total and around axes)"
"Time (ps)";"Rg";"Rg\sX\N";"Rg\sY\N";"Rg\sZ\N"
"0.0";"1.48777";"1.22612";"1.19931";"1.21869"
"10.0";"1.49082";"1.22928";"1.20145";"1.22084"
"20.0";"1.49145";"1.22954";"1.19804";"1.22548"
"30.0";"1.49534";"1.23572";"1.19988";"1.22695"
"40.0";"1.48806";"1.2246";"1.20004";"1.22022"
"50.0";"1.49083";"1.2301";"1.20345";"1.21807"
"60.0";"1.49098";"1.23132";"1.20104";"1.21959"
"70.0";"1.49259";"1.22928";"1.20037";"1.22623"
"80.0";"1.49739";"1.23681";"1.194";"1.23654"
"90.0";"1.49102";"1.23074";"1.18948";"1.23156"
"100.0";"1.49393";"1.238";"1.18981";"1.23099"
"110.0";"1.49306";"1.23586";"1.19653";"1.22451"
"120.0";"1.49244";"1.23262";"1.19261";"1.23007"
"130.0";"1.49032";"1.23063";"1.19311";"1.22645"
"140.0";"1.49123";"1.23159";"1.19735";"1.22355"
"150.0";"1.49114";"1.23069";"1.19559";"1.22596"
"160.0";"1.49101";"1.22439";"1.20194";"1.22573"
"170.0";"1.49543";"1.22758";"1.19894";"1.2362"
"180.0";"1.50063";"1.23583";"1.19729";"1.24217"
"190.0";"1.49367";"1.23072";"1.19624";"1.23142"
"200.0";"1.49538";"1.23459";"1.19668";"1.23129"
"210.0";"1.49245";"1.22526";"1.19973";"1.23052"
"220.0";"1.49639";"1.22814";"1.20925";"1.22791"
"230.0";"1.49424";"1.22565";"1.20093";"1.23332"
"240.0";"1.48897";"1.21912";"1.19642";"1.23141"
"250.0";"1.48823";"1.2195";"1.1904";"1.23509"
"260.0";"1.49138";"1.22577";"1.19237";"1.23457"
"270.0";"1.49044";"1.22875";"1.18072";"1.24052"
"280.0";"1.49285";"1.22275";"1.19153";"1.2419"
"290.0";"1.48996";"1.22965";"1.18874";"1.23078"
"300.0";"1.48877";"1.22676";"1.18086";"1.23835"
"310.0";"1.4894";"1.22741";"1.18674";"1.2336"
"320.0";"1.4899";"1.22963";"1.18466";"1.23458"
"330.0";"1.48852";"1.22552";"1.1898";"1.23041"
"340.0";"1.49182";"1.22769";"1.18797";"1.23798"
"350.0";"1.48926";"1.22687";"1.18579";"1.23469"
"360.0";"1.48989";"1.22874";"1.18686";"1.23332"
"370.0";"1.4871";"1.22233";"1.1812";"1.2384"
"380.0";"1.48835";"1.22355";"1.18686";"1.23476"
"390.0";"1.49805";"1.23635";"1.18932";"1.2431"
"400.0";"1.49453";"1.236";"1.18962";"1.23464"
"410.0";"1.49012";"1.22934";"1.19373";"1.22665"
"420.0";"1.48872";"1.23162";"1.1877";"1.22683"
"430.0";"1.48731";"1.22874";"1.18647";"1.22746"
"440.0";"1.49119";"1.23296";"1.18731";"1.23183"
"450.0";"1.48687";"1.23057";"1.18513";"1.22585"
"460.0";"1.49197";"1.23463";"1.18999";"1.22945"
"470.0";"1.4925";"1.22966";"1.19365";"1.23217"
"480.0";"1.48515";"1.22558";"1.18584";"1.22601"
"490.0";"1.48776";"1.22649";"1.17707";"1.2398"
