# This .csv file was created 12.10.2024 14:33
# extracted out of file prod_center_rottrans_rmsd.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAD/6fxb_cad_3
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"7e-07"
"10.0";"0.0674741"
"20.0";"0.0786708"
"30.0";"0.0782816"
"40.0";"0.0866421"
"50.0";"0.1002464"
"60.0";"0.0921616"
"70.0";"0.0995438"
"80.0";"0.1153893"
"90.0";"0.116253"
"100.0";"0.1225319"
"110.0";"0.1117347"
"120.0";"0.1040048"
"130.0";"0.102524"
"140.0";"0.1099673"
"150.0";"0.1080387"
"160.0";"0.0826921"
"170.0";"0.1033848"
"180.0";"0.1054121"
"190.0";"0.1020111"
"200.0";"0.1105004"
"210.0";"0.1052223"
"220.0";"0.0971704"
"230.0";"0.1081699"
"240.0";"0.1207885"
"250.0";"0.1261814"
"260.0";"0.112877"
"270.0";"0.1286034"
"280.0";"0.1242397"
"290.0";"0.1308614"
"300.0";"0.1272627"
"310.0";"0.1382567"
"320.0";"0.1387174"
"330.0";"0.1286219"
"340.0";"0.1141287"
"350.0";"0.1350758"
"360.0";"0.1315391"
"370.0";"0.1408894"
"380.0";"0.1282956"
"390.0";"0.1292997"
"400.0";"0.1267034"
"410.0";"0.1425427"
"420.0";"0.1560796"
"430.0";"0.1690827"
"440.0";"0.165894"
"450.0";"0.1733939"
"460.0";"0.1529447"
"470.0";"0.1558417"
"480.0";"0.1410265"
"490.0";"0.1622368"
"500.0";"0.1410577"
"510.0";"0.1345675"
"520.0";"0.1506801"
"530.0";"0.1260168"
"540.0";"0.1145824"
"550.0";"0.0956818"
"560.0";"0.083186"
"570.0";"0.0881154"
"580.0";"0.099672"
"590.0";"0.1028254"
"600.0";"0.113791"
"610.0";"0.1138513"
"620.0";"0.1140284"
"630.0";"0.1140954"
"640.0";"0.1005595"
"650.0";"0.1045159"
"660.0";"0.104631"
"670.0";"0.1025612"
"680.0";"0.1113608"
"690.0";"0.1095311"
"700.0";"0.1074513"
"710.0";"0.0946032"
"720.0";"0.0915371"
"730.0";"0.0911448"
"740.0";"0.0913375"
"750.0";"0.0915477"
"760.0";"0.0897237"
"770.0";"0.0907102"
"780.0";"0.0907576"
"790.0";"0.0868903"
"800.0";"0.0920653"
"810.0";"0.1119834"
"820.0";"0.0971668"
"830.0";"0.0954794"
"840.0";"0.1052667"
"850.0";"0.1031826"
"860.0";"0.134636"
"870.0";"0.1341025"
"880.0";"0.1460383"
"890.0";"0.1305281"
"900.0";"0.1412353"
"910.0";"0.1386199"
"920.0";"0.1330296"
"930.0";"0.1304372"
"940.0";"0.135337"
"950.0";"0.1354876"
"960.0";"0.1255456"
"970.0";"0.1421273"
"980.0";"0.1420839"
"990.0";"0.1645023"
"1000.0";"0.1473727"
"1010.0";"0.1633181"
"1020.0";"0.1636341"
"1030.0";"0.1483736"
"1040.0";"0.15186"
"1050.0";"0.1503615"
"1060.0";"0.1581772"
"1070.0";"0.1559671"
"1080.0";"0.1617253"
"1090.0";"0.1392291"
"1100.0";"0.1460216"
"1110.0";"0.1311814"
"1120.0";"0.1487286"
"1130.0";"0.1445271"
"1140.0";"0.1792598"
"1150.0";"0.1528105"
"1160.0";"0.1468313"
"1170.0";"0.1447076"
"1180.0";"0.1578117"
"1190.0";"0.1560774"
"1200.0";"0.1424581"
