# This .csv file was created 12.10.2024 14:33
# extracted out of file prod_mindist_mol14_dimer_area.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAD/6fxb_cad_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"MOL14-dimer_area"
"0.0";"1.919433"
"10.0";"1.857274"
"20.0";"1.889659"
"30.0";"1.84135"
"40.0";"1.91841"
"50.0";"1.910159"
"60.0";"1.807447"
"70.0";"1.860123"
"80.0";"1.74665"
"90.0";"1.854801"
"100.0";"1.734941"
"110.0";"1.668616"
"120.0";"1.753995"
"130.0";"1.74929"
"140.0";"1.784106"
"150.0";"1.881868"
"160.0";"1.772853"
"170.0";"1.71126"
"180.0";"1.743206"
"190.0";"1.740828"
"200.0";"1.751633"
"210.0";"1.758502"
"220.0";"1.734059"
"230.0";"1.775413"
"240.0";"1.82668"
"250.0";"1.774491"
"260.0";"1.84891"
"270.0";"1.860086"
"280.0";"1.732088"
"290.0";"1.754489"
"300.0";"1.777035"
"310.0";"1.704486"
"320.0";"1.770067"
"330.0";"1.749448"
"340.0";"1.744336"
"350.0";"1.729909"
"360.0";"1.751073"
"370.0";"1.792193"
"380.0";"1.812138"
"390.0";"1.787948"
"400.0";"1.811879"
"410.0";"1.831611"
"420.0";"1.769702"
"430.0";"1.852977"
"440.0";"1.739758"
"450.0";"1.780187"
"460.0";"1.659005"
"470.0";"1.754835"
"480.0";"1.813362"
"490.0";"2.047253"
"500.0";"1.975143"
"510.0";"2.047298"
"520.0";"2.032439"
"530.0";"1.802927"
"540.0";"1.827998"
"550.0";"1.841524"
"560.0";"1.798037"
"570.0";"1.760379"
"580.0";"1.781507"
"590.0";"1.889794"
"600.0";"1.768319"
"610.0";"1.912329"
"620.0";"1.828927"
"630.0";"1.84641"
"640.0";"1.878133"
"650.0";"1.917541"
"660.0";"1.839502"
"670.0";"1.817217"
"680.0";"1.696533"
"690.0";"1.795604"
"700.0";"1.694281"
"710.0";"1.737192"
"720.0";"1.763968"
"730.0";"1.626744"
"740.0";"1.752291"
"750.0";"1.669777"
"760.0";"1.856496"
