# This .csv file was created 12.10.2024 14:33
# extracted out of file prod_mindist_mol19_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAD/6fxb_cad_3
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein-MOL19"
"0.0";"3.64758"
"10.0";"3.58769"
"20.0";"3.721908"
"30.0";"3.874202"
"40.0";"3.818429"
"50.0";"3.707328"
"60.0";"3.487534"
"70.0";"3.660306"
"80.0";"3.653938"
"90.0";"3.780586"
"100.0";"3.853831"
"110.0";"3.872694"
"120.0";"3.571517"
"130.0";"3.735302"
"140.0";"3.449958"
"150.0";"3.564513"
"160.0";"3.54696"
"170.0";"3.735674"
"180.0";"3.545235"
"190.0";"3.658305"
"200.0";"3.663798"
"210.0";"3.349823"
"220.0";"3.616338"
"230.0";"3.590511"
"240.0";"3.485848"
"250.0";"3.38716"
"260.0";"3.555646"
"270.0";"3.417915"
"280.0";"3.427813"
"290.0";"3.556818"
"300.0";"3.691725"
"310.0";"3.589169"
"320.0";"3.345841"
"330.0";"3.505418"
"340.0";"3.595747"
"350.0";"3.622656"
"360.0";"3.441697"
"370.0";"3.40802"
"380.0";"3.519698"
"390.0";"3.729417"
"400.0";"3.808549"
"410.0";"3.602101"
"420.0";"3.43982"
"430.0";"3.592705"
"440.0";"3.571037"
"450.0";"3.486674"
"460.0";"3.506836"
"470.0";"3.470857"
"480.0";"3.536241"
"490.0";"3.665615"
"500.0";"3.443659"
"510.0";"3.316369"
"520.0";"3.336868"
"530.0";"3.205173"
"540.0";"3.222806"
"550.0";"3.261294"
"560.0";"3.099969"
"570.0";"3.092697"
"580.0";"2.912862"
"590.0";"2.822732"
"600.0";"2.872812"
"610.0";"2.963907"
"620.0";"3.185805"
"630.0";"3.189465"
"640.0";"3.649583"
"650.0";"3.525586"
"660.0";"3.586983"
"670.0";"3.431576"
"680.0";"3.696936"
"690.0";"3.476049"
"700.0";"3.603271"
"710.0";"3.703728"
"720.0";"3.656615"
"730.0";"3.51498"
"740.0";"3.83576"
"750.0";"4.014239"
"760.0";"4.023231"
"770.0";"4.063226"
"780.0";"3.822766"
"790.0";"3.998023"
"800.0";"4.248322"
"810.0";"4.247778"
"820.0";"4.299496"
"830.0";"4.077645"
"840.0";"3.878782"
"850.0";"3.810643"
"860.0";"3.555677"
"870.0";"3.405334"
"880.0";"3.520469"
"890.0";"3.508467"
"900.0";"3.374189"
"910.0";"3.405405"
"920.0";"3.735569"
"930.0";"3.433606"
"940.0";"3.373386"
"950.0";"3.197538"
"960.0";"3.4923"
"970.0";"3.115823"
"980.0";"3.494203"
"990.0";"3.366462"
"1000.0";"3.558646"
"1010.0";"3.561158"
"1020.0";"3.395926"
"1030.0";"3.527198"
"1040.0";"3.438396"
"1050.0";"3.097424"
"1060.0";"3.171921"
"1070.0";"2.668943"
"1080.0";"2.779844"
"1090.0";"3.092392"
"1100.0";"2.962678"
"1110.0";"2.800022"
"1120.0";"3.251497"
"1130.0";"2.936745"
"1140.0";"2.942879"
"1150.0";"2.698939"
"1160.0";"2.55527"
"1170.0";"2.250968"
"1180.0";"2.361961"
"1190.0";"2.225235"
"1200.0";"2.02983"
"1210.0";"2.278374"
"1220.0";"2.411584"
"1230.0";"2.447285"
"1240.0";"2.592741"
"1250.0";"2.742581"
"1260.0";"2.788728"
"1270.0";"2.558671"
"1280.0";"2.484582"
"1290.0";"2.582496"
"1300.0";"2.608961"
"1310.0";"2.828503"
"1320.0";"2.574121"
"1330.0";"2.864567"
"1340.0";"2.672853"
"1350.0";"2.718698"
"1360.0";"2.864631"
"1370.0";"2.966087"
"1380.0";"2.945377"
"1390.0";"2.730935"
"1400.0";"2.944485"
"1410.0";"2.977626"
"1420.0";"3.14784"
"1430.0";"3.202182"
"1440.0";"3.503345"
"1450.0";"3.252632"
"1460.0";"3.137598"
"1470.0";"3.018358"
"1480.0";"2.91308"
"1490.0";"2.861858"
"1500.0";"2.730022"
"1510.0";"2.856951"
"1520.0";"2.917967"
"1530.0";"2.911479"
"1540.0";"3.059892"
"1550.0";"2.974361"
