# This .csv file was created 12.10.2024 14:33
# extracted out of file prod_mol1_rms.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CAD/6fxb_cad_3
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"9.71e-05"
"10.0";"0.0888401"
"20.0";"0.1048503"
"30.0";"0.107584"
"40.0";"0.1166448"
"50.0";"0.1305301"
"60.0";"0.1237531"
"70.0";"0.1301018"
"80.0";"0.1416917"
"90.0";"0.1462507"
"100.0";"0.1535223"
"110.0";"0.1439012"
"120.0";"0.135618"
"130.0";"0.1339408"
"140.0";"0.1430451"
"150.0";"0.1425475"
"160.0";"0.119805"
"170.0";"0.13599"
"180.0";"0.1418089"
"190.0";"0.1368574"
"200.0";"0.1424151"
"210.0";"0.1392252"
"220.0";"0.1354123"
"230.0";"0.1439132"
"240.0";"0.1565584"
"250.0";"0.1584376"
"260.0";"0.1518127"
"270.0";"0.1642957"
"280.0";"0.1608473"
"290.0";"0.1672974"
"300.0";"0.1649085"
"310.0";"0.1740046"
"320.0";"0.174699"
"330.0";"0.1673267"
"340.0";"0.157892"
"350.0";"0.176393"
"360.0";"0.174893"
"370.0";"0.1835165"
"380.0";"0.1721216"
"390.0";"0.1758275"
"400.0";"0.1730236"
"410.0";"0.1841706"
"420.0";"0.1984449"
"430.0";"0.2117507"
"440.0";"0.2108378"
"450.0";"0.215371"
"460.0";"0.1953077"
"470.0";"0.195429"
"480.0";"0.1851472"
"490.0";"0.1997289"
"500.0";"0.1857255"
"510.0";"0.1798527"
"520.0";"0.190236"
"530.0";"0.1703064"
"540.0";"0.1567104"
"550.0";"0.1413382"
"560.0";"0.1309818"
"570.0";"0.137862"
"580.0";"0.1437525"
"590.0";"0.1434427"
"600.0";"0.1544315"
"610.0";"0.1566987"
"620.0";"0.1565423"
"630.0";"0.1553296"
"640.0";"0.1462785"
"650.0";"0.1467119"
"660.0";"0.1500914"
"670.0";"0.1450258"
"680.0";"0.1541494"
"690.0";"0.1525747"
"700.0";"0.1520022"
"710.0";"0.1411746"
"720.0";"0.1404875"
"730.0";"0.1412523"
"740.0";"0.1431317"
"750.0";"0.14262"
"760.0";"0.1415599"
"770.0";"0.1438922"
"780.0";"0.1382314"
"790.0";"0.1379544"
"800.0";"0.1448187"
"810.0";"0.1586622"
"820.0";"0.1479844"
"830.0";"0.1462245"
"840.0";"0.1553649"
"850.0";"0.1512352"
"860.0";"0.1764966"
"870.0";"0.1766963"
"880.0";"0.1882859"
"890.0";"0.1733096"
"900.0";"0.1820245"
"910.0";"0.1757714"
"920.0";"0.1740438"
"930.0";"0.1747213"
"940.0";"0.1773557"
"950.0";"0.1796073"
"960.0";"0.1697081"
"970.0";"0.1835047"
"980.0";"0.1860368"
"990.0";"0.2051644"
"1000.0";"0.1915299"
"1010.0";"0.2042287"
"1020.0";"0.2035827"
"1030.0";"0.1912982"
"1040.0";"0.1950837"
"1050.0";"0.1949467"
"1060.0";"0.2000627"
"1070.0";"0.199295"
"1080.0";"0.2022418"
"1090.0";"0.1817148"
"1100.0";"0.18695"
"1110.0";"0.1730568"
"1120.0";"0.1895219"
"1130.0";"0.1854136"
"1140.0";"0.2147673"
"1150.0";"0.1920786"
"1160.0";"0.1869247"
"1170.0";"0.184063"
"1180.0";"0.197863"
"1190.0";"0.1981226"
"1200.0";"0.1853622"
"1210.0";"0.1676167"
"1220.0";"0.1620244"
"1230.0";"0.1590913"
"1240.0";"0.1707174"
"1250.0";"0.1799258"
"1260.0";"0.1918401"
"1270.0";"0.1849912"
"1280.0";"0.1945246"
"1290.0";"0.1759591"
"1300.0";"0.1786072"
"1310.0";"0.1922351"
"1320.0";"0.1944275"
"1330.0";"0.1804653"
"1340.0";"0.1770823"
"1350.0";"0.184746"
"1360.0";"0.1776697"
"1370.0";"0.1688776"
"1380.0";"0.1609027"
"1390.0";"0.1634395"
"1400.0";"0.1760529"
"1410.0";"0.1579208"
"1420.0";"0.1594281"
"1430.0";"0.1658471"
"1440.0";"0.1606048"
"1450.0";"0.152005"
"1460.0";"0.158862"
"1470.0";"0.1567675"
"1480.0";"0.1507959"
"1490.0";"0.1600418"
"1500.0";"0.1580052"
"1510.0";"0.1643072"
"1520.0";"0.1556663"
"1530.0";"0.1530281"
"1540.0";"0.1602117"
"1550.0";"0.1528891"
"1560.0";"0.1609412"
"1570.0";"0.1577666"
"1580.0";"0.1540208"
"1590.0";"0.163227"
"1600.0";"0.157547"
"1610.0";"0.1649814"
"1620.0";"0.1525488"
"1630.0";"0.1522153"
"1640.0";"0.1560128"
"1650.0";"0.148768"
"1660.0";"0.1557209"
"1670.0";"0.1676413"
"1680.0";"0.1690097"
"1690.0";"0.1629298"
"1700.0";"0.1645728"
"1710.0";"0.1616627"
"1720.0";"0.1605752"
"1730.0";"0.1599142"
"1740.0";"0.1689899"
"1750.0";"0.159141"
"1760.0";"0.1600604"
"1770.0";"0.1641556"
"1780.0";"0.1656498"
"1790.0";"0.1582768"
"1800.0";"0.1527683"
"1810.0";"0.152672"
"1820.0";"0.1590054"
"1830.0";"0.1649365"
"1840.0";"0.1680217"
"1850.0";"0.1665583"
"1860.0";"0.1527374"
"1870.0";"0.1563691"
"1880.0";"0.1537226"
"1890.0";"0.1505376"
"1900.0";"0.152848"
"1910.0";"0.1578551"
"1920.0";"0.1635889"
"1930.0";"0.1631896"
"1940.0";"0.1780169"
"1950.0";"0.171681"
"1960.0";"0.1776716"
"1970.0";"0.1795332"
"1980.0";"0.1740036"
"1990.0";"0.1733734"
"2000.0";"0.189059"
"2010.0";"0.1916235"
"2020.0";"0.1952377"
"2030.0";"0.1859585"
"2040.0";"0.18216"
"2050.0";"0.1872473"
"2060.0";"0.1817104"
"2070.0";"0.1831556"
"2080.0";"0.1799765"
"2090.0";"0.1797525"
"2100.0";"0.180636"
"2110.0";"0.1734141"
"2120.0";"0.1669811"
"2130.0";"0.1743923"
"2140.0";"0.1691432"
"2150.0";"0.1724248"
"2160.0";"0.1700972"
"2170.0";"0.1691724"
"2180.0";"0.1647121"
"2190.0";"0.1739561"
"2200.0";"0.1694242"
"2210.0";"0.171192"
"2220.0";"0.1729925"
