Time (ps);Coul-SR:Protein-MOL;LJ-SR:Protein-MOL
0.0;-0.0019909166163065923;-0.003404886815732487
10.0;-0.003877602508922621;-0.0035051589254237077
20.0;-0.00701934815443572;-0.005126562207437181
30.0;-0.0070051927198186165;-0.004660720564027704
40.0;-0.009657893521408063;-0.004795741792535264
50.0;-0.016061799732002995;-0.005323544103122228
60.0;-0.018166582173561048;-0.006546689669352455
70.0;-0.02716465573544003;-0.005104276617390322
80.0;-0.028572533377581495;-0.010026501672070047
90.0;-0.031876783159295145;-0.0033229466840704854
100.0;-0.05570772614343224;-0.006428633429711052
110.0;-0.057969944674009975;-0.004710990153104159
120.0;-0.05498470232390247;-0.004925052900832722
130.0;-0.05863990642946835;-0.0062360928566420415
140.0;-0.06771792700328254;-0.006784463882365739
150.0;-0.06745891897604059;-0.003230381583076618
160.0;-0.06150233038872623;-0.0031829309107536375
170.0;-0.057842403387869556;-0.006481301009821551
180.0;-0.056841755495389744;-0.007286895002240441
190.0;-0.053615476859008734;-0.005497674858819445
200.0;-0.01708994641369386;-0.008270677750006311
210.0;-0.04085308197336334;-0.004539557618958294
220.0;-0.04068948676124725;-0.00558293977442278
230.0;-0.04405432557962703;-0.002688850694158424
240.0;-0.04755733774053538;-0.003010719034596954
250.0;-0.029354819371843015;-0.004394704132148226
260.0;-0.04834086609471733;-0.001211365764746551
270.0;-0.046191060025935246;-0.002795550447720834
280.0;-0.04172847512697938;-0.0032027895005477536
290.0;-0.04758377779150198;-0.001548939908596838
300.0;-0.04892221579513231;-0.0009806833114323259
310.0;-0.0393591465198046;-0.0010403898690065031
320.0;-0.037886865806435646;-0.002854150944563348
330.0;-0.0343044999029181;-0.00458609881059007
340.0;-0.03640127196809174;-0.009787711267605633
350.0;-0.029970529879488134;-0.007390285128587403
360.0;-0.030492230327282766;-0.004749730295921824
370.0;-0.043627817812893904;-0.002923432225535709
380.0;-0.03562120194620195;-0.002808910842244176
390.0;-0.011059970554145914;-0.00381977633681045
400.0;-0.01016822414940782;-0.0050923113876992256
410.0;-0.013437379985864131;-0.0034335617380861537
420.0;-0.005759658870819231;-0.002894000076201604
430.0;-0.0023937756925544477;-0.0009105059262580273
440.0;-0.008545657008514423;-0.0023475559156182486
450.0;-0.009786833842182341;-0.002596451708988011
460.0;-0.00705310762019383;-0.0018507813390764554
470.0;-0.010388588357326964;-0.002079822719557428
480.0;-0.0068732446354643996;-0.0028508052333849508
490.0;-0.03763968761406115;-0.0005493993304217588
500.0;-0.03290366454895195;-0.0027705583085147244
510.0;-0.04122277056796233;-0.0026060996932321715
520.0;-0.042800446588741804;0.0018047271056391661
530.0;-0.05008136129585926;-0.0019262311167762536
540.0;-0.03806531360042729;-0.002402650962320749
550.0;-0.025160239250303206;-0.0018073634954175472
560.0;-0.039982815633713246;-0.0011215550555202269
570.0;-0.04346118609804943;0.00030764908624055946
580.0;-0.0383776456756281;-0.0004720201569298092
590.0;-0.03487837287672763;-0.0023927971650396264
600.0;-0.02962342180796889;-0.001583755748279374
610.0;-0.024726333576344697;-0.0028488616565137343
620.0;-0.03427794708091288;-0.0008568116157210643
630.0;-0.03296170360409817;-0.007143121804084602
640.0;-0.03153892373121284;-0.0077313747091913975
650.0;-0.006674443860785008;-0.00834649458214735
660.0;-0.004004616551596025;-0.009471539985758073
670.0;-0.03422921743452732;-0.0064636270154400585
680.0;-0.030625230575173433;-0.0033051825555909403
690.0;-0.03318786636018537;-0.00908412880842043
700.0;-0.02937202858095674;-0.01014232519792992
710.0;-0.0316218391861249;-0.008587257155114299
720.0;-0.02488039123771748;-0.008488963009705818
730.0;-0.03105326044620796;-0.0075047967964556525
740.0;-0.03033206101425816;-0.010943451417443453
750.0;-0.02405496711112203;-0.013285127532689272
760.0;-0.03171531073096792;-0.010104952207133358
770.0;-0.033382344562599434;-0.007286811953288601
780.0;-0.035492659881465854;-0.0048350041890340405
790.0;-0.030633255907584627;-0.010893404565022143
800.0;-0.040864839908273755;-0.002186043631280121
810.0;-0.03532915278895561;-0.008657718999566643
820.0;-0.03753399423576956;-0.010785892045988534
830.0;-0.037558960427194386;-0.008777505623438365
840.0;-0.02865750717679667;-0.012462809654028904
850.0;-0.0026815192319680817;-0.008606845583193069
860.0;-0.0054470257882542564;-0.009324792862899164
870.0;-0.005917018405604283;-0.006365307106871047
