# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_center_rottrans_p2_gyration.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLA/6fxb_cla_1
# Original file was created by command :
"Radius of gyration (total and around axes)"
"Time (ps)";"Rg";"Rg\sX\N";"Rg\sY\N";"Rg\sZ\N"
"0.0";"1.48684";"1.20134";"1.23178";"1.20867"
"10.0";"1.48796";"1.20399";"1.23455";"1.20596"
"20.0";"1.49131";"1.20125";"1.23924";"1.21213"
"30.0";"1.48588";"1.20232";"1.23282";"1.20427"
"40.0";"1.48588";"1.20133";"1.23245";"1.20563"
"50.0";"1.48345";"1.19605";"1.23188";"1.20547"
"60.0";"1.48233";"1.19445";"1.22965";"1.20659"
"70.0";"1.4811";"1.19507";"1.23111";"1.20145"
"80.0";"1.48305";"1.20177";"1.23109";"1.19961"
"90.0";"1.48235";"1.19536";"1.23816";"1.19699"
"100.0";"1.48597";"1.19741";"1.23613";"1.20598"
"110.0";"1.49039";"1.21332";"1.23662";"1.2005"
"120.0";"1.48414";"1.19993";"1.23257";"1.20261"
"130.0";"1.48577";"1.20712";"1.23329";"1.19872"
"140.0";"1.48792";"1.20964";"1.2387";"1.1959"
"150.0";"1.48419";"1.19997";"1.23409";"1.20114"
"160.0";"1.48748";"1.20614";"1.23812";"1.19894"
"170.0";"1.48508";"1.20283";"1.23718";"1.1973"
"180.0";"1.49041";"1.21626";"1.23516";"1.19906"
"190.0";"1.48814";"1.2136";"1.23745";"1.19374"
"200.0";"1.48643";"1.20629";"1.24077";"1.19343"
"210.0";"1.49136";"1.20812";"1.24261";"1.20195"
"220.0";"1.48995";"1.20948";"1.24131";"1.19841"
"230.0";"1.48834";"1.2113";"1.23364";"1.2005"
"240.0";"1.49094";"1.20797";"1.24054";"1.2032"
"250.0";"1.48973";"1.21168";"1.23826";"1.19881"
"260.0";"1.49233";"1.20575";"1.23935";"1.21008"
"270.0";"1.49858";"1.21424";"1.24251";"1.21378"
"280.0";"1.48967";"1.2004";"1.23678";"1.21147"
"290.0";"1.49274";"1.21045";"1.23839";"1.20737"
"300.0";"1.48418";"1.20189";"1.23169";"1.20165"
