# This .csv file was created 12.10.2024 14:31
# extracted out of file prod_mindist_mol14_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLA/6fxb_cla_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein-MOL14"
"0.0";"1.070487"
"10.0";"1.21868"
"20.0";"1.447177"
"30.0";"1.585139"
"40.0";"1.718145"
"50.0";"1.814764"
"60.0";"1.768319"
"70.0";"1.505508"
"80.0";"1.584388"
"90.0";"1.7529"
"100.0";"1.712162"
"110.0";"1.827051"
"120.0";"1.663327"
"130.0";"1.907485"
"140.0";"1.721911"
"150.0";"1.74551"
"160.0";"1.330683"
"170.0";"1.487571"
"180.0";"1.314049"
"190.0";"1.47969"
"200.0";"1.418832"
"210.0";"1.413733"
"220.0";"1.573749"
"230.0";"1.519796"
"240.0";"1.313494"
"250.0";"1.344968"
"260.0";"1.464434"
"270.0";"1.339139"
"280.0";"1.62158"
"290.0";"1.751138"
"300.0";"1.608876"
"310.0";"1.646008"
"320.0";"1.534742"
"330.0";"1.613467"
"340.0";"1.541106"
"350.0";"1.376265"
"360.0";"1.270672"
"370.0";"1.312839"
"380.0";"1.180136"
"390.0";"1.233461"
"400.0";"1.447578"
"410.0";"1.447003"
"420.0";"1.295993"
"430.0";"1.411171"
"440.0";"1.566084"
"450.0";"1.58653"
"460.0";"1.66039"
"470.0";"1.5164"
"480.0";"1.553241"
"490.0";"1.348899"
"500.0";"1.507832"
"510.0";"1.440046"
"520.0";"1.278967"
"530.0";"1.400694"
"540.0";"1.105883"
"550.0";"1.351697"
"560.0";"1.282704"
"570.0";"1.156999"
"580.0";"0.9277789"
"590.0";"1.14974"
"600.0";"1.437497"
"610.0";"1.498455"
"620.0";"1.519817"
"630.0";"1.39451"
"640.0";"1.311669"
"650.0";"1.159832"
"660.0";"0.8885061"
"670.0";"0.7342232"
"680.0";"0.5833855"
"690.0";"0.9783353"
"700.0";"1.115544"
"710.0";"1.007789"
"720.0";"0.7726387"
"730.0";"0.9145286"
"740.0";"0.8835007"
"750.0";"0.9519146"
"760.0";"0.9810773"
"770.0";"1.059483"
"780.0";"1.065701"
"790.0";"1.129412"
"800.0";"1.215158"
"810.0";"1.197309"
"820.0";"1.147339"
"830.0";"1.105458"
"840.0";"1.176913"
"850.0";"0.9316337"
"860.0";"1.415637"
"870.0";"1.455369"
"880.0";"1.371798"
"890.0";"1.398431"
"900.0";"1.409027"
"910.0";"1.294005"
"920.0";"1.189108"
"930.0";"1.176689"
"940.0";"1.196172"
"950.0";"1.282546"
"960.0";"1.057674"
"970.0";"1.253681"
"980.0";"1.433337"
"990.0";"1.287856"
"1000.0";"1.351879"
"1010.0";"1.17781"
"1020.0";"1.062606"
"1030.0";"1.113422"
"1040.0";"1.077754"
"1050.0";"0.9301431"
"1060.0";"0.7912308"
"1070.0";"0.7699383"
"1080.0";"0.8788031"
"1090.0";"1.316387"
"1100.0";"1.086378"
"1110.0";"1.378178"
"1120.0";"1.401108"
"1130.0";"1.43081"
"1140.0";"1.472577"
"1150.0";"1.330014"
"1160.0";"1.357296"
"1170.0";"1.362659"
"1180.0";"1.71257"
"1190.0";"1.68769"
"1200.0";"1.74156"
"1210.0";"1.323342"
"1220.0";"1.471163"
"1230.0";"1.656282"
"1240.0";"1.98391"
"1250.0";"2.035304"
"1260.0";"1.997118"
"1270.0";"2.353598"
"1280.0";"2.173335"
"1290.0";"2.266512"
"1300.0";"2.246171"
"1310.0";"2.270099"
"1320.0";"2.207355"
"1330.0";"2.527886"
"1340.0";"2.554183"
"1350.0";"2.558745"
"1360.0";"2.300916"
"1370.0";"2.378103"
"1380.0";"2.24013"
"1390.0";"2.19248"
"1400.0";"2.26157"
"1410.0";"2.013456"
"1420.0";"1.910861"
"1430.0";"1.940866"
"1440.0";"1.90398"
"1450.0";"2.030123"
"1460.0";"2.3207"
"1470.0";"2.855377"
"1480.0";"2.644418"
"1490.0";"2.658005"
"1500.0";"2.525754"
"1510.0";"2.801386"
"1520.0";"2.737252"
"1530.0";"3.120398"
"1540.0";"3.257244"
"1550.0";"3.559064"
"1560.0";"3.553595"
"1570.0";"3.682529"
"1580.0";"3.639016"
"1590.0";"3.595674"
"1600.0";"3.705079"
"1610.0";"3.666841"
"1620.0";"3.608758"
"1630.0";"3.610643"
"1640.0";"3.405801"
"1650.0";"3.364241"
"1660.0";"3.508363"
"1670.0";"3.345884"
"1680.0";"3.165319"
"1690.0";"3.224682"
"1700.0";"3.119161"
"1710.0";"2.764808"
"1720.0";"2.752128"
"1730.0";"2.454001"
"1740.0";"2.464191"
"1750.0";"2.36896"
"1760.0";"2.621512"
"1770.0";"2.832162"
