# This .csv file was created 12.10.2024 14:30
# extracted out of file prod_mindist_pos2_mol6_55.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLA/6fxb_cla_1
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"Protein_pos1-MOL6"
"0.0";"3.315567"
"10.0";"3.36651"
"20.0";"3.210628"
"30.0";"3.373368"
"40.0";"3.228801"
"50.0";"3.168689"
"60.0";"3.297783"
"70.0";"3.644881"
"80.0";"3.647114"
"90.0";"3.859679"
"100.0";"3.813067"
"110.0";"3.877364"
"120.0";"3.930846"
"130.0";"3.743868"
"140.0";"3.582047"
"150.0";"3.825967"
"160.0";"3.872657"
"170.0";"3.880423"
"180.0";"3.916492"
"190.0";"3.95941"
"200.0";"3.840702"
"210.0";"3.568485"
"220.0";"3.636226"
"230.0";"3.719633"
"240.0";"3.938433"
"250.0";"3.918987"
"260.0";"3.916436"
"270.0";"4.150744"
"280.0";"4.116958"
"290.0";"3.963166"
"300.0";"4.06105"
"310.0";"4.076854"
"320.0";"4.163282"
"330.0";"4.238815"
"340.0";"3.998523"
"350.0";"4.18801"
"360.0";"4.009224"
"370.0";"4.097508"
"380.0";"3.87936"
"390.0";"3.708586"
"400.0";"3.890208"
"410.0";"4.053632"
"420.0";"4.148105"
"430.0";"3.932143"
"440.0";"3.902447"
"450.0";"3.883105"
"460.0";"3.91851"
"470.0";"4.068275"
"480.0";"4.058507"
"490.0";"4.172685"
"500.0";"4.063975"
"510.0";"4.059587"
"520.0";"4.123939"
"530.0";"4.014877"
"540.0";"4.129974"
"550.0";"4.067845"
"560.0";"3.703038"
"570.0";"3.670477"
"580.0";"3.76816"
"590.0";"3.54634"
"600.0";"3.685037"
"610.0";"3.952615"
"620.0";"4.010429"
"630.0";"3.779685"
"640.0";"3.522889"
"650.0";"3.311218"
"660.0";"3.226987"
"670.0";"3.369001"
"680.0";"3.094693"
"690.0";"2.925405"
"700.0";"3.079913"
"710.0";"2.920844"
"720.0";"2.972016"
"730.0";"2.644191"
"740.0";"2.826555"
"750.0";"2.953099"
"760.0";"2.897318"
"770.0";"2.830731"
"780.0";"3.003426"
"790.0";"3.143264"
"800.0";"3.410233"
"810.0";"3.43351"
"820.0";"3.553541"
"830.0";"3.400362"
"840.0";"3.505336"
"850.0";"3.87081"
"860.0";"3.904899"
"870.0";"4.127635"
"880.0";"3.859814"
"890.0";"3.786129"
"900.0";"3.647675"
"910.0";"3.758125"
"920.0";"3.738249"
"930.0";"3.788281"
"940.0";"3.564637"
"950.0";"3.641134"
"960.0";"3.690619"
"970.0";"3.539404"
"980.0";"3.532549"
"990.0";"3.384733"
"1000.0";"3.396541"
"1010.0";"3.29213"
"1020.0";"3.131467"
"1030.0";"2.829638"
"1040.0";"3.014579"
"1050.0";"3.241435"
"1060.0";"2.926432"
"1070.0";"2.796227"
"1080.0";"2.691704"
"1090.0";"2.880374"
"1100.0";"3.036337"
"1110.0";"2.981"
"1120.0";"2.981097"
"1130.0";"2.968849"
"1140.0";"3.020716"
"1150.0";"3.061997"
"1160.0";"3.37499"
"1170.0";"3.515803"
"1180.0";"3.356621"
"1190.0";"2.985942"
"1200.0";"3.056622"
"1210.0";"3.227287"
"1220.0";"3.231559"
"1230.0";"3.323234"
"1240.0";"2.912853"
"1250.0";"3.071512"
"1260.0";"3.049536"
"1270.0";"3.242035"
"1280.0";"3.185777"
"1290.0";"3.099488"
"1300.0";"2.840721"
"1310.0";"3.035501"
"1320.0";"2.863738"
"1330.0";"2.703233"
"1340.0";"2.630277"
"1350.0";"2.70008"
"1360.0";"2.359432"
"1370.0";"2.475432"
"1380.0";"1.965988"
"1390.0";"2.136914"
"1400.0";"2.183191"
"1410.0";"2.308622"
"1420.0";"2.482419"
"1430.0";"2.44485"
"1440.0";"2.483594"
"1450.0";"2.665123"
"1460.0";"2.468044"
"1470.0";"2.35967"
"1480.0";"2.088999"
"1490.0";"2.197728"
"1500.0";"2.215756"
"1510.0";"2.187144"
"1520.0";"2.117361"
"1530.0";"2.067787"
"1540.0";"2.297733"
"1550.0";"2.127941"
"1560.0";"2.171829"
"1570.0";"2.251743"
"1580.0";"2.279313"
"1590.0";"2.278975"
"1600.0";"2.75439"
"1610.0";"2.754843"
"1620.0";"2.539983"
"1630.0";"2.585516"
"1640.0";"2.37316"
"1650.0";"2.246739"
"1660.0";"2.165447"
"1670.0";"2.295589"
"1680.0";"2.389877"
"1690.0";"2.42028"
"1700.0";"2.213429"
"1710.0";"2.52711"
"1720.0";"2.542412"
"1730.0";"2.642416"
"1740.0";"2.752091"
"1750.0";"2.579893"
"1760.0";"2.553457"
"1770.0";"2.372265"
"1780.0";"2.364574"
"1790.0";"2.112959"
"1800.0";"2.52127"
"1810.0";"2.466031"
"1820.0";"2.642564"
"1830.0";"2.685256"
"1840.0";"2.60312"
"1850.0";"2.468804"
"1860.0";"2.673693"
"1870.0";"2.639901"
"1880.0";"2.23797"
"1890.0";"2.47563"
"1900.0";"2.421628"
"1910.0";"2.345367"
"1920.0";"2.161926"
"1930.0";"2.371175"
"1940.0";"2.483672"
"1950.0";"2.540151"
"1960.0";"2.634488"
"1970.0";"2.620605"
"1980.0";"2.958068"
"1990.0";"2.767551"
"2000.0";"2.700495"
"2010.0";"2.614947"
"2020.0";"2.710271"
"2030.0";"2.652586"
"2040.0";"2.563331"
"2050.0";"2.45729"
"2060.0";"2.168789"
"2070.0";"2.120469"
"2080.0";"2.193456"
"2090.0";"2.13096"
"2100.0";"2.078772"
"2110.0";"1.913536"
"2120.0";"2.249588"
"2130.0";"2.275454"
"2140.0";"2.079614"
"2150.0";"1.897184"
"2160.0";"2.149588"
"2170.0";"2.19432"
"2180.0";"2.094413"
"2190.0";"2.168008"
"2200.0";"2.380023"
"2210.0";"2.264251"
"2220.0";"2.24667"
"2230.0";"2.324259"
"2240.0";"2.245816"
"2250.0";"2.250004"
"2260.0";"2.111874"
"2270.0";"2.365781"
"2280.0";"2.604537"
"2290.0";"2.340744"
"2300.0";"2.40132"
"2310.0";"2.815272"
"2320.0";"3.036402"
"2330.0";"3.247777"
"2340.0";"3.531836"
"2350.0";"3.567771"
"2360.0";"3.785321"
"2370.0";"3.982174"
"2380.0";"3.962994"
"2390.0";"3.786386"
"2400.0";"3.734867"
"2410.0";"3.956929"
"2420.0";"3.901572"
"2430.0";"3.763704"
"2440.0";"3.403526"
"2450.0";"3.267448"
"2460.0";"3.220501"
"2470.0";"3.181282"
"2480.0";"3.078644"
"2490.0";"3.032461"
"2500.0";"2.82016"
"2510.0";"2.930145"
"2520.0";"2.789707"
"2530.0";"2.979754"
"2540.0";"2.927862"
"2550.0";"3.117687"
"2560.0";"2.907977"
"2570.0";"2.960872"
"2580.0";"2.78759"
"2590.0";"2.807509"
"2600.0";"2.871161"
"2610.0";"3.193409"
"2620.0";"3.167095"
"2630.0";"2.93886"
"2640.0";"2.917245"
"2650.0";"2.94539"
"2660.0";"2.944108"
"2670.0";"2.917623"
"2680.0";"2.92505"
"2690.0";"2.968915"
"2700.0";"3.108054"
"2710.0";"2.948647"
"2720.0";"2.897376"
"2730.0";"2.751134"
"2740.0";"2.726115"
"2750.0";"2.647706"
"2760.0";"2.791583"
"2770.0";"2.901776"
"2780.0";"2.62545"
"2790.0";"2.33904"
"2800.0";"2.499134"
"2810.0";"2.705582"
"2820.0";"2.55336"
"2830.0";"2.22694"
"2840.0";"2.202172"
"2850.0";"2.217248"
"2860.0";"2.020718"
"2870.0";"2.221164"
"2880.0";"2.42283"
"2890.0";"2.421516"
"2900.0";"2.415643"
"2910.0";"2.655835"
"2920.0";"2.499933"
"2930.0";"2.838731"
"2940.0";"3.205373"
"2950.0";"3.31264"
"2960.0";"3.42753"
"2970.0";"3.44518"
"2980.0";"3.423974"
"2990.0";"3.772326"
"3000.0";"3.597248"
"3010.0";"3.83024"
"3020.0";"3.409745"
"3030.0";"3.69228"
"3040.0";"3.612132"
"3050.0";"3.65172"
"3060.0";"3.738167"
"3070.0";"3.803238"
"3080.0";"3.654745"
"3090.0";"3.542203"
"3100.0";"3.443267"
"3110.0";"3.555538"
"3120.0";"3.306529"
"3130.0";"3.073176"
"3140.0";"2.909121"
"3150.0";"2.890233"
"3160.0";"2.995833"
"3170.0";"2.831368"
"3180.0";"3.031206"
"3190.0";"2.999793"
"3200.0";"2.903999"
"3210.0";"3.20761"
"3220.0";"3.059046"
"3230.0";"3.0093"
"3240.0";"2.566341"
"3250.0";"2.585238"
"3260.0";"2.535339"
"3270.0";"2.555868"
"3280.0";"2.425875"
"3290.0";"2.370544"
"3300.0";"2.384985"
"3310.0";"2.358378"
"3320.0";"2.31466"
"3330.0";"2.399319"
"3340.0";"2.444165"
"3350.0";"2.620117"
"3360.0";"2.655571"
"3370.0";"2.437682"
"3380.0";"2.169134"
"3390.0";"2.263639"
"3400.0";"2.331231"
"3410.0";"2.452881"
"3420.0";"2.178938"
"3430.0";"2.184375"
"3440.0";"2.063016"
"3450.0";"1.820317"
"3460.0";"2.004572"
"3470.0";"1.844362"
"3480.0";"2.130224"
"3490.0";"2.166424"
"3500.0";"2.024572"
"3510.0";"1.913988"
"3520.0";"2.134752"
"3530.0";"1.941739"
"3540.0";"2.180961"
"3550.0";"2.453098"
"3560.0";"2.254245"
"3570.0";"2.094623"
"3580.0";"2.040971"
"3590.0";"1.870385"
"3600.0";"2.151525"
"3610.0";"1.992175"
"3620.0";"2.100684"
"3630.0";"2.127757"
"3640.0";"2.25374"
"3650.0";"2.407758"
"3660.0";"2.187521"
"3670.0";"2.214837"
"3680.0";"2.15553"
"3690.0";"2.198897"
"3700.0";"2.340233"
"3710.0";"2.429844"
"3720.0";"2.642088"
"3730.0";"2.573044"
"3740.0";"2.355711"
"3750.0";"2.364275"
"3760.0";"2.300892"
"3770.0";"2.294409"
"3780.0";"2.418595"
"3790.0";"2.634796"
"3800.0";"2.440979"
"3810.0";"2.929761"
"3820.0";"2.709894"
"3830.0";"2.635225"
"3840.0";"2.532376"
"3850.0";"2.489984"
"3860.0";"2.607938"
"3870.0";"2.243143"
"3880.0";"2.393975"
"3890.0";"2.68104"
"3900.0";"2.723352"
"3910.0";"3.004376"
"3920.0";"2.822469"
"3930.0";"2.656369"
"3940.0";"2.574269"
"3950.0";"2.78179"
"3960.0";"3.057351"
"3970.0";"3.124447"
"3980.0";"3.469875"
"3990.0";"3.454041"
"4000.0";"3.716253"
"4010.0";"3.720395"
"4020.0";"3.443699"
"4030.0";"3.249652"
"4040.0";"3.03594"
"4050.0";"3.182734"
"4060.0";"3.236948"
"4070.0";"3.162134"
"4080.0";"3.348162"
"4090.0";"3.200886"
"4100.0";"3.07436"
"4110.0";"3.101818"
"4120.0";"3.23489"
"4130.0";"3.538807"
"4140.0";"3.395572"
"4150.0";"3.406077"
"4160.0";"3.654489"
"4170.0";"3.577941"
"4180.0";"3.241343"
"4190.0";"3.222163"
"4200.0";"3.132377"
"4210.0";"2.867336"
"4220.0";"2.670419"
"4230.0";"2.558893"
"4240.0";"2.700253"
"4250.0";"2.947857"
"4260.0";"3.038409"
"4270.0";"3.085238"
"4280.0";"3.251665"
"4290.0";"3.248847"
"4300.0";"3.423391"
"4310.0";"3.561439"
"4320.0";"3.815838"
"4330.0";"3.769583"
"4340.0";"3.454093"
"4350.0";"3.90499"
"4360.0";"3.702123"
"4370.0";"3.524017"
"4380.0";"3.761387"
"4390.0";"3.641196"
"4400.0";"3.513909"
"4410.0";"3.62095"
"4420.0";"3.466506"
"4430.0";"3.31206"
"4440.0";"3.234753"
"4450.0";"2.886258"
"4460.0";"2.995236"
"4470.0";"3.153275"
"4480.0";"3.197312"
"4490.0";"3.163347"
"4500.0";"3.214198"
"4510.0";"3.298877"
"4520.0";"3.185814"
"4530.0";"3.193577"
"4540.0";"3.285148"
"4550.0";"3.231706"
"4560.0";"3.12563"
"4570.0";"3.006411"
"4580.0";"2.99591"
"4590.0";"2.969924"
"4600.0";"2.91335"
"4610.0";"2.669253"
"4620.0";"2.691356"
"4630.0";"2.704658"
"4640.0";"2.488295"
"4650.0";"2.331507"
"4660.0";"2.272499"
"4670.0";"2.2742"
"4680.0";"2.233042"
"4690.0";"2.114171"
"4700.0";"2.030094"
"4710.0";"2.101098"
"4720.0";"2.297082"
"4730.0";"1.950019"
"4740.0";"2.039289"
"4750.0";"1.92057"
"4760.0";"1.908374"
"4770.0";"2.232664"
"4780.0";"2.433252"
"4790.0";"2.548316"
"4800.0";"2.316176"
"4810.0";"2.600602"
"4820.0";"2.635939"
"4830.0";"2.538743"
"4840.0";"2.471619"
"4850.0";"2.348023"
"4860.0";"2.585101"
"4870.0";"2.653188"
"4880.0";"2.749064"
"4890.0";"2.726816"
"4900.0";"2.748107"
"4910.0";"2.645761"
"4920.0";"2.924421"
"4930.0";"3.070822"
"4940.0";"2.960279"
"4950.0";"3.201742"
"4960.0";"3.417689"
"4970.0";"3.543175"
"4980.0";"3.30571"
"4990.0";"3.026771"
"5000.0";"3.119023"
"5010.0";"3.036369"
"5020.0";"3.080806"
