# This .csv file was created 12.10.2024 14:31
# extracted out of file ie_prod_mol.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLA/6fxb_cla_2
# Original file was created by command :
"GROMACS Energies"
"Time (ps)";"Coul-SR:Protein-MOL";"LJ-SR:Protein-MOL"
"0.0";"-6.364832";"-10.816095"
"10.0";"-12.139663";"-10.528447"
"20.0";"-22.771427";"-9.990899"
"30.0";"-74.62738";"-1.483977"
"40.0";"-45.423939";"-10.565426"
"50.0";"-13.253342";"-4.719879"
"60.0";"-24.995064";"-13.965288"
"70.0";"-34.662258";"-15.252078"
"80.0";"-31.133165";"-4.884081"
"90.0";"-18.099768";"-9.975855"
"100.0";"-12.784704";"-9.726542"
"110.0";"-10.965033";"-11.298909"
"120.0";"-5.361816";"-5.561333"
"130.0";"-15.577367";"-2.096587"
"140.0";"-30.388624";"-6.616098"
"150.0";"-117.988876";"3.863873"
"160.0";"-79.475288";"-9.715498"
"170.0";"-128.784622";"1.779685"
"180.0";"-110.383247";"0.967265"
"190.0";"-36.181168";"-8.444221"
"200.0";"-55.199486";"-3.336811"
"210.0";"-38.775898";"-6.913625"
"220.0";"-89.927963";"-10.47276"
"230.0";"-102.971809";"-4.068649"
"240.0";"-94.139008";"-2.317882"
"250.0";"-34.274345";"-10.409582"
"260.0";"-14.535586";"-4.448997"
"270.0";"-19.893087";"-7.656292"
"280.0";"-12.014321";"-1.549115"
"290.0";"-12.711964";"-1.374497"
"300.0";"-4.384495";"-0.973325"
"310.0";"-6.09445";"-1.088777"
"320.0";"-20.344986";"-2.868805"
"330.0";"-14.052817";"-3.50883"
"340.0";"-3.481578";"-1.248636"
"350.0";"-1.797477";"-1.903785"
"360.0";"-5.804294";"-3.265193"
"370.0";"3.430126";"-9.95671"
"380.0";"-6.190916";"-6.454685"
"390.0";"2.894687";"-10.71943"
"400.0";"4.716156";"-14.633578"
"410.0";"3.312419";"-10.915272"
"420.0";"-8.572916";"-15.462397"
"430.0";"0.122021";"-7.828831"
"440.0";"-13.283113";"-10.843559"
"450.0";"-21.891537";"-15.411246"
"460.0";"-105.755569";"-12.691169"
"470.0";"-135.790359";"1.654506"
"480.0";"-82.295082";"-17.745211"
"490.0";"-109.55526";"-13.214508"
"500.0";"-109.458374";"-4.545066"
"510.0";"-85.102272";"-8.868498"
"520.0";"-96.439911";"-3.612797"
"530.0";"-115.598557";"1.081273"
"540.0";"-64.645973";"-11.950993"
"550.0";"-108.792938";"-3.480759"
"560.0";"-127.120056";"1.109394"
"570.0";"-95.488472";"-2.247674"
"580.0";"-140.852539";"17.560673"
"590.0";"-127.512169";"3.386921"
"600.0";"-16.406282";"-7.760381"
"610.0";"-92.59272";"-14.013378"
"620.0";"-132.030487";"-7.689462"
"630.0";"-9.647617";"-14.456394"
"640.0";"-12.057291";"-15.663236"
"650.0";"-75.857803";"-11.605547"
"660.0";"-67.14257";"-9.519421"
"670.0";"-18.75256";"-7.814344"
"680.0";"-17.115469";"-5.80072"
"690.0";"-8.457799";"-5.351841"
