# This .csv file was created 12.10.2024 14:31
# extracted out of file mindist_major_allergenic_epitope_r_311-324_MOL16_2.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLA/6fxb_cla_2
# Original file was created by command :
"Minimum Distance"
"Time (ps)";"r_311-324-MOL16"
"0.0";"3.721418"
"10.0";"3.742164"
"20.0";"3.836066"
"30.0";"3.939763"
"40.0";"4.158053"
"50.0";"4.105412"
"60.0";"4.101399"
"70.0";"4.089222"
"80.0";"3.985649"
"90.0";"4.116341"
"100.0";"4.025524"
"110.0";"4.012906"
"120.0";"4.030042"
"130.0";"4.122015"
"140.0";"4.217135"
"150.0";"4.244984"
"160.0";"3.962678"
"170.0";"4.153051"
"180.0";"4.258611"
"190.0";"4.177202"
"200.0";"4.171313"
"210.0";"4.281226"
"220.0";"4.120009"
"230.0";"3.992724"
"240.0";"3.952994"
"250.0";"4.03098"
"260.0";"4.000175"
"270.0";"3.778526"
"280.0";"3.900316"
"290.0";"3.830217"
"300.0";"3.719901"
"310.0";"3.733065"
"320.0";"3.851937"
"330.0";"4.021157"
"340.0";"3.878919"
"350.0";"4.166007"
"360.0";"4.366864"
"370.0";"4.414773"
"380.0";"4.234814"
"390.0";"4.229605"
"400.0";"4.005152"
"410.0";"3.916882"
"420.0";"3.638104"
"430.0";"4.026575"
"440.0";"4.318756"
"450.0";"4.035491"
"460.0";"4.086923"
"470.0";"4.040558"
"480.0";"3.845484"
"490.0";"3.503418"
"500.0";"3.687766"
"510.0";"3.529636"
"520.0";"3.55537"
"530.0";"3.359239"
"540.0";"3.362875"
"550.0";"3.548355"
"560.0";"3.55736"
"570.0";"3.675163"
"580.0";"3.941563"
"590.0";"4.081259"
"600.0";"4.006989"
"610.0";"3.857691"
"620.0";"3.966184"
"630.0";"3.896843"
"640.0";"3.652099"
"650.0";"3.823959"
"660.0";"3.696608"
"670.0";"3.810123"
"680.0";"3.747604"
"690.0";"3.890604"
"700.0";"4.172434"
"710.0";"4.086046"
"720.0";"3.89896"
"730.0";"3.471423"
"740.0";"3.325328"
"750.0";"3.191075"
"760.0";"3.186282"
"770.0";"3.350038"
"780.0";"3.421211"
"790.0";"3.497598"
"800.0";"3.451539"
"810.0";"3.48554"
"820.0";"3.418555"
"830.0";"3.482759"
"840.0";"3.581696"
"850.0";"3.497519"
"860.0";"3.493172"
"870.0";"3.596031"
"880.0";"3.963652"
"890.0";"3.99076"
"900.0";"4.033389"
"910.0";"4.157269"
"920.0";"4.150294"
"930.0";"4.215982"
"940.0";"4.026544"
"950.0";"4.322515"
"960.0";"4.865301"
"970.0";"4.717034"
"980.0";"4.855731"
"990.0";"4.986876"
"1000.0";"4.911785"
"1010.0";"4.961245"
"1020.0";"4.919024"
"1030.0";"4.985664"
"1040.0";"4.992104"
"1050.0";"4.837867"
"1060.0";"4.948664"
"1070.0";"4.777492"
"1080.0";"5.010398"
"1090.0";"5.238672"
"1100.0";"5.159914"
"1110.0";"4.988884"
"1120.0";"5.070036"
"1130.0";"4.991816"
"1140.0";"4.841952"
"1150.0";"4.948786"
"1160.0";"5.121013"
"1170.0";"4.823605"
"1180.0";"4.833343"
"1190.0";"5.06377"
"1200.0";"5.27898"
"1210.0";"5.257061"
"1220.0";"4.985307"
"1230.0";"4.816419"
"1240.0";"4.870713"
"1250.0";"4.799619"
"1260.0";"5.031751"
"1270.0";"5.205038"
"1280.0";"5.394062"
"1290.0";"5.164696"
"1300.0";"5.054459"
"1310.0";"5.118667"
"1320.0";"5.023314"
"1330.0";"5.035288"
"1340.0";"5.176486"
"1350.0";"5.363003"
"1360.0";"5.469608"
"1370.0";"5.640922"
"1380.0";"5.38075"
"1390.0";"5.419586"
"1400.0";"5.391014"
"1410.0";"5.528369"
"1420.0";"5.483436"
"1430.0";"5.204609"
"1440.0";"5.43989"
"1450.0";"5.516205"
"1460.0";"5.359769"
"1470.0";"5.163322"
"1480.0";"5.106061"
"1490.0";"5.225649"
"1500.0";"5.263996"
"1510.0";"5.138755"
"1520.0";"5.112192"
"1530.0";"5.1674"
"1540.0";"5.173379"
"1550.0";"5.23815"
"1560.0";"5.323863"
"1570.0";"5.50951"
"1580.0";"5.345621"
"1590.0";"5.265316"
"1600.0";"5.450375"
"1610.0";"5.444375"
"1620.0";"5.420461"
"1630.0";"5.258647"
"1640.0";"5.415348"
"1650.0";"5.606774"
"1660.0";"5.692472"
"1670.0";"5.405375"
"1680.0";"5.390816"
"1690.0";"5.377215"
"1700.0";"5.351408"
"1710.0";"5.704667"
"1720.0";"5.434052"
"1730.0";"5.543195"
"1740.0";"5.685891"
"1750.0";"5.789583"
"1760.0";"5.410814"
"1770.0";"5.293493"
"1780.0";"5.33671"
"1790.0";"5.093231"
"1800.0";"4.882042"
"1810.0";"4.921576"
"1820.0";"5.130725"
"1830.0";"5.071553"
"1840.0";"5.297542"
"1850.0";"5.376491"
"1860.0";"5.15253"
"1870.0";"5.100992"
"1880.0";"5.020069"
"1890.0";"4.931341"
"1900.0";"4.822735"
"1910.0";"4.700056"
"1920.0";"4.636147"
"1930.0";"4.87805"
"1940.0";"4.627409"
"1950.0";"5.039324"
"1960.0";"5.001287"
"1970.0";"5.160777"
"1980.0";"5.321145"
"1990.0";"5.458167"
"2000.0";"5.429357"
"2010.0";"5.117808"
"2020.0";"5.538304"
"2030.0";"5.814076"
"2040.0";"6.006495"
"2050.0";"5.772896"
"2060.0";"5.817638"
"2070.0";"6.164272"
"2080.0";"6.08859"
"2090.0";"5.767538"
"2100.0";"5.910279"
"2110.0";"5.809414"
"2120.0";"5.755764"
"2130.0";"5.672351"
"2140.0";"5.810364"
"2150.0";"5.994886"
"2160.0";"5.998941"
"2170.0";"6.157819"
"2180.0";"6.266218"
"2190.0";"6.239732"
"2200.0";"6.202471"
"2210.0";"6.510582"
"2220.0";"6.401256"
"2230.0";"6.395452"
"2240.0";"6.592013"
"2250.0";"6.258643"
"2260.0";"6.355771"
"2270.0";"6.403013"
"2280.0";"6.253693"
"2290.0";"6.067388"
"2300.0";"5.94989"
"2310.0";"5.91301"
"2320.0";"6.030663"
"2330.0";"5.762306"
"2340.0";"6.017348"
"2350.0";"6.378279"
"2360.0";"6.319891"
"2370.0";"6.326122"
"2380.0";"6.204407"
"2390.0";"6.18246"
"2400.0";"6.342624"
"2410.0";"6.333874"
"2420.0";"6.042921"
"2430.0";"5.952258"
"2440.0";"5.776695"
"2450.0";"5.885329"
"2460.0";"5.906605"
"2470.0";"5.646648"
"2480.0";"5.755259"
"2490.0";"5.802359"
"2500.0";"5.807302"
"2510.0";"5.832258"
"2520.0";"5.667747"
"2530.0";"5.543141"
"2540.0";"5.312165"
"2550.0";"5.082942"
"2560.0";"5.03105"
"2570.0";"4.93751"
"2580.0";"4.825031"
"2590.0";"4.837738"
"2600.0";"4.688649"
"2610.0";"4.554139"
"2620.0";"4.326873"
"2630.0";"4.301101"
"2640.0";"4.303293"
"2650.0";"4.346022"
"2660.0";"4.559446"
"2670.0";"4.490094"
"2680.0";"4.356311"
"2690.0";"4.583535"
"2700.0";"4.371648"
"2710.0";"4.169341"
"2720.0";"4.12712"
"2730.0";"4.234517"
"2740.0";"4.250561"
"2750.0";"4.231266"
"2760.0";"4.598286"
"2770.0";"4.62607"
"2780.0";"4.685091"
"2790.0";"4.797699"
"2800.0";"4.745914"
"2810.0";"4.89668"
"2820.0";"4.845126"
"2830.0";"5.096995"
"2840.0";"5.15066"
"2850.0";"5.258591"
"2860.0";"5.429003"
"2870.0";"5.095643"
"2880.0";"5.305487"
"2890.0";"5.458587"
"2900.0";"5.381787"
"2910.0";"5.597495"
"2920.0";"5.466227"
"2930.0";"5.385876"
"2940.0";"5.313771"
"2950.0";"5.276672"
"2960.0";"5.189209"
"2970.0";"5.051609"
"2980.0";"4.980999"
"2990.0";"5.337963"
"3000.0";"5.487257"
"3010.0";"5.543877"
"3020.0";"5.606677"
"3030.0";"5.598875"
"3040.0";"5.867097"
"3050.0";"5.851641"
"3060.0";"6.039189"
"3070.0";"6.081705"
"3080.0";"6.239936"
"3090.0";"6.240136"
"3100.0";"6.297107"
"3110.0";"6.382011"
"3120.0";"6.39383"
"3130.0";"6.426735"
"3140.0";"6.178558"
"3150.0";"5.980135"
"3160.0";"6.05671"
"3170.0";"5.874568"
"3180.0";"6.159077"
"3190.0";"6.163312"
"3200.0";"6.263346"
"3210.0";"6.147069"
"3220.0";"6.136681"
"3230.0";"6.126576"
"3240.0";"6.084069"
"3250.0";"6.443656"
"3260.0";"6.50986"
"3270.0";"6.300528"
"3280.0";"6.195619"
"3290.0";"6.210699"
"3300.0";"6.333521"
"3310.0";"6.423345"
"3320.0";"6.26033"
"3330.0";"6.062533"
"3340.0";"6.163946"
"3350.0";"6.154932"
"3360.0";"6.078477"
"3370.0";"6.28275"
"3380.0";"6.241598"
"3390.0";"6.594172"
"3400.0";"6.679566"
"3410.0";"6.690219"
"3420.0";"6.588113"
"3430.0";"6.809371"
"3440.0";"6.639369"
"3450.0";"6.405612"
"3460.0";"6.426156"
"3470.0";"6.237284"
"3480.0";"6.690334"
"3490.0";"6.812257"
"3500.0";"6.816653"
"3510.0";"6.886819"
"3520.0";"6.770701"
"3530.0";"6.87749"
"3540.0";"6.861652"
"3550.0";"6.959531"
"3560.0";"6.883853"
"3570.0";"6.68142"
"3580.0";"6.543507"
"3590.0";"6.730008"
"3600.0";"6.72441"
"3610.0";"6.702038"
"3620.0";"6.964705"
"3630.0";"6.724157"
"3640.0";"6.652973"
"3650.0";"6.814948"
"3660.0";"6.728377"
"3670.0";"6.826149"
"3680.0";"6.916221"
"3690.0";"6.951138"
"3700.0";"6.903006"
"3710.0";"6.894877"
"3720.0";"6.815742"
"3730.0";"6.785439"
"3740.0";"6.742183"
"3750.0";"6.938637"
"3760.0";"7.03494"
"3770.0";"6.877515"
"3780.0";"6.819212"
"3790.0";"6.614046"
"3800.0";"6.559239"
"3810.0";"6.639954"
"3820.0";"6.924967"
"3830.0";"6.871333"
"3840.0";"6.653774"
"3850.0";"6.665932"
"3860.0";"6.695109"
"3870.0";"6.860306"
"3880.0";"6.881885"
"3890.0";"6.903324"
"3900.0";"6.876565"
"3910.0";"6.989567"
"3920.0";"7.096854"
"3930.0";"7.139939"
"3940.0";"7.169429"
"3950.0";"7.313679"
"3960.0";"7.268903"
"3970.0";"7.20482"
"3980.0";"7.261207"
"3990.0";"7.189762"
"4000.0";"7.27067"
"4010.0";"7.129445"
"4020.0";"7.064783"
"4030.0";"7.030688"
"4040.0";"6.920686"
"4050.0";"6.931084"
"4060.0";"7.009264"
"4070.0";"7.11295"
"4080.0";"7.461965"
"4090.0";"7.277005"
"4100.0";"7.288346"
"4110.0";"7.236363"
"4120.0";"7.27456"
"4130.0";"7.181987"
"4140.0";"7.345594"
"4150.0";"7.377224"
"4160.0";"7.654022"
"4170.0";"7.318757"
"4180.0";"7.248773"
"4190.0";"7.367793"
"4200.0";"7.307214"
"4210.0";"6.844932"
"4220.0";"6.692696"
"4230.0";"6.361294"
"4240.0";"6.429163"
"4250.0";"6.603171"
"4260.0";"6.293999"
"4270.0";"6.230011"
"4280.0";"6.078494"
"4290.0";"5.965914"
"4300.0";"5.838614"
"4310.0";"5.682459"
"4320.0";"5.6447"
"4330.0";"5.709992"
"4340.0";"5.827106"
"4350.0";"6.119283"
"4360.0";"6.116893"
"4370.0";"6.148497"
"4380.0";"6.378386"
"4390.0";"6.631756"
"4400.0";"6.798785"
"4410.0";"7.099731"
"4420.0";"7.1364"
"4430.0";"7.432131"
"4440.0";"7.534415"
"4450.0";"7.563112"
"4460.0";"7.712967"
"4470.0";"7.655844"
