# This .csv file was created 12.10.2024 14:31
# extracted out of file prod_center_rottrans_gyration.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLA/6fxb_cla_2
# Original file was created by command :
"Radius of gyration (total and around axes)"
"Time (ps)";"Rg";"Rg\sX\N";"Rg\sY\N";"Rg\sZ\N"
"0.0";"2.13536";"1.95588";"1.95185";"1.21833"
"10.0";"2.15302";"1.97596";"1.97174";"1.21608"
"20.0";"2.14001";"1.95903";"1.95609";"1.22277"
"30.0";"2.14587";"1.9709";"1.96201";"1.21473"
"40.0";"2.14947";"1.97117";"1.96703";"1.21892"
"50.0";"2.14893";"1.97324";"1.96487";"1.21713"
"60.0";"2.14909";"1.97443";"1.96581";"1.21422"
"70.0";"2.14794";"1.969";"1.96547";"1.21953"
"80.0";"2.15651";"1.97774";"1.97501";"1.22022"
"90.0";"2.15385";"1.97303";"1.97154";"1.22408"
"100.0";"2.15309";"1.9723";"1.97221";"1.22147"
"110.0";"2.14607";"1.96582";"1.95914";"1.22825"
"120.0";"2.15174";"1.97379";"1.97021";"1.21753"
"130.0";"2.14903";"1.96933";"1.9666";"1.22101"
"140.0";"2.14741";"1.96712";"1.96299";"1.22467"
"150.0";"2.15286";"1.97523";"1.96875";"1.22153"
"160.0";"2.15313";"1.97329";"1.97459";"1.21615"
"170.0";"2.15911";"1.982";"1.98063";"1.21339"
"180.0";"2.15209";"1.9708";"1.97552";"1.21501"
"190.0";"2.15704";"1.97718";"1.977";"1.21978"
"200.0";"2.16004";"1.98204";"1.983";"1.21275"
"210.0";"2.14802";"1.96662";"1.96827";"1.21913"
"220.0";"2.15173";"1.97242";"1.97193";"1.21692"
"230.0";"2.15753";"1.97493";"1.97859";"1.2226"
"240.0";"2.14694";"1.96381";"1.96757";"1.22098"
"250.0";"2.15353";"1.97245";"1.9726";"1.22216"
"260.0";"2.15421";"1.98024";"1.97087";"1.21473"
"270.0";"2.14041";"1.95967";"1.95798";"1.22015"
"280.0";"2.1396";"1.96011";"1.95866";"1.21547"
"290.0";"2.14384";"1.96652";"1.95773";"1.22155"
"300.0";"2.13729";"1.95716";"1.95056";"1.2251"
"310.0";"2.15017";"1.97195";"1.9641";"1.22482"
"320.0";"2.13997";"1.95993";"1.95279";"1.22648"
"330.0";"2.14791";"1.97212";"1.9652";"1.21479"
"340.0";"2.14968";"1.97149";"1.9675";"1.21837"
"350.0";"2.14641";"1.96659";"1.96581";"1.2175"
"360.0";"2.15765";"1.98184";"1.97409";"1.21908"
"370.0";"2.15117";"1.97341";"1.97204";"1.21315"
"380.0";"2.14728";"1.96515";"1.9674";"1.22029"
"390.0";"2.13697";"1.95381";"1.953";"1.22544"
"400.0";"2.15938";"1.98266";"1.97583";"1.22107"
"410.0";"2.15903";"1.98163";"1.97629";"1.22075"
"420.0";"2.16223";"1.98598";"1.98192";"1.21586"
"430.0";"2.14684";"1.96711";"1.96453";"1.22023"
"440.0";"2.15546";"1.97854";"1.97413";"1.21665"
"450.0";"2.15772";"1.98253";"1.9739";"1.21852"
"460.0";"2.14761";"1.97058";"1.9633";"1.21932"
"470.0";"2.15493";"1.97889";"1.97229";"1.21716"
"480.0";"2.14546";"1.96717";"1.96195";"1.21944"
"490.0";"2.15136";"1.97528";"1.96744";"1.21827"
"500.0";"2.15813";"1.98036";"1.97331";"1.22444"
"510.0";"2.15824";"1.9807";"1.97416";"1.22291"
"520.0";"2.15249";"1.97416";"1.96637";"1.22577"
"530.0";"2.15743";"1.97981";"1.97402";"1.22173"
"540.0";"2.15005";"1.97154";"1.96464";"1.22422"
"550.0";"2.15119";"1.97364";"1.96529";"1.22377"
"560.0";"2.15164";"1.97616";"1.96691";"1.21868"
"570.0";"2.15667";"1.97894";"1.97583";"1.21751"
"580.0";"2.15919";"1.98103";"1.97775";"1.21993"
"590.0";"2.14792";"1.96872";"1.96667";"1.21799"
"600.0";"2.15558";"1.97634";"1.9726";"1.22312"
"610.0";"2.13929";"1.96045";"1.95629";"1.21766"
"620.0";"2.14693";"1.96809";"1.96486";"1.21844"
"630.0";"2.14901";"1.97197";"1.96132";"1.22517"
"640.0";"2.14903";"1.96999";"1.96719";"1.21898"
"650.0";"2.15171";"1.9723";"1.9684";"1.22276"
"660.0";"2.16196";"1.98537";"1.9796";"1.21966"
"670.0";"2.15896";"1.98201";"1.97818";"1.21683"
"680.0";"2.15249";"1.9748";"1.96904";"1.22043"
"690.0";"2.14943";"1.96965";"1.9667";"1.22175"
"700.0";"2.1615";"1.98342";"1.97865";"1.22277"
"710.0";"2.14455";"1.96353";"1.96279";"1.22073"
"720.0";"2.15187";"1.97247";"1.97117";"1.21857"
"730.0";"2.16729";"1.99208";"1.98897";"1.21239"
"740.0";"2.15579";"1.97884";"1.97446";"1.21675"
"750.0";"2.15508";"1.97988";"1.97249";"1.21576"
"760.0";"2.15928";"1.9852";"1.97859";"1.21209"
