# This .csv file was created 12.10.2024 14:31
# extracted out of file prod_center_rottrans_p1_rmsd.xvg in working dir /media/ron/DiplArbeit1/neue simulationen/6FXb/LIGAND/CLA/6fxb_cla_2
# Original file was created by command :
"RMSD"
"Time (ps)";"s0"
"0.0";"8e-07"
"10.0";"0.0547355"
"20.0";"0.059628"
"30.0";"0.0607134"
"40.0";"0.0668112"
"50.0";"0.0692918"
"60.0";"0.0681815"
"70.0";"0.0674102"
"80.0";"0.0642703"
"90.0";"0.0712213"
"100.0";"0.0635567"
"110.0";"0.0682627"
"120.0";"0.067269"
"130.0";"0.0643495"
"140.0";"0.0665346"
"150.0";"0.0686061"
"160.0";"0.0607858"
"170.0";"0.0745662"
"180.0";"0.0737922"
"190.0";"0.072877"
"200.0";"0.0768625"
"210.0";"0.0628104"
"220.0";"0.0616275"
"230.0";"0.0687602"
"240.0";"0.0641305"
"250.0";"0.0663083"
"260.0";"0.0700724"
"270.0";"0.0689867"
"280.0";"0.0652943"
"290.0";"0.0681591"
"300.0";"0.0699171"
"310.0";"0.0729879"
"320.0";"0.0701947"
"330.0";"0.0696882"
"340.0";"0.0709929"
"350.0";"0.0699559"
"360.0";"0.0705718"
"370.0";"0.0725113"
"380.0";"0.072909"
"390.0";"0.070232"
"400.0";"0.0702427"
"410.0";"0.0708427"
"420.0";"0.0784473"
"430.0";"0.0702241"
"440.0";"0.0623231"
"450.0";"0.0647086"
"460.0";"0.0670899"
"470.0";"0.0668566"
"480.0";"0.062159"
"490.0";"0.0656682"
"500.0";"0.0701203"
"510.0";"0.072022"
"520.0";"0.0690777"
"530.0";"0.0635524"
"540.0";"0.0657062"
"550.0";"0.0660249"
"560.0";"0.0675498"
"570.0";"0.0718484"
"580.0";"0.0774927"
"590.0";"0.0752606"
"600.0";"0.0684312"
"610.0";"0.0745156"
"620.0";"0.0786191"
"630.0";"0.0790985"
"640.0";"0.0741627"
"650.0";"0.0759106"
"660.0";"0.0727086"
"670.0";"0.0674191"
"680.0";"0.0753453"
"690.0";"0.0705788"
"700.0";"0.0911551"
"710.0";"0.0790216"
